view,arm,panel,kind,stage,seed,crossing_pairs,total_pairs,crossing_fraction
electricity__shape__MAG_ONLY__s81551__fixed1024,MAG_ONLY,electricity,shape,fixed1024,81551,1185,2359296,0.0005022684733072916
electricity__shape__MAG_ONLY__s81551__selected,MAG_ONLY,electricity,shape,selected,81551,1094,2359296,0.00046369764539930556
electricity__shape__MAG_ONLY__s81552__fixed1024,MAG_ONLY,electricity,shape,fixed1024,81552,2897,2359296,0.001227908664279514
electricity__shape__MAG_ONLY__s81552__selected,MAG_ONLY,electricity,shape,selected,81552,2946,2359296,0.0012486775716145833
electricity__shape__PLAIN__s81551__fixed1024,PLAIN,electricity,shape,fixed1024,81551,5989,2359296,0.0025384691026475695
electricity__shape__PLAIN__s81551__selected,PLAIN,electricity,shape,selected,81551,2057,2359296,0.0008718702528211805
electricity__shape__PLAIN__s81552__fixed1024,PLAIN,electricity,shape,fixed1024,81552,3955,2359296,0.0016763475206163195
electricity__shape__PLAIN__s81552__selected,PLAIN,electricity,shape,selected,81552,3955,2359296,0.0016763475206163195
electricity__standard__B0__s81551__fixed1024,B0,electricity,standard,fixed1024,81551,3775,5242880,0.0007200241088867188
electricity__standard__B0__s81551__selected,B0,electricity,standard,selected,81551,3775,5242880,0.0007200241088867188
electricity__standard__B0__s81552__fixed1024,B0,electricity,standard,fixed1024,81552,3653,5242880,0.0006967544555664063
electricity__standard__B0__s81552__selected,B0,electricity,standard,selected,81552,3653,5242880,0.0006967544555664063
electricity__standard__C3__s81551__fixed1024,C3,electricity,standard,fixed1024,81551,4191,5242880,0.0007993698120117188
electricity__standard__C3__s81551__selected,C3,electricity,standard,selected,81551,6233,5242880,0.0011888504028320312
electricity__standard__C3__s81552__fixed1024,C3,electricity,standard,fixed1024,81552,4957,5242880,0.0009454727172851562
electricity__standard__C3__s81552__selected,C3,electricity,standard,selected,81552,5449,5242880,0.0010393142700195312
electricity__standard__DELTA_XY_BUDGET__s81551__fixed1024,DELTA_XY_BUDGET,electricity,standard,fixed1024,81551,14601,5242880,0.002784919738769531
electricity__standard__DELTA_XY_BUDGET__s81551__selected,DELTA_XY_BUDGET,electricity,standard,selected,81551,21333,5242880,0.004068946838378907
electricity__standard__DELTA_XY_BUDGET__s81552__fixed1024,DELTA_XY_BUDGET,electricity,standard,fixed1024,81552,5757,5242880,0.0010980606079101563
electricity__standard__DELTA_XY_BUDGET__s81552__selected,DELTA_XY_BUDGET,electricity,standard,selected,81552,5757,5242880,0.0010980606079101563
electricity__standard__DELTA_XY_DEFAULT__s81551__fixed1024,DELTA_XY_DEFAULT,electricity,standard,fixed1024,81551,22742,5242880,0.004337692260742187
electricity__standard__DELTA_XY_DEFAULT__s81551__selected,DELTA_XY_DEFAULT,electricity,standard,selected,81551,20971,5242880,0.003999900817871094
electricity__standard__DELTA_XY_DEFAULT__s81552__fixed1024,DELTA_XY_DEFAULT,electricity,standard,fixed1024,81552,36830,5242880,0.0070247650146484375
electricity__standard__DELTA_XY_DEFAULT__s81552__selected,DELTA_XY_DEFAULT,electricity,standard,selected,81552,36830,5242880,0.0070247650146484375
electricity__standard__MAG_ONLY__s81551__fixed1024,MAG_ONLY,electricity,standard,fixed1024,81551,4231,5242880,0.0008069992065429688
electricity__standard__MAG_ONLY__s81551__selected,MAG_ONLY,electricity,standard,selected,81551,6176,5242880,0.001177978515625
electricity__standard__MAG_ONLY__s81552__fixed1024,MAG_ONLY,electricity,standard,fixed1024,81552,5013,5242880,0.0009561538696289063
electricity__standard__MAG_ONLY__s81552__selected,MAG_ONLY,electricity,standard,selected,81552,5525,5242880,0.0010538101196289062
electricity__standard__PLAIN__s81551__fixed1024,PLAIN,electricity,standard,fixed1024,81551,7232,5242880,0.00137939453125
electricity__standard__PLAIN__s81551__selected,PLAIN,electricity,standard,selected,81551,5258,5242880,0.0010028839111328124
electricity__standard__PLAIN__s81552__fixed1024,PLAIN,electricity,standard,fixed1024,81552,5550,5242880,0.0010585784912109375
electricity__standard__PLAIN__s81552__selected,PLAIN,electricity,standard,selected,81552,5550,5242880,0.0010585784912109375
electricity_transfer__shape__B0__s81551__fixed1024,B0,electricity_transfer,shape,fixed1024,81551,25435,9437184,0.0026951895819769967
electricity_transfer__shape__B0__s81551__selected,B0,electricity_transfer,shape,selected,81551,25435,9437184,0.0026951895819769967
electricity_transfer__shape__B0__s81552__fixed1024,B0,electricity_transfer,shape,fixed1024,81552,17193,9437184,0.0018218358357747395
electricity_transfer__shape__B0__s81552__selected,B0,electricity_transfer,shape,selected,81552,17193,9437184,0.0018218358357747395
electricity_transfer__shape__C3__s81551__fixed1024,C3,electricity_transfer,shape,fixed1024,81551,29352,9437184,0.0031102498372395835
electricity_transfer__shape__C3__s81551__selected,C3,electricity_transfer,shape,selected,81551,35023,9437184,0.0037111706203884548
electricity_transfer__shape__C3__s81552__fixed1024,C3,electricity_transfer,shape,fixed1024,81552,34431,9437184,0.0036484400431315103
electricity_transfer__shape__C3__s81552__selected,C3,electricity_transfer,shape,selected,81552,34820,9437184,0.003689659966362847
electricity_transfer__shape__DELTA_XY_BUDGET__s81551__fixed1024,DELTA_XY_BUDGET,electricity_transfer,shape,fixed1024,81551,23163,9437184,0.0024544397989908853
electricity_transfer__shape__DELTA_XY_BUDGET__s81551__selected,DELTA_XY_BUDGET,electricity_transfer,shape,selected,81551,23249,9437184,0.0024635526869032118
electricity_transfer__shape__DELTA_XY_BUDGET__s81552__fixed1024,DELTA_XY_BUDGET,electricity_transfer,shape,fixed1024,81552,15988,9437184,0.001694149441189236
electricity_transfer__shape__DELTA_XY_BUDGET__s81552__selected,DELTA_XY_BUDGET,electricity_transfer,shape,selected,81552,15988,9437184,0.001694149441189236
electricity_transfer__shape__DELTA_XY_DEFAULT__s81551__fixed1024,DELTA_XY_DEFAULT,electricity_transfer,shape,fixed1024,81551,24410,9437184,0.002586576673719618
electricity_transfer__shape__DELTA_XY_DEFAULT__s81551__selected,DELTA_XY_DEFAULT,electricity_transfer,shape,selected,81551,22625,9437184,0.0023974312676323783
electricity_transfer__shape__DELTA_XY_DEFAULT__s81552__fixed1024,DELTA_XY_DEFAULT,electricity_transfer,shape,fixed1024,81552,17861,9437184,0.0018926196628146702
electricity_transfer__shape__DELTA_XY_DEFAULT__s81552__selected,DELTA_XY_DEFAULT,electricity_transfer,shape,selected,81552,17861,9437184,0.0018926196628146702
electricity_transfer__shape__MAG_ONLY__s81551__fixed1024,MAG_ONLY,electricity_transfer,shape,fixed1024,81551,27919,9437184,0.0029584036933051217
electricity_transfer__shape__MAG_ONLY__s81551__selected,MAG_ONLY,electricity_transfer,shape,selected,81551,33222,9437184,0.003520329793294271
electricity_transfer__shape__MAG_ONLY__s81552__fixed1024,MAG_ONLY,electricity_transfer,shape,fixed1024,81552,36616,9437184,0.003879970974392361
electricity_transfer__shape__MAG_ONLY__s81552__selected,MAG_ONLY,electricity_transfer,shape,selected,81552,37034,9437184,0.0039242638481987845
electricity_transfer__shape__PLAIN__s81551__fixed1024,PLAIN,electricity_transfer,shape,fixed1024,81551,38231,9437184,0.004051102532280816
electricity_transfer__shape__PLAIN__s81551__selected,PLAIN,electricity_transfer,shape,selected,81551,27648,9437184,0.0029296875
electricity_transfer__shape__PLAIN__s81552__fixed1024,PLAIN,electricity_transfer,shape,fixed1024,81552,40105,9437184,0.004249678717719184
electricity_transfer__shape__PLAIN__s81552__selected,PLAIN,electricity_transfer,shape,selected,81552,40105,9437184,0.004249678717719184
electricity_transfer__standard__B0__s81551__fixed1024,B0,electricity_transfer,standard,fixed1024,81551,47849,20971520,0.0022816181182861326
electricity_transfer__standard__B0__s81551__selected,B0,electricity_transfer,standard,selected,81551,47849,20971520,0.0022816181182861326
electricity_transfer__standard__B0__s81552__fixed1024,B0,electricity_transfer,standard,fixed1024,81552,34587,20971520,0.0016492366790771484
electricity_transfer__standard__B0__s81552__selected,B0,electricity_transfer,standard,selected,81552,34587,20971520,0.0016492366790771484
electricity_transfer__standard__C3__s81551__fixed1024,C3,electricity_transfer,standard,fixed1024,81551,46393,20971520,0.002212190628051758
electricity_transfer__standard__C3__s81551__selected,C3,electricity_transfer,standard,selected,81551,60953,20971520,0.002906465530395508
electricity_transfer__standard__C3__s81552__fixed1024,C3,electricity_transfer,standard,fixed1024,81552,36657,20971520,0.0017479419708251952
electricity_transfer__standard__C3__s81552__selected,C3,electricity_transfer,standard,selected,81552,37327,20971520,0.0017798900604248046
electricity_transfer__standard__DELTA_XY_BUDGET__s81551__fixed1024,DELTA_XY_BUDGET,electricity_transfer,standard,fixed1024,81551,56644,20971520,0.002700996398925781
electricity_transfer__standard__DELTA_XY_BUDGET__s81551__selected,DELTA_XY_BUDGET,electricity_transfer,standard,selected,81551,71926,20971520,0.003429698944091797
electricity_transfer__standard__DELTA_XY_BUDGET__s81552__fixed1024,DELTA_XY_BUDGET,electricity_transfer,standard,fixed1024,81552,44041,20971520,0.002100038528442383
electricity_transfer__standard__DELTA_XY_BUDGET__s81552__selected,DELTA_XY_BUDGET,electricity_transfer,standard,selected,81552,44041,20971520,0.002100038528442383
electricity_transfer__standard__DELTA_XY_DEFAULT__s81551__fixed1024,DELTA_XY_DEFAULT,electricity_transfer,standard,fixed1024,81551,74245,20971520,0.0035402774810791016
electricity_transfer__standard__DELTA_XY_DEFAULT__s81551__selected,DELTA_XY_DEFAULT,electricity_transfer,standard,selected,81551,60634,20971520,0.002891254425048828
electricity_transfer__standard__DELTA_XY_DEFAULT__s81552__fixed1024,DELTA_XY_DEFAULT,electricity_transfer,standard,fixed1024,81552,74365,20971520,0.003545999526977539
electricity_transfer__standard__DELTA_XY_DEFAULT__s81552__selected,DELTA_XY_DEFAULT,electricity_transfer,standard,selected,81552,74365,20971520,0.003545999526977539
electricity_transfer__standard__MAG_ONLY__s81551__fixed1024,MAG_ONLY,electricity_transfer,standard,fixed1024,81551,49565,20971520,0.002363443374633789
electricity_transfer__standard__MAG_ONLY__s81551__selected,MAG_ONLY,electricity_transfer,standard,selected,81551,62173,20971520,0.002964639663696289
electricity_transfer__standard__MAG_ONLY__s81552__fixed1024,MAG_ONLY,electricity_transfer,standard,fixed1024,81552,37726,20971520,0.0017989158630371093
electricity_transfer__standard__MAG_ONLY__s81552__selected,MAG_ONLY,electricity_transfer,standard,selected,81552,37785,20971520,0.0018017292022705078
electricity_transfer__standard__PLAIN__s81551__fixed1024,PLAIN,electricity_transfer,standard,fixed1024,81551,50817,20971520,0.0024231433868408202
electricity_transfer__standard__PLAIN__s81551__selected,PLAIN,electricity_transfer,standard,selected,81551,50196,20971520,0.0023935317993164064
electricity_transfer__standard__PLAIN__s81552__fixed1024,PLAIN,electricity_transfer,standard,fixed1024,81552,41129,20971520,0.0019611835479736326
electricity_transfer__standard__PLAIN__s81552__selected,PLAIN,electricity_transfer,standard,selected,81552,41129,20971520,0.0019611835479736326
ettm1__shape__B0__s81551__fixed1024,B0,ettm1,shape,fixed1024,81551,0,2359296,0.0
ettm1__shape__B0__s81551__selected,B0,ettm1,shape,selected,81551,0,2359296,0.0
ettm1__shape__B0__s81552__fixed1024,B0,ettm1,shape,fixed1024,81552,33,2359296,1.3987223307291666e-05
ettm1__shape__B0__s81552__selected,B0,ettm1,shape,selected,81552,33,2359296,1.3987223307291666e-05
ettm1__shape__C3__s81551__fixed1024,C3,ettm1,shape,fixed1024,81551,0,2359296,0.0
ettm1__shape__C3__s81551__selected,C3,ettm1,shape,selected,81551,0,2359296,0.0
ettm1__shape__C3__s81552__fixed1024,C3,ettm1,shape,fixed1024,81552,2,2359296,8.477105034722222e-07
ettm1__shape__C3__s81552__selected,C3,ettm1,shape,selected,81552,2,2359296,8.477105034722222e-07
ettm1__shape__DELTA_XY_BUDGET__s81551__fixed1024,DELTA_XY_BUDGET,ettm1,shape,fixed1024,81551,1,2359296,4.238552517361111e-07
ettm1__shape__DELTA_XY_BUDGET__s81551__selected,DELTA_XY_BUDGET,ettm1,shape,selected,81551,1,2359296,4.238552517361111e-07
ettm1__shape__DELTA_XY_BUDGET__s81552__fixed1024,DELTA_XY_BUDGET,ettm1,shape,fixed1024,81552,8,2359296,3.3908420138888887e-06
ettm1__shape__DELTA_XY_BUDGET__s81552__selected,DELTA_XY_BUDGET,ettm1,shape,selected,81552,28,2359296,1.1867947048611111e-05
ettm1__shape__DELTA_XY_DEFAULT__s81551__fixed1024,DELTA_XY_DEFAULT,ettm1,shape,fixed1024,81551,3,2359296,1.2715657552083333e-06
ettm1__shape__DELTA_XY_DEFAULT__s81551__selected,DELTA_XY_DEFAULT,ettm1,shape,selected,81551,0,2359296,0.0
ettm1__shape__DELTA_XY_DEFAULT__s81552__fixed1024,DELTA_XY_DEFAULT,ettm1,shape,fixed1024,81552,5,2359296,2.1192762586805556e-06
ettm1__shape__DELTA_XY_DEFAULT__s81552__selected,DELTA_XY_DEFAULT,ettm1,shape,selected,81552,13,2359296,5.510118272569444e-06
ettm1__shape__MAG_ONLY__s81551__fixed1024,MAG_ONLY,ettm1,shape,fixed1024,81551,0,2359296,0.0
ettm1__shape__MAG_ONLY__s81551__selected,MAG_ONLY,ettm1,shape,selected,81551,0,2359296,0.0
ettm1__shape__MAG_ONLY__s81552__fixed1024,MAG_ONLY,ettm1,shape,fixed1024,81552,2,2359296,8.477105034722222e-07
ettm1__shape__MAG_ONLY__s81552__selected,MAG_ONLY,ettm1,shape,selected,81552,33,2359296,1.3987223307291666e-05
ettm1__shape__PLAIN__s81551__fixed1024,PLAIN,ettm1,shape,fixed1024,81551,0,2359296,0.0
ettm1__shape__PLAIN__s81551__selected,PLAIN,ettm1,shape,selected,81551,0,2359296,0.0
ettm1__shape__PLAIN__s81552__fixed1024,PLAIN,ettm1,shape,fixed1024,81552,2,2359296,8.477105034722222e-07
ettm1__shape__PLAIN__s81552__selected,PLAIN,ettm1,shape,selected,81552,2,2359296,8.477105034722222e-07
ettm1__standard__B0__s81551__fixed1024,B0,ettm1,standard,fixed1024,81551,36,5242880,6.866455078125e-06
ettm1__standard__B0__s81551__selected,B0,ettm1,standard,selected,81551,36,5242880,6.866455078125e-06
ettm1__standard__B0__s81552__fixed1024,B0,ettm1,standard,fixed1024,81552,297,5242880,5.664825439453125e-05
ettm1__standard__B0__s81552__selected,B0,ettm1,standard,selected,81552,297,5242880,5.664825439453125e-05
ettm1__standard__C3__s81551__fixed1024,C3,ettm1,standard,fixed1024,81551,46,5242880,8.7738037109375e-06
ettm1__standard__C3__s81551__selected,C3,ettm1,standard,selected,81551,36,5242880,6.866455078125e-06
ettm1__standard__C3__s81552__fixed1024,C3,ettm1,standard,fixed1024,81552,263,5242880,5.016326904296875e-05
ettm1__standard__C3__s81552__selected,C3,ettm1,standard,selected,81552,263,5242880,5.016326904296875e-05
ettm1__standard__DELTA_XY_BUDGET__s81551__fixed1024,DELTA_XY_BUDGET,ettm1,standard,fixed1024,81551,6507,5242880,0.0012411117553710938
ettm1__standard__DELTA_XY_BUDGET__s81551__selected,DELTA_XY_BUDGET,ettm1,standard,selected,81551,7641,5242880,0.0014574050903320313
ettm1__standard__DELTA_XY_BUDGET__s81552__fixed1024,DELTA_XY_BUDGET,ettm1,standard,fixed1024,81552,6105,5242880,0.0011644363403320312
ettm1__standard__DELTA_XY_BUDGET__s81552__selected,DELTA_XY_BUDGET,ettm1,standard,selected,81552,6537,5242880,0.0012468338012695313
ettm1__standard__DELTA_XY_DEFAULT__s81551__fixed1024,DELTA_XY_DEFAULT,ettm1,standard,fixed1024,81551,1757,5242880,0.00033512115478515623
ettm1__standard__DELTA_XY_DEFAULT__s81551__selected,DELTA_XY_DEFAULT,ettm1,standard,selected,81551,1900,5242880,0.000362396240234375
ettm1__standard__DELTA_XY_DEFAULT__s81552__fixed1024,DELTA_XY_DEFAULT,ettm1,standard,fixed1024,81552,2908,5242880,0.000554656982421875
ettm1__standard__DELTA_XY_DEFAULT__s81552__selected,DELTA_XY_DEFAULT,ettm1,standard,selected,81552,2895,5242880,0.0005521774291992188
ettm1__standard__MAG_ONLY__s81551__fixed1024,MAG_ONLY,ettm1,standard,fixed1024,81551,44,5242880,8.392333984375e-06
ettm1__standard__MAG_ONLY__s81551__selected,MAG_ONLY,ettm1,standard,selected,81551,36,5242880,6.866455078125e-06
ettm1__standard__MAG_ONLY__s81552__fixed1024,MAG_ONLY,ettm1,standard,fixed1024,81552,276,5242880,5.2642822265625e-05
ettm1__standard__MAG_ONLY__s81552__selected,MAG_ONLY,ettm1,standard,selected,81552,297,5242880,5.664825439453125e-05
ettm1__standard__PLAIN__s81551__fixed1024,PLAIN,ettm1,standard,fixed1024,81551,51,5242880,9.72747802734375e-06
ettm1__standard__PLAIN__s81551__selected,PLAIN,ettm1,standard,selected,81551,36,5242880,6.866455078125e-06
ettm1__standard__PLAIN__s81552__fixed1024,PLAIN,ettm1,standard,fixed1024,81552,299,5242880,5.702972412109375e-05
ettm1__standard__PLAIN__s81552__selected,PLAIN,ettm1,standard,selected,81552,299,5242880,5.702972412109375e-05
