panel,kind,stage,condition,proposed,baseline,proposed_nmae,baseline_nmae,gain_pct,ci_low,ci_high,bonf4_low,bonf4_high,seed_gains,primary_family
electricity,standard,selected,POINT4,C3,PLAIN,0.16763158944070727,0.16741324334072372,-0.13042343343123708,-0.2417027778959241,-0.013691316019303738,-0.27758135663743744,0.01848001539772716,"{""81551"": -0.17642272573363815, ""81552"": -0.08405019233510558}",False
electricity,standard,selected,POINT4,MAG_ONLY,DELTA_XY_BUDGET,0.16765798041662647,0.16922412892572508,0.9254877061804945,0.5925602902086724,1.2713995030582772,0.508676584216594,1.346903791752083,"{""81551"": 1.3603609449138632, ""81552"": 0.4830481278635501}",False
electricity,standard,selected,POINT4,MAG_ONLY,DELTA_XY_DEFAULT,0.16765798041662647,0.16990461708829108,1.322292890073229,0.7060331584956784,2.00325336572454,0.5659935704485206,2.1716276862880197,"{""81551"": 0.5349364847293314, ""81552"": 2.1037632202429046}",False
electricity,standard,selected,POINT4,MAG_ONLY,B0,0.16765798041662647,0.1673068405664775,-0.20987776050283014,-0.41790765072824254,0.010654319427266691,-0.4678354144933611,0.056402706046435824,"{""81551"": -0.10867716063727162, ""81552"": -0.3121388818465576}",False
electricity,standard,selected,POINT4,MAG_ONLY,PLAIN,0.16765798041662647,0.16741324334072372,-0.14618740490239812,-0.2744805529386424,-0.010636623217994681,-0.301458647350528,0.028330308534819264,"{""81551"": -0.1610459887814608, ""81552"": -0.13120802895809636}",False
electricity,standard,selected,POINT8,C3,DELTA_XY_BUDGET,0.16916960904287306,0.17061747065744226,0.8486010307093061,0.5201334046853671,1.1747472426240173,0.4444001070689013,1.250169180726093,"{""81551"": 1.1693016554271796, ""81552"": 0.5220204734042833}",False
electricity,standard,selected,POINT8,C3,DELTA_XY_DEFAULT,0.16916960904287306,0.17139063156655215,1.2958832716691737,0.6738402887939907,1.9562616647556703,0.515863982229876,2.108430272619668,"{""81551"": 0.3948343832088752, ""81552"": 2.1910430275229875}",False
electricity,standard,selected,POINT8,C3,B0,0.16916960904287306,0.1687854486149175,-0.2276028123917362,-0.4619284056245454,0.01894064961423194,-0.5337344122080084,0.06730183730853627,"{""81551"": -0.22716324416964806, ""81552"": -0.22804753125209576}",False
electricity,standard,selected,POINT8,C3,PLAIN,0.16916960904287306,0.168922657420961,-0.14619212465776243,-0.2659381695932833,-0.02147934135593559,-0.30011962533265435,0.011022659104589197,"{""81551"": -0.17390167543491764, ""81552"": -0.11817373035323264}",False
electricity,standard,selected,POINT8,MAG_ONLY,DELTA_XY_BUDGET,0.16919802103330317,0.17061747065744226,0.8319485798667148,0.5022063327414509,1.1638318086033352,0.4254490403135333,1.2460344273278663,"{""81551"": 1.1896489916884856, ""81552"": 0.46768985744058966}",False
