source,layer,arm,rank,holdout_direction_inner,holdout_direction_cosine,direction_defined,update_squared_norm,holdout_gradient_squared_norm,calibration_projection_energy,min_eigenvalue,eighth_eigenvalue,positive_eigenvalues
electricity,encoder.block.1.layer.0.SelfAttention.v,CROSS_BLOCK,8,1.6475459053041315e-05,0.20538143486990434,True,6.044572781847242e-05,0.00010646014899533348,6.04457278184724e-05,-3.7350294416899627e-06,8.022354742961052e-07,133.0
electricity,encoder.block.1.layer.0.SelfAttention.v,FULL_GRADIENT,512,2.152502376950868e-05,0.21364719295966417,True,9.53467353479322e-05,0.00010646014899533348,9.53467353479322e-05,,,
electricity,encoder.block.2.layer.0.SelfAttention.q,RANDOM_ORTHO,8,2.7860286299506323e-09,0.0055516083119495,True,4.2558340833740623e-08,5.917643893925592e-06,4.2558340833740623e-08,,,
electricity,encoder.block.2.layer.0.SelfAttention.q,MEAN_SVD,8,-7.372884917548336e-08,-0.02022743953921403,True,2.2451443024631126e-06,5.917643893925592e-06,2.2451443024631126e-06,-2.5582122144674084e-23,8.937996513575703e-08,490.0
electricity,encoder.block.2.layer.0.SelfAttention.q,SECOND_MOMENT,8,-6.028321653028347e-08,-0.017904477548627742,True,1.9156700129214746e-06,5.917643893925592e-06,1.9156700129214755e-06,-1.052018840108053e-24,1.404990928269808e-06,511.0
electricity,encoder.block.2.layer.0.SelfAttention.q,CROSS_BLOCK,8,-3.749242545420298e-09,-0.0011231045589112226,True,1.8832061593458156e-06,5.917643893925592e-06,1.8832061593458158e-06,-2.1494487263914317e-07,3.1028977231212594e-08,83.0
electricity,encoder.block.2.layer.0.SelfAttention.q,FULL_GRADIENT,512,-5.1037179818603395e-09,-0.0012341607303865848,True,2.889888339453904e-06,5.917643893925592e-06,2.889888339453904e-06,,,
electricity,encoder.block.2.layer.0.SelfAttention.v,RANDOM_ORTHO,8,2.122319289525174e-07,0.019626456400857424,True,1.3596253312873226e-06,8.600395189081843e-05,1.3596253312873226e-06,,,
electricity,encoder.block.2.layer.0.SelfAttention.v,MEAN_SVD,8,1.0947187813525517e-05,0.1548798131436695,True,5.8089427792928264e-05,8.600395189081843e-05,5.8089427792928284e-05,-2.5591582544567992e-22,2.127261558117641e-06,503.0
electricity,encoder.block.2.layer.0.SelfAttention.v,SECOND_MOMENT,8,9.884583344027744e-06,0.1471245252818451,True,5.248415127134678e-05,8.600395189081843e-05,5.248415127134676e-05,4.032432237159955e-22,2.6072080872267864e-05,512.0
electricity,encoder.block.2.layer.0.SelfAttention.v,CROSS_BLOCK,8,1.019649434304494e-05,0.15010746641568629,True,5.36511169774717e-05,8.600395189081843e-05,5.3651116977471714e-05,-1.805194256726916e-06,7.272683975380468e-07,120.0
electricity,encoder.block.2.layer.0.SelfAttention.v,FULL_GRADIENT,512,1.3133423640414483e-05,0.16167097037060923,True,7.673145070189732e-05,8.600395189081843e-05,7.673145070189732e-05,,,
