panel,baseline,q,w,absolute_nmae_benefit
electricity,C0,0.1,0.7000000000000001,0.004533632330760957
electricity,C0,0.1,0.71,0.004604269113625157
electricity,C0,0.1,0.72,0.0046749058964893585
electricity,C0,0.1,0.73,0.004745542679353559
electricity,C0,0.1,0.74,0.004816179462217761
electricity,C0,0.1,0.75,0.004886816245081962
electricity,C0,0.1,0.76,0.004957453027946162
electricity,C0,0.1,0.77,0.0050280898108103645
electricity,C0,0.1,0.78,0.005098726593674565
electricity,C0,0.1,0.79,0.005169363376538766
electricity,C0,0.1,0.8,0.005240000159402968
electricity,C0,0.1,0.81,0.0053106369422671685
electricity,C0,0.1,0.8200000000000001,0.00538127372513137
electricity,C0,0.1,0.8300000000000001,0.005451910507995571
electricity,C0,0.1,0.84,0.005522547290859771
electricity,C0,0.1,0.85,0.005593184073723972
electricity,C0,0.1,0.86,0.005663820856588174
electricity,C0,0.1,0.87,0.005734457639452375
electricity,C0,0.1,0.88,0.005805094422316576
electricity,C0,0.1,0.89,0.005875731205180776
electricity,C0,0.1,0.9,0.0059463679880449784
electricity,C0,0.1,0.91,0.006017004770909179
electricity,C0,0.1,0.92,0.00608764155377338
electricity,C0,0.1,0.93,0.006158278336637582
electricity,C0,0.1,0.9400000000000001,0.006228915119501782
electricity,C0,0.1,0.9500000000000001,0.006299551902365984
electricity,C0,0.1,0.96,0.006370188685230185
electricity,C0,0.1,0.97,0.006440825468094385
electricity,C0,0.1,0.98,0.006511462250958586
electricity,C0,0.1,0.99,0.0065820990338227876
electricity,C0,0.1,1.0,0.006652735816686989
electricity,C0,0.5,0.0,-0.0005139510494096416
electricity,C0,0.5,0.01,-0.0004422841807486753
electricity,C0,0.5,0.02,-0.00037061731208770903
electricity,C0,0.5,0.03,-0.0002989504434267427
electricity,C0,0.5,0.04,-0.00022728357476577648
electricity,C0,0.5,0.05,-0.00015561670610481006
electricity,C0,0.5,0.06,-8.394983744384381e-05
electricity,C0,0.5,0.07,-1.2282968782877449e-05
electricity,C0,0.5,0.08,5.938389987808875e-05
electricity,C0,0.5,0.09,0.00013105076853905506
electricity,C0,0.5,0.1,0.00020271763720002147
electricity,C0,0.5,0.11,0.00027438450586098767
electricity,C0,0.5,0.12,0.000346051374521954
electricity,C0,0.5,0.13,0.00041771824318292034
electricity,C0,0.5,0.14,0.0004893851118438867
electricity,C0,0.5,0.15,0.0005610519805048528
electricity,C0,0.5,0.16,0.0006327188491658191
electricity,C0,0.5,0.17,0.0007043857178267857
electricity,C0,0.5,0.18,0.0007760525864877518
electricity,C0,0.5,0.19,0.000847719455148718
electricity,C0,0.5,0.2,0.0009193863238096846
electricity,C0,0.5,0.21,0.0009910531924706507
electricity,C0,0.5,0.22,0.001062720061131617
electricity,C0,0.5,0.23,0.0011343869297925835
electricity,C0,0.5,0.24,0.0012060537984535497
electricity,C0,0.5,0.25,0.001277720667114516
electricity,C0,0.5,0.26,0.0013493875357754822
electricity,C0,0.5,0.27,0.0014210544044364485
electricity,C0,0.5,0.28,0.0014927212730974151
electricity,C0,0.5,0.29,0.001564388141758381
electricity,C0,0.5,0.3,0.0016360550104193472
electricity,C0,0.5,0.31,0.001707721879080314
electricity,C0,0.5,0.32,0.00177938874774128
electricity,C0,0.5,0.33,0.0018510556164022464
electricity,C0,0.5,0.34,0.001922722485063213
electricity,C0,0.5,0.35000000000000003,0.0019943893537241793
electricity,C0,0.5,0.36,0.002066056222385145
electricity,C0,0.5,0.37,0.002137723091046112
electricity,C0,0.5,0.38,0.0022093899597070777
electricity,C0,0.5,0.39,0.0022810568283680444
electricity,C0,0.5,0.4,0.002352723697029011
electricity,C0,0.5,0.41000000000000003,0.002424390565689977
electricity,C0,0.5,0.42,0.002496057434350943
electricity,C0,0.5,0.43,0.0025677243030119094
electricity,C0,0.5,0.44,0.0026393911716728756
electricity,C0,0.5,0.45,0.0027110580403338423
electricity,C0,0.5,0.46,0.002782724908994808
electricity,C0,0.5,0.47000000000000003,0.002854391777655775
electricity,C0,0.5,0.48,0.002926058646316741
electricity,C0,0.5,0.49,0.002997725514977707
electricity,C0,0.5,0.5,0.0030693923836386736
electricity,C0,0.5,0.51,0.0031410592522996402
electricity,C0,0.5,0.52,0.003212726120960606
electricity,C0,0.5,0.53,0.0032843929896215728
electricity,C0,0.5,0.54,0.003356059858282539
electricity,C0,0.5,0.55,0.0034277267269435053
electricity,C0,0.5,0.56,0.003499393595604472
electricity,C0,0.5,0.5700000000000001,0.003571060464265438
electricity,C0,0.5,0.58,0.0036427273329264036
electricity,C0,0.5,0.59,0.0037143942015873703
electricity,C0,0.5,0.6,0.003786061070248336
electricity,C0,0.5,0.61,0.003857727938909303
electricity,C0,0.5,0.62,0.0039293948075702695
electricity,C0,0.5,0.63,0.004001061676231235
electricity,C0,0.5,0.64,0.004072728544892202
electricity,C0,0.5,0.65,0.004144395413553169
electricity,C0,0.5,0.66,0.0042160622822141345
electricity,C0,0.5,0.67,0.0042877291508751
electricity,C0,0.5,0.68,0.004359396019536068
electricity,C0,0.5,0.6900000000000001,0.004431062888197034
electricity,C0,0.5,0.7000000000000001,0.0045027297568579995
electricity,C0,0.5,0.71,0.004574396625518966
electricity,C0,0.5,0.72,0.004646063494179932
electricity,C0,0.5,0.73,0.004717730362840898
electricity,C0,0.5,0.74,0.004789397231501865
electricity,C0,0.5,0.75,0.004861064100162831
electricity,C0,0.5,0.76,0.004932730968823797
electricity,C0,0.5,0.77,0.0050043978374847645
electricity,C0,0.5,0.78,0.00507606470614573
electricity,C0,0.5,0.79,0.005147731574806696
electricity,C0,0.5,0.8,0.005219398443467664
electricity,C0,0.5,0.81,0.0052910653121286295
electricity,C0,0.5,0.8200000000000001,0.005362732180789595
electricity,C0,0.5,0.8300000000000001,0.005434399049450562
electricity,C0,0.5,0.84,0.005506065918111528
electricity,C0,0.5,0.85,0.005577732786772494
electricity,C0,0.5,0.86,0.005649399655433461
electricity,C0,0.5,0.87,0.005721066524094427
electricity,C0,0.5,0.88,0.005792733392755393
electricity,C0,0.5,0.89,0.005864400261416359
electricity,C0,0.5,0.9,0.005936067130077326
electricity,C0,0.5,0.91,0.006007733998738292
electricity,C0,0.5,0.92,0.006079400867399258
electricity,C0,0.5,0.93,0.0061510677360602254
electricity,C0,0.5,0.9400000000000001,0.006222734604721191
electricity,C0,0.5,0.9500000000000001,0.006294401473382157
electricity,C0,0.5,0.96,0.006366068342043124
electricity,C0,0.5,0.97,0.00643773521070409
electricity,C0,0.5,0.98,0.006509402079365055
electricity,C0,0.5,0.99,0.006581068948026023
electricity,C0,0.5,1.0,0.006652735816686989
electricity,C0,1.0,0.0,-0.0006427117740052946
electricity,C0,1.0,0.01,-0.0005697572980983717
electricity,C0,1.0,0.02,-0.0004968028221914489
electricity,C0,1.0,0.03,-0.000423848346284526
electricity,C0,1.0,0.04,-0.0003508938703776032
electricity,C0,1.0,0.05,-0.00027793939447068035
electricity,C0,1.0,0.06,-0.00020498491856375752
electricity,C0,1.0,0.07,-0.00013203044265683458
