panel,kind,condition,new,baseline,seed,gain_pct
electricity,shape,RAMP8_D32,FIX_C3_GC3,FIX_C3_GC2,81552,8.119617513289334
electricity,shape,RAMP8_D32,FIX_C3_GC3,FIX_C3_GC2,81553,1.2488213527107606
electricity,shape,RAMP8_D32,FIX_C3_GC3,FIX_C2_GC3,81551,-3.104131355686901
electricity,shape,RAMP8_D32,FIX_C3_GC3,FIX_C2_GC3,81552,1.623464492703941
electricity,shape,RAMP8_D32,FIX_C3_GC3,FIX_C2_GC3,81553,0.1446616068751183
electricity,shape,STEP12_D17,C0,F0,81551,39.22353629147116
electricity,shape,STEP12_D17,C0,F0,81552,31.983929628916087
electricity,shape,STEP12_D17,C0,F0,81553,42.08263745767709
electricity,shape,STEP12_D17,C0,PERSISTENCE,81551,40.13734470010751
electricity,shape,STEP12_D17,C0,PERSISTENCE,81552,33.00658960672548
electricity,shape,STEP12_D17,C0,PERSISTENCE,81553,42.95345766780041
electricity,shape,STEP12_D17,C0,SEASONAL,81551,81.37858813330223
electricity,shape,STEP12_D17,C0,SEASONAL,81552,79.16043180780662
electricity,shape,STEP12_D17,C0,SEASONAL,81553,82.25459336848351
electricity,shape,STEP12_D17,C3,C0,81551,2.6223102203802084
electricity,shape,STEP12_D17,C3,C0,81552,11.129878077943944
electricity,shape,STEP12_D17,C3,C0,81553,3.8845829122709175
electricity,shape,STEP12_D17,C3,C2,81551,3.387742794862081
electricity,shape,STEP12_D17,C3,C2,81552,1.6974746125513418
electricity,shape,STEP12_D17,C3,C2,81553,1.6860353633052827
electricity,shape,STEP12_D17,C3,M_RECENCY,81551,0.5336778615887661
electricity,shape,STEP12_D17,C3,M_RECENCY,81552,0.7770913125085599
electricity,shape,STEP12_D17,C3,M_RECENCY,81553,0.3704562839732084
electricity,shape,STEP12_D17,C3,F0,81551,40.81728371088559
electricity,shape,STEP12_D17,C3,F0,81552,39.55403533462628
electricity,shape,STEP12_D17,C3,F0,81553,44.33248542623416
electricity,shape,STEP12_D17,C3,PERSISTENCE,81551,41.70712922822756
electricity,shape,STEP12_D17,C3,PERSISTENCE,81552,40.46287450375357
electricity,shape,STEP12_D17,C3,PERSISTENCE,81553,45.169477903278434
electricity,shape,STEP12_D17,C3,SEASONAL,81551,81.86689931986173
electricity,shape,STEP12_D17,C3,SEASONAL,81552,81.47985033956773
electricity,shape,STEP12_D17,C3,SEASONAL,81553,82.94392840220439
electricity,shape,STEP12_D17,FIX_C3_GC3,FIX_C2_GC2,81551,4.948725009221954
electricity,shape,STEP12_D17,FIX_C3_GC3,FIX_C2_GC2,81552,2.4242515590029323
electricity,shape,STEP12_D17,FIX_C3_GC3,FIX_C2_GC2,81553,1.6860353633052938
electricity,shape,STEP12_D17,FIX_C3_GC3,FIX_C3_GC2,81551,0.0943882528875339
electricity,shape,STEP12_D17,FIX_C3_GC3,FIX_C3_GC2,81552,2.18835637400403
electricity,shape,STEP12_D17,FIX_C3_GC3,FIX_C3_GC2,81553,1.2697945751893092
electricity,shape,STEP12_D17,FIX_C3_GC3,FIX_C2_GC3,81551,-1.3632952267969012
electricity,shape,STEP12_D17,FIX_C3_GC3,FIX_C2_GC3,81552,6.474154439827517
electricity,shape,STEP12_D17,FIX_C3_GC3,FIX_C2_GC3,81553,2.112712709740594
electricity,shape,STEP12_D63,C0,F0,81551,19.86679089093083
electricity,shape,STEP12_D63,C0,F0,81552,24.722375740647863
electricity,shape,STEP12_D63,C0,F0,81553,17.25978912395718
electricity,shape,STEP12_D63,C0,PERSISTENCE,81551,55.68803373908979
electricity,shape,STEP12_D63,C0,PERSISTENCE,81552,58.37306924970803
electricity,shape,STEP12_D63,C0,PERSISTENCE,81553,54.24641701582799
electricity,shape,STEP12_D63,C0,SEASONAL,81551,4.361103762116613
electricity,shape,STEP12_D63,C0,SEASONAL,81552,10.15623889746674
electricity,shape,STEP12_D63,C0,SEASONAL,81553,1.2496500432944035
electricity,shape,STEP12_D63,C3,C0,81551,1.914581916684688
electricity,shape,STEP12_D63,C3,C0,81552,-2.4240561472510747
electricity,shape,STEP12_D63,C3,C0,81553,3.3444143684929206
electricity,shape,STEP12_D63,C3,C2,81551,1.1515403804299829
electricity,shape,STEP12_D63,C3,C2,81552,-4.081171720226662
electricity,shape,STEP12_D63,C3,C2,81553,-0.4593919001151469
electricity,shape,STEP12_D63,C3,M_RECENCY,81551,-0.1507473211135757
electricity,shape,STEP12_D63,C3,M_RECENCY,81552,-0.4304967830249362
electricity,shape,STEP12_D63,C3,M_RECENCY,81553,0.0183432755092027
electricity,shape,STEP12_D63,C3,F0,81551,21.40100682179219
electricity,shape,STEP12_D63,C3,F0,81552,22.897603862284456
electricity,shape,STEP12_D63,C3,F0,81553,20.02696462501691
electricity,shape,STEP12_D63,C3,PERSISTENCE,81551,56.53642263204859
electricity,shape,STEP12_D63,C3,PERSISTENCE,81552,57.36400907594364
electricity,shape,STEP12_D63,C3,PERSISTENCE,81553,55.776606419250975
electricity,shape,STEP12_D63,C3,SEASONAL,81551,6.192188774803964
electricity,shape,STEP12_D63,C3,SEASONAL,81552,7.978375683539207
electricity,shape,STEP12_D63,C3,SEASONAL,81553,4.552270936183511
electricity,shape,STEP12_D63,FIX_C3_GC3,FIX_C2_GC2,81551,0.5239547832671887
electricity,shape,STEP12_D63,FIX_C3_GC3,FIX_C2_GC2,81552,-1.1990121079050953
electricity,shape,STEP12_D63,FIX_C3_GC3,FIX_C2_GC2,81553,-0.4593919001151691
electricity,shape,STEP12_D63,FIX_C3_GC3,FIX_C3_GC2,81551,2.5288474504321035
electricity,shape,STEP12_D63,FIX_C3_GC3,FIX_C3_GC2,81552,-3.005531912666659
electricity,shape,STEP12_D63,FIX_C3_GC3,FIX_C3_GC2,81553,6.520794533602148
electricity,shape,STEP12_D63,FIX_C3_GC3,FIX_C2_GC3,81551,4.459084917128775
electricity,shape,STEP12_D63,FIX_C3_GC3,FIX_C2_GC3,81552,2.0630244171924605
electricity,shape,STEP12_D63,FIX_C3_GC3,FIX_C2_GC3,81553,-0.5406920332678977
electricity,shape,STEP6_D17,C0,F0,81551,38.51277455704584
electricity,shape,STEP6_D17,C0,F0,81552,36.82032416676015
electricity,shape,STEP6_D17,C0,F0,81553,38.44149214544764
electricity,shape,STEP6_D17,C0,PERSISTENCE,81551,53.01615602840608
electricity,shape,STEP6_D17,C0,PERSISTENCE,81552,51.722914635677775
electricity,shape,STEP6_D17,C0,PERSISTENCE,81553,52.96168745090366
electricity,shape,STEP6_D17,C0,SEASONAL,81551,73.43112283689867
electricity,shape,STEP6_D17,C0,SEASONAL,81552,72.69980822316866
electricity,shape,STEP6_D17,C0,SEASONAL,81553,73.40032142044186
electricity,shape,STEP6_D17,C3,C0,81551,0.1471594722482705
electricity,shape,STEP6_D17,C3,C0,81552,4.588879189288331
electricity,shape,STEP6_D17,C3,C0,81553,2.1560020931092216
electricity,shape,STEP6_D17,C3,C2,81551,1.4081045886199073
electricity,shape,STEP6_D17,C3,C2,81552,0.1432481973244304
electricity,shape,STEP6_D17,C3,C2,81553,0.1125686278717674
electricity,shape,STEP6_D17,C3,M_RECENCY,81551,0.3562518146442595
electricity,shape,STEP6_D17,C3,M_RECENCY,81552,0.4047039188666557
electricity,shape,STEP6_D17,C3,M_RECENCY,81553,-0.004590779564495
electricity,shape,STEP6_D17,C3,F0,81551,38.6032588335078
electricity,shape,STEP6_D17,C3,F0,81552,39.71956316293153
electricity,shape,STEP6_D17,C3,F0,81553,39.7686948632786
electricity,shape,STEP6_D17,C3,PERSISTENCE,81551,53.08529720523664
electricity,shape,STEP6_D17,C3,PERSISTENCE,81552,53.93829175915612
electricity,shape,STEP6_D17,C3,PERSISTENCE,81553,53.97583445402543
electricity,shape,STEP6_D17,C3,SEASONAL,81551,73.47022145631418
electricity,shape,STEP6_D17,C3,SEASONAL,81552,73.95258104225148
electricity,shape,STEP6_D17,C3,SEASONAL,81553,73.97381104737745
electricity,shape,STEP6_D17,FIX_C3_GC3,FIX_C2_GC2,81551,2.2992237159476736
electricity,shape,STEP6_D17,FIX_C3_GC3,FIX_C2_GC2,81552,0.3516869113671439
electricity,shape,STEP6_D17,FIX_C3_GC3,FIX_C2_GC2,81553,0.1125686278717452
electricity,shape,STEP6_D17,FIX_C3_GC3,FIX_C3_GC2,81551,0.963784793011324
electricity,shape,STEP6_D17,FIX_C3_GC3,FIX_C3_GC2,81552,3.8637004698084287
electricity,shape,STEP6_D17,FIX_C3_GC3,FIX_C3_GC2,81553,-0.0819096727267432
electricity,shape,STEP6_D17,FIX_C3_GC3,FIX_C2_GC3,81551,-0.663239973016938
electricity,shape,STEP6_D17,FIX_C3_GC3,FIX_C2_GC3,81552,1.3346350934395734
electricity,shape,STEP6_D17,FIX_C3_GC3,FIX_C2_GC3,81553,0.9007365374835152
electricity,shape,STEP6_D63,C0,F0,81551,13.335055402957996
electricity,shape,STEP6_D63,C0,F0,81552,18.25291764430115
electricity,shape,STEP6_D63,C0,F0,81553,14.271899848745594
electricity,shape,STEP6_D63,C0,PERSISTENCE,81551,60.30588990917845
electricity,shape,STEP6_D63,C0,PERSISTENCE,81552,62.55835964912948
electricity,shape,STEP6_D63,C0,PERSISTENCE,81553,60.73498158796477
electricity,shape,STEP6_D63,C0,SEASONAL,81551,14.32786128510466
electricity,shape,STEP6_D63,C0,SEASONAL,81552,19.18938606978071
electricity,shape,STEP6_D63,C0,SEASONAL,81553,15.25397354060749
electricity,shape,STEP6_D63,C3,C0,81551,2.5048964865354684
electricity,shape,STEP6_D63,C3,C0,81552,-1.8936931941689883
electricity,shape,STEP6_D63,C3,C0,81553,1.7165362584991684
electricity,shape,STEP6_D63,C3,C2,81551,-0.2230757956208418
electricity,shape,STEP6_D63,C3,C2,81552,-1.7011864637004326
electricity,shape,STEP6_D63,C3,C2,81553,-0.4815133782659409
electricity,shape,STEP6_D63,C3,M_RECENCY,81551,-0.1281093447383252
electricity,shape,STEP6_D63,C3,M_RECENCY,81552,-0.2015868410074395
electricity,shape,STEP6_D63,C3,M_RECENCY,81553,-0.0935556953930438
electricity,shape,STEP6_D63,C3,F0,81551,15.505922555227214
electricity,shape,STEP6_D63,C3,F0,81552,16.704878709299564
electricity,shape,STEP6_D63,C3,F0,81553,15.743453771564353
electricity,shape,STEP6_D63,C3,PERSISTENCE,81551,61.30018627820496
electricity,shape,STEP6_D63,C3,PERSISTENCE,81552,61.84932985401981
electricity,shape,STEP6_D63,C3,PERSISTENCE,81553,61.408979865913714
electricity,shape,STEP6_D63,C3,SEASONAL,81551,16.473859677713865
electricity,shape,STEP6_D63,C3,SEASONAL,81552,17.65908097361798
