panel,kind,condition,comparison,A,B,C,D,total,gate,weights,interaction,total_low,total_high,gate_low,gate_high,weights_low,weights_high
neso_2025,shape,STEP12_D63,C3_vs_C2_fixed1024,0.3494384789785594,0.3729694461961377,0.3499006972133563,0.3440512657115203,-0.0053872132670391,0.0088407678578711,-0.0142279811249102,-0.0293803987194142,-0.0087226049358263,-0.0024034767937992,0.0049616503617633,0.0130160400955469,-0.0198926675922403,-0.0090118249512894
neso_2025,shape,STEP12_D63,C3_vs_RECENCY_selected,0.3563998984220011,0.3563998984220011,0.3543357077781928,0.3543357077781928,-0.0020641906438083,0.0,-0.0020641906438083,0.0,-0.0026732940942032,-0.001555038042837,-2.775557561562892e-17,5.551115123125783e-17,-0.0026732940942032,-0.001555038042837
neso_2025,shape,STEP6_D17,C3_vs_C2_fixed1024,0.3454942913403269,0.3468447851905672,0.356054820793628,0.3552474969802781,0.0097532056399512,0.0002715850184452,0.009481620621506,-0.0021578176635901,0.0051939418603378,0.0145425186358196,-0.0042947792649068,0.0053430186420888,0.0064284774328132,0.0127594721727973
neso_2025,shape,STEP6_D17,C3_vs_RECENCY_selected,0.3463566723537374,0.3463566723537374,0.3482350183461913,0.3482350183461912,0.0018783459924538,-2.775557561562892e-17,0.0018783459924538,-5.551115123125783e-17,0.0011910823689933,0.0026025988640367,-2.775557561562892e-17,5.551115123125783e-17,0.0011910823689933,0.0026025988640367
neso_2025,shape,STEP6_D63,C3_vs_C2_fixed1024,0.308947167866097,0.3142570511293568,0.3117982088177863,0.3066797855258216,-0.0022673823402754,9.572998564752466e-05,-0.0023631123259229,-0.0104283065552245,-0.0040566460793958,-0.0008302323010488,-0.0019178972849426,0.0019984767317207,-0.005129034988044,0.000352330915515
neso_2025,shape,STEP6_D63,C3_vs_RECENCY_selected,0.3116395469696454,0.3116395469696454,0.3110309688957831,0.3110309688957831,-0.0006085780738622,0.0,-0.0006085780738622,0.0,-0.0010464434141287,-0.0002491579736022,-5.551115123125783e-17,2.775557561562892e-17,-0.0010464434141288,-0.0002491579736022
neso_2025,shape,STEP8_D31,C3_vs_C2_fixed1024,0.3144918457991204,0.3196933623453784,0.3199874226485905,0.3191852675514202,0.0046934217522997,0.0021996807245438,0.0024937410277559,-0.0060036716434283,0.0032301646694207,0.0062728136305145,-0.0020699323837644,0.0064083679187986,-0.000754560097927,0.0059317974774821
neso_2025,shape,STEP8_D31,C3_vs_RECENCY_selected,0.3138059791290283,0.3138059791290283,0.3138480972137751,0.3138480972137751,4.2118084746745055e-05,0.0,4.2118084746745055e-05,0.0,-0.0003480675945837,0.0004239914454646,-5.551115123125783e-17,5.551115123125783e-17,-0.0003480675945837,0.0004239914454647
neso_2025,shape,STEP8_D33,C3_vs_C2_fixed1024,0.3265819940211826,0.3287795653698677,0.3349862658674414,0.3361896867154929,0.0096076926943102,0.0017004960983682,0.007907196595942,-0.0009941505006335,0.0072378307794274,0.0119861494413891,-0.0030897406733943,0.0062107556768134,0.0048714156564619,0.0113397897537007
neso_2025,shape,STEP8_D33,C3_vs_RECENCY_selected,0.3240389428615256,0.3240389428615257,0.3249829569434537,0.3249829569434537,0.000944014081928,2.775557561562892e-17,0.000944014081928,-5.551115123125783e-17,0.0004948529740039,0.0014035513792672,-5.551115123125783e-17,5.551115123125783e-17,0.0004948529740038,0.0014035513792672
neso_2025,standard,FAULT,C3_vs_C2_fixed1024,0.2362269078608316,0.2360852559112773,0.235981338412522,0.2359715978648445,-0.0002553099959871,-7.569624861591961e-05,-0.0001796137473711,0.0001319114018766,-0.0008132880040383,0.0003494749745457,-0.0002457923541221,2.4337449086433267e-05,-0.000785504955941,0.0005641898536749
neso_2025,standard,FAULT,C3_vs_RECENCY_selected,0.2359826066275573,0.2358422126684147,0.2354702229524191,0.2353912445413425,-0.0005913620862147,-0.0001096861851096,-0.0004816759011051,6.141554806607386e-05,-0.0008026497499412,-0.0003656508726938,-0.0001982249269652,-2.6102819666189287e-05,-0.0006764493765838,-0.0002753885353026
neso_2025,standard,REFERENCE,C3_vs_C2_fixed1024,0.2260649267965434,0.2260649267965434,0.22577181686762,0.22577181686762,-0.0002931099289233,0.0,-0.0002931099289233,0.0,-0.0006260546481257,3.708264096789685e-05,0.0,0.0,-0.0006260546481257,3.708264096789685e-05
neso_2025,standard,REFERENCE,C3_vs_RECENCY_selected,0.2261918813511161,0.2261918813511161,0.2258138260313665,0.2258138260313665,-0.0003780553197495,0.0,-0.0003780553197495,-5.551115123125783e-17,-0.0005712252900768,-0.0001640854473655,-2.775557561562892e-17,4.163336342344337e-17,-0.0005712252900767,-0.0001640854473655
neso_2025,standard,SHIFT4,C3_vs_C2_fixed1024,0.2951791010767027,0.2961604221342034,0.2993863661552931,0.2986430991695575,0.0034639980928548,0.0001190270358825,0.0033449710569722,-0.0017245880432362,0.0011797048319965,0.0056873327042608,-0.0016118355119803,0.0018763483457674,0.0014872116100047,0.0052573547395198
neso_2025,standard,SHIFT4,C3_vs_RECENCY_selected,0.2956445851737401,0.2951465518586395,0.2962164759127538,0.2954806259993928,-0.0001639591743473,-0.0006169416142307,0.0004529824398834,-0.0002378165982603,-0.0009905479306186,0.0005638593755239,-0.0012389947159696,-0.0001325230870261,7.787072269593162e-06,0.0008889655519594
neso_2025,standard,SHIFT8,C3_vs_C2_fixed1024,0.310783519370598,0.3144562536811107,0.3196756312906941,0.3159138945461646,0.0051303751755666,-4.450121700838583e-05,0.005174876392575,-0.0074344710550421,0.0027586577538674,0.0075632666386518,-0.0042380555869375,0.00440421721906,0.0020536127833318,0.0079820029971257
neso_2025,standard,SHIFT8,C3_vs_RECENCY_selected,0.3107266424424096,0.3107266424424096,0.310389667800121,0.3103896678001209,-0.0003369746422886,0.0,-0.0003369746422886,-1.1102230246251563e-16,-0.0008842246263264,0.0001825603876153,-5.551115123125783e-17,5.551115123125783e-17,-0.0008842246263264,0.0001825603876152
neso_2025,standard,SHIFT_POINT,C3_vs_C2_fixed1024,0.327691183750786,0.3276676672248457,0.332348311190976,0.3302309128225101,0.0025397290717241,-0.001070457447203,0.0036101865189271,-0.0020938818425256,-0.0001227678849115,0.0051228980233027,-0.0031726403996912,0.0008228320886413,0.0015231595758108,0.0060948832485663
