panel,stage,arm,seed,condition,checkpoint_step,absolute_correction_nmae,response_distortion_from_B0,ideal_response_error,B0_ideal_response_error,mean_response_to_true_shift_ratio
electricity,selected,MAG_ONLY,81551,SHIFT4,768,0.0211677748367506,0.017735343526428277,0.08334229868497407,0.08721174576660029,0.985589761429546
electricity,selected,MAG_ONLY,81551,SHIFT8,768,0.039206859600098044,0.03566990315724094,0.10537014499496575,0.11185574677691051,0.9927715884380234
electricity,selected,MAG_ONLY,81551,SHIFT_POINT,768,0.021958084979733172,0.018897860979741818,,,
electricity,fixed1024,MAG_ONLY,81552,REFERENCE,1024,0.009990687590597222,0.0,,,
electricity,fixed1024,MAG_ONLY,81552,SHIFT4,1024,0.021834482133058587,0.020091114530631837,0.08291067458650567,0.08514232178604397,0.9872673664803344
electricity,fixed1024,MAG_ONLY,81552,SHIFT8,1024,0.03363525630611628,0.03430358509687396,0.1089843042083384,0.12192197573638969,0.9896535969309908
electricity,fixed1024,MAG_ONLY,81552,SHIFT_POINT,1024,0.023334323726390764,0.02199423743361229,,,
electricity,selected,MAG_ONLY,81552,REFERENCE,768,0.009726170691452315,0.0,,,
electricity,selected,MAG_ONLY,81552,SHIFT4,768,0.025543626303692224,0.023134446681034787,0.08389594635474228,0.08514232178604397,0.9917963854870084
electricity,selected,MAG_ONLY,81552,SHIFT8,768,0.04252318330626979,0.04232359627183003,0.10747729191120987,0.12192197573638969,0.9939743636570744
electricity,selected,MAG_ONLY,81552,SHIFT_POINT,768,0.02751514179256793,0.025487605404459025,,,
electricity,fixed1024,PLAIN,81551,REFERENCE,1024,0.009759533922529578,0.0,,,
electricity,fixed1024,PLAIN,81551,SHIFT4,1024,0.033612478651786896,0.03139468733086585,0.08309535563870529,0.08721174576660029,0.9758793783919102
electricity,fixed1024,PLAIN,81551,SHIFT8,1024,0.053011245058816096,0.0498281506689759,0.11257818961895943,0.11185574677691051,0.9832434005831191
electricity,fixed1024,PLAIN,81551,SHIFT_POINT,1024,0.032648065723351674,0.030585526250424273,,,
electricity,selected,PLAIN,81551,REFERENCE,512,0.009279489899171956,0.0,,,
electricity,selected,PLAIN,81551,SHIFT4,512,0.02688223409137354,0.02289462532817552,0.08249744522628888,0.08721174576660029,0.983696636746635
electricity,selected,PLAIN,81551,SHIFT8,512,0.046186363187893695,0.041064134428882765,0.10676981740460746,0.11185574677691051,0.991544159631691
electricity,selected,PLAIN,81551,SHIFT_POINT,512,0.026276968349473802,0.02268349382713857,,,
electricity,fixed1024,PLAIN,81552,REFERENCE,1024,0.008962657329104727,0.0,,,
electricity,fixed1024,PLAIN,81552,SHIFT4,1024,0.020898921836355312,0.017396802736600003,0.08338121439567772,0.08514232178604397,0.9811315625671518
electricity,fixed1024,PLAIN,81552,SHIFT8,1024,0.026590841647187058,0.024998268466159032,0.11556988225176087,0.12192197573638969,0.9829209982397643
electricity,fixed1024,PLAIN,81552,SHIFT_POINT,1024,0.02317224102019805,0.019823815006061604,,,
electricity,selected,PLAIN,81552,REFERENCE,1024,0.008962657329104727,0.0,,,
electricity,selected,PLAIN,81552,SHIFT4,1024,0.020898921836355312,0.017396802736600003,0.08338121439567772,0.08514232178604397,0.9811315625671518
electricity,selected,PLAIN,81552,SHIFT8,1024,0.026590841647187058,0.024998268466159032,0.11556988225176087,0.12192197573638969,0.9829209982397643
electricity,selected,PLAIN,81552,SHIFT_POINT,1024,0.02317224102019805,0.019823815006061604,,,
electricity,fixed1024,SHUFFLE,81551,REFERENCE,1024,4.826863391596256e-05,0.0,,,
electricity,fixed1024,SHUFFLE,81551,SHIFT4,1024,0.00017432322231395977,0.00017451942067471358,0.08720138277860931,0.08721174576660029,0.9867190553645404
electricity,fixed1024,SHUFFLE,81551,SHIFT8,1024,0.0003536921879441663,0.00035316813702973376,0.11191682017667068,0.11185574677691051,0.9899888199303108
electricity,fixed1024,SHUFFLE,81551,SHIFT_POINT,1024,0.00017022078679150102,0.00016912901942426278,,,
electricity,selected,SHUFFLE,81551,REFERENCE,768,6.095832313442129e-05,0.0,,,
electricity,selected,SHUFFLE,81551,SHIFT4,768,0.0002863445086160219,0.00025032328370492153,0.08719992938957984,0.08721174576660029,0.9869595620967737
electricity,selected,SHUFFLE,81551,SHIFT8,768,0.0006251756418797754,0.0005927698044318407,0.11169941598594718,0.11185574677691051,0.9902813102039456
electricity,selected,SHUFFLE,81551,SHIFT_POINT,768,0.0002954508180027978,0.00025744729393241964,,,
electricity,fixed1024,SHUFFLE,81552,REFERENCE,1024,0.00012472885711558147,0.0,,,
electricity,fixed1024,SHUFFLE,81552,SHIFT4,1024,0.001182763101195659,0.0011680511893495222,0.08503131303947428,0.08514232178604397,0.9786338170989808
electricity,fixed1024,SHUFFLE,81552,SHIFT8,1024,0.0027016038226448363,0.0027005141793081102,0.12082522796528017,0.12192197573638969,0.9823282375505595
electricity,fixed1024,SHUFFLE,81552,SHIFT_POINT,1024,0.0011853683100083057,0.001179978011195895,,,
electricity,selected,SHUFFLE,81552,REFERENCE,1024,0.00012472885711558147,0.0,,,
electricity,selected,SHUFFLE,81552,SHIFT4,1024,0.001182763101195659,0.0011680511893495222,0.08503131303947428,0.08514232178604397,0.9786338170989808
electricity,selected,SHUFFLE,81552,SHIFT8,1024,0.0027016038226448363,0.0027005141793081102,0.12082522796528017,0.12192197573638969,0.9823282375505595
electricity,selected,SHUFFLE,81552,SHIFT_POINT,1024,0.0011853683100083057,0.001179978011195895,,,
electricity,fixed1024,TRP,81551,REFERENCE,1024,6.033995898951839e-05,0.0,,,
electricity,fixed1024,TRP,81551,SHIFT4,1024,4.6538562928344795e-05,5.228485302701284e-05,0.08722211220897527,0.08721174576660029,0.9868301891674072
electricity,fixed1024,TRP,81551,SHIFT8,1024,5.335286129093545e-05,6.56744067433428e-05,0.1118683799979352,0.11185574677691051,0.990111089443794
electricity,fixed1024,TRP,81551,SHIFT_POINT,1024,4.9347913076828854e-05,5.203734422599939e-05,,,
electricity,selected,TRP,81551,REFERENCE,768,5.143242352914156e-05,0.0,,,
electricity,selected,TRP,81551,SHIFT4,768,9.38517290297787e-05,5.434372407590757e-05,0.08721153447636384,0.08721174576660029,0.9868191215048605
electricity,selected,TRP,81551,SHIFT8,768,0.00012440763910105123,8.40713797014498e-05,0.11185737514823006,0.11185574677691051,0.9901002713721943
electricity,selected,TRP,81551,SHIFT_POINT,768,9.766528123266767e-05,5.871351659895791e-05,,,
electricity,fixed1024,TRP,81552,REFERENCE,1024,3.626314138979972e-05,0.0,,,
electricity,fixed1024,TRP,81552,SHIFT4,1024,4.852226413857707e-05,3.684438631031337e-05,0.08513971330684361,0.08514232178604397,0.9778393766890452
electricity,fixed1024,TRP,81552,SHIFT8,1024,5.57942561560732e-05,4.6259416266425726e-05,0.12192137450161192,0.12192197573638969,0.9814505241196294
electricity,fixed1024,TRP,81552,SHIFT_POINT,1024,5.1287822003684946e-05,3.9129550651009136e-05,,,
electricity,selected,TRP,81552,REFERENCE,768,3.5903060011247014e-05,0.0,,,
electricity,selected,TRP,81552,SHIFT4,768,3.6807409750788734e-05,3.0755703732968396e-05,0.08514084295999402,0.08514232178604397,0.9778639331023279
electricity,selected,TRP,81552,SHIFT8,768,3.7915047417021785e-05,3.8471569748384435e-05,0.12191490086618055,0.12192197573638969,0.9814610098213099
