arm,seed,lead,pinball,raw_pinball,nmae,raw_mae,coverage,width,crossing
A_TIME,92402,43,0.1989283668755477,32.69482082437585,0.2638403043940076,42.92470355828603,0.8229166666666666,0.7843030095100403,0.0
A_TIME,92402,44,0.17896924680949655,34.216681669376506,0.23809392968185095,45.003093322118126,0.84375,0.7897984981536865,0.0
A_TIME,92402,45,0.20967815734599893,38.38021307962912,0.27326908233896957,50.527867714564,0.78125,0.7823190093040466,0.0
A_TIME,92402,46,0.19413474513803627,38.74197724483631,0.24818876537071669,49.52077762285868,0.8020833333333334,0.7715075612068176,0.0
A_TIME,92402,47,0.2044615063888354,43.42363708372469,0.2557276785500514,53.80387282371521,0.7708333333333334,0.7434446215629578,0.0
A_TIME,92402,48,0.20467086203868082,37.26166712972853,0.2586233916944342,47.098032315572105,0.8125,0.7377660274505615,0.0
A_TIME,92402,49,0.19500747127007448,31.68140335966039,0.24579677037452496,39.026517947514854,0.8229166666666666,0.7234039306640625,0.0
A_TIME,92402,50,0.17746865093572825,29.961995758833705,0.2265092014299431,38.545170625050865,0.8229166666666666,0.7348370552062988,0.0
A_TIME,92402,51,0.16938967115503378,29.27425387258883,0.2161354418639813,37.55459860960642,0.8020833333333334,0.7636651396751404,0.0
A_TIME,92402,52,0.19098433593305897,34.81178998152415,0.2405678536469661,44.67287961641947,0.7916666666666666,0.7765135169029236,0.0
A_TIME,92402,53,0.16129379338204478,30.364595862671184,0.2012060182719161,38.939925948778786,0.875,0.7618638873100281,0.0
A_TIME,92402,54,0.16970956148613925,28.95499732582657,0.21473396807762038,36.86081333955129,0.84375,0.756979763507843,0.0
A_TIME,92402,55,0.16694262103878346,30.572454212330005,0.21354553510911023,38.34369667371114,0.7916666666666666,0.7443286776542664,0.0
A_TIME,92402,56,0.17262484182078888,27.351777741644117,0.2170067717337355,34.01841223239899,0.8333333333333334,0.7463952898979187,0.0
A_TIME,92402,57,0.16338944055620483,25.35778624658231,0.20251498384572833,32.26468380292257,0.8229166666666666,0.7589533925056458,0.0
A_TIME,92402,58,0.18108821516128326,27.241048928543375,0.22855911491079794,35.22848502794901,0.8541666666666666,0.7984890937805176,0.0
A_TIME,92402,59,0.17254777253484133,29.14410702829008,0.22848538748370453,38.51585408051809,0.8854166666666666,0.8306248784065247,0.0
A_TIME,92402,60,0.22252819648458244,45.26186385507936,0.2828245670252737,57.00499709447225,0.78125,0.8462598919868469,0.0
A_TIME,92402,61,0.25146351143574247,50.092350468812164,0.3130885989713115,61.98646831512451,0.8020833333333334,0.8340786099433899,0.0
A_TIME,92402,62,0.24542087048991987,48.5126301685969,0.29908267643775804,58.02565264701843,0.71875,0.8338894248008728,0.0
A_TIME,92402,63,0.21338364284395087,39.91126022780384,0.267472627077936,49.555646101633705,0.7916666666666666,0.8323844075202942,0.0
A_TIME,92402,64,0.20572345979685067,34.56443980358265,0.2681610612592971,44.701824029286705,0.8229166666666666,0.8192582130432129,0.0
G0,92401,1,0.10711780205266569,17.7800506900858,0.1332552621486221,22.515282948811848,0.8854166666666666,0.5112687945365906,0.0
G0,92401,2,0.12159837280642909,20.72372093730503,0.15903769470693865,26.965575496355694,0.8645833333333334,0.554543137550354,0.0
G0,92401,3,0.14032219120873612,23.186514027913415,0.18385308994754965,30.234973669052124,0.8333333333333334,0.5983344912528992,0.0
G0,92401,4,0.14560250380037257,23.76196471938381,0.1871988459602145,30.35510178407033,0.8645833333333334,0.6185842156410217,0.0
G0,92401,5,0.1296398340851214,22.741582939359876,0.16346829716484682,28.344921350479126,0.8541666666666666,0.6130419969558716,0.0
G0,92401,6,0.13333469626564046,21.28076143353074,0.17304328337603173,28.173172911008198,0.8958333333333334,0.6162175536155701,0.0
G0,92401,7,0.15507837103758795,26.665697096012256,0.1967044635344347,32.93294791380564,0.8020833333333334,0.6117350459098816,0.0
G0,92401,8,0.13885044254534976,22.387471136340384,0.1790547667856215,28.856860359509785,0.8541666666666666,0.6165860295295715,0.0
G0,92401,9,0.14014271726852426,20.457233982616,0.17563545566271413,25.80541718006134,0.875,0.6290425062179565,0.0
G0,92401,10,0.14614386899417214,23.567659924648428,0.19222523008757775,31.878376960754395,0.8854166666666666,0.6554955244064331,0.0
G0,92401,11,0.13570865290767037,21.318714632811368,0.169656072437584,26.551494240760803,0.875,0.687077522277832,0.0
G0,92401,12,0.15443080485900654,25.035254827252146,0.19021571843781385,30.704296867052715,0.8333333333333334,0.7019665837287903,0.0
G0,92401,13,0.1818432043428558,34.330453401141696,0.2312291664559303,42.85017534097036,0.8125,0.6839606165885925,0.0
G0,92401,14,0.17694023692234292,33.524158753289115,0.21750176569132776,41.94358813762665,0.7708333333333334,0.6818848252296448,0.0
G0,92401,15,0.18334446902629406,30.344019730885822,0.2321392129676844,38.19727019468943,0.7916666666666666,0.6819519996643066,0.0
G0,92401,16,0.16779339388790082,24.416222849598636,0.20809075969484744,29.393110911051433,0.8020833333333334,0.6773247718811035,0.0
G0,92401,17,0.16321245929532643,25.98302838978944,0.201835713909485,32.17919810612997,0.78125,0.669688880443573,0.0
G0,92401,18,0.1749765068363508,25.253005035718285,0.21984188768452925,31.082937161127727,0.8020833333333334,0.6732833981513977,0.0
G0,92401,19,0.18379719173175454,29.931507179472177,0.22312776268967702,35.64518368244171,0.7916666666666666,0.6814588904380798,0.0
G0,92401,20,0.19157021925693982,34.34373767905765,0.2431686314770174,43.61587540308634,0.78125,0.6860352158546448,0.0
G0,92401,21,0.20113281971954425,39.45119893285963,0.24811273248022483,49.59300557772318,0.7083333333333334,0.6802082061767578,0.0
G0,92401,22,0.18077399121853702,38.14814590701351,0.22857046809653248,47.12810424963633,0.75,0.6764798164367676,0.0
G0,92401,23,0.22127568063439162,47.3537707293475,0.27404226949532234,57.920918901761375,0.71875,0.6565880179405212,0.0
G0,92401,24,0.22819128231272248,42.50133927486561,0.2798807220990062,52.17366774876913,0.7083333333333334,0.6524046063423157,0.0013020833333333333
