role,origin,queries,bank_candidates,seconds
V_CAL,12283,4,423,0.012216011993587017
V_CAL,12284,4,423,0.012910340999951586
V_CAL,12285,4,423,0.014135462988633662
V_CAL,12286,4,423,0.011329086002660915
V_CAL,12287,4,423,0.013283276988659054
V_CAL,12288,4,423,0.011768341006245464
V_CAL,12289,4,423,0.010124085994902998
V_CAL,12290,4,423,0.013512849021935835
V_CAL,12291,4,423,0.012732284987578169
V_CAL,12292,4,423,0.011723255011020228
V_CAL,12293,4,423,0.014768735010875389
V_CAL,12294,4,423,0.010533797991229221
V_CAL,12295,4,423,0.012232738983584568
V_CAL,12296,4,423,0.010274163010763004
V_CAL,12297,4,423,0.010759477008832619
V_CAL,12298,4,423,0.012339515989879146
V_CAL,12299,4,423,0.011402137024560943
V_CAL,12300,4,423,0.010008042998379096
V_CAL,12301,4,423,0.012898941989988089
V_CAL,12302,4,423,0.011273048003204167
V_CAL,12303,4,423,0.009747840987984091
V_CAL,13968,4,423,0.012694802018813789
V_CAL,13969,4,423,0.010930673975963145
V_CAL,13970,4,423,0.010034658014774323
V_CAL,13971,4,423,0.01336614100728184
V_CAL,13972,4,423,0.014252297987695783
V_CAL,13973,4,423,0.013875846023438498
V_CAL,13974,4,423,0.012232527980813757
V_CAL,13975,4,423,0.011665744008496404
E_DISCOVERY,14035,4,423,0.021018194005591795
E_DISCOVERY,14036,4,423,0.01756138401106
E_DISCOVERY,14037,4,423,0.02154394201352261
E_DISCOVERY,14038,4,423,0.021144419006304815
E_DISCOVERY,14039,4,423,0.02223068699822761
E_DISCOVERY,14040,4,423,0.023247917008120567
E_DISCOVERY,14041,4,423,0.020953296014340594
E_DISCOVERY,14042,4,423,0.017149301012977958
E_DISCOVERY,14043,4,423,0.01772462800727226
E_DISCOVERY,14044,4,423,0.016772460017818958
E_DISCOVERY,14045,4,423,0.01871348198619671
E_DISCOVERY,14046,4,423,0.015107793995412067
E_DISCOVERY,14047,4,423,0.01794833500753157
E_DISCOVERY,14048,4,423,0.015778204979142174
E_DISCOVERY,14049,4,423,0.01923059599357657
E_DISCOVERY,14050,4,423,0.016776348988059908
E_DISCOVERY,14051,4,423,0.019929670001147315
E_DISCOVERY,14052,4,423,0.017554553982336074
E_DISCOVERY,14053,4,423,0.018705240974668413
E_DISCOVERY,14054,4,423,0.015775725012645125
E_DISCOVERY,14055,4,423,0.018603450007503852
E_DISCOVERY,14056,4,423,0.017763921001460403
E_DISCOVERY,14057,4,423,0.01820247300202027
E_DISCOVERY,14058,4,423,0.01786431099753827
E_DISCOVERY,15745,4,423,0.015516651998041198
E_DISCOVERY,15746,4,423,0.018314821005333215
E_DISCOVERY,15747,4,423,0.016887246019905433
E_DISCOVERY,15748,4,423,0.017918186000315472
E_DISCOVERY,15749,4,423,0.016010469989851117
E_DISCOVERY,15750,4,423,0.01906850701197982
E_DISCOVERY,15751,4,423,0.015074399998411536
E_DISCOVERY,15752,4,423,0.018960861983941868
E_DISCOVERY,15753,4,423,0.01667174798785709
E_DISCOVERY,15754,4,423,0.01709140100865625
E_DISCOVERY,15755,4,423,0.01589623899781145
E_DISCOVERY,15756,4,423,0.01921349298208952
E_DISCOVERY,15757,4,423,0.016110159020172432
E_DISCOVERY,15758,4,423,0.019151073996908963
E_DISCOVERY,15759,4,423,0.016305854980600998
E_DISCOVERY,15768,4,423,0.020267660991521552
E_DISCOVERY,17473,4,423,0.015985270991222933
E_DISCOVERY,17474,4,423,0.018744294997304678
E_DISCOVERY,17475,4,423,0.01563506800448522
E_DISCOVERY,17476,4,423,0.017636700009461492
E_DISCOVERY,17477,4,423,0.01658373200916685
E_DISCOVERY,17478,4,423,0.017711245018290356
E_DISCOVERY,17479,4,423,0.019575109996367246
E_DISCOVERY,17480,4,423,0.01773627198417671
E_DISCOVERY,17481,4,423,0.018237094016512856
E_DISCOVERY,17482,4,423,0.016494700976181775
E_DISCOVERY,17483,4,423,0.017944800987606868
E_DISCOVERY,17484,4,423,0.015895980002824217
E_DISCOVERY,17485,4,423,0.01821147499140352
E_DISCOVERY,17486,4,423,0.015880193997872993
E_DISCOVERY,17487,4,423,0.01841596799204126
E_DISCOVERY,17488,4,423,0.01624036900466308
E_DISCOVERY,17489,4,423,0.016654253005981445
E_DISCOVERY,17490,4,423,0.017499221983598545
E_DISCOVERY,17491,4,423,0.019872114004101604
E_DISCOVERY,17492,4,423,0.015133526991121471
E_DISCOVERY,17493,4,423,0.018569757987279445
E_DISCOVERY,17494,4,423,0.01602351901237853
E_DISCOVERY,17495,4,423,0.017843351990450174
E_DISCOVERY,17496,4,423,0.01600108199636452
