panel,kind,condition,contexts,gate_equal_fraction,mean_gate_gap,mean_C3_gate,mean_MAG_gate,extreme_fraction,mean_longest_run,gap_mass,gap_mass_short_runs,gap_recent128,gap_recent32,short_run_mass_fraction,recent128_mass_fraction,recent32_mass_fraction
electricity,standard,SHIFT_POINT,1024,0.0,0.03458409,0.9442521,0.90966797,0.09033203,19.9130859375,18132.023,18132.023,8412.375,5750.0,1.0,0.46395126,0.3171185
electricity_transfer,shape,PAIRED_SHIFT8_D32,2048,0.0,0.020827057,0.9283912,0.90756416,0.09243584,31.5224609375,21838.752,21838.752,10469.625,7436.125,1.0,0.47940582,0.34050137
electricity_transfer,shape,PULSE8_D32,2048,0.0,0.020827057,0.9283912,0.90756416,0.09243584,31.5224609375,21838.752,21838.752,10469.625,7436.125,1.0,0.47940582,0.34050137
electricity_transfer,shape,RAMP8_D32,2048,0.0,0.021989336,0.9546447,0.93265533,0.067344666,17.44482421875,23057.49,23057.49,11365.125,8239.25,1.0,0.49290383,0.35733506
electricity_transfer,shape,STEP12_D17,2048,0.0,0.022660848,0.9555241,0.93286324,0.067136765,17.01318359375,23761.621,23761.621,11055.125,7708.375,1.0,0.4652513,0.32440442
electricity_transfer,shape,STEP12_D63,2048,0.0,0.017391654,0.8718667,0.854475,0.14552498,62.0859375,18236.47,18236.47,9326.375,356.125,1.0,0.5114134,0.019528175
electricity_transfer,shape,STEP6_D17,2048,0.0,0.022726651,0.9560915,0.93336487,0.06663513,16.66845703125,23830.621,23830.621,11123.5,7776.75,1.0,0.4667734,0.32633433
electricity_transfer,shape,STEP6_D63,2048,0.0,0.019662611,0.8808849,0.86122227,0.13877773,52.02099609375,20617.742,20617.742,11691.75,1867.875,1.0,0.5670723,0.09059551
electricity_transfer,shape,STEP8_D31,2048,0.0,0.02091554,0.93021446,0.9092989,0.0907011,30.56201171875,21931.533,21931.533,10493.75,7445.5,1.0,0.47847772,0.33948836
electricity_transfer,shape,STEP8_D33,2048,0.0,0.020726904,0.92657924,0.9058523,0.09414768,32.49267578125,21733.734,21733.734,10431.5,5682.625,1.0,0.47996813,0.26146564
electricity_transfer,standard,BURST16,4096,0.001708984375,0.023623187,0.97179717,0.948174,0.051826,8.42138671875,49541.414,49541.414,12663.0,3048.875,1.0,0.25560433,0.061541945
electricity_transfer,standard,BURST4,4096,0.011962890625,0.022975316,0.9738959,0.9509206,0.04907942,6.984619140625,48182.73,48182.73,12479.25,2993.5,1.0,0.2589984,0.06212807
electricity_transfer,standard,BURST8,4096,0.0009765625,0.023703272,0.9717261,0.94802284,0.051977158,8.440673828125,49709.363,49709.363,12814.625,3134.625,1.0,0.25779098,0.06305905
electricity_transfer,standard,POINT16,4096,0.0,0.021102255,0.97937804,0.9582758,0.041724205,2.54638671875,44254.637,44254.637,11482.25,2864.0,1.0,0.2594587,0.064716384
electricity_transfer,standard,POINT4,4096,0.013427734375,0.020581415,0.9794504,0.958869,0.04113102,2.54736328125,43162.355,43162.355,11246.0,2832.75,1.0,0.26055112,0.06563011
electricity_transfer,standard,POINT8,4096,0.0,0.021140812,0.9793947,0.95825386,0.04174614,2.540771484375,44335.496,44335.496,11505.0,2886.0,1.0,0.25949863,0.06509457
electricity_transfer,standard,REFERENCE,4096,0.64990234375,0.018067064,0.97973984,0.9616728,0.038327217,1.912109375,37889.38,37889.38,9926.5,2494.25,1.0,0.26198635,0.06582979
electricity_transfer,standard,SHIFT4,4096,0.00146484375,0.025058884,0.9507977,0.9257388,0.07426119,16.44091796875,52552.29,52552.29,30047.25,24040.25,1.0,0.5717591,0.4574539
electricity_transfer,standard,SHIFT8,4096,0.0,0.020845458,0.928351,0.9075055,0.09249449,31.57470703125,43716.094,43716.094,20887.5,14803.625,1.0,0.47779888,0.338631
electricity_transfer,standard,SHIFT_POINT,4096,0.0,0.02827753,0.9506341,0.9223566,0.077643394,16.083984375,59302.277,59302.277,31548.25,24341.5,1.0,0.5319905,0.41046485
ettm1,shape,PAIRED_SHIFT8_D32,512,0.0,0.014759231,0.92158145,0.9068222,0.093177795,31.994140625,3869.044,3869.044,2197.75,1790.75,1.0,0.5680344,0.46284044
ettm1,shape,PULSE8_D32,512,0.0,0.014759231,0.92158145,0.9068222,0.093177795,31.994140625,3869.044,3869.044,2197.75,1790.75,1.0,0.5680344,0.46284044
ettm1,shape,RAMP8_D32,512,0.0,0.015096896,0.9459288,0.9308319,0.06916809,20.458984375,3957.5608,3957.5608,2245.75,1826.875,1.0,0.5674581,0.4616164
ettm1,shape,STEP12_D17,512,0.0,0.015593365,0.94689447,0.9313011,0.06869888,19.267578125,4087.707,4087.707,2260.5,1840.75,1.0,0.5529995,0.4503136
ettm1,shape,STEP12_D63,512,0.0,0.013302326,0.8656888,0.8523865,0.14761353,62.841796875,3487.125,3487.125,2042.125,16.0,1.0,0.5856185,0.004588307
ettm1,shape,STEP6_D17,512,0.0,0.015596226,0.94746953,0.9318733,0.06812668,19.220703125,4088.457,4088.457,2260.625,1841.75,1.0,0.5529286,0.45047557
ettm1,shape,STEP6_D63,512,0.0,0.014255524,0.8705597,0.85630417,0.14369583,58.005859375,3737.0,3737.0,2287.75,192.875,1.0,0.61218894,0.051612254
ettm1,shape,STEP8_D31,512,0.0,0.014815757,0.9233698,0.9085541,0.09144592,30.998046875,3883.8618,3883.8618,2206.75,1794.875,1.0,0.5681845,0.4621367
ettm1,shape,STEP8_D33,512,0.0,0.014701017,0.9197875,0.9050865,0.09491348,32.939453125,3853.7834,3853.7834,2192.75,1356.875,1.0,0.5689863,0.35208905
ettm1,standard,BURST16,1024,0.0009765625,0.016266763,0.9638719,0.94760513,0.052394867,12.4794921875,8528.469,8528.469,2128.625,529.75,1.0,0.24959053,0.062115487
ettm1,standard,BURST4,1024,0.02734375,0.015339267,0.96553266,0.9501934,0.049806595,11.650390625,8042.194,8042.194,2050.0,497.625,1.0,0.25490558,0.061876774
ettm1,standard,BURST8,1024,0.001953125,0.016139248,0.9640057,0.94786644,0.05213356,12.4501953125,8461.614,8461.614,2106.625,544.125,1.0,0.24896254,0.064305104
ettm1,standard,POINT16,1024,0.0,0.013220574,0.9712398,0.95801926,0.041980743,8.466796875,6931.388,6931.388,1756.625,450.125,1.0,0.2534305,0.064940095
ettm1,standard,POINT4,1024,0.0078125,0.012708116,0.9712271,0.958519,0.041481018,8.4951171875,6662.713,6662.713,1704.375,416.375,1.0,0.25580797,0.062493313
ettm1,standard,POINT8,1024,0.0,0.0132223675,0.9711291,0.9579067,0.042093277,8.4716796875,6932.3286,6932.3286,1710.5,424.5,1.0,0.24674249,0.061234836
ettm1,standard,REFERENCE,1024,0.4375,0.010020701,0.97118706,0.9611664,0.03883362,8.193359375,5253.7334,5253.7334,1343.0,338.75,1.0,0.25562775,0.06447796
ettm1,standard,SHIFT4,1024,0.0078125,0.01607281,0.9392696,0.9231968,0.07680321,22.7138671875,8426.781,8426.781,5109.875,4206.5,1.0,0.6063852,0.49918228
ettm1,standard,SHIFT8,1024,0.0,0.014964737,0.921354,0.90638924,0.09361076,32.0380859375,7845.832,7845.832,4503.125,3564.625,1.0,0.57395124,0.45433357
ettm1,standard,SHIFT_POINT,1024,0.0,0.019194914,0.940038,0.9208431,0.079156876,21.904296875,10063.663,10063.663,5461.25,4201.125,1.0,0.5426702,0.41745484
