panel,kind,condition,channel,A,D,total,gate,weights,interaction,contribution,leave_out_MAG_gain_pct
electricity,shape,STEP8_D33,0,0.3002349909447401,0.3005121203259084,-0.0002771293811683,-6.5460699016473e-05,-0.0002116686821518,-1.6362073702147484e-05,-6.928234529207655e-05,0.2371487666973951
electricity,shape,STEP8_D33,1,0.2334761674377703,0.2326956547129118,0.0007805127248585,-0.0005250362689744,0.0013055489938329,-0.000461907025177,0.0001951281812146,0.0324622577224301
electricity,shape,STEP8_D33,2,0.0215419097659998,0.02137963964664,0.0001622701193597,-0.0002211942505578,0.0003834643699176,-8.005465447024837e-05,4.056752983993932e-05,0.100632004089564
electricity,shape,STEP8_D33,3,0.2722826876444398,0.2719749832280345,0.0003077044164052,-0.0004574843042396,0.0007651887206449,-0.000193704914749,7.692610410131584e-05,0.1198828968689268
electricity,shape,RAMP8_D32,0,0.4446526727394957,0.445304866240374,-0.0006521935008783,-0.0009038152964684,0.0002516217955901,2.877191707900684e-05,-0.0001630483752195,0.4772094415618824
electricity,shape,RAMP8_D32,1,0.6624947852333327,0.6592663442469573,0.0032284409863754,0.0013120608391677,0.0019163801472076,0.0002115582759746,0.0008071102465938,0.2546867791600292
electricity,shape,RAMP8_D32,2,0.0845797130579211,0.0848120447607341,-0.000232331702813,5.875666927937506e-05,-0.0002910883720923,4.823885945304252e-06,-5.80829257032546e-05,0.3619240934368766
electricity,shape,RAMP8_D32,3,0.7475235760759759,0.7433873222352555,0.0041362538407203,0.0029994289989924,0.0011368248417278,0.0003435282713147,0.00103406346018,0.1966822473852645
electricity,shape,PULSE8_D32,0,1.7433002734726992,1.742746371063608,0.0005539024090912,0.0006434564407975,-8.955403170629594e-05,0.0002428016902937,0.0001384756022728,-0.0391122678130256
electricity,shape,PULSE8_D32,1,4.587758906701308,4.589170234091875,-0.0014113273905671,9.346302051049804e-05,-0.0015047904110776,0.0009642726652501,-0.0003528318476417,-0.0276290890406578
electricity,shape,PULSE8_D32,2,0.7932170906582797,0.7930850977199116,0.000131992938368,0.0007018512354104,-0.0005698582970423,0.0001943389861103,3.299823459201878e-05,-0.0320401027509757
electricity,shape,PULSE8_D32,3,4.889105262676941,4.891842789911784,-0.0027375272348422,-0.0014070808629722,-0.0013304463718699,0.0008466290762347,-0.0006843818087105,-0.0101825366609946
electricity,shape,PAIRED_SHIFT8_D32,0,0.3003590539620001,0.3005083729620397,-0.0001493190000395,8.031166554700597e-05,-0.0002296306655865,-1.5997777998988385e-06,-3.732975000989014e-05,0.1231293245052749
electricity,shape,PAIRED_SHIFT8_D32,1,0.2291574373877593,0.2287573939523591,0.0004000434354001,-0.0004846987642819,0.0008847421996821,-0.000701367061461,0.00010001085885,0.015263630976816
electricity,shape,PAIRED_SHIFT8_D32,2,0.0189284482406217,0.0188360480508742,9.240018974744288e-05,-0.0001274909221948,0.0002198911119422,-0.0001079501882319,2.310004743686072e-05,0.0496731965651903
electricity,shape,PAIRED_SHIFT8_D32,3,0.2712918415405638,0.2711447788786174,0.0001470626619463,-0.0004231641692621,0.0005702268312084,-0.0002781280925308,3.676566548659055e-05,0.0625631855340518
electricity_transfer,standard,REFERENCE,288,0.283635470244623,0.2838759857591699,-0.0002405155145468,0.0,-0.0002405155145468,0.0,-1.5032219659177892e-05,-0.0289968927822887
electricity_transfer,standard,REFERENCE,43,0.2606169575446399,0.2606569144058453,-3.995686120539244e-05,5.82431358864266e-06,-4.5781174794035095e-05,-3.2450359783720018e-06,-2.4973038253370272e-06,-0.0343586220733873
electricity_transfer,standard,REFERENCE,100,0.2264071585108935,0.2265703444687162,-0.0001631859578226,-9.261747041244828e-07,-0.0001622597831185,3.860925062992848e-08,-1.0199122363918275e-05,-0.0306607402686765
electricity_transfer,standard,REFERENCE,144,0.1965231247807777,0.1966330423231491,-0.0001099175423714,0.0,-0.0001099175423714,0.0,-6.869846398215029e-06,-0.0318592120126368
electricity_transfer,standard,REFERENCE,149,0.2110270791013832,0.2112227513067911,-0.0001956722054078,5.422847481242887e-06,-0.000201095052889,-2.6795771323195883e-06,-1.2229512837989842e-05,-0.0296458650987274
electricity_transfer,standard,REFERENCE,147,0.2191725554359426,0.2192354980616273,-6.294262568470876e-05,5.654631909425556e-05,-0.0001194889447789,-6.276525036291725e-06,-3.933914105294298e-06,-0.0333408415823411
electricity_transfer,standard,REFERENCE,11,0.2664547646177356,0.2663651349935406,8.962962419500897e-05,4.947098557583907e-06,8.468252563742507e-05,-3.084953337284535e-05,5.601851512188061e-06,-0.0380036008423096
