panel,kind,stage,condition,b,i,o,C3,MAG,difference,MAG_gain_pct
electricity,shape,fixed1024,STEP12_D17,81552,81551,81551,0.30912060083618964,0.30249256901320354,0.006628031822986217,2.1441572658234347
electricity,shape,fixed1024,STEP12_D17,81552,81551,81552,0.30335839097653283,0.2964207449407392,0.006937646035793784,2.286947136507744
electricity,shape,fixed1024,STEP12_D17,81552,81552,81551,0.30519155777341084,0.29816139819388077,0.0070301595795300076,2.3035236068848084
electricity,shape,fixed1024,STEP12_D17,81552,81552,81552,0.3010858627054493,0.2905752954697104,0.010510567235739003,3.490886998577358
electricity,shape,fixed1024,STEP12_D63,81551,81551,81551,0.2185042155282389,0.2172542527328877,0.0012499627953511184,0.572054315899263
electricity,shape,fixed1024,STEP12_D63,81551,81551,81552,0.2193715332942193,0.21819373187052374,0.0011778014236954561,0.5368980222770283
electricity,shape,fixed1024,STEP12_D63,81551,81552,81551,0.21932423096511405,0.21815487412016613,0.001169356844947897,0.5331635450411752
electricity,shape,fixed1024,STEP12_D63,81551,81552,81552,0.2205109501846361,0.21982324741549455,0.0006877027691415479,0.3118678544379439
electricity,shape,fixed1024,STEP12_D63,81552,81551,81551,0.20991124561109686,0.2108786906976539,-0.0009674450865570124,-0.4608829239903614
electricity,shape,fixed1024,STEP12_D63,81552,81551,81552,0.20962112586792875,0.21123493445651975,-0.0016138085885911025,-0.7698692495373193
electricity,shape,fixed1024,STEP12_D63,81552,81552,81551,0.210627572296266,0.21105984443186657,-0.00043227213560073077,-0.2052305549971883
electricity,shape,fixed1024,STEP12_D63,81552,81552,81552,0.21120575431728242,0.21258166095414094,-0.0013759066368584346,-0.6514531961053903
electricity,shape,fixed1024,STEP6_D17,81551,81551,81551,0.23887303821924485,0.23895823172811875,-8.519350887385962e-05,-0.03566476547916909
electricity,shape,fixed1024,STEP6_D17,81551,81551,81552,0.23778840211371102,0.23757220486095035,0.00021619725276077542,0.0909200157951309
electricity,shape,fixed1024,STEP6_D17,81551,81552,81551,0.23962450688521525,0.23915262235109125,0.0004718845341239765,0.1969266584031066
electricity,shape,fixed1024,STEP6_D17,81551,81552,81552,0.23827550960825045,0.2377424833105239,0.0005330262977265039,0.22370167148224934
electricity,shape,fixed1024,STEP6_D17,81552,81551,81551,0.2345814155554402,0.233130737918708,0.0014506776367322182,0.6184111530307352
electricity,shape,fixed1024,STEP6_D17,81552,81551,81552,0.23372227312964808,0.2322686642403322,0.00145360888931583,0.6219385383563759
electricity,shape,fixed1024,STEP6_D17,81552,81552,81551,0.23493930576288397,0.2334240605474221,0.0015152452154619683,0.6449517719232781
electricity,shape,fixed1024,STEP6_D17,81552,81552,81552,0.23418433141571596,0.2318954641173776,0.002288867298338314,0.9773784968880757
electricity,shape,fixed1024,STEP6_D63,81551,81551,81551,0.19671155873702054,0.19644446053883344,0.0002670981981871478,0.13578164897987802
electricity,shape,fixed1024,STEP6_D63,81551,81551,81552,0.19670615379297926,0.19646694789913982,0.00023920589383950538,0.12160569927631974
electricity,shape,fixed1024,STEP6_D63,81551,81552,81551,0.19642946597083122,0.1961512140642695,0.00027825190656174297,0.14165487096679372
electricity,shape,fixed1024,STEP6_D63,81551,81552,81552,0.19650609242077297,0.19642049782344412,8.559459732881644e-05,0.04355824100635777
electricity,shape,fixed1024,STEP6_D63,81552,81551,81551,0.19186218376300346,0.1923134005007531,-0.0004512167377496777,-0.23517752633684202
electricity,shape,fixed1024,STEP6_D63,81552,81551,81552,0.19171170419775915,0.19234102544489068,-0.000629321247131509,-0.32826438519493634
electricity,shape,fixed1024,STEP6_D63,81552,81552,81551,0.19187054158870667,0.19223803986032378,-0.0003674982716172096,-0.1915344943388851
electricity,shape,fixed1024,STEP6_D63,81552,81552,81552,0.19196919180746744,0.1927469258128197,-0.0007777340053523203,-0.40513480211571484
electricity,shape,fixed1024,STEP8_D31,81551,81551,81551,0.20803865911221825,0.20803554718910755,3.1119231107439634e-06,0.001495838861884492
electricity,shape,fixed1024,STEP8_D31,81551,81551,81552,0.20754923110932946,0.20768445282189127,-0.0001352217125619266,-0.06515163262189907
electricity,shape,fixed1024,STEP8_D31,81551,81552,81551,0.2081446649813043,0.20784182948565982,0.00030283549564456163,0.14549279736368095
electricity,shape,fixed1024,STEP8_D31,81551,81552,81552,0.2077638378533312,0.20758260460288608,0.00018123325044511022,0.08723041137363377
electricity,shape,fixed1024,STEP8_D31,81552,81551,81551,0.20919857633641603,0.20909205985427307,0.00010651648214302632,0.050916446951214056
electricity,shape,fixed1024,STEP8_D31,81552,81551,81552,0.2084503807394075,0.20845082611083293,-4.4537142541512323e-07,-0.00021365824511105144
electricity,shape,fixed1024,STEP8_D31,81552,81552,81551,0.20834531132607048,0.20871165620306267,-0.00036634487699215034,-0.17583543140973443
electricity,shape,fixed1024,STEP8_D31,81552,81552,81552,0.2079394575900191,0.20790827189945793,3.11856905611807e-05,0.014997485769472154
electricity,shape,fixed1024,STEP8_D33,81551,81551,81551,0.20904097034571315,0.2093428024939329,-0.0003018321482196871,-0.14438899117264686
electricity,shape,fixed1024,STEP8_D33,81551,81551,81552,0.20747041647203482,0.20764259263252263,-0.00017217616048788298,-0.08298829462806366
electricity,shape,fixed1024,STEP8_D33,81551,81552,81551,0.20846194255205866,0.2085061595282334,-4.4216976174805186e-05,-0.021211054465619304
electricity,shape,fixed1024,STEP8_D33,81551,81552,81552,0.2070544738289222,0.20709069886584394,-3.622503692180348e-05,-0.017495413768134394
electricity,shape,fixed1024,STEP8_D33,81552,81551,81551,0.21316578582604054,0.2124345153235984,0.000731270502442158,0.343052474208469
electricity,shape,fixed1024,STEP8_D33,81552,81551,81552,0.2122107389694123,0.2112922945570726,0.0009184444123398038,0.43279827250975594
electricity,shape,fixed1024,STEP8_D33,81552,81552,81551,0.211473100369002,0.21131192046914812,0.00016117989985373862,0.07621768422200925
electricity,shape,fixed1024,STEP8_D33,81552,81552,81552,0.21064018693066047,0.20969436278714643,0.0009458241435140293,0.44902359672961173
electricity,shape,selected,PAIRED_SHIFT8_D32,81551,81551,81551,0.20478331838228298,0.20462309317873603,0.0001602252035469878,0.07824133567749132
electricity,shape,selected,PAIRED_SHIFT8_D32,81551,81551,81552,0.2044411900213936,0.20452160087084115,-8.041084944742727e-05,-0.03933201985324618
electricity,shape,selected,PAIRED_SHIFT8_D32,81551,81552,81551,0.20488100596333114,0.20466650779234952,0.00021449817098158266,0.10469402469644881
electricity,shape,selected,PAIRED_SHIFT8_D32,81551,81552,81552,0.2043083230614959,0.20432889262570253,-2.05695642066545e-05,-0.010067903205520977
electricity,shape,selected,PAIRED_SHIFT8_D32,81552,81551,81551,0.20581852862177166,0.20538348099354625,0.00043504762822537367,0.2113743748624554
electricity,shape,selected,PAIRED_SHIFT8_D32,81552,81551,81552,0.20517725280859203,0.2047716202729817,0.0004056325356102592,0.19769858990590447
electricity,shape,selected,PAIRED_SHIFT8_D32,81552,81552,81551,0.2054140712464186,0.20539900090561686,1.5070340801774445e-05,0.007336566920820034
electricity,shape,selected,PAIRED_SHIFT8_D32,81552,81552,81552,0.20495632134116148,0.20470281626954887,0.00025350507161252755,0.12368736419237049
electricity,shape,selected,PULSE8_D32,81551,81551,81551,2.9980059546766227,2.9983701589588714,-0.0003642042822475239,-0.012148217440308869
electricity,shape,selected,PULSE8_D32,81551,81551,81552,2.9950828007348647,2.994336433716354,0.0007463670185114679,0.02491974573552162
electricity,shape,selected,PULSE8_D32,81551,81552,81551,2.998147645760199,2.999826065836421,-0.001678420076220384,-0.055981901978506804
electricity,shape,selected,PULSE8_D32,81551,81552,81552,2.9985291816007313,2.9984665172097067,6.26643910241198e-05,0.0020898376246806147
electricity,shape,selected,PULSE8_D32,81552,81551,81551,2.986003802755283,2.9885227216446575,-0.002518918889374132,-0.08435752449644718
electricity,shape,selected,PULSE8_D32,81552,81551,81552,2.9879652546138518,2.9910125826628047,-0.0030473280489534266,-0.1019867297401772
electricity,shape,selected,PULSE8_D32,81552,81552,81551,2.987802764144091,2.9877022101640986,0.00010055397999338828,0.00336548252783325
electricity,shape,selected,PULSE8_D32,81552,81552,81552,2.990601584052127,2.9921740200159164,-0.0015724359637904958,-0.05257925268868205
electricity,shape,selected,RAMP8_D32,81551,81551,81551,0.5301479703551115,0.5288581419875704,0.0012898283675408526,0.24329591730340508
electricity,shape,selected,RAMP8_D32,81551,81551,81552,0.5321009455436269,0.5306672950442598,0.0014336504993671395,0.2694320525783758
electricity,shape,selected,RAMP8_D32,81551,81552,81551,0.5327125091940366,0.5297713039064188,0.002941205287617838,0.5521186825643934
electricity,shape,selected,RAMP8_D32,81551,81552,81552,0.5306825484249859,0.5289238434153487,0.0017587050096370804,0.33140434236187827
electricity,shape,selected,RAMP8_D32,81552,81551,81551,0.4317712881425097,0.4278185769291194,0.003952711213390476,0.9154641176802498
electricity,shape,selected,RAMP8_D32,81552,81551,81552,0.42835329042441345,0.42364760525814604,0.004705685166267514,1.09855235653848
electricity,shape,selected,RAMP8_D32,81552,81552,81551,0.4316903704395751,0.42721474326782216,0.004475627171752731,1.036767896211203
electricity,shape,selected,RAMP8_D32,81552,81552,81552,0.43087547298681156,0.42431923128417787,0.006556241702633357,1.5216094007824932
electricity,shape,selected,STEP12_D17,81551,81551,81551,0.2969892494415744,0.2973773903823255,-0.0003881409407511063,-0.1306919161151198
electricity,shape,selected,STEP12_D17,81551,81551,81552,0.2922321627324319,0.29264941451703874,-0.00041725178460671423,-0.14278092483227126
electricity,shape,selected,STEP12_D17,81551,81552,81551,0.2999289938996451,0.2984883976148008,0.0014405962848442057,0.4803124453270505
electricity,shape,selected,STEP12_D17,81551,81552,81552,0.291995482872179,0.29220894963358196,-0.00021346676140270547,-0.07310618619951409
electricity,shape,selected,STEP12_D17,81552,81551,81551,0.3091532369533492,0.303447525317823,0.005705711635526301,1.845593367145396
electricity,shape,selected,STEP12_D17,81552,81551,81552,0.3035061344538304,0.29770859481722534,0.0057975396366048175,1.9101886184401797
electricity,shape,selected,STEP12_D17,81552,81552,81551,0.30752922752939665,0.30160416785067706,0.005925059678719625,1.9266655486113915
electricity,shape,selected,STEP12_D17,81552,81552,81552,0.3033284513344172,0.29347326117411676,0.009855190160300491,3.2490160804056
electricity,shape,selected,STEP12_D63,81551,81551,81551,0.2214372881221064,0.22059949053546246,0.0008377975866439625,0.37834530658719895
electricity,shape,selected,STEP12_D63,81551,81551,81552,0.2193715332942193,0.21819373187052374,0.0011778014236954561,0.5368980222770283
electricity,shape,selected,STEP12_D63,81551,81552,81551,0.2216174001067542,0.22120470787158267,0.00041269223517153295,0.18621833618332181
electricity,shape,selected,STEP12_D63,81551,81552,81552,0.2205109501846361,0.21982324741549455,0.0006877027691415479,0.3118678544379439
electricity,shape,selected,STEP12_D63,81552,81551,81551,0.2164884305653986,0.21817777674717284,-0.0016893461817742883,-0.78034016753794
electricity,shape,selected,STEP12_D63,81552,81551,81552,0.21547747748861987,0.21839154084428772,-0.0029140633556678204,-1.3523749162237721
electricity,shape,selected,STEP12_D63,81552,81552,81551,0.21619271598234432,0.2172998924182881,-0.0011071764359438718,-0.5121247637382431
electricity,shape,selected,STEP12_D63,81552,81552,81552,0.21722091871764354,0.2192241159603945,-0.002003197242751003,-0.9221935228783724
electricity,shape,selected,STEP6_D17,81551,81551,81551,0.23902000299599507,0.23927092701151537,-0.0002509240155202227,-0.1049803415509233
electricity,shape,selected,STEP6_D17,81551,81551,81552,0.23778840211371102,0.23757220486095035,0.00021619725276077542,0.0909200157951309
electricity,shape,selected,STEP6_D17,81551,81552,81551,0.24018774459869408,0.23984434373412672,0.0003434008645673771,0.14297185109970187
electricity,shape,selected,STEP6_D17,81551,81552,81552,0.23827550960825045,0.2377424833105239,0.0005330262977265039,0.22370167148224934
electricity,shape,selected,STEP6_D17,81552,81551,81551,0.23447321426712114,0.2335774886414262,0.0008957256256951558,0.38201618402122034
electricity,shape,selected,STEP6_D17,81552,81551,81552,0.23391149461622449,0.23296713033059174,0.0009443642856326716,0.40372718201902724
electricity,shape,selected,STEP6_D17,81552,81552,81551,0.23523327468959002,0.2344209527592725,0.0008123219303174671,0.3453261156991475
electricity,shape,selected,STEP6_D17,81552,81552,81552,0.23467418497546294,0.2330460949401347,0.0016280900353280833,0.6937661402758523
electricity,shape,selected,STEP6_D63,81551,81551,81551,0.19716696559272232,0.1969135890900064,0.0002533765027159479,0.12850859775330456
electricity,shape,selected,STEP6_D63,81551,81551,81552,0.19670615379297926,0.19646694789913982,0.00023920589383950538,0.12160569927631974
electricity,shape,selected,STEP6_D63,81551,81552,81551,0.19686123523038565,0.19671170154831039,0.00014953368207526766,0.07595892705857972
electricity,shape,selected,STEP6_D63,81551,81552,81552,0.19650609242077297,0.19642049782344412,8.559459732881644e-05,0.04355824100635777
electricity,shape,selected,STEP6_D63,81552,81551,81551,0.19504081028020004,0.1955956041929988,-0.000554793912798775,-0.2844501681477561
electricity,shape,selected,STEP6_D63,81552,81551,81552,0.194143485258415,0.1952385622268009,-0.001095076968385928,-0.5640554803723258
electricity,shape,selected,STEP6_D63,81552,81552,81551,0.19422895175089305,0.1946156103936855,-0.000386658642792464,-0.19907363928338048
electricity,shape,selected,STEP6_D63,81552,81552,81552,0.19436920089812967,0.19518129462457412,-0.0008120937264444802,-0.41780988072801944
electricity,shape,selected,STEP8_D31,81551,81551,81551,0.2078958164453095,0.2078585136730087,3.730277230073824e-05,0.017943012485078732
electricity,shape,selected,STEP8_D31,81551,81551,81552,0.20754923110932946,0.20768445282189127,-0.0001352217125619266,-0.06515163262189907
electricity,shape,selected,STEP8_D31,81551,81552,81551,0.20813509828326246,0.20801524201191474,0.00011985627134773681,0.05758580476639161
electricity,shape,selected,STEP8_D31,81551,81552,81552,0.2077638378533312,0.20758260460288608,0.00018123325044511022,0.08723041137363377
electricity,shape,selected,STEP8_D31,81552,81551,81551,0.20756374112417839,0.20746599920070144,9.774192347695564e-05,0.047090076015964634
electricity,shape,selected,STEP8_D31,81552,81551,81552,0.20718702570854594,0.2069975022645371,0.00018952344400884817,0.09147457151851512
electricity,shape,selected,STEP8_D31,81552,81552,81551,0.20725526034123215,0.2074708181590637,-0.00021555781783155672,-0.10400595742499126
electricity,shape,selected,STEP8_D31,81552,81552,81552,0.2067941801108488,0.20677616282098132,1.8017289867522292e-05,0.008712667763601667
electricity,shape,selected,STEP8_D33,81551,81551,81551,0.2072638111511832,0.20726267315553618,1.1379956469954183e-06,0.0005490566060108472
electricity,shape,selected,STEP8_D33,81551,81551,81552,0.20747041647203482,0.20764259263252263,-0.00017217616048788298,-0.08298829462806366
electricity,shape,selected,STEP8_D33,81551,81552,81551,0.20737982427060642,0.207239414253574,0.00014041001703242895,0.06770669110472884
electricity,shape,selected,STEP8_D33,81551,81552,81552,0.2070544738289222,0.20709069886584394,-3.622503692180348e-05,-0.017495413768134394
electricity,shape,selected,STEP8_D33,81552,81551,81551,0.21004016157910502,0.20938404765234098,0.0006561139267641657,0.3123754627836072
electricity,shape,selected,STEP8_D33,81552,81551,81552,0.20902739217360666,0.20816315266207386,0.000864239511532864,0.4134575390076503
electricity,shape,selected,STEP8_D33,81552,81552,81551,0.20921729196657282,0.2089219248985565,0.00029536706801622345,0.1411771776796609
electricity,shape,selected,STEP8_D33,81552,81552,81552,0.20801859429334696,0.20728839576279726,0.0007301985305497142,0.3510256056821494
electricity,standard,fixed1024,BURST16,81551,81551,81551,0.17854582669782965,0.1783606448741592,0.00018518182367038903,0.10371669116847528
electricity,standard,fixed1024,BURST16,81551,81551,81552,0.17822512397632279,0.17806872377652092,0.00015640019980185302,0.08775429429502363
electricity,standard,fixed1024,BURST16,81551,81552,81551,0.17797496483499595,0.17784597308289632,0.00012899175209971027,0.07247747019885692
electricity,standard,fixed1024,BURST16,81551,81552,81552,0.17769481055963512,0.1776715027186985,2.3307840936563086e-05,0.013116782005707971
electricity,standard,fixed1024,BURST16,81552,81551,81551,0.17684229662480577,0.1768137226030834,2.857402172246385e-05,0.016157911465653152
electricity,standard,fixed1024,BURST16,81552,81551,81552,0.17667491780496025,0.1766703456835694,4.572121390922592e-06,0.0025878723747136375
electricity,standard,fixed1024,BURST16,81552,81552,81551,0.1764013461328881,0.17649890799004478,-9.756185715663877e-05,-0.05530675320535404
electricity,standard,fixed1024,BURST16,81552,81552,81552,0.17613128186246466,0.1762683588783121,-0.00013707701584762767,-0.07782661569150832
electricity,standard,fixed1024,BURST4,81551,81551,81551,0.17042646074496898,0.17034566788859978,8.079285636923192e-05,0.04740628656845293
electricity,standard,fixed1024,BURST4,81551,81551,81552,0.1703037974193715,0.17026533190424076,3.846551513063e-05,0.022586410704576967
electricity,standard,fixed1024,BURST4,81551,81552,81551,0.1701199218954352,0.1701634736322889,-4.355173685374823e-05,-0.025600609480950418
electricity,standard,fixed1024,BURST4,81551,81552,81552,0.16997778412509237,0.17005470249417434,-7.691836908183002e-05,-0.045252013066144695
electricity,standard,fixed1024,BURST4,81552,81551,81551,0.16935939496648905,0.1694526106397208,-9.321567323191695e-05,-0.05504015484370467
electricity,standard,fixed1024,BURST4,81552,81551,81552,0.16927400217222693,0.16939042875012472,-0.00011642657789791028,-0.0687799522690157
electricity,standard,fixed1024,BURST4,81552,81552,81551,0.16914677697712963,0.1692604402310281,-0.00011366325389833699,-0.06719800159934791
electricity,standard,fixed1024,BURST4,81552,81552,81552,0.1689893629810317,0.16909700702681857,-0.00010764404578692281,-0.06369871090584878
electricity,standard,fixed1024,BURST8,81551,81551,81551,0.18005257293244376,0.17992000490307805,0.00013256802936550645,0.07362740071214999
electricity,standard,fixed1024,BURST8,81551,81551,81552,0.17989406156011956,0.17980756527876846,8.649628135093499e-05,0.04808178802613138
electricity,standard,fixed1024,BURST8,81551,81552,81551,0.17953020207710038,0.17952921016991916,9.919071814402025e-07,0.0005525015679613738
electricity,standard,fixed1024,BURST8,81551,81552,81552,0.17933936127706526,0.17938950280926455,-5.014153219919516e-05,-0.02795902240430667
electricity,standard,fixed1024,BURST8,81552,81551,81551,0.17887682516456277,0.17881354657849416,6.327858606869005e-05,0.035375508264122606
electricity,standard,fixed1024,BURST8,81552,81551,81552,0.17881172212934726,0.17878197414510352,2.974798424371474e-05,0.016636484392335255
electricity,standard,fixed1024,BURST8,81552,81552,81551,0.17862995455093258,0.17855680604841817,7.314850251440052e-05,0.04094974031555484
electricity,standard,fixed1024,BURST8,81552,81552,81552,0.17833594065372924,0.17831931169562493,1.6628958104316347e-05,0.00932451307535614
electricity,standard,fixed1024,FAULT,81551,81551,81551,0.17328895320957444,0.17315951393323756,0.0001294392763370167,0.07469563058671938
electricity,standard,fixed1024,FAULT,81551,81551,81552,0.17314236701081517,0.17304289699080447,9.947002001084069e-05,0.057449844153180246
electricity,standard,fixed1024,FAULT,81551,81552,81551,0.17289587813688678,0.17289190083664038,3.97730024630867e-06,0.002300402004470994
electricity,standard,fixed1024,FAULT,81551,81552,81552,0.17274461601448923,0.1727715483750173,-2.6932360528123867e-05,-0.015590853798803705
electricity,standard,fixed1024,FAULT,81552,81551,81551,0.17174551160035395,0.17174365130308156,1.8602972724483151e-06,0.0010831708235713108
electricity,standard,fixed1024,FAULT,81552,81551,81552,0.1716689725058651,0.1716782442547279,-9.271748862714718e-06,-0.0054009462090756945
electricity,standard,fixed1024,FAULT,81552,81552,81551,0.17147979479232195,0.17152629063218988,-4.649583986780629e-05,-0.027114471372045375
electricity,standard,fixed1024,FAULT,81552,81552,81552,0.17127639650009552,0.17133165896007618,-5.5262459980590225e-05,-0.03226507628011628
electricity,standard,fixed1024,POINT16,81551,81551,81551,0.17153479980068673,0.1713789440742205,0.0001558557264662475,0.09085953791728711
electricity,standard,fixed1024,POINT16,81551,81551,81552,0.17141260515747864,0.17128285300010326,0.00012975215737535896,0.07569580851778912
electricity,standard,fixed1024,POINT16,81551,81552,81551,0.1711465132706837,0.17113646748673064,1.0045783952983452e-05,0.005869698284238566
electricity,standard,fixed1024,POINT16,81551,81552,81552,0.1710283792218063,0.1710466552815932,-1.8276059786844108e-05,-0.010685980812074426
electricity,standard,fixed1024,POINT16,81552,81551,81551,0.1695006425514726,0.16950226011996253,-1.6175684900210981e-06,-0.0009543140755527743
electricity,standard,fixed1024,POINT16,81552,81551,81552,0.16943663047908195,0.16942694738279532,9.683096286724276e-06,0.005714877744762351
electricity,standard,fixed1024,POINT16,81552,81552,81551,0.16916618074679923,0.1692274609295912,-6.128018279207535e-05,-0.03622484264972378
electricity,standard,fixed1024,POINT16,81552,81552,81552,0.16896765469888722,0.1690215438038991,-5.388910501193079e-05,-0.03189314848925679
electricity,standard,fixed1024,POINT4,81551,81551,81551,0.16871312554517343,0.16860833773504164,0.00010478781013172934,0.06211005207396985
electricity,standard,fixed1024,POINT4,81551,81551,81552,0.16865041750663456,0.16855837598934972,9.204151728481476e-05,0.054575327263090785
electricity,standard,fixed1024,POINT4,81551,81552,81551,0.16843091360181553,0.16848776392076165,-5.685031894617958e-05,-0.033752900658473174
electricity,standard,fixed1024,POINT4,81551,81552,81552,0.16836569524907527,0.16839882483824403,-3.312958916869681e-05,-0.019677161145972084
electricity,standard,fixed1024,POINT4,81552,81551,81551,0.1673361547112567,0.16732595303880066,1.0201672455902532e-05,0.006096514213264795
electricity,standard,fixed1024,POINT4,81552,81551,81552,0.16731011707942256,0.1672962055829685,1.3911496454133577e-05,0.00831479691543683
electricity,standard,fixed1024,POINT4,81552,81552,81551,0.16713875205328466,0.1671798142320194,-4.106217873483316e-05,-0.024567718874520694
electricity,standard,fixed1024,POINT4,81552,81552,81552,0.1669887481253481,0.16700491060992403,-1.6162484576129343e-05,-0.00967878659944032
electricity,standard,fixed1024,POINT8,81551,81551,81551,0.1704609335363447,0.17034348412432573,0.0001174494120189895,0.06890107286309541
electricity,standard,fixed1024,POINT8,81551,81551,81552,0.17036819644496506,0.17027453199584347,9.36644491214562e-05,0.05497766078172526
electricity,standard,fixed1024,POINT8,81551,81552,81551,0.17017275314129035,0.1701885167272467,-1.5763585956338915e-05,-0.009263284318642238
electricity,standard,fixed1024,POINT8,81551,81552,81552,0.17006166565426065,0.17006810210812942,-6.4364538687477785e-06,-0.0037847764479934237
electricity,standard,fixed1024,POINT8,81552,81551,81551,0.16855775558353683,0.1685538148384271,3.940745109575188e-06,0.002337919780631016
electricity,standard,fixed1024,POINT8,81552,81551,81552,0.16850644537015178,0.16850356398380567,2.881386346109552e-06,0.0017099561620803993
electricity,standard,fixed1024,POINT8,81552,81552,81551,0.1683957582928974,0.16843431436203685,-3.85560691393489e-05,-0.022896104706085767
electricity,standard,fixed1024,POINT8,81552,81552,81552,0.16824539067911246,0.16827882174587774,-3.34310667652486e-05,-0.019870420598333244
electricity,standard,fixed1024,REFERENCE,81551,81551,81551,0.16783633623194308,0.16775177852129777,8.455771064528402e-05,0.05038105129298619
electricity,standard,fixed1024,REFERENCE,81551,81551,81552,0.16778503951000992,0.1677171197523218,6.791975768804246e-05,0.04048022272211607
electricity,standard,fixed1024,REFERENCE,81551,81552,81551,0.16757457257068506,0.167653051310008,-7.84787393230895e-05,-0.046832128597544945
electricity,standard,fixed1024,REFERENCE,81551,81552,81552,0.1675190237482617,0.16758636627009338,-6.734252183173317e-05,-0.040199924954751276
electricity,standard,fixed1024,REFERENCE,81552,81551,81551,0.16656751348082047,0.1665703461583935,-2.8326775730249526e-06,-0.0017006182741337032
electricity,standard,fixed1024,REFERENCE,81552,81551,81552,0.16656790532743132,0.166558958583878,8.946743553254468e-06,0.005371228950539651
electricity,standard,fixed1024,REFERENCE,81552,81552,81551,0.16642490587080308,0.16648771114113872,-6.28052703355766e-05,-0.03773790347481573
electricity,standard,fixed1024,REFERENCE,81552,81552,81552,0.16629224281313854,0.1663231749468006,-3.093213366193277e-05,-0.018601068299193606
