panel,kind,stage,arm,b,i,o,step,condition,nmae,mae,pinball
electricity,standard,selected,C3,81551,81552,81552,1024,FAULT,0.17274461601448918,11.410835591807578,0.14369097426869445
electricity,standard,selected,C3,81551,81552,81552,1024,POINT16,0.17102837922180633,11.18894848682612,0.14191440505105507
electricity,standard,selected,C3,81551,81552,81552,1024,POINT4,0.16836569524907538,10.988241796883813,0.14037204369943582
electricity,standard,selected,C3,81551,81552,81552,1024,POINT8,0.1700616656542606,11.091247572549037,0.14139443887753897
electricity,standard,selected,C3,81551,81552,81552,1024,REFERENCE,0.16751902374826166,10.914576733048307,0.1397346875862359
electricity,standard,selected,C3,81551,81552,81552,1024,SHIFT4,0.18937161137895359,12.493035282158779,0.1551375447222232
electricity,standard,selected,C3,81551,81552,81552,1024,SHIFT8,0.2006201458728192,13.18793884085017,0.1649317738263942
electricity,standard,selected,C3,81551,81552,81552,1024,SHIFT_POINT,0.194926188109333,12.793640065799071,0.15945562044328637
electricity,standard,selected,C3,81552,81551,81551,768,BURST16,0.17672562532710248,11.80584330109923,0.14687197696126478
electricity,standard,selected,C3,81552,81551,81551,768,BURST4,0.16937138023709836,11.102385154088552,0.14062109550733964
electricity,standard,selected,C3,81552,81551,81551,768,BURST8,0.17870023518048533,12.193721871888556,0.14878992878281042
electricity,standard,selected,C3,81552,81551,81551,768,FAULT,0.17163824637460964,11.346144910946046,0.14267187761985228
electricity,standard,selected,C3,81552,81551,81551,768,POINT16,0.1692854367000973,11.070700405609387,0.14054040830874384
electricity,standard,selected,C3,81552,81551,81551,768,POINT4,0.16722398908695207,10.907983899647661,0.13919691758829292
electricity,standard,selected,C3,81552,81551,81551,768,POINT8,0.16852281171592226,10.996234833342896,0.14001093857066202
electricity,standard,selected,C3,81552,81551,81551,768,REFERENCE,0.16643289448160928,10.838633952094824,0.13872028331116243
electricity,standard,selected,C3,81552,81551,81551,768,SHIFT4,0.18904628816683391,12.471078540878123,0.15490516657903244
electricity,standard,selected,C3,81552,81551,81551,768,SHIFT8,0.20315812767220887,13.105781989138904,0.16725756296828545
electricity,standard,selected,C3,81552,81551,81551,768,SHIFT_POINT,0.19239929657739338,12.675687813799547,0.1577290365521719
electricity,standard,selected,C3,81552,81551,81552,768,BURST16,0.17633508633229053,11.77842955194501,0.14654102721842546
electricity,standard,selected,C3,81552,81551,81552,768,BURST4,0.1691510170809293,11.083624130020326,0.1404585066077797
electricity,standard,selected,C3,81552,81551,81552,768,BURST8,0.17852900330976343,12.179205992499192,0.14866536206908804
electricity,standard,selected,C3,81552,81551,81552,768,FAULT,0.17144606703474616,11.330685238047105,0.14252726846419822
electricity,standard,selected,C3,81552,81551,81552,768,POINT16,0.16919405372726187,11.061521919618826,0.1404927813387717
electricity,standard,selected,C3,81552,81551,81552,768,POINT4,0.16710138820167525,10.898027128001559,0.13909854045071038
electricity,standard,selected,C3,81552,81551,81552,768,POINT8,0.1683658535565566,10.983302706197719,0.13990739310041417
electricity,standard,selected,C3,81552,81551,81552,768,REFERENCE,0.16633728084232713,10.830880770838121,0.13863697437787745
electricity,standard,selected,C3,81552,81551,81552,768,SHIFT4,0.1886626481901745,12.448458304568323,0.15467420920056352
electricity,standard,selected,C3,81552,81551,81552,768,SHIFT8,0.20246514949351133,13.070923443181078,0.16677290628036942
electricity,standard,selected,C3,81552,81551,81552,768,SHIFT_POINT,0.19233400545269466,12.654944751410161,0.15772041046991295
electricity,standard,selected,C3,81552,81552,81551,768,BURST16,0.17633083825604984,11.771025032940088,0.1464739122469622
electricity,standard,selected,C3,81552,81552,81551,768,BURST4,0.16911307186028246,11.08958869206981,0.14037694916541224
electricity,standard,selected,C3,81552,81552,81551,768,BURST8,0.17843859255511899,12.172996442808653,0.14854845466664776
electricity,standard,selected,C3,81552,81552,81551,768,FAULT,0.17138903753125675,11.331488443437896,0.14243065484717646
electricity,standard,selected,C3,81552,81552,81551,768,POINT16,0.16903747708017744,11.064214559541142,0.1403066896146506
electricity,standard,selected,C3,81552,81552,81551,768,POINT4,0.1670558594703326,10.901990401318471,0.13902678286237
electricity,standard,selected,C3,81552,81552,81551,768,POINT8,0.16835838596557917,10.98911553194921,0.13985114052701597
electricity,standard,selected,C3,81552,81552,81551,768,REFERENCE,0.1663210986922837,10.835347237283713,0.13858544085324406
electricity,standard,selected,C3,81552,81552,81551,768,SHIFT4,0.18889570561933677,12.456452857617277,0.15487197927666596
electricity,standard,selected,C3,81552,81552,81551,768,SHIFT8,0.20266553027488493,13.083616401779267,0.16684268892358148
electricity,standard,selected,C3,81552,81552,81551,768,SHIFT_POINT,0.19214756420157608,12.659052925830528,0.1576052573988208
electricity,standard,selected,C3,81552,81552,81552,768,BURST16,0.17597149246588747,11.748293803633715,0.14618014521229317
electricity,standard,selected,C3,81552,81552,81552,768,BURST4,0.16891591438788445,11.07846547315421,0.14021777448524053
electricity,standard,selected,C3,81552,81552,81552,768,BURST8,0.17805907156351627,12.139635007617471,0.1482447381438547
electricity,standard,selected,C3,81552,81552,81552,768,FAULT,0.1711469339711502,11.314824916989892,0.14223684873773787
electricity,standard,selected,C3,81552,81552,81552,768,POINT16,0.16887446805773837,11.052035736131074,0.14018337885426457
electricity,standard,selected,C3,81552,81552,81552,768,POINT4,0.1668756511403832,10.891607251869573,0.1388765971988637
electricity,standard,selected,C3,81552,81552,81552,768,POINT8,0.16818500621149132,10.978912229533307,0.13971845853191062
electricity,standard,selected,C3,81552,81552,81552,768,REFERENCE,0.16616170999686328,10.82763075720868,0.13843578511980587
electricity,standard,selected,C3,81552,81552,81552,768,SHIFT4,0.18875601381224014,12.443998660029894,0.15480628545221334
electricity,standard,selected,C3,81552,81552,81552,768,SHIFT8,0.20219362089667936,13.059756855757097,0.16645208398704736
electricity,standard,selected,C3,81552,81552,81552,768,SHIFT_POINT,0.1922021980869313,12.658851333958616,0.1576583106977823
