arm,seed,mode,lead,crps,pinball,nmae,raw_mae,coverage,width,negative_mass
MEMBER,92301,cal,3,0.265970202096229,0.29195103878338186,0.3656590183774733,167.67482428905393,0.8388429752066116,1.548591304161276,0.00036730945821854906
MEMBER,92301,cal,6,0.29947790699346916,0.32767816304043124,0.413470759332596,189.5991441080393,0.8429752066115702,1.5260225539738759,0.030257116620752988
MEMBER,92301,cal,9,0.3310285993434797,0.35786120466121635,0.4471654089968252,205.04999907942843,0.7355371900826446,1.3228596995206445,0.029843893480257122
MEMBER,92301,cal,12,0.36971622496963386,0.3991498450718729,0.5032802022561943,230.78172625391937,0.7272727272727273,1.459696898086968,0.026565656565656563
MEMBER,92301,cal,15,0.38389698173075876,0.41614195269093995,0.5314751240353364,243.71065270605166,0.731404958677686,1.5889341471931806,0.021487603305785124
MEMBER,92301,cal,18,0.3614565193189816,0.39419008838680425,0.508445564320392,233.15032960560697,0.8140495867768595,1.6908266235004057,0.020863177226813592
MEMBER,92301,cal,21,0.37456786952967425,0.41426967757748384,0.5089713435745078,233.39142838785472,0.8925619834710744,2.3655980833244006,0.001349862258953168
MEMBER,92301,cal,24,0.4344045083151667,0.4780801300077113,0.6198896204880494,284.25357497033997,0.871900826446281,2.4384259779441892,0.001891643709825528
MEMBER,92302,raw,3,0.2771996848877175,0.3023718623221601,0.38987903860506185,178.78103918280485,0.8471074380165289,1.3819022593819583,0.015169880624426077
MEMBER,92302,raw,6,0.30098566654339803,0.33054420443172516,0.4160605160784442,190.78669038882924,0.8677685950413223,1.6925206281493566,0.025032139577594124
MEMBER,92302,raw,9,0.344079777830538,0.37788089346000103,0.47348468547468203,217.11883872796682,0.8760330578512396,1.9486836980623585,0.029393939393939392
MEMBER,92302,raw,12,0.38173124034280803,0.41919191889781493,0.5324481722479244,244.15684897052355,0.8966942148760331,2.146021205334599,0.03252525252525252
MEMBER,92302,raw,15,0.39668194876983454,0.4372279877915082,0.5629969641993126,258.16515470142207,0.9297520661157025,2.331072626496281,0.032001836547291086
MEMBER,92302,raw,18,0.37611873115063327,0.4178143480074466,0.5243719872802735,240.45347279950607,0.9297520661157025,2.4766595386810364,0.03497704315886134
MEMBER,92302,raw,21,0.3936443981254912,0.43731156726484555,0.544774998284165,249.80937847421188,0.9380165289256198,2.5940558121083024,0.03265381083562902
MEMBER,92302,raw,24,0.44877912143773274,0.49632713685115265,0.6390734769445887,293.0504310544857,0.9297520661157025,2.6677648737894164,0.032598714416896234
MEMBER,92302,cal,3,0.27059469883990106,0.2986860624755891,0.3684476266430658,168.95355495736618,0.8677685950413223,1.727377824227448,0.0004958677685950413
MEMBER,92302,cal,6,0.30098566654339803,0.33054420443172516,0.4160605160784442,190.78669038882924,0.8677685950413223,1.6925206281493566,0.025032139577594124
MEMBER,92302,cal,9,0.34852379705886055,0.37656976384300017,0.4734617532924692,217.10832305782097,0.7355371900826446,1.461512773546769,0.0197979797979798
MEMBER,92302,cal,12,0.38616077002211097,0.4169930131086868,0.5323988387267121,244.13422683053764,0.7479338842975206,1.6095159040009497,0.01793388429752066
MEMBER,92302,cal,15,0.40036637088592103,0.4339740707353945,0.5629060634981676,258.1234717172039,0.768595041322314,1.7483044698722106,0.016666666666666666
MEMBER,92302,cal,18,0.3726232586512495,0.40657513235163545,0.5242155650861754,240.381744597569,0.8388429752066116,1.8574946540107773,0.01837465564738292
MEMBER,92302,cal,21,0.38868437543684825,0.4244934704717933,0.544566688823124,249.71385709904442,0.8429752066115702,1.9455418590812272,0.014811753902662993
MEMBER,92302,cal,24,0.4447672998659047,0.491168070986837,0.638453955947632,292.7663465137324,0.9008264462809917,2.6677648737894164,0.0029752066115702478
SCENARIO3,92301,raw,3,0.3089087714980153,0.337048428361486,0.4308035824104201,197.54719931232043,0.7933884297520661,1.2422886108155913,0.021667919053477626
SCENARIO3,92301,raw,6,0.3000614969128598,0.33110334821085163,0.41537037874737714,190.47022436472994,0.8553719008264463,1.5271168157830868,0.029060689844220024
SCENARIO3,92301,raw,9,0.32540946509191376,0.35848540010532376,0.44508029686919254,204.09386018485077,0.8429752066115702,1.7652536103919299,0.033546124077991984
SCENARIO3,92301,raw,12,0.36351235459419345,0.3995628955676132,0.5027746344064226,230.54989551512662,0.8553719008264463,1.9484085637489257,0.0312564737643864
SCENARIO3,92301,raw,15,0.3783574869706001,0.41851880294486593,0.5349946958238132,245.3245704587826,0.8884297520661157,2.122408391084652,0.030220499768627423
SCENARIO3,92301,raw,18,0.361883912242836,0.40293908779760806,0.5077276097616203,232.82110784861666,0.9049586776859504,2.2590093131523803,0.028841860677352164
SCENARIO3,92301,raw,21,0.3910375717021405,0.43452598192879094,0.5536902751616284,253.897524557823,0.9132231404958677,2.370796954978066,0.025594406473473327
SCENARIO3,92301,raw,24,0.45046572561039505,0.49657055923601634,0.6482268640303285,297.24776379924174,0.8966942148760331,2.4444880498931396,0.02546379580013709
SCENARIO3,92301,cal,3,0.2693058323707381,0.29883432294434215,0.3691955800569576,169.29653284372378,0.8512396694214877,1.552860763519489,0.0
SCENARIO3,92301,cal,6,0.3000614969128598,0.33110334821085163,0.41537037874737714,190.47022436472994,0.8553719008264463,1.5271168157830868,0.029060689844220024
SCENARIO3,92301,cal,9,0.329291548311882,0.3568635994798266,0.44508029686919254,204.09386018485077,0.7355371900826446,1.3239402077939475,0.028409651876836882
SCENARIO3,92301,cal,12,0.36765735063010146,0.39794777876132825,0.5027746344064226,230.54989551512662,0.7231404958677686,1.4613064228116943,0.024466588326677186
SCENARIO3,92301,cal,15,0.38273559020826486,0.4159868647891771,0.5349946958238132,245.3245704587826,0.7396694214876033,1.591806293313489,0.020933914126528733
