arm,seed,mode,group,crps,pinball,nmae,raw_mae,coverage,width,negative_mass
SET,92301,raw,2019-07,0.2718012572780534,0.2974281960598548,0.3639682617115223,166.89951912049324,0.782258064516129,1.2711783277653794,0.12019883210644766
SET,92301,raw,2019-08,0.2620627390981495,0.28620610110951505,0.3651130061401614,167.42444756825765,0.8166666666666667,1.2944203565091512,0.049026874733957
SET,92301,cal,2019-01,0.38910905618498914,0.42516339740263215,0.5453978327520104,250.09498242408998,0.782258064516129,1.7697198161650012,0.0021688427966877815
SET,92301,cal,2019-02,0.43058507856366035,0.46706912226769176,0.6111735738966849,280.2567869595119,0.7098214285714286,1.6012213139434301,0.0
SET,92301,cal,2019-03,0.4405528773402952,0.4813095129541035,0.6171772316820133,283.00979512737644,0.6733870967741935,1.7166907345962272,0.002720816147254529
SET,92301,cal,2019-04,0.23120240943653075,0.2529455688814657,0.3145290321852961,144.22890604337056,0.85,1.27817269799891,0.021939757833427123
SET,92301,cal,2019-05,0.31289685272105033,0.3391736879151449,0.4273535751577994,195.96518073543425,0.7540322580645161,1.2813881536558507,0.014185479664020702
SET,92301,cal,2019-06,0.3251422452008049,0.35730120478636884,0.46296185769804005,212.29354190826416,0.7333333333333333,1.4710157626352924,0.0021371713663712166
SET,92301,cal,2019-07,0.2576895792383758,0.2814383533023806,0.3482498029723812,159.69173899004537,0.7903225806451613,1.1362375693521332,0.0709561228402672
SET,92301,cal,2019-08,0.2517747921454144,0.2734848922990699,0.3370312709880173,154.54742342631022,0.8041666666666667,1.1558321876752873,0.026694919221000403
SET,92302,raw,2019-01,0.4092957603119578,0.4448698706373358,0.5587769228187259,256.2300330131285,0.8669354838709677,2.14678586040596,0.018510333041493125
SET,92302,raw,2019-02,0.4299841587611482,0.46934478291663356,0.6061879938158352,277.9706235613142,0.75,1.8394541150850183,0.0
SET,92302,raw,2019-03,0.4438044457902094,0.4864612211293126,0.625501069806219,286.82673392757295,0.8145161290322581,2.1140011775151515,0.006566119021220197
SET,92302,raw,2019-04,0.25597292794876497,0.2816856339185845,0.3454609663918862,158.41290362675986,0.8833333333333333,1.5538791708996258,0.029026583597280373
SET,92302,raw,2019-05,0.3386699094881336,0.37058301892413925,0.45707416869512185,209.59371182226366,0.8306451612903226,1.599376875634716,0.012770702468201391
SET,92302,raw,2019-06,0.35756964264841756,0.3941124435449873,0.5090139297765275,233.41095650990803,0.8666666666666667,1.8857956844005603,0.010158224828539949
SET,92302,raw,2019-07,0.2712501888827318,0.2962931906630985,0.35233214255750733,161.5637168115185,0.8387096774193549,1.4248164140598756,0.09045111823962161
SET,92302,raw,2019-08,0.2542719862342379,0.2776038743426196,0.34682739529464673,159.03948663075764,0.9,1.4300665787048634,0.0517258876131191
SET,92302,cal,2019-01,0.40228146129938464,0.4381123611819668,0.5587769228187259,256.2300330131285,0.7983870967741935,1.8228576991993743,0.008862617937089718
SET,92302,cal,2019-02,0.42982013873582964,0.46825737489365016,0.6061879938158352,277.9706235613142,0.7098214285714286,1.5716172166894868,0.0
SET,92302,cal,2019-03,0.445665902552178,0.48624629291045396,0.625501069806219,286.82673392757295,0.7137096774193549,1.8077565597247682,0.004721521844107301
SET,92302,cal,2019-04,0.2527136704403317,0.2771728210330973,0.3454609663918862,158.41290362675986,0.8125,1.3236170154337872,0.022987139492670342
SET,92302,cal,2019-05,0.33920108538924887,0.36914936718007746,0.45707416869512185,209.59371182226366,0.7661290322580645,1.3629305663203213,0.011885398491902451
SET,92302,cal,2019-06,0.3590276149430274,0.39390988271479227,0.5090139297765275,233.41095650990803,0.775,1.6070514672838994,0.0035640117122750807
SET,92302,cal,2019-07,0.267872689703946,0.2918787640805025,0.35233214255750733,161.5637168115185,0.7943548387096774,1.2130218380645672,0.07319811438806248
SET,92302,cal,2019-08,0.2535177376308479,0.2757892573362569,0.34682739529464673,159.03948663075764,0.8208333333333333,1.2201458262691582,0.036105254229571324
MEMBER,92301,raw,2019-01,0.4227797032196451,0.46591981067631316,0.6022581127928737,276.168556397961,0.8991935483870968,2.381550906748361,0.004166666666666667
MEMBER,92301,raw,2019-02,0.4619272878998176,0.5027465604463269,0.6473502593777264,296.84579222542897,0.7857142857142857,2.102997998157614,0.0
MEMBER,92301,raw,2019-03,0.45192931853775187,0.4956280347462034,0.6349836158819038,291.17500422077796,0.8024193548387096,2.338675925158734,0.0037186379928315404
MEMBER,92301,raw,2019-04,0.26573046636444697,0.29493688833919735,0.361277562344706,165.66568508148194,0.9291666666666667,1.8217435071428165,0.041712962962962966
MEMBER,92301,raw,2019-05,0.3563473780253565,0.3905306336269024,0.4908079794282996,225.0625243033132,0.842741935483871,1.7792745418775775,0.0117831541218638
MEMBER,92301,raw,2019-06,0.3555034319782695,0.39234097532557555,0.510881145249863,234.26717777252196,0.9,2.0742502497210102,0.009000000000000001
MEMBER,92301,raw,2019-07,0.30363992436114495,0.33263246747806735,0.40409997351139026,185.3021220545615,0.842741935483871,1.5324527668207368,0.1046594982078853
MEMBER,92301,raw,2019-08,0.2755106925043248,0.30399097174565426,0.3806369347814295,174.54302492141724,0.8833333333333333,1.623965061561338,0.05834259259259259
MEMBER,92301,cal,2019-01,0.42048793417539737,0.4601560918160254,0.5967866580859114,273.6595926900064,0.7782258064516129,2.1176944506328934,0.0
MEMBER,92301,cal,2019-02,0.45559335558952724,0.49312936242182376,0.6368953681762803,292.051648071834,0.7455357142857143,1.8717046049181558,0.0
MEMBER,92301,cal,2019-03,0.45399031709218507,0.49411680594634194,0.6324195534804731,289.99924021382486,0.7741935483870968,2.085668499560765,0.0004301075268817204
MEMBER,92301,cal,2019-04,0.254393151221848,0.280606758324579,0.34295633734689385,157.26439309120178,0.875,1.621812589435644,0.025805555555555557
MEMBER,92301,cal,2019-05,0.34423423125800207,0.37470364696522307,0.4651600762657709,213.30154634291125,0.8145161290322581,1.5858431277781064,0.007625448028673836
MEMBER,92301,cal,2019-06,0.3502122769335005,0.384294486804152,0.49876810702628493,228.7126817703247,0.7958333333333333,1.847209681422626,0.0017870370370370368
MEMBER,92301,cal,2019-07,0.28249141983161835,0.3081127897670334,0.37783006466429764,173.25592018711953,0.7983870967741935,1.3662494270943841,0.06448924731182795
MEMBER,92301,cal,2019-08,0.2629532099251878,0.2881688220214625,0.3534136644755107,162.05965425173443,0.8708333333333333,1.4472126577522462,0.031175925925925926
MEMBER,92302,raw,2019-01,0.4314035071802081,0.47748764489542855,0.6140173570675872,281.5608183645433,0.9112903225806451,2.5851696363224534,0.01278673835125448
MEMBER,92302,raw,2019-02,0.45004016428825505,0.4908313070781308,0.6279699747351116,287.95886298588346,0.8348214285714286,2.3173239494212123,0.0
MEMBER,92302,raw,2019-03,0.45306708861511685,0.5002487880682496,0.6464454604494205,296.43089202142534,0.8629032258064516,2.5862183199227036,0.004417562724014336
MEMBER,92302,raw,2019-04,0.28196883866531247,0.31387430051034354,0.38983919636282205,178.76276931762695,0.9625,1.9972493984983297,0.03921296296296296
MEMBER,92302,raw,2019-05,0.36246689440153296,0.39675767992004424,0.49106076132002174,225.1784387403919,0.875,1.9403660702366041,0.011236559139784946
MEMBER,92302,raw,2019-06,0.3827817347777623,0.4232014606221153,0.5606071236166003,257.06928100585935,0.925,2.307672615159501,0.01411111111111111
MEMBER,92302,raw,2019-07,0.2921757005289191,0.32210316729235966,0.3911598420256109,179.36835818136893,0.9112903225806451,1.7264227836562522,0.09416666666666666
MEMBER,92302,raw,2019-08,0.2683423833018057,0.29715666443121075,0.36645775648348444,168.04108975728352,0.9291666666666667,1.7817959104264283,0.05628703703703703
MEMBER,92302,cal,2019-01,0.43021640874522604,0.4709987130049336,0.6105922612323453,279.99022304627204,0.8387096774193549,2.197374313065398,0.002132616487455197
MEMBER,92302,cal,2019-02,0.45241727853847163,0.48920604406182105,0.6289149871627907,288.39220329693387,0.7678571428571429,1.9764766897721344,0.0
MEMBER,92302,cal,2019-03,0.45770513877817803,0.4999711559451462,0.645255365334895,295.8851677833065,0.7782258064516129,2.2121801337275477,0.0027060931899641574
MEMBER,92302,cal,2019-04,0.28495051627011075,0.3132795906803063,0.39743348701484027,182.24517037073772,0.8583333333333333,1.7040114522719383,0.02150925925925926
MEMBER,92302,cal,2019-05,0.3582709817582775,0.3883839789404284,0.4799906161172064,220.102166698825,0.8145161290322581,1.6569773321185062,0.0041039426523297486
MEMBER,92302,cal,2019-06,0.38605396611360343,0.42208200492606,0.5571470402327153,255.48264196713765,0.8125,1.970104009733143,0.0030092592592592597
MEMBER,92302,cal,2019-07,0.2777505625693427,0.3037327985570058,0.37600851600365226,172.42063967643244,0.8387096774193549,1.4738139975152984,0.053378136200716846
MEMBER,92302,cal,2019-08,0.26897698534938275,0.29501871524820306,0.3705391005860589,169.91261109511058,0.8583333333333333,1.5220989201337551,0.028138888888888887
SCENARIO3,92301,raw,2019-01,0.4223773424934951,0.47105326421829324,0.607659199045925,278.6452522893106,0.9112903225806451,2.401405095455549,0.0033081020039726333
SCENARIO3,92301,raw,2019-02,0.46149025698824886,0.5045054240900023,0.6526280721347076,299.265960420881,0.7946428571428571,2.0514025360271138,0.0
SCENARIO3,92301,raw,2019-03,0.44859079755377984,0.4968672323199544,0.631528907620874,289.5908299722979,0.8064516129032258,2.323818126926287,0.0038461833217032842
