arm,seed,mode,series,origin,crps,pinball,nmae,raw_mae,coverage,width,negative_mass,native_pinball
FULL9,92301,raw,0,7416,0.07579136083449406,0.08216760518251653,0.10805249003093363,0.9798963200300932,0.984375,0.5086490755348383,0.32735339506172834,
FULL9,92301,raw,0,7440,0.1737787518127168,0.1918135751414283,0.25652502120115755,2.326350130373612,0.84375,0.49546902419089645,0.330054012345679,
FULL9,92301,raw,0,7464,0.1645879211081945,0.18250739253346765,0.24027296300511164,2.1789649843703955,0.8125,0.5023802680636903,0.4112654320987654,
FULL9,92301,raw,0,7488,0.061811960989892945,0.0666141664033707,0.0660771461356652,0.5992342454846948,0.953125,0.495840348120268,0.43132716049382713,
FULL9,92301,raw,0,7512,0.06605908138305017,0.07105533694541107,0.07084346869711541,0.6424586259381613,0.96875,0.4972128105950083,0.36053240740740744,
FULL9,92301,raw,0,7536,0.15954689561994562,0.17545011889718262,0.2385811217405694,2.1636221724766074,0.828125,0.48993459424032637,0.31905864197530864,
FULL9,92301,raw,0,7560,0.24791835494482095,0.2745728683414109,0.37822679026599576,3.430027756068739,0.75,0.5152453699941519,0.2926311728395061,
FULL9,92301,raw,0,7584,0.15264074582678572,0.16786385881208699,0.2102062750856398,1.9062990158272441,0.734375,0.501106263404085,0.22588734567901236,
FULL9,92301,raw,0,7608,0.06517096481795018,0.06992428155181867,0.0710320918228663,0.6441691937070573,0.9375,0.5002342966714806,0.27719907407407407,
FULL9,92301,raw,0,7632,0.08168892814692066,0.08943310078484037,0.11367378637898107,1.030874206830049,0.921875,0.4829796715786234,0.3294753086419753,
FULL9,92301,raw,0,7656,0.08973721889085567,0.09884510642073696,0.12877613474845045,1.1678329718415625,0.96875,0.4906922965545941,0.38580246913580246,
FULL9,92301,raw,0,7680,0.09946687609786509,0.1083929711501046,0.1467897265154738,1.331192948811804,0.890625,0.49028311671633595,0.31828703703703703,
FULL9,92301,raw,0,7704,0.08304197198058577,0.09050258875840243,0.12130578161050405,1.1000865316891577,0.96875,0.5050129328157607,0.2839506172839506,
FULL9,92301,raw,0,7728,0.06554596960915123,0.07209406022727802,0.0888297014775,0.8055704922880977,0.953125,0.4906589030051913,0.298804012345679,
FULL9,92301,raw,0,7752,0.0529040401455005,0.05740978423122749,0.05127081600634569,0.46495998301543295,0.90625,0.45601157641621903,0.4594907407407407,
FULL9,92301,raw,0,7776,0.052173454564922554,0.055670787120830525,0.04323607749756342,0.39209529757499695,0.9375,0.45602510768027116,0.31172839506172834,
FULL9,92301,raw,0,7800,0.0682627854358159,0.07430861950299057,0.09254359902880327,0.839250739198178,0.890625,0.48228581473043863,0.38773148148148145,
FULL9,92301,raw,0,7824,0.08140132178659115,0.08805192343689387,0.11600355413248607,1.0520021868287586,0.953125,0.490582953342795,0.3499228395061728,
