candidate,arm,seed,mode,region,examples,crps,pinball,nmae,raw_mae,coverage,width,negative_mass,native_pinball
A,CONTEXT3,92301,cal,full128,544,0.131921262356096,0.14391991658255823,0.1929049418233314,1.8933659264479743,0.8970157398897058,0.6240224935072756,0.346607349537037,
A,CONTEXT3,92302,raw,first64,544,0.15392395738257406,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,CONTEXT3,92302,raw,tail64,544,0.11001893307008942,0.1205382492720104,0.16133789350628577,1.5862593147615318,0.8913143382352942,0.4856137523466612,0.29711222596677556,
A,CONTEXT3,92302,raw,full128,544,0.13197144522633172,0.14393763043244204,0.19308999501540156,1.8951513509831222,0.9077866498161765,0.6217231021016607,0.319819963575708,
A,CONTEXT3,92302,cal,first64,544,0.15392395738257406,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,CONTEXT3,92302,cal,tail64,544,0.11001893307008942,0.1205382492720104,0.16133789350628577,1.5862593147615318,0.8913143382352942,0.4856137523466612,0.29711222596677556,
A,CONTEXT3,92302,cal,full128,544,0.13197144522633172,0.14393763043244204,0.19308999501540156,1.8951513509831222,0.9077866498161765,0.6217231021016607,0.319819963575708,
A,F0_NATIVE,0,raw,first64,544,0.15392395738257347,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,0.16737719481673022
A,F0_NATIVE,0,raw,tail64,544,0.11472769573134443,0.1261566493089507,0.16820316278987701,1.654374950607395,0.8624770220588235,0.43110570820415023,0.40707195783405953,0.1261566493089507
A,F0_NATIVE,0,raw,full128,544,0.134325826556959,0.14674683045091216,0.19652262965719713,1.9292091689060538,0.8933679917279411,0.5944690800304052,0.37479982950935,0.14676692206284045
A,F0_NATIVE,0,cal,first64,544,0.15392395738257347,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,0.16737719481673022
A,F0_NATIVE,0,cal,tail64,544,0.11472769573134443,0.1261566493089507,0.16820316278987701,1.654374950607395,0.8624770220588235,0.43110570820415023,0.40707195783405953,0.1261566493089507
A,F0_NATIVE,0,cal,full128,544,0.134325826556959,0.14674683045091216,0.19652262965719713,1.9292091689060538,0.8933679917279411,0.5944690800304052,0.37479982950935,0.14676692206284045
A,F0_MEDIAN,0,raw,first64,544,0.15392395738257392,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,F0_MEDIAN,0,raw,tail64,544,0.11957137608059891,0.12703158049018715,0.1667649632979875,1.6395805701757875,0.8426585477941176,0.43007968346781994,0.4235153696895425,
A,F0_MEDIAN,0,raw,full128,544,0.13674766673158642,0.14718429604153038,0.19580352991125244,1.9218119786902501,0.8834587545955882,0.5939560676622401,0.3830215354370915,
A,F0_MEDIAN,0,cal,first64,544,0.15392395738257392,0.16733701159287367,0.2248420965245173,2.2040433872047127,0.9242589613970589,0.7578324518566601,0.34252770118464043,
A,F0_MEDIAN,0,cal,tail64,544,0.11346852444862325,0.12465883106300557,0.1667649632979875,1.6395805701757875,0.9618566176470589,0.64511952520173,0.4277024611928105,
A,F0_MEDIAN,0,cal,full128,544,0.1336962409155986,0.14599792132793962,0.19580352991125244,1.9218119786902501,0.9430577895220589,0.7014759885291951,0.3851150811887255,
A,CHRONOS2,0,raw,first64,544,0.16333034387939926,0.17634991772580136,0.23882861761454036,2.3365316632153093,0.8700310202205882,0.7305420536104189,0.09173623876633988,
A,CHRONOS2,0,raw,tail64,544,0.11635243536241638,0.1256717357357811,0.16907720866586726,1.6582770936810822,0.8596047794117647,0.5210551703248676,0.10811121323529413,
A,CHRONOS2,0,raw,full128,544,0.13984138962090786,0.15101082673079122,0.2039529131402038,1.9974043784481958,0.8648178998161765,0.6257986119676433,0.09992372600081699,
A,CHRONOS2,0,cal,first64,544,0.16333034387939926,0.17634991772580136,0.23882861761454036,2.3365316632153093,0.8700310202205882,0.7305420536104189,0.09173623876633988,
A,CHRONOS2,0,cal,tail64,544,0.11635243536241638,0.1256717357357811,0.16907720866586726,1.6582770936810822,0.8596047794117647,0.5210551703248676,0.10811121323529413,
A,CHRONOS2,0,cal,full128,544,0.13984138962090786,0.15101082673079122,0.2039529131402038,1.9974043784481958,0.8648178998161765,0.6257986119676433,0.09992372600081699,
