candidate,baseline,seed,mode,metric,candidate_score,baseline_score,gain_pct
CONTEXT3,GLOBAL3,92301,cal,pinball,0.12050282157224276,0.12050282157224276,0.0
CONTEXT3,GLOBAL3,92301,cal,nmae,0.16096778712214543,0.16096778712214543,0.0
CONTEXT3,GLOBAL3,92302,cal,crps,0.11001893307008942,0.11001893307008942,0.0
CONTEXT3,GLOBAL3,92302,cal,pinball,0.1205382492720104,0.1205382492720104,0.0
CONTEXT3,GLOBAL3,92302,cal,nmae,0.16133789350628577,0.16133789350628577,0.0
CONTEXT3,F0_NATIVE,92301,raw,crps,0.10991856732961797,0.11472769573134443,4.1917763370650345
CONTEXT3,F0_NATIVE,92301,raw,pinball,0.12050282157224276,0.1261566493089507,4.481593136531414
CONTEXT3,F0_NATIVE,92301,raw,nmae,0.16096778712214543,0.16820316278987701,4.3015693330155536
CONTEXT3,F0_NATIVE,92302,raw,crps,0.11001893307008942,0.11472769573134443,4.104294635430861
CONTEXT3,F0_NATIVE,92302,raw,pinball,0.1205382492720104,0.1261566493089507,4.453510827781382
CONTEXT3,F0_NATIVE,92302,raw,nmae,0.16133789350628577,0.16820316278987701,4.08153400311948
CONTEXT3,F0_NATIVE,92301,cal,crps,0.10991856732961797,0.11472769573134443,4.1917763370650345
CONTEXT3,F0_NATIVE,92301,cal,pinball,0.12050282157224276,0.1261566493089507,4.481593136531414
CONTEXT3,F0_NATIVE,92301,cal,nmae,0.16096778712214543,0.16820316278987701,4.3015693330155536
CONTEXT3,F0_NATIVE,92302,cal,crps,0.11001893307008942,0.11472769573134443,4.104294635430861
CONTEXT3,F0_NATIVE,92302,cal,pinball,0.1205382492720104,0.1261566493089507,4.453510827781382
CONTEXT3,F0_NATIVE,92302,cal,nmae,0.16133789350628577,0.16820316278987701,4.08153400311948
CONTEXT3,F0_MEDIAN,92301,raw,crps,0.10991856732961797,0.11957137608059891,8.072842403749137
CONTEXT3,F0_MEDIAN,92301,raw,pinball,0.12050282157224276,0.12703158049018715,5.1394770440163935
CONTEXT3,F0_MEDIAN,92301,raw,nmae,0.16096778712214543,0.1667649632979875,3.4762554802853063
CONTEXT3,F0_MEDIAN,92302,raw,crps,0.11001893307008942,0.11957137608059891,7.98890447164422
CONTEXT3,F0_MEDIAN,92302,raw,pinball,0.1205382492720104,0.12703158049018715,5.111588152426661
CONTEXT3,F0_MEDIAN,92302,raw,nmae,0.16133789350628577,0.1667649632979875,3.254322541362753
CONTEXT3,F0_MEDIAN,92301,cal,crps,0.10991856732961797,0.11346852444862325,3.1285831346230752
