symbol,n_train,n_first,n_second,ar_order,xi,theta,threshold,n_exceedances,se,se_resid,kurtosis,xi_first,xi_second,theta_first,theta_second,se_first,se_second
CMCSA,3020,1510,1510,0,0.26111084385660044,0.4021459277244523,3.0555391224195687,151,0.9431065005244198,0.9431065005244198,14.437372363036626,0.37493700896980275,0.06912179176513018,0.3860949823549696,0.8660543230354552,0.9352936674947123,0.9407696543682819
COF,3020,1510,1510,0,0.3325952697418838,0.2367246551071498,3.800349778005849,151,0.9459714728581036,0.9459714728581036,15.680776001560975,0.2105616704737902,0.4005188835479183,0.324666168410563,0.7235835059164406,0.9430412955835084,0.9378432930661307
COP,3020,1510,1510,0,0.13457074154058155,0.3447164305004728,3.079767233979472,151,0.9401240063633339,0.9401240063633337,6.093346989690685,0.2093705991738071,0.2152225304441096,0.5531409395973155,0.25377057429526345,0.940069778061592,0.9398836240966563
COST,3020,1510,1510,0,0.22685686790361934,0.4904352370572902,2.838375588286402,151,0.9447394540481272,0.9447394540481272,7.884065817336104,0.24670452788633174,0.3829657699853871,0.30253202832816106,0.5740503812252439,0.9371776787393105,0.9357467475989453
CRM,3020,1510,1510,0,0.21628066479914076,0.6663162233571166,3.0164286248220407,151,0.9420343146071912,0.9420343146071913,5.666251204492486,0.21350318795690298,0.09720414178595771,0.8721237032687414,0.6175755433544627,0.9328985681424125,0.9341420718103994
CSCO,3020,1510,1510,0,0.24762667489985493,0.6095341736948702,3.094023980586878,151,0.9431406322023352,0.9431406322023353,11.927369917216724,0.2556167079892117,0.42541868406662214,0.4779846605943105,0.7685238894215404,0.9346207982125749,0.9384654968055804
CVS,3020,1510,1510,0,0.3018891403355606,0.44711308826972607,2.8098627505705576,151,0.9424335602467575,0.9424335602467574,20.363182265892664,0.567258740020981,0.4179117432621249,0.4149605125912681,0.7799570841032366,0.932089529100643,0.9362528637481082
CVX,3020,1510,1510,0,0.21846252470996694,0.4353951367343353,3.0321551238318487,151,0.9424456597899232,0.9424456597899233,12.634911781393292,0.3273118987158776,-0.06637925262044779,0.37153273193246544,0.5351314633899912,0.9338253089509162,0.9427073037248527
DE,3020,1510,1510,0,0.13972936704500705,0.3462220045095341,3.337701745144937,151,0.9450120695202873,0.9450120695202873,6.967652666954654,0.014268408452315917,0.14553775768876925,0.3315568045288859,0.7744746007612763,0.9318015550002637,0.9382535142325193
DHR,3020,1510,1510,0,0.18780476565479842,0.49251592581878956,3.1266138397188845,151,0.9385110530814454,0.9385110530814453,207.54196228712198,0.16835135901928666,0.10661095891268038,0.5700539055068174,0.5755217270965957,0.9308410056694435,0.9279091060754742
DIS,3020,1510,1510,0,0.19051170803286294,0.5693345412086805,3.2412891901825875,151,0.9432911127294666,0.9432911127294665,8.651105264253374,0.16289952174122002,0.2930395560446851,0.543601077831254,0.6606812517308225,0.9354848560749648,0.936790407026641
DUK,3020,1510,1510,0,0.1937443174800117,0.3805734382451121,3.0365918728251504,151,0.9404581182018142,0.9404581182018141,10.286067032642805,0.2773590130036022,0.04418690187166921,0.37123861271537634,0.7942597500946611,0.9304165698742604,0.9354306138166615
EMR,3020,1510,1510,0,0.09186758832930149,0.39275293326397537,3.3224061438697756,151,0.9395530042668012,0.9395530042668012,8.584831587512546,0.13206558362882337,-0.015216059423001905,0.4451012314756836,0.7975515386414515,0.9250014467475975,0.9407533537201312
FDX,3020,1510,1510,0,0.11455637202367921,0.510795188915806,3.081537018430613,151,0.9453014667806391,0.9453014667806391,5.309322638414596,0.12896497930021072,-0.010083294167324834,0.2389378348834292,0.7928930366116296,0.9365594335488754,0.9380155272077062
GD,3020,1510,1510,0,0.07551602469849945,0.5268008679427106,3.016666051909969,151,0.9406864520644495,0.9406864520644495,4.492971583358093,0.07141674844603844,0.1975944790370679,0.351019368439545,0.7715412735849057,0.9269425561658635,0.93789525609359
GE,3020,1510,1510,0,0.04641594872017665,0.2982995278670466,3.408053996217071,151,0.9409528643211965,0.9409528643211965,12.532917455908345,-0.12338197792300903,0.0999443207347529,0.18620217571850478,0.5720827622217871,0.9339928766219276,0.9421304803165684
GILD,3020,1510,1510,0,0.3017197475027596,0.75240253871541,2.764856733752857,151,0.9426687694668191,0.942668769466819,7.113963923200725,0.25724023167858606,0.46631447539040616,0.6588295740055896,0.7869547884388873,0.9329635395407725,0.9304180610707188
GOOG,3020,1510,1510,0,0.05525331017892003,0.4507343786803055,3.1402030007841595,151,0.9463082071637064,0.9463082071637066,9.760750675740027,-0.025595224393793546,0.3226524869307626,0.5051737549567354,0.6089740069125514,0.9351358109695644,0.9366723641077705
GOOGL,3020,1510,1510,0,0.08853537055131558,0.4319347037484885,3.193250845775041,151,0.9462608184398148,0.9462608184398148,9.805678339795106,-0.025599475026077644,0.2816284072209847,0.5051737549567354,0.4547738000530363,0.9351357503092653,0.9357631500188349
