origin_time,ALL,RECENT_OR_PLANNED_CHANGE,RECENT_PAST_CHANGE,CHANGE_IN_PLAN,NO_RECENT_OR_PLANNED_CHANGE,MULTIPLE_CHANGES_IN_CONTEXT,past_changes_in_context,plan_changes,last_observed_change_age_s,recent_window_s,age_resolution_s,no_change_does_not_prove_thermal_settling,PERSISTENCE,CURRENT_PLAN_TUNED,CURRENT_PLAN_A1,HISTORY_SUMMARY_PLAN_TUNED,HISTORY_SUMMARY_PLAN_A1,HISTORY_LAGS_PLAN_TUNED,HISTORY_LAGS_PLAN_A1
1655370.0,True,True,False,True,False,True,3,1,1140,900,30,True,1.71916248280725,0.346364437052146,0.4620413983300769,0.22105667897820544,0.3242068966443715,0.27196708378717743,0.2824942692429791
1655970.0,True,True,False,True,False,True,3,1,1740,900,30,True,5.231702993082909,1.3092240822921761,1.3747049988044713,1.1851573235054729,1.2332818367380165,1.243277309931661,1.26924676014544
1656570.0,True,True,True,False,False,True,3,0,540,900,30,True,0.0,0.014814420636522148,0.02953583313928713,0.06944045793823837,0.06835482757418276,0.06933675955952481,0.03677562037940258
1657170.0,True,False,False,False,True,True,3,0,1140,900,30,True,0.0,0.02144474944926742,0.03053510053230563,0.03344228500612303,0.02922770634711848,0.0996593852114889,0.1301538197322562
1657770.0,True,False,False,False,True,True,3,0,1740,900,30,True,0.0,0.0379450323889652,0.06341079720057981,0.10734058594306552,0.1719002309112625,0.11118263349718328,0.1287529763431602
1658370.0,True,False,False,False,True,True,3,0,2340,900,30,True,0.0,0.025495315606972706,0.023552982809697674,0.1123958803294992,0.14231575031680752,0.026269899427993928,0.029964467087773984
1658970.0,True,False,False,False,True,True,3,0,2940,900,30,True,0.0,0.040709722371472405,0.05694571808294692,0.12775634170664601,0.12091140550419557,0.045811793936593403,0.044953824658337756
1659570.0,True,False,False,False,True,True,3,0,3540,900,30,True,0.0,0.06853771005735515,0.07054345584849292,0.18800259066621075,0.163516927259307,0.10824727077727896,0.12709895078672276
1660170.0,True,False,False,False,True,True,2,0,4140,900,30,True,0.0,0.06576678451957983,0.05422553588201708,0.023716507100274006,0.05680029991048249,0.022299221029650578,0.035701386821267535
1660770.0,True,True,False,True,False,True,2,1,4740,900,30,True,1.8861561804727462,0.09808638923459702,0.09167095872861068,0.08633803475539897,0.10409394012716765,0.08517532953570897,0.08675250652046126
1661370.0,True,True,False,True,False,True,2,1,5340,900,30,True,5.5034248596904565,0.13078395121595462,0.12733789767220477,0.11640733008904931,0.13280786109659176,0.18656399197947357,0.18223100410143048
1661970.0,True,True,True,False,False,True,2,0,540,900,30,True,0.07242597032562799,0.13142540280524978,0.15438553230298263,0.1810431304218582,0.2129849828366332,0.11965909072861791,0.19410834778688013
1662570.0,True,False,False,False,True,True,2,0,1140,900,30,True,0.25683274494635383,0.06810860486207275,0.07662379577546782,0.04623574190103454,0.07744759209353637,0.042382586191395906,0.025720153156070562
1663170.0,True,False,False,False,True,True,2,0,1740,900,30,True,0.2526340323451791,0.0373142094011655,0.027083593133752023,0.06776230525140363,0.05844111725003434,0.06663387005743099,0.06783333874482006
1663770.0,True,False,False,False,True,False,1,0,2340,900,30,True,0.22077242495462693,0.08755664064051606,0.1039689543870774,0.0872252122879047,0.08607142007658884,0.050653852543501895,0.05698921919855214
1664370.0,True,True,False,True,False,False,1,1,2940,900,30,True,0.5599622635480955,0.042269285323330526,0.08497275395677471,0.031390584962845955,0.06068417402302468,0.038952454704097285,0.04493736783011286
1664970.0,True,True,False,True,False,False,1,1,3540,900,30,True,1.5961518029547732,0.13623645789662836,0.1622659578209967,0.08940292070341418,0.1274131699859576,0.13348309155783986,0.1337505159464475
1665570.0,True,True,True,False,False,True,2,0,540,900,30,True,0.3382643154227101,0.015371314566541136,0.011459775289118094,0.06310002661272733,0.06842911218325677,0.012511460625099365,0.015934478963252254
1666170.0,True,False,False,False,True,True,2,0,1140,900,30,True,0.29559531097801256,0.02735403112588036,0.07657127718162163,0.006289029634223198,0.039551948538388615,0.030122129947339243,0.025782608784809705
1666770.0,True,False,False,False,True,True,2,0,1740,900,30,True,0.25998853358451396,0.01383876900711698,0.02045156232481228,0.02879397477544785,0.014975149358214897,0.088285075757301,0.08719441216011888
1667370.0,True,False,False,False,True,True,2,0,2340,900,30,True,0.23264119448322731,0.01559831406276923,0.004448339696313042,0.0247611455659334,0.030481423193377093,0.01764732853406675,0.015999941988807602
1667970.0,True,False,False,False,True,True,2,0,2940,900,30,True,0.21127024973862754,0.03773990352721815,0.022320961265899088,0.02644491135907098,0.02601885136586096,0.0531323321822659,0.048498349363226605
