dataset,seed,split,method,channel,mse
electricity,41000,V,EXPANDING_DAILY,12,0.3551916525420126
electricity,41000,V,EXPANDING_DAILY,13,0.23336351611012277
electricity,41000,V,EXPANDING_DAILY,14,0.24328540161722892
electricity,41000,V,EXPANDING_DAILY,15,0.26021009783580185
electricity,41000,V,EXPANDING_DAILY,16,0.30019295146741765
electricity,41000,V,EXPANDING_DAILY,17,0.620375327022952
electricity,41000,V,EXPANDING_DAILY,18,0.5499646716492468
electricity,41000,V,EXPANDING_DAILY,19,0.6773276434173231
electricity,41000,V,EXPANDING_DAILY,20,0.4235204702039175
electricity,41000,V,EXPANDING_DAILY,21,0.2557197897889164
electricity,41000,V,EXPANDING_DAILY,22,0.2669379975792641
electricity,41000,V,EXPANDING_DAILY,23,0.2873489444315272
electricity,41000,V,EXPANDING_DAILY,24,0.27138307360102687
electricity,41000,V,EXPANDING_DAILY,25,0.9169139933046213
electricity,41000,V,EXPANDING_DAILY,26,0.2671816466460825
electricity,41000,V,EXPANDING_DAILY,27,0.5959332264458528
electricity,41000,V,EXPANDING_DAILY,28,0.46824889174219525
electricity,41000,V,EXPANDING_DAILY,29,0.5916763987061355
electricity,41000,V,EXPANDING_DAILY,30,0.14409488754971722
electricity,41000,V,EXPANDING_DAILY,31,0.3589152520951981
electricity,41000,V,LAST_BIAS,0,0.8460322195820509
electricity,41000,V,LAST_BIAS,1,0.47484820603113065
electricity,41000,V,LAST_BIAS,2,0.000497910631138752
electricity,41000,V,LAST_BIAS,3,0.4610854018905548
electricity,41000,V,LAST_BIAS,4,0.3780907223967997
electricity,41000,V,LAST_BIAS,5,0.34845430824430673
electricity,41000,V,LAST_BIAS,6,0.021359938477874367
electricity,41000,V,LAST_BIAS,7,0.4597951821455949
electricity,41000,V,LAST_BIAS,8,0.3972363396131371
electricity,41000,V,LAST_BIAS,9,0.35924980537449835
electricity,41000,V,LAST_BIAS,10,0.33647912496508703
electricity,41000,V,LAST_BIAS,11,1.2136302490016908
electricity,41000,V,LAST_BIAS,12,0.4975269509530195
electricity,41000,V,LAST_BIAS,13,0.3565086955874603
electricity,41000,V,LAST_BIAS,14,0.40608382162736306
electricity,41000,V,LAST_BIAS,15,0.4352510607472216
electricity,41000,V,LAST_BIAS,16,0.4411653364833392
electricity,41000,V,LAST_BIAS,17,0.8406919320762885
electricity,41000,V,LAST_BIAS,18,0.8392225524169274
electricity,41000,V,LAST_BIAS,19,1.195469804662382
electricity,41000,V,LAST_BIAS,20,0.8291222605065219
electricity,41000,V,LAST_BIAS,21,0.4421189416281409
electricity,41000,V,LAST_BIAS,22,0.40694137864907476
electricity,41000,V,LAST_BIAS,23,0.41254535880806004
electricity,41000,V,LAST_BIAS,24,0.40825247131883247
electricity,41000,V,LAST_BIAS,25,1.6432088773585245
electricity,41000,V,LAST_BIAS,26,0.37650641213186115
electricity,41000,V,LAST_BIAS,27,0.9159102790404317
electricity,41000,V,LAST_BIAS,28,0.6891629344711213
electricity,41000,V,LAST_BIAS,29,0.9230508121609986
electricity,41000,V,LAST_BIAS,30,0.24975030683486943
electricity,41000,V,LAST_BIAS,31,0.493626693240632
electricity,41000,E,UNCHANGED,0,0.33885374804940865
electricity,41000,E,UNCHANGED,1,0.2802072081720542
electricity,41000,E,UNCHANGED,2,0.0005825185638554123
electricity,41000,E,UNCHANGED,3,0.2878789699696036
electricity,41000,E,UNCHANGED,4,0.32544244660697585
electricity,41000,E,UNCHANGED,5,0.25987235537102826
electricity,41000,E,UNCHANGED,6,0.7372167751257012
electricity,41000,E,UNCHANGED,7,0.3811482229305584
electricity,41000,E,UNCHANGED,8,0.33126510158243105
electricity,41000,E,UNCHANGED,9,0.7493658418971753
electricity,41000,E,UNCHANGED,10,0.25829167441867307
electricity,41000,E,UNCHANGED,11,1.2000712602238153
electricity,41000,E,UNCHANGED,12,0.25589052486757563
electricity,41000,E,UNCHANGED,13,0.3316435595028571
electricity,41000,E,UNCHANGED,14,0.29557716177301474
electricity,41000,E,UNCHANGED,15,0.4336721855855604
electricity,41000,E,UNCHANGED,16,0.3661379530664011
electricity,41000,E,UNCHANGED,17,0.5147292130569694
electricity,41000,E,UNCHANGED,18,0.21682220117476914
electricity,41000,E,UNCHANGED,19,1.0923137077563285
electricity,41000,E,UNCHANGED,20,0.854956982189612
electricity,41000,E,UNCHANGED,21,0.35151180403749877
electricity,41000,E,UNCHANGED,22,0.29011569651652747
electricity,41000,E,UNCHANGED,23,0.31494321298930666
electricity,41000,E,UNCHANGED,24,0.32458920771321154
electricity,41000,E,UNCHANGED,25,0.9120433694200687
electricity,41000,E,UNCHANGED,26,0.2902773159339417
electricity,41000,E,UNCHANGED,27,0.45983143831735845
electricity,41000,E,UNCHANGED,28,0.49437211454056734
electricity,41000,E,UNCHANGED,29,0.9745661231432631
electricity,41000,E,UNCHANGED,30,0.4982675225826445
electricity,41000,E,UNCHANGED,31,0.4850978888051154
electricity,41000,E,EXPANDING_BIAS,0,0.3417141118627818
electricity,41000,E,EXPANDING_BIAS,1,0.27683730548486124
electricity,41000,E,EXPANDING_BIAS,2,0.0005857971599843003
electricity,41000,E,EXPANDING_BIAS,3,0.28745991899290113
electricity,41000,E,EXPANDING_BIAS,4,0.32780632537167204
electricity,41000,E,EXPANDING_BIAS,5,0.2623472160519993
electricity,41000,E,EXPANDING_BIAS,6,0.7469000369260125
electricity,41000,E,EXPANDING_BIAS,7,0.3779826369210733
electricity,41000,E,EXPANDING_BIAS,8,0.32808707315164604
electricity,41000,E,EXPANDING_BIAS,9,0.7525440929033145
electricity,41000,E,EXPANDING_BIAS,10,0.2587160776192915
electricity,41000,E,EXPANDING_BIAS,11,1.1990845296648782
electricity,41000,E,EXPANDING_BIAS,12,0.25690374865594184
electricity,41000,E,EXPANDING_BIAS,13,0.33185995791125283
electricity,41000,E,EXPANDING_BIAS,14,0.30132428853610066
electricity,41000,E,EXPANDING_BIAS,15,0.4349603900785255
electricity,41000,E,EXPANDING_BIAS,16,0.36812295273614126
electricity,41000,E,EXPANDING_BIAS,17,0.5211709827293161
electricity,41000,E,EXPANDING_BIAS,18,0.22258059594212284
electricity,41000,E,EXPANDING_BIAS,19,1.0739078305129208
electricity,41000,E,EXPANDING_BIAS,20,0.8625941105870766
electricity,41000,E,EXPANDING_BIAS,21,0.3465624142334516
electricity,41000,E,EXPANDING_BIAS,22,0.29186532337493076
electricity,41000,E,EXPANDING_BIAS,23,0.316996970399624
electricity,41000,E,EXPANDING_BIAS,24,0.32511725940970665
electricity,41000,E,EXPANDING_BIAS,25,0.9208385486277746
electricity,41000,E,EXPANDING_BIAS,26,0.29093711203720457
electricity,41000,E,EXPANDING_BIAS,27,0.46136464607374283
electricity,41000,E,EXPANDING_BIAS,28,0.4938703637126432
electricity,41000,E,EXPANDING_BIAS,29,0.9787162264557676
electricity,41000,E,EXPANDING_BIAS,30,0.500696170514188
electricity,41000,E,EXPANDING_BIAS,31,0.47441067184669655
electricity,41000,E,EXPANDING_DAILY,0,0.34067521718229776
electricity,41000,E,EXPANDING_DAILY,1,0.19053117897608002
electricity,41000,E,EXPANDING_DAILY,2,0.0005438499554030165
electricity,41000,E,EXPANDING_DAILY,3,0.22617104676565664
electricity,41000,E,EXPANDING_DAILY,4,0.29668192786072933
electricity,41000,E,EXPANDING_DAILY,5,0.18357423402094558
electricity,41000,E,EXPANDING_DAILY,6,0.7453333394509232
electricity,41000,E,EXPANDING_DAILY,7,0.29255488196890017
electricity,41000,E,EXPANDING_DAILY,8,0.27463152517778683
electricity,41000,E,EXPANDING_DAILY,9,0.7449326533973081
electricity,41000,E,EXPANDING_DAILY,10,0.21858936438112841
electricity,41000,E,EXPANDING_DAILY,11,0.9744934655579478
electricity,41000,E,EXPANDING_DAILY,12,0.22124987445225433
electricity,41000,E,EXPANDING_DAILY,13,0.24575196159566198
electricity,41000,E,EXPANDING_DAILY,14,0.21725347418938562
electricity,41000,E,EXPANDING_DAILY,15,0.3378005015108606
electricity,41000,E,EXPANDING_DAILY,16,0.28908588949761577
electricity,41000,E,EXPANDING_DAILY,17,0.46317333166683916
electricity,41000,E,EXPANDING_DAILY,18,0.19298838092472578
electricity,41000,E,EXPANDING_DAILY,19,0.805203884981052
electricity,41000,E,EXPANDING_DAILY,20,0.4359173704657179
electricity,41000,E,EXPANDING_DAILY,21,0.23981865053714677
electricity,41000,E,EXPANDING_DAILY,22,0.21019667539172726
electricity,41000,E,EXPANDING_DAILY,23,0.22605202067605631
electricity,41000,E,EXPANDING_DAILY,24,0.27792328500359265
electricity,41000,E,EXPANDING_DAILY,25,0.9096438481137493
electricity,41000,E,EXPANDING_DAILY,26,0.20107183170576426
electricity,41000,E,EXPANDING_DAILY,27,0.38962252936919683
electricity,41000,E,EXPANDING_DAILY,28,0.40206967583073444
electricity,41000,E,EXPANDING_DAILY,29,0.8709832762456882
electricity,41000,E,EXPANDING_DAILY,30,0.42549209933594256
electricity,41000,E,EXPANDING_DAILY,31,0.37531994616730296
electricity,41000,E,LAST_BIAS,0,0.500198485763204
electricity,41000,E,LAST_BIAS,1,0.3198184828033046
electricity,41000,E,LAST_BIAS,2,0.0005858605427388345
electricity,41000,E,LAST_BIAS,3,0.3265947732613148
electricity,41000,E,LAST_BIAS,4,0.49179738430472
electricity,41000,E,LAST_BIAS,5,0.2973664688604986
electricity,41000,E,LAST_BIAS,6,1.3927345410910792
electricity,41000,E,LAST_BIAS,7,0.43861484020546154
electricity,41000,E,LAST_BIAS,8,0.4193361168835767
electricity,41000,E,LAST_BIAS,9,1.0465591635385922
electricity,41000,E,LAST_BIAS,10,0.29937208098095774
electricity,41000,E,LAST_BIAS,11,1.7248703066276017
electricity,41000,E,LAST_BIAS,12,0.37739626360790157
electricity,41000,E,LAST_BIAS,13,0.3864998873628224
electricity,41000,E,LAST_BIAS,14,0.3083177318886483
electricity,41000,E,LAST_BIAS,15,0.5628249636112919
electricity,41000,E,LAST_BIAS,16,0.38956217712249613
electricity,41000,E,LAST_BIAS,17,0.6062996932399124
electricity,41000,E,LAST_BIAS,18,0.24722382177398106
electricity,41000,E,LAST_BIAS,19,1.2659430401824072
electricity,41000,E,LAST_BIAS,20,0.8992239916459219
electricity,41000,E,LAST_BIAS,21,0.4144459130885284
electricity,41000,E,LAST_BIAS,22,0.33133225049896614
electricity,41000,E,LAST_BIAS,23,0.3504929447836477
electricity,41000,E,LAST_BIAS,24,0.43572552250382135
electricity,41000,E,LAST_BIAS,25,1.7101187830903175
electricity,41000,E,LAST_BIAS,26,0.32988916072452884
electricity,41000,E,LAST_BIAS,27,0.6669241924598708
electricity,41000,E,LAST_BIAS,28,0.6062275801236876
electricity,41000,E,LAST_BIAS,29,1.405031351871551
electricity,41000,E,LAST_BIAS,30,0.7955032713473801
electricity,41000,E,LAST_BIAS,31,0.601151607515888
electricity,41001,V,UNCHANGED,0,0.5622062164970928
electricity,41001,V,UNCHANGED,1,0.38916557057607887
electricity,41001,V,UNCHANGED,2,0.0004800174575134572
electricity,41001,V,UNCHANGED,3,0.4487120756207899
electricity,41001,V,UNCHANGED,4,0.34816086586153683
electricity,41001,V,UNCHANGED,5,0.3389521951996622
electricity,41001,V,UNCHANGED,6,0.021397388126045525
electricity,41001,V,UNCHANGED,7,0.4484338708964731
electricity,41001,V,UNCHANGED,8,0.3033312979123315
electricity,41001,V,UNCHANGED,9,0.306040609205394
electricity,41001,V,UNCHANGED,10,0.322212985072739
electricity,41001,V,UNCHANGED,11,1.0797746185874275
electricity,41001,V,UNCHANGED,12,0.4012497735554357
electricity,41001,V,UNCHANGED,13,0.36828584722898405
electricity,41001,V,UNCHANGED,14,0.4439408398771011
electricity,41001,V,UNCHANGED,15,0.3902107050760983
electricity,41001,V,UNCHANGED,16,0.44629891807762345
electricity,41001,V,UNCHANGED,17,0.6843438483631636
electricity,41001,V,UNCHANGED,18,0.6359572851458452
electricity,41001,V,UNCHANGED,19,0.9356483344214088
electricity,41001,V,UNCHANGED,20,0.7521874218596727
electricity,41001,V,UNCHANGED,21,0.4359030087615431
electricity,41001,V,UNCHANGED,22,0.4282161703617837
electricity,41001,V,UNCHANGED,23,0.44049907357205237
electricity,41001,V,UNCHANGED,24,0.3742815208168802
electricity,41001,V,UNCHANGED,25,0.8226995114229103
electricity,41001,V,UNCHANGED,26,0.380615426059011
electricity,41001,V,UNCHANGED,27,0.698873610901267
electricity,41001,V,UNCHANGED,28,0.6107219458844219
electricity,41001,V,UNCHANGED,29,0.7298754641531231
electricity,41001,V,UNCHANGED,30,0.25080791588211065
electricity,41001,V,UNCHANGED,31,0.4953178845141074
electricity,41001,V,EXPANDING_BIAS,0,0.5684053491942522
electricity,41001,V,EXPANDING_BIAS,1,0.42372958002893346
electricity,41001,V,EXPANDING_BIAS,2,0.00048132387651241096
electricity,41001,V,EXPANDING_BIAS,3,0.4555313243877046
electricity,41001,V,EXPANDING_BIAS,4,0.355914705265058
electricity,41001,V,EXPANDING_BIAS,5,0.31603348583179747
electricity,41001,V,EXPANDING_BIAS,6,0.021699843790598108
electricity,41001,V,EXPANDING_BIAS,7,0.39152006192005967
electricity,41001,V,EXPANDING_BIAS,8,0.30936746025661754
electricity,41001,V,EXPANDING_BIAS,9,0.31814623520625757
electricity,41001,V,EXPANDING_BIAS,10,0.32593132383552204
electricity,41001,V,EXPANDING_BIAS,11,1.117622166514723
electricity,41001,V,EXPANDING_BIAS,12,0.4276506532950225
electricity,41001,V,EXPANDING_BIAS,13,0.3755765026210569
electricity,41001,V,EXPANDING_BIAS,14,0.364671936651011
electricity,41001,V,EXPANDING_BIAS,15,0.3768112625156025
electricity,41001,V,EXPANDING_BIAS,16,0.44248524096837766
electricity,41001,V,EXPANDING_BIAS,17,0.6929392836207535
electricity,41001,V,EXPANDING_BIAS,18,0.6014162128521242
electricity,41001,V,EXPANDING_BIAS,19,0.9472146477929522
electricity,41001,V,EXPANDING_BIAS,20,0.7872027430318411
electricity,41001,V,EXPANDING_BIAS,21,0.43833049720782036
electricity,41001,V,EXPANDING_BIAS,22,0.43001574184173047
electricity,41001,V,EXPANDING_BIAS,23,0.4451655273301581
electricity,41001,V,EXPANDING_BIAS,24,0.37701207471348236
electricity,41001,V,EXPANDING_BIAS,25,0.8676401954034847
electricity,41001,V,EXPANDING_BIAS,26,0.3716773517603766
electricity,41001,V,EXPANDING_BIAS,27,0.7130757214164017
electricity,41001,V,EXPANDING_BIAS,28,0.6133692198286922
electricity,41001,V,EXPANDING_BIAS,29,0.7770145970415901
electricity,41001,V,EXPANDING_BIAS,30,0.2522164366071662
electricity,41001,V,EXPANDING_BIAS,31,0.4480916328681188
electricity,41001,V,EXPANDING_DAILY,0,0.5541976186796476
electricity,41001,V,EXPANDING_DAILY,1,0.34079419630736635
electricity,41001,V,EXPANDING_DAILY,2,0.0004450440886823708
electricity,41001,V,EXPANDING_DAILY,3,0.2814691338102777
electricity,41001,V,EXPANDING_DAILY,4,0.28439299135798757
electricity,41001,V,EXPANDING_DAILY,5,0.20695061289943303
electricity,41001,V,EXPANDING_DAILY,6,0.016293777908211012
electricity,41001,V,EXPANDING_DAILY,7,0.2613333984358271
electricity,41001,V,EXPANDING_DAILY,8,0.19897550321424995
electricity,41001,V,EXPANDING_DAILY,9,0.3102642431890258
electricity,41001,V,EXPANDING_DAILY,10,0.23747681114945826
electricity,41001,V,EXPANDING_DAILY,11,0.8898107805914304
electricity,41001,V,EXPANDING_DAILY,12,0.3864838022855821
electricity,41001,V,EXPANDING_DAILY,13,0.24264168870580005
electricity,41001,V,EXPANDING_DAILY,14,0.23299743095067965
electricity,41001,V,EXPANDING_DAILY,15,0.2595682815621716
electricity,41001,V,EXPANDING_DAILY,16,0.3092040267493034
electricity,41001,V,EXPANDING_DAILY,17,0.6209407241184126
electricity,41001,V,EXPANDING_DAILY,18,0.5228437062892046
electricity,41001,V,EXPANDING_DAILY,19,0.6931632710972842
electricity,41001,V,EXPANDING_DAILY,20,0.430485472906275
electricity,41001,V,EXPANDING_DAILY,21,0.2601121539908457
electricity,41001,V,EXPANDING_DAILY,22,0.2658665855523229
electricity,41001,V,EXPANDING_DAILY,23,0.29281069601820353
electricity,41001,V,EXPANDING_DAILY,24,0.2681193210265146
electricity,41001,V,EXPANDING_DAILY,25,0.8567788087586775
electricity,41001,V,EXPANDING_DAILY,26,0.2610023580977192
electricity,41001,V,EXPANDING_DAILY,27,0.6112836117065283
electricity,41001,V,EXPANDING_DAILY,28,0.4604113103320928
electricity,41001,V,EXPANDING_DAILY,29,0.6654227213197795
electricity,41001,V,EXPANDING_DAILY,30,0.14155797639165507
electricity,41001,V,EXPANDING_DAILY,31,0.37351489044711705
electricity,41001,V,LAST_BIAS,0,0.9231985827375923
electricity,41001,V,LAST_BIAS,1,0.45205374279422067
electricity,41001,V,LAST_BIAS,2,0.0004925815379527744
electricity,41001,V,LAST_BIAS,3,0.47755283492401784
electricity,41001,V,LAST_BIAS,4,0.37965839858233563
electricity,41001,V,LAST_BIAS,5,0.3325992198875732
electricity,41001,V,LAST_BIAS,6,0.023075788836860876
electricity,41001,V,LAST_BIAS,7,0.44628417584613767
electricity,41001,V,LAST_BIAS,8,0.37816725798175715
electricity,41001,V,LAST_BIAS,9,0.35578108885963056
electricity,41001,V,LAST_BIAS,10,0.3438841626231257
electricity,41001,V,LAST_BIAS,11,1.5966097257984593
electricity,41001,V,LAST_BIAS,12,0.5802942630632139
electricity,41001,V,LAST_BIAS,13,0.3923660789705492
electricity,41001,V,LAST_BIAS,14,0.37157364853630614
electricity,41001,V,LAST_BIAS,15,0.43348093914013386
electricity,41001,V,LAST_BIAS,16,0.4605055422591255
electricity,41001,V,LAST_BIAS,17,0.8729484024240395
electricity,41001,V,LAST_BIAS,18,0.7820809440273275
electricity,41001,V,LAST_BIAS,19,1.1965902528320314
electricity,41001,V,LAST_BIAS,20,0.8930656457017743
electricity,41001,V,LAST_BIAS,21,0.4466919692994621
electricity,41001,V,LAST_BIAS,22,0.43105908713239205
electricity,41001,V,LAST_BIAS,23,0.44334229851120843
electricity,41001,V,LAST_BIAS,24,0.41907887225153323
electricity,41001,V,LAST_BIAS,25,1.4825799125154642
electricity,41001,V,LAST_BIAS,26,0.38650281144956633
electricity,41001,V,LAST_BIAS,27,0.9336016945603495
electricity,41001,V,LAST_BIAS,28,0.697915516015544
electricity,41001,V,LAST_BIAS,29,1.1577302578921367
electricity,41001,V,LAST_BIAS,30,0.2557238303612562
electricity,41001,V,LAST_BIAS,31,0.5558685204290631
electricity,41001,E,UNCHANGED,0,0.3260364626835844
electricity,41001,E,UNCHANGED,1,0.27093225728717063
electricity,41001,E,UNCHANGED,2,0.0006034913283392266
electricity,41001,E,UNCHANGED,3,0.3330280083609299
electricity,41001,E,UNCHANGED,4,0.34618447994123436
electricity,41001,E,UNCHANGED,5,0.27096979795236203
electricity,41001,E,UNCHANGED,6,0.6806854908305158
electricity,41001,E,UNCHANGED,7,0.3760951411089717
electricity,41001,E,UNCHANGED,8,0.3333920455868852
electricity,41001,E,UNCHANGED,9,0.7617416420087444
electricity,41001,E,UNCHANGED,10,0.27510211867623735
electricity,41001,E,UNCHANGED,11,1.1767606974772864
electricity,41001,E,UNCHANGED,12,0.2609590694233383
electricity,41001,E,UNCHANGED,13,0.358944290248163
electricity,41001,E,UNCHANGED,14,0.28517730471135466
electricity,41001,E,UNCHANGED,15,0.44382565928729695
electricity,41001,E,UNCHANGED,16,0.39531895988139115
electricity,41001,E,UNCHANGED,17,0.5284638693020267
electricity,41001,E,UNCHANGED,18,0.22518136587292562
electricity,41001,E,UNCHANGED,19,0.9834385036712591
electricity,41001,E,UNCHANGED,20,0.8894698863199441
electricity,41001,E,UNCHANGED,21,0.3644832632426285
electricity,41001,E,UNCHANGED,22,0.3303378796478988
electricity,41001,E,UNCHANGED,23,0.3778652427579128
electricity,41001,E,UNCHANGED,24,0.3633237334588303
electricity,41001,E,UNCHANGED,25,0.8740396596312087
electricity,41001,E,UNCHANGED,26,0.3175723003551403
electricity,41001,E,UNCHANGED,27,0.5285281627045418
electricity,41001,E,UNCHANGED,28,0.5137200382878322
electricity,41001,E,UNCHANGED,29,0.9616017122612305
electricity,41001,E,UNCHANGED,30,0.515958393872369
electricity,41001,E,UNCHANGED,31,0.4630215885337748
electricity,41001,E,EXPANDING_BIAS,0,0.32877736537360863
electricity,41001,E,EXPANDING_BIAS,1,0.28007512203111407
electricity,41001,E,EXPANDING_BIAS,2,0.0006035341294589071
electricity,41001,E,EXPANDING_BIAS,3,0.33606616479807305
electricity,41001,E,EXPANDING_BIAS,4,0.3480919705055592
electricity,41001,E,EXPANDING_BIAS,5,0.28301429129434574
electricity,41001,E,EXPANDING_BIAS,6,0.6889597047147424
electricity,41001,E,EXPANDING_BIAS,7,0.4027201656644332
electricity,41001,E,EXPANDING_BIAS,8,0.33219884120105114
electricity,41001,E,EXPANDING_BIAS,9,0.7647284889346397
electricity,41001,E,EXPANDING_BIAS,10,0.27944106747335773
electricity,41001,E,EXPANDING_BIAS,11,1.1851661465870011
electricity,41001,E,EXPANDING_BIAS,12,0.26249383878378757
electricity,41001,E,EXPANDING_BIAS,13,0.35987247307352377
electricity,41001,E,EXPANDING_BIAS,14,0.31864168399562826
electricity,41001,E,EXPANDING_BIAS,15,0.45552654844726326
electricity,41001,E,EXPANDING_BIAS,16,0.3998872731531121
electricity,41001,E,EXPANDING_BIAS,17,0.54265729007623
electricity,41001,E,EXPANDING_BIAS,18,0.24625184734998243
electricity,41001,E,EXPANDING_BIAS,19,0.9877062806552712
electricity,41001,E,EXPANDING_BIAS,20,0.8994187041660682
electricity,41001,E,EXPANDING_BIAS,21,0.36714805730389694
electricity,41001,E,EXPANDING_BIAS,22,0.3308484916614716
electricity,41001,E,EXPANDING_BIAS,23,0.38022827824325894
electricity,41001,E,EXPANDING_BIAS,24,0.3653384694708922
electricity,41001,E,EXPANDING_BIAS,25,0.8837317155201564
electricity,41001,E,EXPANDING_BIAS,26,0.32640139701884746
electricity,41001,E,EXPANDING_BIAS,27,0.5309426826351469
electricity,41001,E,EXPANDING_BIAS,28,0.5177069004235207
electricity,41001,E,EXPANDING_BIAS,29,0.9694307380806508
electricity,41001,E,EXPANDING_BIAS,30,0.5201383843740826
electricity,41001,E,EXPANDING_BIAS,31,0.47453096914131215
electricity,41001,E,EXPANDING_DAILY,0,0.32767342008703526
electricity,41001,E,EXPANDING_DAILY,1,0.18489279174037448
electricity,41001,E,EXPANDING_DAILY,2,0.0005629690169319116
electricity,41001,E,EXPANDING_DAILY,3,0.20514960468867494
electricity,41001,E,EXPANDING_DAILY,4,0.27442691272935693
electricity,41001,E,EXPANDING_DAILY,5,0.1829176777243687
electricity,41001,E,EXPANDING_DAILY,6,0.6849133449298229
electricity,41001,E,EXPANDING_DAILY,7,0.293444173445523
electricity,41001,E,EXPANDING_DAILY,8,0.24821109634352817
electricity,41001,E,EXPANDING_DAILY,9,0.750457845685786
electricity,41001,E,EXPANDING_DAILY,10,0.21429451292684243
electricity,41001,E,EXPANDING_DAILY,11,0.991256742289147
electricity,41001,E,EXPANDING_DAILY,12,0.23090651363129544
