dataset,seed,role,channel,mse
traffic,41000,selected,column_000,0.6368530910183856
traffic,41000,selected,column_001,0.3788032425331209
traffic,41000,selected,column_002,0.4102557621536198
traffic,41000,selected,column_003,0.7130079118090649
traffic,41000,selected,column_004,0.34871353288075585
traffic,41000,selected,column_005,0.3775812616710041
traffic,41000,selected,column_006,0.28819518654438286
traffic,41000,selected,column_007,0.17717248063354346
traffic,41000,selected,column_008,0.5226393259052151
traffic,41000,selected,column_009,0.3895982300610483
traffic,41000,selected,column_010,0.4405759068087601
traffic,41000,selected,column_011,0.22420331566603016
traffic,41000,selected,column_012,1.0983750839024116
traffic,41000,selected,column_013,0.3851660903878827
traffic,41000,selected,column_014,0.3389414155731311
traffic,41000,selected,column_015,0.6574650373462724
traffic,41000,selected,column_016,0.28016518591232836
traffic,41000,selected,column_017,0.18232050283233495
traffic,41000,selected,column_018,0.21275946402362875
traffic,41000,selected,column_019,0.4883958569241037
traffic,41000,selected,column_020,0.06180533158993575
traffic,41000,selected,column_021,0.7062638648961648
traffic,41000,selected,column_022,0.27954169826104097
traffic,41000,selected,column_023,0.3841709137301088
traffic,41000,selected,column_024,0.26251886787128037
traffic,41000,selected,column_025,0.5081510079928684
traffic,41000,selected,column_026,0.24622822673927977
traffic,41000,selected,column_027,0.1162713581355659
traffic,41000,selected,column_028,0.43636538617310544
traffic,41000,selected,column_029,0.8328787116660252
traffic,41000,selected,column_030,0.28978038767631775
traffic,41000,selected,column_031,0.3314249747774369
traffic,41000,matched_old_epoch,column_000,0.8218837396597386
traffic,41000,matched_old_epoch,column_001,0.4891307721304545
traffic,41000,matched_old_epoch,column_002,0.4571428261546395
traffic,41000,matched_old_epoch,column_003,0.8840888950204686
traffic,41000,matched_old_epoch,column_004,0.5131889080651747
traffic,41000,matched_old_epoch,column_005,0.5195334374909572
traffic,41000,matched_old_epoch,column_006,0.42429805636215606
traffic,41000,matched_old_epoch,column_007,0.25346961026036846
traffic,41000,matched_old_epoch,column_008,0.6416557354961561
traffic,41000,matched_old_epoch,column_009,0.5077167723455036
traffic,41000,matched_old_epoch,column_010,0.5767075079836622
traffic,41000,matched_old_epoch,column_011,0.3305789330326777
traffic,41000,matched_old_epoch,column_012,1.2928862385001205
traffic,41000,matched_old_epoch,column_013,0.4573196350244387
traffic,41000,matched_old_epoch,column_014,0.3965089889712284
traffic,41000,matched_old_epoch,column_015,0.7944073575250684
traffic,41000,matched_old_epoch,column_016,0.3606090997217602
traffic,41000,matched_old_epoch,column_017,0.23586565889693645
traffic,41000,matched_old_epoch,column_018,0.2749899664739475
traffic,41000,matched_old_epoch,column_019,0.7619952118414317
traffic,41000,matched_old_epoch,column_020,0.153859293404688
traffic,41000,matched_old_epoch,column_021,0.8816712696142736
traffic,41000,matched_old_epoch,column_022,0.3502453827469813
traffic,41000,matched_old_epoch,column_023,0.44237299835328847
traffic,41000,matched_old_epoch,column_024,0.3585919027888893
traffic,41000,matched_old_epoch,column_025,0.6624485465591059
traffic,41000,matched_old_epoch,column_026,0.39796262555053796
traffic,41000,matched_old_epoch,column_027,0.11442829395286411
traffic,41000,matched_old_epoch,column_028,0.5425026275764514
traffic,41000,matched_old_epoch,column_029,1.0121526999560957
traffic,41000,matched_old_epoch,column_030,0.3725358959808616
traffic,41000,matched_old_epoch,column_031,0.4556316132510447
traffic,41001,selected,column_000,0.6356388254370933
traffic,41001,selected,column_001,0.3824310040468479
traffic,41001,selected,column_002,0.4100117899273576
traffic,41001,selected,column_003,0.717445381309322
traffic,41001,selected,column_004,0.35029777161699294
traffic,41001,selected,column_005,0.3710672029870819
traffic,41001,selected,column_006,0.2872511250074379
traffic,41001,selected,column_007,0.178102201807966
traffic,41001,selected,column_008,0.5295833337759233
traffic,41001,selected,column_009,0.38831424582193214
traffic,41001,selected,column_010,0.44741013594108736
traffic,41001,selected,column_011,0.2237821960404441
traffic,41001,selected,column_012,1.094609767415661
traffic,41001,selected,column_013,0.3833774530290568
traffic,41001,selected,column_014,0.3456716258542896
traffic,41001,selected,column_015,0.6606716016159088
traffic,41001,selected,column_016,0.28095683531462134
traffic,41001,selected,column_017,0.1825069210052446
traffic,41001,selected,column_018,0.22062792906337833
traffic,41001,selected,column_019,0.4994851363061209
traffic,41001,selected,column_020,0.06126050550085193
traffic,41001,selected,column_021,0.7157712779171563
traffic,41001,selected,column_022,0.2831139411965908
traffic,41001,selected,column_023,0.3810857213355995
traffic,41001,selected,column_024,0.25940042036125927
traffic,41001,selected,column_025,0.51192450221538
traffic,41001,selected,column_026,0.24336828491410054
traffic,41001,selected,column_027,0.11904121473949056
traffic,41001,selected,column_028,0.4328732600558997
traffic,41001,selected,column_029,0.836877063835856
traffic,41001,selected,column_030,0.2919334687486144
traffic,41001,selected,column_031,0.3328023443660166
traffic,41001,matched_old_epoch,column_000,0.8045924158296126
traffic,41001,matched_old_epoch,column_001,0.47796830620600833
traffic,41001,matched_old_epoch,column_002,0.4606563003269354
traffic,41001,matched_old_epoch,column_003,0.8571931200676673
traffic,41001,matched_old_epoch,column_004,0.504058425558278
traffic,41001,matched_old_epoch,column_005,0.5416175379566354
traffic,41001,matched_old_epoch,column_006,0.4444924425647813
traffic,41001,matched_old_epoch,column_007,0.26848742548587223
traffic,41001,matched_old_epoch,column_008,0.6465637637942258
traffic,41001,matched_old_epoch,column_009,0.50606233690638
traffic,41001,matched_old_epoch,column_010,0.5922756599582889
traffic,41001,matched_old_epoch,column_011,0.33005742145380473
traffic,41001,matched_old_epoch,column_012,1.2796562814807706
traffic,41001,matched_old_epoch,column_013,0.45760783251292225
traffic,41001,matched_old_epoch,column_014,0.3969506843334225
traffic,41001,matched_old_epoch,column_015,0.76437582923419
traffic,41001,matched_old_epoch,column_016,0.3497729585939966
traffic,41001,matched_old_epoch,column_017,0.23743396746845258
traffic,41001,matched_old_epoch,column_018,0.27919400262037136
traffic,41001,matched_old_epoch,column_019,0.7577006287215288
traffic,41001,matched_old_epoch,column_020,0.15730478890873212
traffic,41001,matched_old_epoch,column_021,0.9085437644695573
traffic,41001,matched_old_epoch,column_022,0.360811734783064
traffic,41001,matched_old_epoch,column_023,0.44692426328636226
traffic,41001,matched_old_epoch,column_024,0.3713030002832863
traffic,41001,matched_old_epoch,column_025,0.673338419922728
traffic,41001,matched_old_epoch,column_026,0.39970315292245
traffic,41001,matched_old_epoch,column_027,0.11560376564517566
traffic,41001,matched_old_epoch,column_028,0.5174930197140657
traffic,41001,matched_old_epoch,column_029,1.0243242839239453
traffic,41001,matched_old_epoch,column_030,0.3954259358453431
traffic,41001,matched_old_epoch,column_031,0.4824621661018142
