dataset,seed,arm,role,baseline,epoch,baseline_epoch,updates,baseline_updates,mse,baseline_mse,gain_percent
electricity,41001,PRIOR,selected,CAPACITY_MATCHED,17,8,1088,512,0.27630902602308727,0.2934751913173059,5.849273056835158
electricity,41001,PRIOR,selected,SIDE,17,8,1088,512,0.27630902602308727,0.2859658094187547,3.3769013908675047
electricity,41001,PRIOR,matched_old_epoch,BALANCED_LH,3,3,192,192,0.30905045617058313,0.3029703911916921,-2.0068182091906492
electricity,41001,PRIOR,matched_old_epoch,HEAD_ONLY,3,3,192,192,0.30905045617058313,0.3383593632082896,8.662064723080904
electricity,41001,PRIOR,matched_old_epoch,CAPACITY_MATCHED,3,3,192,192,0.30905045617058313,0.31632703676117563,2.3003346995237264
electricity,41001,PRIOR,matched_old_epoch,SIDE,3,3,192,192,0.30905045617058313,0.31228574649153007,1.0360031981269713
traffic,41000,SIDE,selected,BALANCED_LH,20,17,1260,1071,0.39941219131016864,0.38590845762630666,-3.499206461273851
traffic,41000,SIDE,selected,HEAD_ONLY,20,18,1260,1134,0.39941219131016864,0.433988607100922,7.967125225181958
traffic,41000,SIDE,selected,CAPACITY_MATCHED,20,19,1260,1197,0.39941219131016864,0.4064558941905049,1.7329562643849536
traffic,41000,SIDE,matched_old_epoch,BALANCED_LH,1,1,63,63,0.5229856778782578,0.5092211071594134,-2.7030636643534414
traffic,41000,SIDE,matched_old_epoch,HEAD_ONLY,1,1,63,63,0.5229856778782578,0.5617041612051538,6.893038364505663
traffic,41000,SIDE,matched_old_epoch,CAPACITY_MATCHED,1,1,63,63,0.5229856778782578,0.5230743906466241,0.016959876062110243
traffic,41000,PRIOR,selected,BALANCED_LH,18,17,1134,1071,0.40103680258380614,0.38590845762630666,-3.920190049876796
traffic,41000,PRIOR,selected,HEAD_ONLY,18,18,1134,1134,0.40103680258380614,0.433988607100922,7.592781003454566
traffic,41000,PRIOR,selected,CAPACITY_MATCHED,18,19,1134,1197,0.40103680258380614,0.4064558941905049,1.3332545262977091
traffic,41000,PRIOR,selected,SIDE,18,20,1134,1260,0.40103680258380614,0.39941219131016864,-0.4067505471749326
traffic,41000,PRIOR,matched_old_epoch,BALANCED_LH,1,1,63,63,0.534777575982629,0.5092211071594134,-5.018737138720973
traffic,41000,PRIOR,matched_old_epoch,HEAD_ONLY,1,1,63,63,0.534777575982629,0.5617041612051538,4.79373077186271
traffic,41000,PRIOR,matched_old_epoch,CAPACITY_MATCHED,1,1,63,63,0.534777575982629,0.5230743906466241,-2.237384499275032
traffic,41000,PRIOR,matched_old_epoch,SIDE,1,1,63,63,0.534777575982629,0.5229856778782578,-2.2547267742035864
traffic,41001,SIDE,selected,BALANCED_LH,8,18,504,1134,0.4136079596116777,0.3871869517414405,-6.823837361100132
traffic,41001,SIDE,selected,HEAD_ONLY,8,17,504,1071,0.4136079596116777,0.43976437744365987,5.947825511477042
traffic,41001,SIDE,selected,CAPACITY_MATCHED,8,16,504,1008,0.4136079596116777,0.40808420276595575,-1.3535826205186163
traffic,41001,SIDE,matched_old_epoch,BALANCED_LH,1,1,63,63,0.5186857429434611,0.5049074319486706,-2.7288786266452223
traffic,41001,SIDE,matched_old_epoch,HEAD_ONLY,1,1,63,63,0.5186857429434611,0.5462674000301888,5.049112776124549
traffic,41001,SIDE,matched_old_epoch,CAPACITY_MATCHED,1,1,63,63,0.5186857429434611,0.5253111136525209,1.2612279726947255
traffic,41001,PRIOR,selected,BALANCED_LH,16,18,1008,1134,0.4004136207455887,0.3871869517414405,-3.4160936841127953
traffic,41001,PRIOR,selected,HEAD_ONLY,16,17,1008,1071,0.4004136207455887,0.43976437744365987,8.94814557896121
traffic,41001,PRIOR,selected,CAPACITY_MATCHED,16,16,1008,1008,0.4004136207455887,0.40808420276595575,1.8796566905497814
traffic,41001,PRIOR,selected,SIDE,16,8,1008,504,0.4004136207455887,0.4136079596116777,3.1900592238303784
traffic,41001,PRIOR,matched_old_epoch,BALANCED_LH,1,1,63,63,0.5303516030190503,0.5049074319486706,-5.039373449540815
traffic,41001,PRIOR,matched_old_epoch,HEAD_ONLY,1,1,63,63,0.5303516030190503,0.5462674000301888,2.9135542428962404
traffic,41001,PRIOR,matched_old_epoch,CAPACITY_MATCHED,1,1,63,63,0.5303516030190503,0.5253111136525209,-0.9595246008565299
traffic,41001,PRIOR,matched_old_epoch,SIDE,1,1,63,63,0.5303516030190503,0.5186857429434611,-2.2491190926874474
