source,seed,arm,round,batch,wall_ms,cuda_stream_ms
electricity,81551,TOKEN_GATE_ENTROPY,5,1,10.578441520920023,10.558224201202393
electricity,81551,TOKEN_GATE_ENTROPY,5,32,10.934338031802326,10.911695957183838
electricity,81552,B0,0,1,10.22410049336031,10.19438362121582
electricity,81552,B0,0,32,10.636757011525333,10.615407943725586
electricity,81552,B0,1,1,10.092040989547968,10.06385612487793
electricity,81552,B0,1,32,10.424910520669073,10.399792194366455
electricity,81552,B0,2,1,10.274370521074161,10.251936435699463
electricity,81552,B0,2,32,10.422408988233656,10.394128322601318
electricity,81552,B0,3,1,10.014886502176523,9.9934720993042
electricity,81552,B0,3,32,10.624091984936967,10.602223873138428
electricity,81552,B0,4,1,10.56330802384764,10.541711807250977
electricity,81552,B0,4,32,10.779446485685185,10.75873613357544
electricity,81552,B0,5,1,10.17192201106809,10.14676809310913
electricity,81552,B0,5,32,11.419569491408765,11.396431922912598
electricity,81552,MAG_ONLY,0,1,10.744036495452747,10.722591876983643
electricity,81552,MAG_ONLY,0,32,11.01207549800165,10.991360187530518
electricity,81552,MAG_ONLY,1,1,10.426487016957253,10.405456066131592
electricity,81552,MAG_ONLY,1,32,11.274999531451613,11.251456260681152
electricity,81552,MAG_ONLY,2,1,10.837545996764675,10.815599918365479
electricity,81552,MAG_ONLY,2,32,11.336213006870821,11.29196834564209
electricity,81552,MAG_ONLY,3,1,10.603765986161307,10.583536148071289
electricity,81552,MAG_ONLY,3,32,11.087510007200763,11.066192150115967
electricity,81552,MAG_ONLY,4,1,11.052825982915238,11.026544094085693
electricity,81552,MAG_ONLY,4,32,11.608410975895822,11.581456184387207
electricity,81552,MAG_ONLY,5,1,10.861560993362218,10.834847927093506
electricity,81552,MAG_ONLY,5,32,11.128393496619537,11.09991979598999
electricity,81552,PETSA_XY_OFFLINE,0,1,10.556510998867452,10.537775993347168
electricity,81552,PETSA_XY_OFFLINE,0,32,10.725636006100103,10.695087909698486
electricity,81552,PETSA_XY_OFFLINE,1,1,10.98286549677141,10.962623596191406
electricity,81552,PETSA_XY_OFFLINE,1,32,10.84690701100044,10.82046365737915
electricity,81552,PETSA_XY_OFFLINE,2,1,10.888928518397734,10.860991954803467
electricity,81552,PETSA_XY_OFFLINE,2,32,11.302411498036236,11.278816223144531
electricity,81552,PETSA_XY_OFFLINE,3,1,10.756520496215671,10.738160133361816
electricity,81552,PETSA_XY_OFFLINE,3,32,10.991787479724735,10.963088035583496
electricity,81552,PETSA_XY_OFFLINE,4,1,10.430917493067682,10.40831995010376
electricity,81552,PETSA_XY_OFFLINE,4,32,10.986204026266932,10.964784145355225
electricity,81552,PETSA_XY_OFFLINE,5,1,11.45812647882849,11.43390417098999
electricity,81552,PETSA_XY_OFFLINE,5,32,11.29288098309189,11.267120361328125
electricity,81552,PLAIN,0,1,10.180549987126142,10.159135818481445
electricity,81552,PLAIN,0,32,10.751866037026048,10.722431659698486
electricity,81552,PLAIN,1,1,10.602212481899187,10.58235216140747
electricity,81552,PLAIN,1,32,10.810753999976441,10.786624431610107
electricity,81552,PLAIN,2,1,10.663822031347081,10.6353120803833
electricity,81552,PLAIN,2,32,10.894973995164037,10.871999740600586
electricity,81552,PLAIN,3,1,10.753744485555217,10.735471725463867
electricity,81552,PLAIN,3,32,10.92285048798658,10.901679992675781
electricity,81552,PLAIN,4,1,10.574608022579923,10.54756784439087
electricity,81552,PLAIN,4,32,11.117263493360952,11.091552257537842
electricity,81552,PLAIN,5,1,11.167182470671833,11.148079872131348
electricity,81552,PLAIN,5,32,11.178248503711075,11.156784057617188
electricity,81552,TOKEN_GATE,0,1,10.454654024215415,10.436527729034424
electricity,81552,TOKEN_GATE,0,32,10.982971522025764,10.963344097137451
electricity,81552,TOKEN_GATE,1,1,10.415621480206028,10.376848220825195
electricity,81552,TOKEN_GATE,1,32,11.254682001890615,11.22767972946167
electricity,81552,TOKEN_GATE,2,1,10.572797997156158,10.554192066192627
