source,seed,round,batch,baseline,wall_ratio,cuda_ratio
electricity,81552,2,1,TOKEN_GATE,1.0250404859413496,1.0247681537850915
electricity,81552,2,1,TOKEN_GATE_ENTROPY,1.0798689078432724,1.0796235542301005
electricity,81552,2,1,PETSA_XY_OFFLINE,0.9952812141666424,0.9958206362156531
electricity,81552,2,32,B0,1.0876768527956253,1.086379539983981
electricity,81552,2,32,PLAIN,1.040499317566305,1.0386284598106792
electricity,81552,2,32,TOKEN_GATE,1.0354781172789937,1.0336995322309142
electricity,81552,2,32,TOKEN_GATE_ENTROPY,1.029412486979697,1.0310160676461526
electricity,81552,2,32,PETSA_XY_OFFLINE,1.0029906457432078,1.001166090681624
electricity,81552,3,1,B0,1.0588004151476706,1.059044948832966
electricity,81552,3,1,PLAIN,0.9860533696336782,0.9858473310462738
electricity,81552,3,1,TOKEN_GATE,1.0187194772213348,1.0193712036716183
electricity,81552,3,1,TOKEN_GATE_ENTROPY,1.0137031710083895,1.0145307559325292
electricity,81552,3,1,PETSA_XY_OFFLINE,0.9857988919271704,0.9856005141132014
electricity,81552,3,32,B0,1.043619541596669,1.0437614110519813
electricity,81552,3,32,PLAIN,1.0150747755263412,1.0150905326106354
electricity,81552,3,32,TOKEN_GATE,1.0148843925681277,1.0152797556100062
electricity,81552,3,32,TOKEN_GATE_ENTROPY,1.011624619209764,1.0115423332283615
electricity,81552,3,32,PETSA_XY_OFFLINE,1.0087085496924495,1.0094046599094908
electricity,81552,4,1,B0,1.0463413504521941,1.045991798647088
electricity,81552,4,1,PLAIN,1.045223232796353,1.04541106127604
electricity,81552,4,1,TOKEN_GATE,1.0375548096744538,1.0372745450170733
electricity,81552,4,1,TOKEN_GATE_ENTROPY,1.0250715683493512,1.024939382798211
electricity,81552,4,1,PETSA_XY_OFFLINE,1.0596216478810108,1.0593971118245429
electricity,81552,4,32,B0,1.0769023243736568,1.0764699534031934
electricity,81552,4,32,PLAIN,1.0441788109842116,1.044169104150091
electricity,81552,4,32,TOKEN_GATE,1.0641384708022354,1.0639713450540378
electricity,81552,4,32,TOKEN_GATE_ENTROPY,1.0151232513795312,1.015817435477826
electricity,81552,4,32,PETSA_XY_OFFLINE,1.0566352989750831,1.056241147190591
electricity,81552,5,1,B0,1.0677982962849824,1.0678127091967011
electricity,81552,5,1,PLAIN,0.9726321766379065,0.9719026102583928
electricity,81552,5,1,TOKEN_GATE,1.050622523451034,1.049955101911245
electricity,81552,5,1,TOKEN_GATE_ENTROPY,1.0323642446531713,1.0322913798852784
electricity,81552,5,1,PETSA_XY_OFFLINE,0.9479351631727435,0.9476070260046079
electricity,81552,5,32,B0,0.9745020164719619,0.9739820209581151
electricity,81552,5,32,PLAIN,0.9955399983212946,0.9949031673165375
