stage,config,episode,panel,model,n_origins,n_forecast_points,alpha,status,mae_K,rmse_K,p90_abs_K
TRAIN_FORWARD,SUPPLY_15M,2,RECENT_OR_PLANNED_CHANGE,HISTORY_LAGS_PLAN_TUNED,37,1110,0.01,OBSERVED,0.35568574556956867,0.6240422315096069,1.2009263846666671
TRAIN_FORWARD,SUPPLY_15M,2,RECENT_OR_PLANNED_CHANGE,HISTORY_LAGS_PLAN_A1,37,1110,1.0,OBSERVED,0.35832422536538694,0.6230733574561348,1.2076647981623978
TRAIN_FORWARD,SUPPLY_15M,2,RECENT_PAST_CHANGE,PERSISTENCE,13,390,,OBSERVED,0.16650890058983442,0.27617212484458153,0.4610730112994077
TRAIN_FORWARD,SUPPLY_15M,2,RECENT_PAST_CHANGE,CURRENT_PLAN_TUNED,13,390,0.01,OBSERVED,0.07111560801277345,0.09333302819207032,0.1528860276454452
TRAIN_FORWARD,SUPPLY_15M,2,RECENT_PAST_CHANGE,CURRENT_PLAN_A1,13,390,1.0,OBSERVED,0.05386370781149915,0.07257474883016078,0.12310471749071895
TRAIN_FORWARD,SUPPLY_15M,2,RECENT_PAST_CHANGE,HISTORY_SUMMARY_PLAN_TUNED,13,390,0.01,OBSERVED,0.06186490333380812,0.08279140373753555,0.14116960666891035
TRAIN_FORWARD,SUPPLY_15M,2,RECENT_PAST_CHANGE,HISTORY_SUMMARY_PLAN_A1,13,390,1.0,OBSERVED,0.052467038968423814,0.06959204894473887,0.11937249806122739
TRAIN_FORWARD,SUPPLY_15M,2,RECENT_PAST_CHANGE,HISTORY_LAGS_PLAN_TUNED,13,390,0.01,OBSERVED,0.05178216295341462,0.08150621919400391,0.13492804037275619
TRAIN_FORWARD,SUPPLY_15M,2,RECENT_PAST_CHANGE,HISTORY_LAGS_PLAN_A1,13,390,1.0,OBSERVED,0.05234124744867545,0.07740854655038683,0.12080237205024673
TRAIN_FORWARD,SUPPLY_15M,2,CHANGE_IN_PLAN,PERSISTENCE,24,720,,OBSERVED,3.249771821537922,4.537417372840587,7.6389316335654485
TRAIN_FORWARD,SUPPLY_15M,2,CHANGE_IN_PLAN,CURRENT_PLAN_TUNED,24,720,0.01,OBSERVED,0.5278496646882884,0.7915923739103942,1.4476400578638617
TRAIN_FORWARD,SUPPLY_15M,2,CHANGE_IN_PLAN,CURRENT_PLAN_A1,24,720,1.0,OBSERVED,0.5378618284208783,0.7964186132228149,1.4646593400591488
TRAIN_FORWARD,SUPPLY_15M,2,CHANGE_IN_PLAN,HISTORY_SUMMARY_PLAN_TUNED,24,720,0.01,OBSERVED,0.5250436231222547,0.7944759123183444,1.4106856387031315
TRAIN_FORWARD,SUPPLY_15M,2,CHANGE_IN_PLAN,HISTORY_SUMMARY_PLAN_A1,24,720,1.0,OBSERVED,0.5357469352800556,0.8044678431155284,1.441450244449965
TRAIN_FORWARD,SUPPLY_15M,2,CHANGE_IN_PLAN,HISTORY_LAGS_PLAN_TUNED,24,720,0.01,OBSERVED,0.5203001861533187,0.7725094314203713,1.384204003183953
TRAIN_FORWARD,SUPPLY_15M,2,CHANGE_IN_PLAN,HISTORY_LAGS_PLAN_A1,24,720,1.0,OBSERVED,0.5240650050702723,0.7715314328367711,1.3909579827192715
TRAIN_FORWARD,SUPPLY_15M,2,NO_RECENT_OR_PLANNED_CHANGE,PERSISTENCE,93,2790,,OBSERVED,0.09005266438860625,0.15480382289046968,0.26880391215855176
TRAIN_FORWARD,SUPPLY_15M,2,NO_RECENT_OR_PLANNED_CHANGE,CURRENT_PLAN_TUNED,93,2790,0.01,OBSERVED,0.08344719642854255,0.11205711476809081,0.16489523848956078
TRAIN_FORWARD,SUPPLY_15M,2,NO_RECENT_OR_PLANNED_CHANGE,CURRENT_PLAN_A1,93,2790,1.0,OBSERVED,0.1001505895907298,0.1351280909851947,0.21425703687061165
TRAIN_FORWARD,SUPPLY_15M,2,NO_RECENT_OR_PLANNED_CHANGE,HISTORY_SUMMARY_PLAN_TUNED,93,2790,0.01,OBSERVED,0.08819022157254977,0.12080995426960511,0.18670737153171896
TRAIN_FORWARD,SUPPLY_15M,2,NO_RECENT_OR_PLANNED_CHANGE,HISTORY_SUMMARY_PLAN_A1,93,2790,1.0,OBSERVED,0.09662590551020027,0.1351819388894714,0.2129166881881076
TRAIN_FORWARD,SUPPLY_15M,2,NO_RECENT_OR_PLANNED_CHANGE,HISTORY_LAGS_PLAN_TUNED,93,2790,0.01,OBSERVED,0.10356091961354913,0.14640118230154242,0.24274817424365552
TRAIN_FORWARD,SUPPLY_15M,2,NO_RECENT_OR_PLANNED_CHANGE,HISTORY_LAGS_PLAN_A1,93,2790,1.0,OBSERVED,0.10671258886745685,0.14760479712961308,0.23391327371423917
TRAIN_FORWARD,SUPPLY_15M,2,MULTIPLE_CHANGES_IN_CONTEXT,PERSISTENCE,33,990,,OBSERVED,0.6307180018382619,1.9253267839633603,0.534925955460466
TRAIN_FORWARD,SUPPLY_15M,2,MULTIPLE_CHANGES_IN_CONTEXT,CURRENT_PLAN_TUNED,33,990,0.01,OBSERVED,0.13476780663318302,0.2685494333605721,0.20605124185081536
TRAIN_FORWARD,SUPPLY_15M,2,MULTIPLE_CHANGES_IN_CONTEXT,CURRENT_PLAN_A1,33,990,1.0,OBSERVED,0.15126202410556294,0.2754414986318905,0.30354723131718514
TRAIN_FORWARD,SUPPLY_15M,2,MULTIPLE_CHANGES_IN_CONTEXT,HISTORY_SUMMARY_PLAN_TUNED,33,990,0.01,OBSERVED,0.12348453222943913,0.2650889718235416,0.21652120775020195
TRAIN_FORWARD,SUPPLY_15M,2,MULTIPLE_CHANGES_IN_CONTEXT,HISTORY_SUMMARY_PLAN_A1,33,990,1.0,OBSERVED,0.1337472221429246,0.26977692939296305,0.2717088630591832
TRAIN_FORWARD,SUPPLY_15M,2,MULTIPLE_CHANGES_IN_CONTEXT,HISTORY_LAGS_PLAN_TUNED,33,990,0.01,OBSERVED,0.12276686817849237,0.26549829226145527,0.20847479294199053
TRAIN_FORWARD,SUPPLY_15M,2,MULTIPLE_CHANGES_IN_CONTEXT,HISTORY_LAGS_PLAN_A1,33,990,1.0,OBSERVED,0.1262932281854949,0.2675700687310691,0.21227916126417784
TRAIN_FORWARD,SUPPLY_15M,3,ALL,PERSISTENCE,130,3900,,OBSERVED,0.9164113619524803,2.4638762992571985,3.13482307524349
TRAIN_FORWARD,SUPPLY_15M,3,ALL,CURRENT_PLAN_TUNED,130,3900,0.01,OBSERVED,0.2890334188729554,0.8058757886252886,0.4508716397035524
TRAIN_FORWARD,SUPPLY_15M,3,ALL,CURRENT_PLAN_A1,130,3900,1.0,OBSERVED,0.3021890880102307,0.8124588364851228,0.4397314692486361
TRAIN_FORWARD,SUPPLY_15M,3,ALL,HISTORY_SUMMARY_PLAN_TUNED,130,3900,0.01,OBSERVED,0.28967338160549755,0.801738489316915,0.3964079578015003
TRAIN_FORWARD,SUPPLY_15M,3,ALL,HISTORY_SUMMARY_PLAN_A1,130,3900,1.0,OBSERVED,0.3082125839733881,0.8034487642108942,0.4377748787693463
TRAIN_FORWARD,SUPPLY_15M,3,ALL,HISTORY_LAGS_PLAN_TUNED,130,3900,0.01,OBSERVED,0.29860298845780175,0.7929398730400765,0.44181538256038905
TRAIN_FORWARD,SUPPLY_15M,3,ALL,HISTORY_LAGS_PLAN_A1,130,3900,1.0,OBSERVED,0.30587771490640875,0.7962590669417487,0.4317604715694812
TRAIN_FORWARD,SUPPLY_15M,3,RECENT_OR_PLANNED_CHANGE,PERSISTENCE,49,1470,,OBSERVED,2.2510403623974877,4.0061820790493465,8.162931202846039
TRAIN_FORWARD,SUPPLY_15M,3,RECENT_OR_PLANNED_CHANGE,CURRENT_PLAN_TUNED,49,1470,0.01,OBSERVED,0.6114395358224274,1.3008053565270101,2.63145990012767
TRAIN_FORWARD,SUPPLY_15M,3,RECENT_OR_PLANNED_CHANGE,CURRENT_PLAN_A1,49,1470,1.0,OBSERVED,0.6176730791153999,1.3073168077877864,2.6233728029659007
TRAIN_FORWARD,SUPPLY_15M,3,RECENT_OR_PLANNED_CHANGE,HISTORY_SUMMARY_PLAN_TUNED,49,1470,0.01,OBSERVED,0.5952462902204888,1.29114999932725,2.5975750596065654
TRAIN_FORWARD,SUPPLY_15M,3,RECENT_OR_PLANNED_CHANGE,HISTORY_SUMMARY_PLAN_A1,49,1470,1.0,OBSERVED,0.6094939560554037,1.288602674091261,2.5681463510435285
TRAIN_FORWARD,SUPPLY_15M,3,RECENT_OR_PLANNED_CHANGE,HISTORY_LAGS_PLAN_TUNED,49,1470,0.01,OBSERVED,0.6111319770710931,1.2748586855489485,2.6196995563801413
TRAIN_FORWARD,SUPPLY_15M,3,RECENT_OR_PLANNED_CHANGE,HISTORY_LAGS_PLAN_A1,49,1470,1.0,OBSERVED,0.6183715199239803,1.2793189194967545,2.6135612363735192
TRAIN_FORWARD,SUPPLY_15M,3,RECENT_PAST_CHANGE,PERSISTENCE,17,510,,OBSERVED,0.17036512632632253,0.2755462994726605,0.5017685500611038
TRAIN_FORWARD,SUPPLY_15M,3,RECENT_PAST_CHANGE,CURRENT_PLAN_TUNED,17,510,0.01,OBSERVED,0.08844619184079759,0.16325556885415007,0.23864634220779524
TRAIN_FORWARD,SUPPLY_15M,3,RECENT_PAST_CHANGE,CURRENT_PLAN_A1,17,510,1.0,OBSERVED,0.07653281414740717,0.1046324488980319,0.17911980718279225
TRAIN_FORWARD,SUPPLY_15M,3,RECENT_PAST_CHANGE,HISTORY_SUMMARY_PLAN_TUNED,17,510,0.01,OBSERVED,0.10126672140620975,0.1716339783716487,0.22216696711885228
TRAIN_FORWARD,SUPPLY_15M,3,RECENT_PAST_CHANGE,HISTORY_SUMMARY_PLAN_A1,17,510,1.0,OBSERVED,0.11831869436096833,0.16286275144556678,0.3078303414870334
TRAIN_FORWARD,SUPPLY_15M,3,RECENT_PAST_CHANGE,HISTORY_LAGS_PLAN_TUNED,17,510,0.01,OBSERVED,0.10512521181976418,0.1447802135073444,0.21375277327846903
TRAIN_FORWARD,SUPPLY_15M,3,RECENT_PAST_CHANGE,HISTORY_LAGS_PLAN_A1,17,510,1.0,OBSERVED,0.11621421344325929,0.15555948642262077,0.23880249782239957
TRAIN_FORWARD,SUPPLY_15M,3,CHANGE_IN_PLAN,PERSISTENCE,32,960,,OBSERVED,3.3563990815602938,4.953327510688865,9.551512139858863
TRAIN_FORWARD,SUPPLY_15M,3,CHANGE_IN_PLAN,CURRENT_PLAN_TUNED,32,960,0.01,OBSERVED,0.8892797498126683,1.605260334513013,3.5049011278324658
TRAIN_FORWARD,SUPPLY_15M,3,CHANGE_IN_PLAN,CURRENT_PLAN_A1,32,960,1.0,OBSERVED,0.9051538448796459,1.6159233952791627,3.4674142158868335
TRAIN_FORWARD,SUPPLY_15M,3,CHANGE_IN_PLAN,HISTORY_SUMMARY_PLAN_TUNED,32,960,0.01,OBSERVED,0.8576729361530744,1.5928115662086393,3.4713793606256216
TRAIN_FORWARD,SUPPLY_15M,3,CHANGE_IN_PLAN,HISTORY_SUMMARY_PLAN_A1,32,960,1.0,OBSERVED,0.8704308138305724,1.5901398625920766,3.4048763255774306
TRAIN_FORWARD,SUPPLY_15M,3,CHANGE_IN_PLAN,HISTORY_LAGS_PLAN_TUNED,32,960,0.01,OBSERVED,0.8799480711108617,1.574023769516215,3.437077482252994
TRAIN_FORWARD,SUPPLY_15M,3,CHANGE_IN_PLAN,HISTORY_LAGS_PLAN_A1,32,960,1.0,OBSERVED,0.8851425889918635,1.5790108570761718,3.43723203168471
TRAIN_FORWARD,SUPPLY_15M,3,NO_RECENT_OR_PLANNED_CHANGE,PERSISTENCE,81,2430,,OBSERVED,0.10904320118945134,0.1847249096233656,0.3172759218389727
TRAIN_FORWARD,SUPPLY_15M,3,NO_RECENT_OR_PLANNED_CHANGE,CURRENT_PLAN_TUNED,81,2430,0.01,OBSERVED,0.09399761973068216,0.13671715720977382,0.21054467022203197
TRAIN_FORWARD,SUPPLY_15M,3,NO_RECENT_OR_PLANNED_CHANGE,CURRENT_PLAN_A1,81,2430,1.0,OBSERVED,0.11134074771204186,0.1597386896809825,0.2629621731484235
TRAIN_FORWARD,SUPPLY_15M,3,NO_RECENT_OR_PLANNED_CHANGE,HISTORY_SUMMARY_PLAN_TUNED,81,2430,0.01,OBSERVED,0.10482063441865107,0.15217156356596093,0.23357844365198727
TRAIN_FORWARD,SUPPLY_15M,3,NO_RECENT_OR_PLANNED_CHANGE,HISTORY_SUMMARY_PLAN_A1,81,2430,1.0,OBSERVED,0.12595595147932923,0.17758821283872334,0.2923859583336991
TRAIN_FORWARD,SUPPLY_15M,3,NO_RECENT_OR_PLANNED_CHANGE,HISTORY_LAGS_PLAN_TUNED,81,2430,0.01,OBSERVED,0.10954224225963784,0.16101547949224862,0.25466076487971917
TRAIN_FORWARD,SUPPLY_15M,3,NO_RECENT_OR_PLANNED_CHANGE,HISTORY_LAGS_PLAN_A1,81,2430,1.0,OBSERVED,0.11683825261182838,0.16583188080390915,0.25964903679532086
TRAIN_FORWARD,SUPPLY_15M,3,MULTIPLE_CHANGES_IN_CONTEXT,PERSISTENCE,66,1980,,OBSERVED,0.9859058401144589,2.4771953829655198,5.411910847026888
TRAIN_FORWARD,SUPPLY_15M,3,MULTIPLE_CHANGES_IN_CONTEXT,CURRENT_PLAN_TUNED,66,1980,0.01,OBSERVED,0.29550152034521376,0.8232097112357248,0.5446788257764477
TRAIN_FORWARD,SUPPLY_15M,3,MULTIPLE_CHANGES_IN_CONTEXT,CURRENT_PLAN_A1,66,1980,1.0,OBSERVED,0.30195469279639847,0.8296898359713688,0.47095535883910383
TRAIN_FORWARD,SUPPLY_15M,3,MULTIPLE_CHANGES_IN_CONTEXT,HISTORY_SUMMARY_PLAN_TUNED,66,1980,0.01,OBSERVED,0.29372797779593557,0.8075058845362639,0.42059599110682533
TRAIN_FORWARD,SUPPLY_15M,3,MULTIPLE_CHANGES_IN_CONTEXT,HISTORY_SUMMARY_PLAN_A1,66,1980,1.0,OBSERVED,0.308452483912338,0.8065151620593309,0.3922636011855618
TRAIN_FORWARD,SUPPLY_15M,3,MULTIPLE_CHANGES_IN_CONTEXT,HISTORY_LAGS_PLAN_TUNED,66,1980,0.01,OBSERVED,0.30077616911984084,0.7936756529558415,0.4971129971768278
TRAIN_FORWARD,SUPPLY_15M,3,MULTIPLE_CHANGES_IN_CONTEXT,HISTORY_LAGS_PLAN_A1,66,1980,1.0,OBSERVED,0.30504348204950243,0.7989335323036397,0.494208532361905
TRAIN_FORWARD,SUPPLY_15M,4,ALL,PERSISTENCE,130,3900,,OBSERVED,0.5832255910916799,1.605156410476027,1.743619168989778
TRAIN_FORWARD,SUPPLY_15M,4,ALL,CURRENT_PLAN_TUNED,130,3900,0.01,OBSERVED,0.14103318456150735,0.28032879800607885,0.29269839083667076
TRAIN_FORWARD,SUPPLY_15M,4,ALL,CURRENT_PLAN_A1,130,3900,1.0,OBSERVED,0.1482877567217061,0.2829803131028994,0.2943701612514189
TRAIN_FORWARD,SUPPLY_15M,4,ALL,HISTORY_SUMMARY_PLAN_TUNED,130,3900,0.01,OBSERVED,0.16750332592035588,0.3024740886678145,0.346386384043933
TRAIN_FORWARD,SUPPLY_15M,4,ALL,HISTORY_SUMMARY_PLAN_A1,130,3900,1.0,OBSERVED,0.16793943028145572,0.303949055798174,0.3439270253693791
TRAIN_FORWARD,SUPPLY_15M,4,ALL,HISTORY_LAGS_PLAN_TUNED,130,3900,0.01,OBSERVED,0.16310053273024644,0.29656336365429137,0.32539504459561497
TRAIN_FORWARD,SUPPLY_15M,4,ALL,HISTORY_LAGS_PLAN_A1,130,3900,1.0,OBSERVED,0.1651585150394781,0.29734056294239897,0.3268129380343168
TRAIN_FORWARD,SUPPLY_15M,4,RECENT_OR_PLANNED_CHANGE,PERSISTENCE,46,1380,,OBSERVED,1.4946174152024647,2.6927972916006935,5.324760015636167
TRAIN_FORWARD,SUPPLY_15M,4,RECENT_OR_PLANNED_CHANGE,CURRENT_PLAN_TUNED,46,1380,0.01,OBSERVED,0.1927108871522034,0.41870655473134466,0.40988920665114426
TRAIN_FORWARD,SUPPLY_15M,4,RECENT_OR_PLANNED_CHANGE,CURRENT_PLAN_A1,46,1380,1.0,OBSERVED,0.2041442779638689,0.41918788319281963,0.3978463495924305
TRAIN_FORWARD,SUPPLY_15M,4,RECENT_OR_PLANNED_CHANGE,HISTORY_SUMMARY_PLAN_TUNED,46,1380,0.01,OBSERVED,0.21962592116068588,0.43596433440377763,0.44270010327168186
TRAIN_FORWARD,SUPPLY_15M,4,RECENT_OR_PLANNED_CHANGE,HISTORY_SUMMARY_PLAN_A1,46,1380,1.0,OBSERVED,0.22234403710283143,0.4377696341836983,0.46968269839846993
TRAIN_FORWARD,SUPPLY_15M,4,RECENT_OR_PLANNED_CHANGE,HISTORY_LAGS_PLAN_TUNED,46,1380,0.01,OBSERVED,0.22080124678932403,0.42943478848517275,0.41570015661893095
TRAIN_FORWARD,SUPPLY_15M,4,RECENT_OR_PLANNED_CHANGE,HISTORY_LAGS_PLAN_A1,46,1380,1.0,OBSERVED,0.2304755305466924,0.43355960842726,0.4125850887292019
TRAIN_FORWARD,SUPPLY_15M,4,RECENT_PAST_CHANGE,PERSISTENCE,16,480,,OBSERVED,0.20002880216493382,0.275376799963187,0.5044146501267677
TRAIN_FORWARD,SUPPLY_15M,4,RECENT_PAST_CHANGE,CURRENT_PLAN_TUNED,16,480,0.01,OBSERVED,0.04915868328035036,0.07548117231883493,0.11888956374656348
TRAIN_FORWARD,SUPPLY_15M,4,RECENT_PAST_CHANGE,CURRENT_PLAN_A1,16,480,1.0,OBSERVED,0.07669660484331663,0.09469319333398149,0.15684688803420388
TRAIN_FORWARD,SUPPLY_15M,4,RECENT_PAST_CHANGE,HISTORY_SUMMARY_PLAN_TUNED,16,480,0.01,OBSERVED,0.07334340054049046,0.09522421755121842,0.16218539099945137
TRAIN_FORWARD,SUPPLY_15M,4,RECENT_PAST_CHANGE,HISTORY_SUMMARY_PLAN_A1,16,480,1.0,OBSERVED,0.07976908015883405,0.10475755578644429,0.17425616302007826
TRAIN_FORWARD,SUPPLY_15M,4,RECENT_PAST_CHANGE,HISTORY_LAGS_PLAN_TUNED,16,480,0.01,OBSERVED,0.07388991681680773,0.10310184832271874,0.18595507147750256
TRAIN_FORWARD,SUPPLY_15M,4,RECENT_PAST_CHANGE,HISTORY_LAGS_PLAN_A1,16,480,1.0,OBSERVED,0.08676520233645336,0.11990854829499505,0.20829060324193735
TRAIN_FORWARD,SUPPLY_15M,4,CHANGE_IN_PLAN,PERSISTENCE,30,900,,OBSERVED,2.185064675489148,3.328362538129253,6.341056655408562
TRAIN_FORWARD,SUPPLY_15M,4,CHANGE_IN_PLAN,CURRENT_PLAN_TUNED,30,900,0.01,OBSERVED,0.269272062550525,0.5155366044183364,0.656009164806426
TRAIN_FORWARD,SUPPLY_15M,4,CHANGE_IN_PLAN,CURRENT_PLAN_A1,30,900,1.0,OBSERVED,0.2721163702948301,0.5144440796076399,0.6490761844600855
TRAIN_FORWARD,SUPPLY_15M,4,CHANGE_IN_PLAN,HISTORY_SUMMARY_PLAN_TUNED,30,900,0.01,OBSERVED,0.29764326549145675,0.5353473331830485,0.7572323159169523
TRAIN_FORWARD,SUPPLY_15M,4,CHANGE_IN_PLAN,HISTORY_SUMMARY_PLAN_A1,30,900,1.0,OBSERVED,0.29838401413963,0.5366549882467485,0.7783224825999306
TRAIN_FORWARD,SUPPLY_15M,4,CHANGE_IN_PLAN,HISTORY_LAGS_PLAN_TUNED,30,900,0.01,OBSERVED,0.2991539561079994,0.5264020982031087,0.7277211984786168
TRAIN_FORWARD,SUPPLY_15M,4,CHANGE_IN_PLAN,HISTORY_LAGS_PLAN_A1,30,900,1.0,OBSERVED,0.30712103892548653,0.5296776380489723,0.7312016285581195
TRAIN_FORWARD,SUPPLY_15M,4,NO_RECENT_OR_PLANNED_CHANGE,PERSISTENCE,84,2520,,OBSERVED,0.08413006836434565,0.12888207991745806,0.2191775102133249
TRAIN_FORWARD,SUPPLY_15M,4,NO_RECENT_OR_PLANNED_CHANGE,CURRENT_PLAN_TUNED,84,2520,0.01,OBSERVED,0.11273349028564998,0.1600391438743016,0.2542767343284366
TRAIN_FORWARD,SUPPLY_15M,4,NO_RECENT_OR_PLANNED_CHANGE,CURRENT_PLAN_A1,84,2520,1.0,OBSERVED,0.1176996617557598,0.16644287391856544,0.26505458991366593
TRAIN_FORWARD,SUPPLY_15M,4,NO_RECENT_OR_PLANNED_CHANGE,HISTORY_SUMMARY_PLAN_TUNED,84,2520,0.01,OBSERVED,0.13895999995541328,0.19367342483354216,0.3185550841217093
TRAIN_FORWARD,SUPPLY_15M,4,NO_RECENT_OR_PLANNED_CHANGE,HISTORY_SUMMARY_PLAN_A1,84,2520,1.0,OBSERVED,0.1381464313078452,0.1950125175306233,0.32291246282187536
TRAIN_FORWARD,SUPPLY_15M,4,NO_RECENT_OR_PLANNED_CHANGE,HISTORY_LAGS_PLAN_TUNED,84,2520,0.01,OBSERVED,0.1315025226502754,0.18741419618413882,0.29636690219333556
TRAIN_FORWARD,SUPPLY_15M,4,NO_RECENT_OR_PLANNED_CHANGE,HISTORY_LAGS_PLAN_A1,84,2520,1.0,OBSERVED,0.12938967321409883,0.18408985841145614,0.28994855377887907
TRAIN_FORWARD,SUPPLY_15M,4,MULTIPLE_CHANGES_IN_CONTEXT,PERSISTENCE,63,1890,,OBSERVED,0.46851946303550956,1.4658799716873847,0.630471483202618
TRAIN_FORWARD,SUPPLY_15M,4,MULTIPLE_CHANGES_IN_CONTEXT,CURRENT_PLAN_TUNED,63,1890,0.01,OBSERVED,0.10344442561496561,0.16415825531785946,0.25142552243797817
TRAIN_FORWARD,SUPPLY_15M,4,MULTIPLE_CHANGES_IN_CONTEXT,CURRENT_PLAN_A1,63,1890,1.0,OBSERVED,0.11821687180479992,0.16969316179464877,0.24688519609605356
TRAIN_FORWARD,SUPPLY_15M,4,MULTIPLE_CHANGES_IN_CONTEXT,HISTORY_SUMMARY_PLAN_TUNED,63,1890,0.01,OBSERVED,0.1416742697048052,0.2083263478826673,0.31303429008096395
TRAIN_FORWARD,SUPPLY_15M,4,MULTIPLE_CHANGES_IN_CONTEXT,HISTORY_SUMMARY_PLAN_A1,63,1890,1.0,OBSERVED,0.14728443481009965,0.2154361297547478,0.32602210104442986
TRAIN_FORWARD,SUPPLY_15M,4,MULTIPLE_CHANGES_IN_CONTEXT,HISTORY_LAGS_PLAN_TUNED,63,1890,0.01,OBSERVED,0.12129741173782756,0.2037546013727791,0.2782823777881902
TRAIN_FORWARD,SUPPLY_15M,4,MULTIPLE_CHANGES_IN_CONTEXT,HISTORY_LAGS_PLAN_A1,63,1890,1.0,OBSERVED,0.12403270801659468,0.2050113514691882,0.2799622649037759
TRAIN_FORWARD,SUPPLY_30M,2,ALL,PERSISTENCE,129,7740,,OBSERVED,1.0407206103732134,2.3730993261463245,4.578267306241861
TRAIN_FORWARD,SUPPLY_30M,2,ALL,CURRENT_PLAN_TUNED,129,7740,0.01,OBSERVED,0.2828517541811881,0.4947954072655767,0.8209589125392839
TRAIN_FORWARD,SUPPLY_30M,2,ALL,CURRENT_PLAN_A1,129,7740,1.0,OBSERVED,0.2970451746601936,0.5039192848552076,0.7927372653823359
TRAIN_FORWARD,SUPPLY_30M,2,ALL,HISTORY_SUMMARY_PLAN_TUNED,129,7740,0.01,OBSERVED,0.282917612449805,0.5007439699826416,0.8866082863588759
TRAIN_FORWARD,SUPPLY_30M,2,ALL,HISTORY_SUMMARY_PLAN_A1,129,7740,1.0,OBSERVED,0.2904222620349849,0.5093586747683982,0.8777338449005246
TRAIN_FORWARD,SUPPLY_30M,2,ALL,HISTORY_LAGS_PLAN_TUNED,129,7740,0.01,OBSERVED,0.2958347309235658,0.4937701371390153,0.8268428751992758
TRAIN_FORWARD,SUPPLY_30M,2,ALL,HISTORY_LAGS_PLAN_A1,129,7740,1.0,OBSERVED,0.29458286495569475,0.49226057957887537,0.8231060718634186
TRAIN_FORWARD,SUPPLY_30M,2,RECENT_OR_PLANNED_CHANGE,PERSISTENCE,48,2880,,OBSERVED,2.5012716902745344,3.8708504106775137,7.325132881819684
TRAIN_FORWARD,SUPPLY_30M,2,RECENT_OR_PLANNED_CHANGE,CURRENT_PLAN_TUNED,48,2880,0.01,OBSERVED,0.5114067242218329,0.7663971795972138,1.475571710420473
TRAIN_FORWARD,SUPPLY_30M,2,RECENT_OR_PLANNED_CHANGE,CURRENT_PLAN_A1,48,2880,1.0,OBSERVED,0.5108917796268477,0.7705756829086482,1.482061284562809
TRAIN_FORWARD,SUPPLY_30M,2,RECENT_OR_PLANNED_CHANGE,HISTORY_SUMMARY_PLAN_TUNED,48,2880,0.01,OBSERVED,0.5083790941552769,0.7734307851090251,1.4777886397707902
TRAIN_FORWARD,SUPPLY_30M,2,RECENT_OR_PLANNED_CHANGE,HISTORY_SUMMARY_PLAN_A1,48,2880,1.0,OBSERVED,0.5098734127703158,0.7812192635201403,1.495381396855475
TRAIN_FORWARD,SUPPLY_30M,2,RECENT_OR_PLANNED_CHANGE,HISTORY_LAGS_PLAN_TUNED,48,2880,0.01,OBSERVED,0.4893051094827313,0.7330056618457196,1.3890472224103063
