target,id,arm,lead,original_2pinball,ensemble_CRPS
T0,T0_TEST_1001,F2,10,20381.54150793653,21302.477132104425
T0,T0_TEST_1001,F2,11,9902.80359126984,10353.723551679992
T0,T0_TEST_1001,F2,12,11516.501081349195,12051.871280041829
T0,T0_TEST_1001,F2,13,13110.98044642857,13694.503814082593
T0,T0_TEST_1001,F2,14,18334.064811507957,19135.671993048913
T0,T0_TEST_1001,F2,15,21662.569861111104,22643.90939016213
T0,T0_TEST_1001,F2,16,47976.92978174602,50065.89200928187
T0,T0_TEST_1001,F2,17,38056.71090773808,39838.791005067396
T0,T0_TEST_1001,F2,18,44618.314102182536,46642.677269247346
T0,T0_TEST_1001,F2,19,44491.94632440476,46529.613576850854
T0,T0_TEST_1001,F2,20,42664.503690476195,44722.50783162187
T0,T0_TEST_1001,F2,21,12478.013100198412,12997.795095766924
T0,T0_TEST_1001,F2,22,18992.063918650783,19836.263121428492
T0,T0_TEST_1001,F2,23,19312.39560763889,20134.722236706424
T0,T0_TEST_1001,F3,0,40192.44014632939,41978.2482891642
T0,T0_TEST_1001,F3,1,83189.96819940477,86844.58959055506
T0,T0_TEST_1001,F3,2,37386.593452380956,39026.345925492235
T0,T0_TEST_1001,F3,3,55424.82125372024,57903.47613768189
T0,T0_TEST_1001,F3,4,102187.09257440477,106872.4014368141
T0,T0_TEST_1001,F3,5,52019.459724702385,54277.53668025043
T0,T0_TEST_1001,F3,6,46346.28410838294,48348.42596308861
T0,T0_TEST_1001,F3,7,116872.46211309524,122343.75569222495
T0,T0_TEST_1001,F3,8,51235.8090773809,53532.04349084239
T0,T0_TEST_1001,F3,9,34476.16589285715,36016.11408457905
T0,T0_TEST_1001,F3,10,20381.54150793653,21302.477132104446
T0,T0_TEST_1001,F3,11,9902.80359126984,10353.723551680036
T0,T0_TEST_1001,F3,12,11516.501081349195,12051.871280041807
T0,T0_TEST_1001,F3,13,13110.98044642857,13694.503814082593
T0,T0_TEST_1001,F3,14,18334.064811507957,19135.671993048905
T0,T0_TEST_1001,F3,15,21662.569861111104,22643.90939016213
T0,T0_TEST_1001,F3,16,47976.92978174602,50065.8920092819
T0,T0_TEST_1001,F3,17,38056.71090773808,39838.79100506738
T0,T0_TEST_1001,F3,18,44618.314102182536,46642.67726924732
T0,T0_TEST_1001,F3,19,44491.94632440476,46529.613576850854
T0,T0_TEST_1001,F3,20,42664.503690476195,44722.507831621915
T0,T0_TEST_1001,F3,21,12478.013100198412,12997.79509576688
T0,T0_TEST_1001,F3,22,18992.063918650783,19836.26312142855
T0,T0_TEST_1001,F3,23,19312.39560763889,20134.722236706453
T0,T0_TEST_1002,F0,0,21672.54619047619,22581.503069989383
T0,T0_TEST_1002,F0,1,126198.53520833328,131963.94490949312
T0,T0_TEST_1002,F0,2,68547.53888392857,71853.97414888092
T0,T0_TEST_1002,F0,3,58031.35836805556,60556.09451265447
T0,T0_TEST_1002,F0,4,261823.07484871038,274094.0962613953
T0,T0_TEST_1002,F0,5,90560.017921627,94612.46611031046
T0,T0_TEST_1002,F0,6,54539.250503472205,56966.14803126463
T0,T0_TEST_1002,F0,7,65417.935126488075,68347.06251069641
T0,T0_TEST_1002,F0,8,14071.130208333334,14683.750365780666
T0,T0_TEST_1002,F0,9,45734.120565476194,47841.99269689806
T0,T0_TEST_1002,F0,10,66866.0104365079,69789.47814713816
T0,T0_TEST_1002,F0,11,28285.61592261905,29637.909240679815
T0,T0_TEST_1002,F0,12,49057.74426091272,51326.435080968135
T0,T0_TEST_1002,F0,13,40823.078710317444,42693.872899970156
T0,T0_TEST_1002,F0,14,21613.129513888874,22583.254484449884
T0,T0_TEST_1002,F0,15,33106.38281250001,34654.5147661278
T0,T0_TEST_1002,F0,16,20537.695622519863,21523.168700875045
T0,T0_TEST_1002,F0,17,32857.75166666666,34410.87981127016
T0,T0_TEST_1002,F0,18,40692.24559027775,42480.940109972405
T0,T0_TEST_1002,F0,19,27572.238591269816,28775.091361637373
T0,T0_TEST_1002,F0,20,33643.96486607144,35142.671587728895
T0,T0_TEST_1002,F0,21,64996.92433531747,67943.88983757692
T0,T0_TEST_1002,F0,22,71424.73558531744,74889.73821933726
T0,T0_TEST_1002,F0,23,32800.49553075395,34289.62162492082
T0,T0_TEST_1002,F1,0,21672.54619047619,22581.503069989325
T0,T0_TEST_1002,F1,1,126198.53520833328,131963.94490949312
T0,T0_TEST_1002,F1,2,68547.53888392857,71853.97414888084
T0,T0_TEST_1002,F1,3,58031.35836805556,60556.09451265447
T0,T0_TEST_1002,F1,4,261823.07484871038,274094.09626139526
T0,T0_TEST_1002,F1,5,90560.017921627,94612.46611031052
T0,T0_TEST_1002,F1,6,54539.250503472205,56966.14803126454
T0,T0_TEST_1002,F1,7,65417.935126488075,68347.06251069643
T0,T0_TEST_1002,F1,8,14071.130208333334,14683.750365780666
T0,T0_TEST_1002,F1,9,45734.120565476194,47841.99269689806
T0,T0_TEST_1002,F1,10,66866.0104365079,69789.47814713814
T0,T0_TEST_1002,F1,11,28285.61592261905,29637.909240679815
T0,T0_TEST_1002,F1,12,49057.74426091272,51326.435080968105
T0,T0_TEST_1002,F1,13,40823.078710317444,42693.87289997013
T0,T0_TEST_1002,F1,14,21613.129513888874,22583.254484449884
T0,T0_TEST_1002,F1,15,33106.38281250001,34654.5147661278
T0,T0_TEST_1002,F1,16,20537.695622519863,21523.168700875045
T0,T0_TEST_1002,F1,17,32857.75166666666,34410.87981127016
T0,T0_TEST_1002,F1,18,40692.24559027775,42480.94010997239
T0,T0_TEST_1002,F1,19,27572.238591269816,28775.091361637373
T0,T0_TEST_1002,F1,20,33643.96486607144,35142.671587728895
T0,T0_TEST_1002,F1,21,64996.92433531747,67943.88983757693
T0,T0_TEST_1002,F1,22,71424.73558531744,74889.73821933725
T0,T0_TEST_1002,F1,23,32800.49553075395,34289.621624920765
T0,T0_TEST_1002,F2,0,21672.54619047619,22581.503069989427
T0,T0_TEST_1002,F2,1,126198.53520833328,131963.9449094931
T0,T0_TEST_1002,F2,2,68547.53888392857,71853.97414888078
T0,T0_TEST_1002,F2,3,58031.35836805556,60556.09451265438
T0,T0_TEST_1002,F2,4,261823.07484871038,274094.0962613954
T0,T0_TEST_1002,F2,5,90560.017921627,94612.46611031058
T0,T0_TEST_1002,F2,6,54539.250503472205,56966.14803126457
T0,T0_TEST_1002,F2,7,65417.935126488075,68347.0625106964
T0,T0_TEST_1002,F2,8,14071.130208333334,14683.750365780666
T0,T0_TEST_1002,F2,9,45734.120565476194,47841.99269689806
T0,T0_TEST_1002,F2,10,66866.0104365079,69789.47814713817
T0,T0_TEST_1002,F2,11,28285.61592261905,29637.909240679815
T0,T0_TEST_1002,F2,12,49057.74426091272,51326.435080968164
T0,T0_TEST_1002,F2,13,40823.078710317444,42693.8728999702
T0,T0_TEST_1002,F2,14,21613.129513888874,22583.25448444989
T0,T0_TEST_1002,F2,15,33106.38281250001,34654.5147661278
T0,T0_TEST_1002,F2,16,20537.695622519863,21523.168700875045
T0,T0_TEST_1002,F2,17,32857.75166666666,34410.87981127016
T0,T0_TEST_1002,F2,18,40692.24559027775,42480.94010997239
T0,T0_TEST_1002,F2,19,27572.238591269816,28775.09136163738
T0,T0_TEST_1002,F2,20,33643.96486607144,35142.671587728895
T0,T0_TEST_1002,F2,21,64996.92433531747,67943.88983757695
T0,T0_TEST_1002,F2,22,71424.73558531744,74889.73821933725
T0,T0_TEST_1002,F2,23,32800.49553075395,34289.621624920794
T0,T0_TEST_1002,F3,0,21672.54619047619,22581.503069989412
T0,T0_TEST_1002,F3,1,126198.53520833328,131963.94490949312
T0,T0_TEST_1002,F3,2,68547.53888392857,71853.9741488808
T0,T0_TEST_1002,F3,3,58031.35836805556,60556.09451265432
T0,T0_TEST_1002,F3,4,261823.07484871038,274094.0962613952
T0,T0_TEST_1002,F3,5,90560.017921627,94612.46611031055
T0,T0_TEST_1002,F3,6,54539.250503472205,56966.1480312646
T0,T0_TEST_1002,F3,7,65417.935126488075,68347.06251069643
T0,T0_TEST_1002,F3,8,14071.130208333334,14683.750365780666
T0,T0_TEST_1002,F3,9,45734.120565476194,47841.99269689806
T0,T0_TEST_1002,F3,10,66866.0104365079,69789.47814713817
T0,T0_TEST_1002,F3,11,28285.61592261905,29637.909240679815
T0,T0_TEST_1002,F3,12,49057.74426091272,51326.43508096819
T0,T0_TEST_1002,F3,13,40823.078710317444,42693.872899970156
T0,T0_TEST_1002,F3,14,21613.129513888874,22583.25448444987
T0,T0_TEST_1002,F3,15,33106.38281250001,34654.5147661278
T0,T0_TEST_1002,F3,16,20537.695622519863,21523.16870087501
T0,T0_TEST_1002,F3,17,32857.75166666666,34410.87981127016
T0,T0_TEST_1002,F3,18,40692.24559027775,42480.94010997238
T0,T0_TEST_1002,F3,19,27572.238591269816,28775.091361637373
T0,T0_TEST_1002,F3,20,33643.96486607144,35142.671587728895
T0,T0_TEST_1002,F3,21,64996.92433531747,67943.88983757693
T0,T0_TEST_1002,F3,22,71424.73558531744,74889.73821933723
T0,T0_TEST_1002,F3,23,32800.49553075395,34289.62162492088
T0,T0_TEST_1003,F0,0,33620.02542658731,35098.88663796146
T0,T0_TEST_1003,F0,1,144393.16615327384,151543.78884141194
T0,T0_TEST_1003,F0,2,113582.57831845239,118932.05056314543
T0,T0_TEST_1003,F0,3,52390.40765873013,54768.47391598942
T0,T0_TEST_1003,F0,4,43969.477919146826,45829.726361622656
T0,T0_TEST_1003,F0,5,209700.55935019837,219008.03267278994
T0,T0_TEST_1003,F0,6,73394.61697420634,76882.01907843462
T0,T0_TEST_1003,F0,7,150577.8942063492,156528.29243211038
T0,T0_TEST_1003,F0,8,18352.094553571445,19145.954969117425
T0,T0_TEST_1003,F0,9,14238.112281746056,14835.449149778731
T0,T0_TEST_1003,F0,10,30017.77142857146,31332.171535186615
T0,T0_TEST_1003,F0,11,28739.121160714345,29995.932019799286
T0,T0_TEST_1003,F0,12,9834.173244047619,10283.856889210641
T0,T0_TEST_1003,F0,13,23336.49449404764,24481.5643246864
T0,T0_TEST_1003,F0,14,24367.495133928576,25484.270673369057
T0,T0_TEST_1003,F0,15,28314.87444940474,29561.658274378788
T0,T0_TEST_1003,F0,16,10453.331875000002,10945.546210641041
T0,T0_TEST_1003,F0,17,12946.87343750001,13518.142629495524
T0,T0_TEST_1003,F0,18,19129.88360119048,19976.170355987735
T0,T0_TEST_1003,F0,19,18819.92259920633,19655.647594585644
T0,T0_TEST_1003,F0,20,19862.38338293653,20740.46098776666
T0,T0_TEST_1003,F0,21,60222.77925099203,62933.56894934221
T0,T0_TEST_1003,F0,22,94072.9748710317,98055.78764658267
T0,T0_TEST_1003,F0,23,44727.46492063494,46705.121374997136
T0,T0_TEST_1003,F1,0,33620.02542658731,35098.88663796152
T0,T0_TEST_1003,F1,1,144393.16615327384,151543.78884141194
T0,T0_TEST_1003,F1,2,113582.57831845239,118932.05056314543
T0,T0_TEST_1003,F1,3,52390.40765873013,54768.47391598925
T0,T0_TEST_1003,F1,4,43969.477919146826,45829.726361622685
T0,T0_TEST_1003,F1,5,209700.55935019837,219008.03267279005
T0,T0_TEST_1003,F1,6,73394.61697420634,76882.01907843462
T0,T0_TEST_1003,F1,7,150577.8942063492,156528.29243211047
T0,T0_TEST_1003,F1,8,18352.094553571445,19145.954969117418
T0,T0_TEST_1003,F1,9,14238.112281746056,14835.449149778724
T0,T0_TEST_1003,F1,10,30017.77142857146,31332.171535186622
T0,T0_TEST_1003,F1,11,28739.121160714345,29995.93201979925
T0,T0_TEST_1003,F1,12,9834.173244047619,10283.856889210641
T0,T0_TEST_1003,F1,13,23336.49449404764,24481.564324686413
T0,T0_TEST_1003,F1,14,24367.495133928576,25484.270673369057
T0,T0_TEST_1003,F1,15,28314.87444940474,29561.65827437881
T0,T0_TEST_1003,F1,16,10453.331875000002,10945.546210641041
T0,T0_TEST_1003,F1,17,12946.87343750001,13518.142629495538
T0,T0_TEST_1003,F1,18,19129.88360119048,19976.170355987735
T0,T0_TEST_1003,F1,19,18819.92259920633,19655.64759458565
T0,T0_TEST_1003,F1,20,19862.38338293653,20740.46098776665
T0,T0_TEST_1003,F1,21,60222.77925099203,62933.56894934224
T0,T0_TEST_1003,F1,22,94072.9748710317,98055.7876465827
T0,T0_TEST_1003,F1,23,44727.46492063494,46705.12137499721
T0,T0_TEST_1003,F2,0,33620.02542658731,35098.88663796151
T0,T0_TEST_1003,F2,1,144393.16615327384,151543.78884141194
T0,T0_TEST_1003,F2,2,113582.57831845239,118932.05056314543
T0,T0_TEST_1003,F2,3,52390.40765873013,54768.4739159891
T0,T0_TEST_1003,F2,4,43969.477919146826,45829.72636162248
T0,T0_TEST_1003,F2,5,209700.55935019837,219008.03267279005
T0,T0_TEST_1003,F2,6,73394.61697420634,76882.0190784347
T0,T0_TEST_1003,F2,7,150577.8942063492,156528.29243211047
T0,T0_TEST_1003,F2,8,18352.094553571445,19145.954969117418
T0,T0_TEST_1003,F2,9,14238.112281746056,14835.449149778695
T0,T0_TEST_1003,F2,10,30017.77142857146,31332.171535186615
T0,T0_TEST_1003,F2,11,28739.121160714345,29995.93201979925
T0,T0_TEST_1003,F2,12,9834.173244047619,10283.856889210641
T0,T0_TEST_1003,F2,13,23336.49449404764,24481.564324686384
T0,T0_TEST_1003,F2,14,24367.495133928576,25484.270673369057
T0,T0_TEST_1003,F2,15,28314.87444940474,29561.65827437878
T0,T0_TEST_1003,F2,16,10453.331875000002,10945.546210641041
T0,T0_TEST_1003,F2,17,12946.87343750001,13518.14262949556
T0,T0_TEST_1003,F2,18,19129.88360119048,19976.170355987735
T0,T0_TEST_1003,F2,19,18819.92259920633,19655.647594585636
T0,T0_TEST_1003,F2,20,19862.38338293653,20740.460987766644
T0,T0_TEST_1003,F2,21,60222.77925099203,62933.568949342254
T0,T0_TEST_1003,F2,22,94072.9748710317,98055.7876465827
T0,T0_TEST_1003,F2,23,44727.46492063494,46705.121374997136
T0,T0_TEST_1003,F3,0,33620.02542658731,35098.88663796148
T0,T0_TEST_1003,F3,1,144393.16615327384,151543.78884141194
T0,T0_TEST_1003,F3,2,113582.57831845239,118932.05056314543
T0,T0_TEST_1003,F3,3,52390.40765873013,54768.47391598925
T0,T0_TEST_1003,F3,4,43969.477919146826,45829.726361622685
T0,T0_TEST_1003,F3,5,209700.55935019837,219008.03267279005
T0,T0_TEST_1003,F3,6,73394.61697420634,76882.01907843468
T0,T0_TEST_1003,F3,7,150577.8942063492,156528.2924321105
T0,T0_TEST_1003,F3,8,18352.094553571445,19145.954969117425
T0,T0_TEST_1003,F3,9,14238.112281746056,14835.44914977868
T0,T0_TEST_1003,F3,10,30017.77142857146,31332.171535186644
T0,T0_TEST_1003,F3,11,28739.121160714345,29995.93201979927
T0,T0_TEST_1003,F3,12,9834.173244047619,10283.856889210641
T0,T0_TEST_1003,F3,13,23336.49449404764,24481.5643246864
T0,T0_TEST_1003,F3,14,24367.495133928576,25484.270673369057
T0,T0_TEST_1003,F3,15,28314.87444940474,29561.65827437878
T0,T0_TEST_1003,F3,16,10453.331875000002,10945.546210641041
T0,T0_TEST_1003,F3,17,12946.87343750001,13518.142629495545
T0,T0_TEST_1003,F3,18,19129.88360119048,19976.170355987735
T0,T0_TEST_1003,F3,19,18819.92259920633,19655.64759458566
T0,T0_TEST_1003,F3,20,19862.38338293653,20740.46098776665
T0,T0_TEST_1003,F3,21,60222.77925099203,62933.56894934228
T0,T0_TEST_1003,F3,22,94072.9748710317,98055.78764658267
T0,T0_TEST_1003,F3,23,44727.46492063494,46705.12137499721
T0,T0_TEST_1004,F0,0,17082.566956845236,17790.028889196517
T0,T0_TEST_1004,F0,1,25357.040128968252,26480.51116377242
T0,T0_TEST_1004,F0,2,44707.50181547619,46639.54706827924
T0,T0_TEST_1004,F0,3,224566.05396825404,234068.7952465936
T0,T0_TEST_1004,F0,4,99400.1289583334,103841.7474752786
T0,T0_TEST_1004,F0,5,36652.13489583334,38203.386965913305
T0,T0_TEST_1004,F0,6,93042.16705357145,97205.35520264693
T0,T0_TEST_1004,F0,7,108542.87078869046,113322.65608137008
T0,T0_TEST_1004,F0,8,33595.25735119047,35063.374411299825
T0,T0_TEST_1004,F0,9,12009.887470238096,12514.862056186423
T0,T0_TEST_1004,F0,10,12312.485843253942,12844.916016792813
T0,T0_TEST_1004,F0,11,9542.482678571423,9966.309086455032
T0,T0_TEST_1004,F0,12,11100.437192460327,11594.49102726204
T0,T0_TEST_1004,F0,13,20191.073432539724,21117.233060833685
T0,T0_TEST_1004,F0,14,16227.724930555543,16996.725271822288
T0,T0_TEST_1004,F0,15,11425.922321428572,11911.257133617997
T0,T0_TEST_1004,F0,16,12221.47473710316,12740.641733633973
T0,T0_TEST_1004,F0,17,9948.424618055553,10395.040172115863
T0,T0_TEST_1004,F0,18,9522.266458333334,9962.423651594669
T0,T0_TEST_1004,F0,19,10158.466398809527,10597.09413788843
T0,T0_TEST_1004,F0,20,14256.934017857124,14881.993497673408
T0,T0_TEST_1004,F0,21,12504.074999999997,13079.682674508527
T0,T0_TEST_1004,F0,22,23995.620684523823,25041.14594224767
T0,T0_TEST_1004,F0,23,18887.678157242066,19719.52068798423
T0,T0_TEST_1004,F1,0,17082.566956845236,17790.028889196496
T0,T0_TEST_1004,F1,1,25357.040128968252,26480.511163772375
T0,T0_TEST_1004,F1,2,44707.50181547619,46639.54706827924
T0,T0_TEST_1004,F1,3,224566.05396825404,234068.7952465936
T0,T0_TEST_1004,F1,4,99400.1289583334,103841.7474752786
T0,T0_TEST_1004,F1,5,36652.13489583334,38203.38696591332
T0,T0_TEST_1004,F1,6,93042.16705357145,97205.35520264693
T0,T0_TEST_1004,F1,7,108542.87078869046,113322.65608137008
T0,T0_TEST_1004,F1,8,33595.25735119047,35063.374411299825
T0,T0_TEST_1004,F1,9,12009.887470238096,12514.862056186423
T0,T0_TEST_1004,F1,10,12312.485843253942,12844.916016792835
T0,T0_TEST_1004,F1,11,9542.482678571423,9966.309086455025
T0,T0_TEST_1004,F1,12,11100.437192460327,11594.491027262062
T0,T0_TEST_1004,F1,13,20191.073432539724,21117.233060833663
T0,T0_TEST_1004,F1,14,16227.724930555543,16996.725271822303
T0,T0_TEST_1004,F1,15,11425.922321428572,11911.257133617997
T0,T0_TEST_1004,F1,16,12221.47473710316,12740.641733633944
T0,T0_TEST_1004,F1,17,9948.424618055553,10395.040172115907
T0,T0_TEST_1004,F1,18,9522.266458333334,9962.423651594669
T0,T0_TEST_1004,F1,19,10158.466398809527,10597.09413788838
T0,T0_TEST_1004,F1,20,14256.934017857124,14881.993497673378
T0,T0_TEST_1004,F1,21,12504.074999999997,13079.682674508556
T0,T0_TEST_1004,F1,22,23995.620684523823,25041.145942247684
T0,T0_TEST_1004,F1,23,18887.678157242066,19719.52068798417
T0,T0_TEST_1004,F2,0,17082.566956845236,17790.028889196496
T0,T0_TEST_1004,F2,1,25357.040128968252,26480.51116377233
T0,T0_TEST_1004,F2,2,44707.50181547619,46639.54706827924
T0,T0_TEST_1004,F2,3,224566.05396825404,234068.7952465937
T0,T0_TEST_1004,F2,4,99400.1289583334,103841.74747527865
T0,T0_TEST_1004,F2,5,36652.13489583334,38203.38696591338
T0,T0_TEST_1004,F2,6,93042.16705357145,97205.35520264693
T0,T0_TEST_1004,F2,7,108542.87078869046,113322.65608137008
T0,T0_TEST_1004,F2,8,33595.25735119047,35063.374411299825
T0,T0_TEST_1004,F2,9,12009.887470238096,12514.862056186423
T0,T0_TEST_1004,F2,10,12312.485843253942,12844.916016792864
T0,T0_TEST_1004,F2,11,9542.482678571423,9966.309086455054
T0,T0_TEST_1004,F2,12,11100.437192460327,11594.491027262076
T0,T0_TEST_1004,F2,13,20191.073432539724,21117.233060833685
T0,T0_TEST_1004,F2,14,16227.724930555543,16996.72527182228
T0,T0_TEST_1004,F2,15,11425.922321428572,11911.257133617997
T0,T0_TEST_1004,F2,16,12221.47473710316,12740.641733633958
T0,T0_TEST_1004,F2,17,9948.424618055553,10395.040172115914
T0,T0_TEST_1004,F2,18,9522.266458333334,9962.423651594669
T0,T0_TEST_1004,F2,19,10158.466398809527,10597.094137888424
T0,T0_TEST_1004,F2,20,14256.934017857124,14881.9934976734
T0,T0_TEST_1004,F2,21,12504.074999999997,13079.682674508564
T0,T0_TEST_1004,F2,22,23995.620684523823,25041.145942247684
T0,T0_TEST_1004,F2,23,18887.678157242066,19719.520687984128
T0,T0_TEST_1004,F3,0,17082.566956845236,17790.02888919649
T0,T0_TEST_1004,F3,1,25357.040128968252,26480.511163772346
T0,T0_TEST_1004,F3,2,44707.50181547619,46639.54706827924
T0,T0_TEST_1004,F3,3,224566.05396825404,234068.7952465937
T0,T0_TEST_1004,F3,4,99400.1289583334,103841.74747527845
T0,T0_TEST_1004,F3,5,36652.13489583334,38203.386965913334
T0,T0_TEST_1004,F3,6,93042.16705357145,97205.35520264693
T0,T0_TEST_1004,F3,7,108542.87078869046,113322.65608137008
T0,T0_TEST_1004,F3,8,33595.25735119047,35063.374411299825
T0,T0_TEST_1004,F3,9,12009.887470238096,12514.862056186423
T0,T0_TEST_1004,F3,10,12312.485843253942,12844.916016792798
T0,T0_TEST_1004,F3,11,9542.482678571423,9966.309086455032
T0,T0_TEST_1004,F3,12,11100.437192460327,11594.49102726204
T0,T0_TEST_1004,F3,13,20191.073432539724,21117.233060833714
T0,T0_TEST_1004,F3,14,16227.724930555543,16996.725271822288
T0,T0_TEST_1004,F3,15,11425.922321428572,11911.257133617997
T0,T0_TEST_1004,F3,16,12221.47473710316,12740.641733633958
T0,T0_TEST_1004,F3,17,9948.424618055553,10395.04017211587
T0,T0_TEST_1004,F3,18,9522.266458333334,9962.423651594669
T0,T0_TEST_1004,F3,19,10158.466398809527,10597.094137888424
T0,T0_TEST_1004,F3,20,14256.934017857124,14881.993497673393
T0,T0_TEST_1004,F3,21,12504.074999999997,13079.682674508505
T0,T0_TEST_1004,F3,22,23995.620684523823,25041.145942247655
T0,T0_TEST_1004,F3,23,18887.678157242066,19719.5206879842
T0,T0_TEST_1005,F0,0,12989.966912202382,13546.123941096012
T0,T0_TEST_1005,F0,1,38687.496185515854,40530.106214921776
T0,T0_TEST_1005,F0,2,64148.35445436505,67043.02368863259
T0,T0_TEST_1005,F0,3,168668.65363095247,175436.7367353626
T0,T0_TEST_1005,F0,4,124216.70295634928,129673.8444258355
T0,T0_TEST_1005,F0,5,233257.20688492054,243459.90466554696
T0,T0_TEST_1005,F0,6,187652.2830605159,195420.49980055104
T0,T0_TEST_1005,F0,7,100836.2596502976,105388.11559497565
T0,T0_TEST_1005,F0,8,14448.81425595238,15095.208185307682
T0,T0_TEST_1005,F0,9,10334.964434523816,10821.223535970465
T0,T0_TEST_1005,F0,10,10386.783442460328,10848.680153502137
T0,T0_TEST_1005,F0,11,47437.0825198413,49359.44374398692
T0,T0_TEST_1005,F0,12,41836.319117063475,43604.97665240824
T0,T0_TEST_1005,F0,13,22762.397083333362,23777.130710905505
T0,T0_TEST_1005,F0,14,10380.84680555556,10846.449372399024
T0,T0_TEST_1005,F0,15,12249.401701388877,12800.9943745922
T0,T0_TEST_1005,F0,16,16178.052475198396,16886.955066463895
T0,T0_TEST_1005,F0,17,15277.87119047619,16003.464981874451
T0,T0_TEST_1005,F0,18,14098.821800595235,14756.20762007963
T0,T0_TEST_1005,F0,19,19611.863333333335,20509.594045778736
T0,T0_TEST_1005,F0,20,32007.562480158704,33436.31740063534
T0,T0_TEST_1005,F0,21,28334.954236111127,29690.101015337874
T0,T0_TEST_1005,F0,22,30213.594285714284,31566.241500932723
T0,T0_TEST_1005,F0,23,16339.387886904766,17090.70365045494
T0,T0_TEST_1005,F1,0,12989.966912202382,13546.123941096012
T0,T0_TEST_1005,F1,1,38687.496185515854,40530.10621492175
