scope,policy,variant,case,method,baseline,method_score,baseline_score,gain_percent,ci_low,ci_high,bootstrap_seed,replicates
T2,SELECTED,RAW,S0,PATH,DROP,0.13902658658444342,0.14031740498072315,0.9199275004102758,-1.5114363935420931,2.990056533430784,61916,2000
T2,SELECTED,RAW,S1,PATH,DROP,0.1373049642919727,0.13830205299254156,0.720950035805059,-2.604741847957074,3.218872791443821,61916,2000
T2,SELECTED,RAW,S2,PATH,DROP,0.14131658669347363,0.14382893556760123,1.7467617793408259,-1.2961126650412818,4.057653000451997,61916,2000
T2,SELECTED,RAW,S3,PATH,DROP,0.14043457045775537,0.14489319057658193,3.077177126878157,-0.21702511974345354,5.548552431821749,61916,2000
T2,SELECTED,RAW,MEAN,PATH,DROP,0.1395206770069113,0.14183539602936196,1.6319755767957196,-1.2278033399066182,3.8171342422059658,61916,2000
T2,SELECTED,RAW,WORST,PATH,DROP,0.14131658669347363,0.14489319057658193,2.4684416630455193,-1.224018512750694,5.479225310290307,61916,2000
ALL,SELECTED,RAW,S0,PATH,DROP,0.10092715249734714,0.10149402556458924,0.5585285085390046,-0.763090282891205,1.8995599849837945,61916,2000
ALL,SELECTED,RAW,S1,PATH,DROP,0.1069693438594685,0.10844566103922852,1.3613427827471885,-0.2586306590662855,2.806825436683818,61916,2000
ALL,SELECTED,RAW,S2,PATH,DROP,0.11051567460732542,0.11258708905414168,1.8398330254547586,0.1360593670862958,3.171816146376889,61916,2000
ALL,SELECTED,RAW,S3,PATH,DROP,0.1177542275340503,0.12175360404331681,3.284811600191844,1.9871306078151372,4.60542753689785,61916,2000
ALL,SELECTED,RAW,MEAN,PATH,DROP,0.10904159962454785,0.11107009492531905,1.8263199487991055,0.5079770755632201,3.0341186818567545,61916,2000
ALL,SELECTED,RAW,WORST,PATH,DROP,0.11804823294595639,0.12175360404331681,3.0433358638337706,1.5835834008545941,4.508542169593473,61916,2000
ADDITIONAL,SELECTED,RAW,S0,PATH,DROP,0.10946811230352915,0.11036280063996332,0.810679260807186,-0.7420814122691053,2.283479147584253,61916,2000
ADDITIONAL,SELECTED,RAW,S1,PATH,DROP,0.11348446940421024,0.11487638499935315,1.2116638203323966,-0.9427106415160105,2.9680607384542537,61916,2000
