target,seed,policy,variant,case,method,baseline,method_score,baseline_score,gain_percent
T2,61731,SELECTED,RAW,WORST,PATH,LATEST,0.14232695426612835,0.1371756534777748,-3.755258792470896
T0,61730,SELECTED,RAW,S0,PATH,DROP,0.08359340273956965,0.08345641345025531,-0.16414471177340215
T0,61730,SELECTED,RAW,S1,PATH,DROP,0.09392404705590093,0.09548645602163364,1.6362623882267873
T0,61730,SELECTED,RAW,S2,PATH,DROP,0.0979920142821443,0.0998172004945139,1.8285287538893815
T0,61730,SELECTED,RAW,S3,PATH,DROP,0.10940860685210055,0.11337175057482025,3.4957065606076263
T0,61730,SELECTED,RAW,MEAN,PATH,DROP,0.09622951773242885,0.09803295513530577,1.8396236249206201
T0,61730,SELECTED,RAW,WORST,PATH,DROP,0.10940860685210055,0.11337175057482025,3.4957065606076263
T0,61731,SELECTED,RAW,S0,PATH,DROP,0.08409706303039664,0.08405653737742691,-0.04821237494921656
T0,61731,SELECTED,RAW,S1,PATH,DROP,0.09395413848406911,0.0956819702163248,1.8058070170892984
T0,61731,SELECTED,RAW,S2,PATH,DROP,0.09810094034315647,0.10014087345679117,2.0370634319610605
T0,61731,SELECTED,RAW,S3,PATH,DROP,0.10948730773368391,0.11381180902653609,3.799694715197692
T0,61731,SELECTED,RAW,MEAN,PATH,DROP,0.09640986239782653,0.09842279751926974,2.0451919394478772
T0,61731,SELECTED,RAW,WORST,PATH,DROP,0.10948730773368391,0.11381180902653609,3.799694715197692
T1,61730,SELECTED,RAW,S0,PATH,DROP,0.08003494645568612,0.08066032392807305,0.7753222922146917
T1,61730,SELECTED,RAW,S1,PATH,DROP,0.08968591745505856,0.09119561400980193,1.6554486431563487
T1,61730,SELECTED,RAW,S2,PATH,DROP,0.09216225015533147,0.0936072641617923,1.5436985787376938
T1,61730,SELECTED,RAW,S3,PATH,DROP,0.10337383635066709,0.10627242113747978,2.7275042346715024
T1,61730,SELECTED,RAW,MEAN,PATH,DROP,0.09131423760418582,0.09293390580928676,1.7428173183904745
T1,61730,SELECTED,RAW,WORST,PATH,DROP,0.10337383635066709,0.10627242113747978,2.7275042346715024
T1,61731,SELECTED,RAW,S0,PATH,DROP,0.07978432958954362,0.08015606867033388,0.46376910314694814
T1,61731,SELECTED,RAW,S1,PATH,DROP,0.08964203157783701,0.09170582000252758,2.250444327997601
T1,61731,SELECTED,RAW,S2,PATH,DROP,0.09220566947637301,0.09429932507655024,2.220223313875938
T1,61731,SELECTED,RAW,S3,PATH,DROP,0.10338647335233948,0.10727926236790082,3.628650057465444
T1,61731,SELECTED,RAW,MEAN,PATH,DROP,0.09125462599902327,0.09336011902932813,2.25523815971511
T1,61731,SELECTED,RAW,WORST,PATH,DROP,0.10338647335233948,0.10727926236790082,3.628650057465444
T2,61730,SELECTED,RAW,S0,PATH,DROP,0.13787724938795423,0.13720653729653998,-0.488833917559385
T2,61730,SELECTED,RAW,S1,PATH,DROP,0.13633785094444265,0.13559275121760445,-0.5495129497316823
T2,61730,SELECTED,RAW,S2,PATH,DROP,0.14030621912081892,0.14065404423696126,0.2472912300739518
T2,61730,SELECTED,RAW,S3,PATH,DROP,0.1393433223053256,0.1414628913614332,1.4983215991904015
T2,61730,SELECTED,RAW,MEAN,PATH,DROP,0.13846616043963533,0.13872905602813473,0.1895029030155622
T2,61730,SELECTED,RAW,WORST,PATH,DROP,0.14030621912081892,0.1414628913614332,0.8176506428523471
T2,61731,SELECTED,RAW,S0,PATH,DROP,0.1401759237809326,0.14342827266490632,2.267578646486407
T2,61731,SELECTED,RAW,S1,PATH,DROP,0.13827207763950278,0.14101135476747867,1.9425932985984256
T2,61731,SELECTED,RAW,S2,PATH,DROP,0.14232695426612835,0.1470038268982412,3.1814631841865446
T2,61731,SELECTED,RAW,S3,PATH,DROP,0.14152581861018512,0.14832348979173066,4.583003805459625
T2,61731,SELECTED,RAW,MEAN,PATH,DROP,0.1405751935741872,0.1449417360305892,3.0126191226800705
T2,61731,SELECTED,RAW,WORST,PATH,DROP,0.14232695426612835,0.14832348979173066,4.042876508651719
T0,61730,SELECTED,RAW,S0,PATH,POINT,0.08359340273956965,0.08262980776999924,-1.166159035795633
T0,61730,SELECTED,RAW,S1,PATH,POINT,0.09392404705590093,0.0939226369041309,-0.001501397124820629
T0,61730,SELECTED,RAW,S2,PATH,POINT,0.0979920142821443,0.09807544832888153,0.08507128762485865
T0,61730,SELECTED,RAW,S3,PATH,POINT,0.10940860685210055,0.11198703180679741,2.302431730796488
T0,61730,SELECTED,RAW,MEAN,PATH,POINT,0.09622951773242885,0.09665373120245227,0.43890025221566686
T0,61730,SELECTED,RAW,WORST,PATH,POINT,0.10940860685210055,0.11198703180679741,2.302431730796488
T0,61731,SELECTED,RAW,S0,PATH,POINT,0.08409706303039664,0.08288282423619962,-1.465006538310857
T0,61731,SELECTED,RAW,S1,PATH,POINT,0.09395413848406911,0.09553910027720407,1.658966630977509
T0,61731,SELECTED,RAW,S2,PATH,POINT,0.09810094034315647,0.09992344361355188,1.8238995820078312
T0,61731,SELECTED,RAW,S3,PATH,POINT,0.10948730773368391,0.11514915607864566,4.91696903196995
T0,61731,SELECTED,RAW,MEAN,PATH,POINT,0.09640986239782653,0.0983736310514003,1.9962347964442813
T0,61731,SELECTED,RAW,WORST,PATH,POINT,0.10948730773368391,0.11514915607864566,4.91696903196995
T1,61730,SELECTED,RAW,S0,PATH,POINT,0.08003494645568612,0.07970397690551766,-0.4152484769496549
T1,61730,SELECTED,RAW,S1,PATH,POINT,0.08968591745505856,0.09009508813448036,0.45415425845529855
T1,61730,SELECTED,RAW,S2,PATH,POINT,0.09216225015533147,0.09237389059897383,0.2291128394290119
T1,61730,SELECTED,RAW,S3,PATH,POINT,0.10337383635066709,0.10452290519762429,1.099346449263562
T1,61730,SELECTED,RAW,MEAN,PATH,POINT,0.09131423760418582,0.09167396520914904,0.3923988715253279
T1,61730,SELECTED,RAW,WORST,PATH,POINT,0.10337383635066709,0.10452290519762429,1.099346449263562
T1,61731,SELECTED,RAW,S0,PATH,POINT,0.07978432958954362,0.07948392110849746,-0.37794874341453094
T1,61731,SELECTED,RAW,S1,PATH,POINT,0.08964203157783701,0.09006366273031106,0.46814790748250606
T1,61731,SELECTED,RAW,S2,PATH,POINT,0.09220566947637301,0.09235973181231691,0.16680682470685643
T1,61731,SELECTED,RAW,S3,PATH,POINT,0.10338647335233948,0.1044827081202862,1.0492021002027208
T1,61731,SELECTED,RAW,MEAN,PATH,POINT,0.09125462599902327,0.09159750594285292,0.37433327501685937
T1,61731,SELECTED,RAW,WORST,PATH,POINT,0.10338647335233948,0.1044827081202862,1.0492021002027208
T2,61730,SELECTED,RAW,S0,PATH,POINT,0.13787724938795423,0.13605395464329492,-1.3401262384762045
T2,61730,SELECTED,RAW,S1,PATH,POINT,0.13633785094444265,0.13511264533730688,-0.9068030635304758
T2,61730,SELECTED,RAW,S2,PATH,POINT,0.14030621912081892,0.13922386840816228,-0.7774174967495608
T2,61730,SELECTED,RAW,S3,PATH,POINT,0.1393433223053256,0.13822784227993615,-0.8069864992397087
T2,61730,SELECTED,RAW,MEAN,PATH,POINT,0.13846616043963533,0.13715457766717504,-0.9562807124404091
T2,61730,SELECTED,RAW,WORST,PATH,POINT,0.14030621912081892,0.13922386840816228,-0.7774174967495608
T2,61731,SELECTED,RAW,S0,PATH,POINT,0.1401759237809326,0.13780736505732077,-1.7187461081101372
T2,61731,SELECTED,RAW,S1,PATH,POINT,0.13827207763950278,0.1366769168842175,-1.1671032619477306
T2,61731,SELECTED,RAW,S2,PATH,POINT,0.14232695426612835,0.14111059309439747,-0.8619913962923964
T2,61731,SELECTED,RAW,S3,PATH,POINT,0.14152581861018512,0.14046164730276733,-0.7576241115298541
T2,61731,SELECTED,RAW,MEAN,PATH,POINT,0.1405751935741872,0.13901413058467577,-1.1229527408083009
T2,61731,SELECTED,RAW,WORST,PATH,POINT,0.14232695426612835,0.14111059309439747,-0.8619913962923964
T0,61730,SELECTED,RAW,S0,LATEST,FROZEN_WEATHER,0.08299486785830897,0.08523022827887197,2.622731941124154
T0,61730,SELECTED,RAW,S1,LATEST,FROZEN_WEATHER,0.09507890036215391,0.09762468145299348,2.607722814507076
T0,61730,SELECTED,RAW,S2,LATEST,FROZEN_WEATHER,0.09930429781536114,0.10190892423603877,2.5558374207197625
T0,61730,SELECTED,RAW,S3,LATEST,FROZEN_WEATHER,0.11313792220977215,0.11480022176099972,1.4479933276507755
T0,61730,SELECTED,RAW,MEAN,LATEST,FROZEN_WEATHER,0.09762899706139905,0.09989101393222599,2.2644848438135545
T0,61730,SELECTED,RAW,WORST,LATEST,FROZEN_WEATHER,0.11313792220977215,0.11480022176099972,1.4479933276507755
T0,61731,SELECTED,RAW,S0,LATEST,FROZEN_WEATHER,0.08265464943671474,0.08523022827887197,3.0219077129888405
T0,61731,SELECTED,RAW,S1,LATEST,FROZEN_WEATHER,0.09513199580108157,0.09762468145299348,2.553335503698562
T0,61731,SELECTED,RAW,S2,LATEST,FROZEN_WEATHER,0.09948000840221308,0.10190892423603877,2.383418186418985
T0,61731,SELECTED,RAW,S3,LATEST,FROZEN_WEATHER,0.11355846027629539,0.11480022176099972,1.0816716776815332
T0,61731,SELECTED,RAW,MEAN,LATEST,FROZEN_WEATHER,0.09770627847907619,0.09989101393222599,2.187119108263433
T0,61731,SELECTED,RAW,WORST,LATEST,FROZEN_WEATHER,0.11355846027629539,0.11480022176099972,1.0816716776815332
T1,61730,SELECTED,RAW,S0,LATEST,FROZEN_WEATHER,0.08003966753822364,0.08161036915703702,1.9246348656884444
T1,61730,SELECTED,RAW,S1,LATEST,FROZEN_WEATHER,0.09166868744161515,0.0940109499977998,2.4914784461166164
T1,61730,SELECTED,RAW,S2,LATEST,FROZEN_WEATHER,0.09386927353727643,0.09604120648989342,2.2614594630748863
T1,61730,SELECTED,RAW,S3,LATEST,FROZEN_WEATHER,0.10758898333403849,0.10971268881087423,1.9356972286921554
T1,61730,SELECTED,RAW,MEAN,LATEST,FROZEN_WEATHER,0.09329165296278842,0.09534380361390113,2.152369187433492
T1,61730,SELECTED,RAW,WORST,LATEST,FROZEN_WEATHER,0.10758898333403849,0.10971268881087423,1.9356972286921554
T1,61731,SELECTED,RAW,S0,LATEST,FROZEN_WEATHER,0.0799722559121186,0.08161036915703702,2.0072366561243276
T1,61731,SELECTED,RAW,S1,LATEST,FROZEN_WEATHER,0.09180513334896137,0.0940109499977998,2.346340132601629
T1,61731,SELECTED,RAW,S2,LATEST,FROZEN_WEATHER,0.09404771836242988,0.09604120648989342,2.0756591887184586
T1,61731,SELECTED,RAW,S3,LATEST,FROZEN_WEATHER,0.10782457299719034,0.10971268881087423,1.7209639414987632
T1,61731,SELECTED,RAW,MEAN,LATEST,FROZEN_WEATHER,0.09341242015517505,0.09534380361390113,2.0257042256750117
T1,61731,SELECTED,RAW,WORST,LATEST,FROZEN_WEATHER,0.10782457299719034,0.10971268881087423,1.7209639414987632
T2,61730,SELECTED,RAW,S0,LATEST,FROZEN_WEATHER,0.13095956077442364,0.12856610506327273,-1.8616537461199323
T2,61730,SELECTED,RAW,S1,LATEST,FROZEN_WEATHER,0.12977165652298137,0.12974294788371551,-0.02212732154936199
T2,61730,SELECTED,RAW,S2,LATEST,FROZEN_WEATHER,0.13461972164032743,0.1335286213458779,-0.8171284054699144
T2,61730,SELECTED,RAW,S3,LATEST,FROZEN_WEATHER,0.13438929934448413,0.13157882228344767,-2.1359645969334773
T2,61730,SELECTED,RAW,MEAN,LATEST,FROZEN_WEATHER,0.13243505957055413,0.13085412414407846,-1.2081662972540006
T2,61730,SELECTED,RAW,WORST,LATEST,FROZEN_WEATHER,0.13461972164032743,0.1335286213458779,-0.8171284054699144
T2,61731,SELECTED,RAW,S0,LATEST,FROZEN_WEATHER,0.13320942978501704,0.12856610506327273,-3.611624323113105
T2,61731,SELECTED,RAW,S1,LATEST,FROZEN_WEATHER,0.13185271764346718,0.12974294788371551,-1.6261151717028823
T2,61731,SELECTED,RAW,S2,LATEST,FROZEN_WEATHER,0.1371756534777748,0.1335286213458779,-2.7312737113116987
T2,61731,SELECTED,RAW,S3,LATEST,FROZEN_WEATHER,0.13701748782486964,0.13157882228344767,-4.133389740870286
T2,61731,SELECTED,RAW,MEAN,LATEST,FROZEN_WEATHER,0.13481382218278218,0.13085412414407846,-3.0260399239261626
T2,61731,SELECTED,RAW,WORST,LATEST,FROZEN_WEATHER,0.1371756534777748,0.1335286213458779,-2.7312737113116987
T0,61730,SELECTED,RAW,S0,DROP,FROZEN_WEATHER,0.08345641345025531,0.08523022827887197,2.081203892605761
T0,61730,SELECTED,RAW,S1,DROP,FROZEN_WEATHER,0.09548645602163364,0.09762468145299348,2.1902508664157896
T0,61730,SELECTED,RAW,S2,DROP,FROZEN_WEATHER,0.0998172004945139,0.10190892423603877,2.0525422647775944
T0,61730,SELECTED,RAW,S3,DROP,FROZEN_WEATHER,0.11337175057482025,0.11480022176099972,1.2443104762927784
T0,61730,SELECTED,RAW,MEAN,DROP,FROZEN_WEATHER,0.09803295513530577,0.09989101393222599,1.8600860315432126
T0,61730,SELECTED,RAW,WORST,DROP,FROZEN_WEATHER,0.11337175057482025,0.11480022176099972,1.2443104762927784
T0,61731,SELECTED,RAW,S0,DROP,FROZEN_WEATHER,0.08405653737742691,0.08523022827887197,1.377082902564527
T0,61731,SELECTED,RAW,S1,DROP,FROZEN_WEATHER,0.0956819702163248,0.09762468145299348,1.9899795909747522
T0,61731,SELECTED,RAW,S2,DROP,FROZEN_WEATHER,0.10014087345679117,0.10190892423603877,1.7349322372911045
T0,61731,SELECTED,RAW,S3,DROP,FROZEN_WEATHER,0.11381180902653609,0.11480022176099972,0.8609850393158469
T0,61731,SELECTED,RAW,MEAN,DROP,FROZEN_WEATHER,0.09842279751926974,0.09989101393222599,1.4698183101358864
T0,61731,SELECTED,RAW,WORST,DROP,FROZEN_WEATHER,0.11381180902653609,0.11480022176099972,0.8609850393158469
T1,61730,SELECTED,RAW,S0,DROP,FROZEN_WEATHER,0.08066032392807305,0.08161036915703702,1.1641231852975262
T1,61730,SELECTED,RAW,S1,DROP,FROZEN_WEATHER,0.09119561400980193,0.0940109499977998,2.9946894357133456
T1,61730,SELECTED,RAW,S2,DROP,FROZEN_WEATHER,0.0936072641617923,0.09604120648989342,2.5342687967557467
T1,61730,SELECTED,RAW,S3,DROP,FROZEN_WEATHER,0.10627242113747978,0.10971268881087423,3.135706280360038
T1,61730,SELECTED,RAW,MEAN,DROP,FROZEN_WEATHER,0.09293390580928676,0.09534380361390113,2.52758722986693
T1,61730,SELECTED,RAW,WORST,DROP,FROZEN_WEATHER,0.10627242113747978,0.10971268881087423,3.135706280360038
T1,61731,SELECTED,RAW,S0,DROP,FROZEN_WEATHER,0.08015606867033388,0.08161036915703702,1.7820045439382033
T1,61731,SELECTED,RAW,S1,DROP,FROZEN_WEATHER,0.09170582000252758,0.0940109499977998,2.451980322851927
T1,61731,SELECTED,RAW,S2,DROP,FROZEN_WEATHER,0.09429932507655024,0.09604120648989342,1.8136813113926062
T1,61731,SELECTED,RAW,S3,DROP,FROZEN_WEATHER,0.10727926236790082,0.10971268881087423,2.217999093220856
T1,61731,SELECTED,RAW,MEAN,DROP,FROZEN_WEATHER,0.09336011902932813,0.09534380361390113,2.0805595218395285
T1,61731,SELECTED,RAW,WORST,DROP,FROZEN_WEATHER,0.10727926236790082,0.10971268881087423,2.217999093220856
T2,61730,SELECTED,RAW,S0,DROP,FROZEN_WEATHER,0.13720653729653998,0.12856610506327273,-6.720614448897651
T2,61730,SELECTED,RAW,S1,DROP,FROZEN_WEATHER,0.13559275121760445,0.12974294788371551,-4.508764005525698
T2,61730,SELECTED,RAW,S2,DROP,FROZEN_WEATHER,0.14065404423696126,0.1335286213458779,-5.3362513738732105
T2,61730,SELECTED,RAW,S3,DROP,FROZEN_WEATHER,0.1414628913614332,0.13157882228344767,-7.511899640424829
T2,61730,SELECTED,RAW,MEAN,DROP,FROZEN_WEATHER,0.13872905602813473,0.13085412414407846,-6.018099876917512
T2,61730,SELECTED,RAW,WORST,DROP,FROZEN_WEATHER,0.1414628913614332,0.1335286213458779,-5.941999502116657
T2,61731,SELECTED,RAW,S0,DROP,FROZEN_WEATHER,0.14342827266490632,0.12856610506327273,-11.55994233030494
T2,61731,SELECTED,RAW,S1,DROP,FROZEN_WEATHER,0.14101135476747867,0.12974294788371551,-8.685178707256345
T2,61731,SELECTED,RAW,S2,DROP,FROZEN_WEATHER,0.1470038268982412,0.1335286213458779,-10.09162336624342
T2,61731,SELECTED,RAW,S3,DROP,FROZEN_WEATHER,0.14832348979173066,0.13157882228344767,-12.725959404174901
T2,61731,SELECTED,RAW,MEAN,DROP,FROZEN_WEATHER,0.1449417360305892,0.13085412414407846,-10.765890627183767
T2,61731,SELECTED,RAW,WORST,DROP,FROZEN_WEATHER,0.14832348979173066,0.1335286213458779,-11.079923013306455
T0,61730,SELECTED,RAW,S0,PATH,FROZEN_WEATHER,0.08359340273956965,0.08523022827887197,1.920475366963294
T0,61730,SELECTED,RAW,S1,PATH,FROZEN_WEATHER,0.09392404705590093,0.09762468145299348,3.790675003507604
T0,61730,SELECTED,RAW,S2,PATH,FROZEN_WEATHER,0.0979920142821443,0.10190892423603877,3.8435396931697854
T0,61730,SELECTED,RAW,S3,PATH,FROZEN_WEATHER,0.10940860685210055,0.11480022176099972,4.69651959394631
T0,61730,SELECTED,RAW,MEAN,PATH,FROZEN_WEATHER,0.09622951773242885,0.09989101393222599,3.6654910743837155
T0,61730,SELECTED,RAW,WORST,PATH,FROZEN_WEATHER,0.10940860685210055,0.11480022176099972,4.69651959394631
T0,61731,SELECTED,RAW,S0,PATH,FROZEN_WEATHER,0.08409706303039664,0.08523022827887197,1.3295344519876564
T0,61731,SELECTED,RAW,S1,PATH,FROZEN_WEATHER,0.09395413848406911,0.09762468145299348,3.7598514169715838
T0,61731,SELECTED,RAW,S2,PATH,FROZEN_WEATHER,0.09810094034315647,0.10190892423603877,3.736653999077004
T0,61731,SELECTED,RAW,S3,PATH,FROZEN_WEATHER,0.10948730773368391,0.11480022176099972,4.627964951476012
T0,61731,SELECTED,RAW,MEAN,PATH,FROZEN_WEATHER,0.09640986239782653,0.09989101393222599,3.4849496439803356
T0,61731,SELECTED,RAW,WORST,PATH,FROZEN_WEATHER,0.10948730773368391,0.11480022176099972,4.627964951476012
T1,61730,SELECTED,RAW,S0,PATH,FROZEN_WEATHER,0.08003494645568612,0.08161036915703702,1.9304197709477666
T1,61730,SELECTED,RAW,S1,PATH,FROZEN_WEATHER,0.08968591745505856,0.0940109499977998,4.600562533239431
T1,61730,SELECTED,RAW,S2,PATH,FROZEN_WEATHER,0.09216225015533147,0.09604120648989342,4.038845904096529
T1,61730,SELECTED,RAW,S3,PATH,FROZEN_WEATHER,0.10337383635066709,0.10971268881087423,5.7776839934478605
T1,61730,SELECTED,RAW,MEAN,PATH,FROZEN_WEATHER,0.09131423760418582,0.09534380361390113,4.226353320277857
T1,61730,SELECTED,RAW,WORST,PATH,FROZEN_WEATHER,0.10337383635066709,0.10971268881087423,5.7776839934478605
T1,61731,SELECTED,RAW,S0,PATH,FROZEN_WEATHER,0.07978432958954362,0.08161036915703702,2.2375092605936913
T1,61731,SELECTED,RAW,S1,PATH,FROZEN_WEATHER,0.08964203157783701,0.0940109499977998,4.647244198750289
T1,61731,SELECTED,RAW,S2,PATH,FROZEN_WEATHER,0.09220566947637301,0.09604120648989342,3.9936368499535946
T1,61731,SELECTED,RAW,S3,PATH,FROZEN_WEATHER,0.10338647335233948,0.10971268881087423,5.766165725315558
T1,61731,SELECTED,RAW,MEAN,PATH,FROZEN_WEATHER,0.09125462599902327,0.09534380361390113,4.288876109282527
T1,61731,SELECTED,RAW,WORST,PATH,FROZEN_WEATHER,0.10338647335233948,0.10971268881087423,5.766165725315558
T2,61730,SELECTED,RAW,S0,PATH,FROZEN_WEATHER,0.13787724938795423,0.12856610506327273,-7.242301009351645
T2,61730,SELECTED,RAW,S1,PATH,FROZEN_WEATHER,0.13633785094444265,0.12974294788371551,-5.083053197340585
T2,61730,SELECTED,RAW,S2,PATH,FROZEN_WEATHER,0.14030621912081892,0.1335286213458779,-5.07576406213697
T2,61730,SELECTED,RAW,S3,PATH,FROZEN_WEATHER,0.1393433223053256,0.13157882228344767,-5.901025626412436
T2,61730,SELECTED,RAW,MEAN,PATH,FROZEN_WEATHER,0.13846616043963533,0.13085412414407846,-5.817192499928815
T2,61730,SELECTED,RAW,WORST,PATH,FROZEN_WEATHER,0.14030621912081892,0.1335286213458779,-5.07576406213697
T2,61731,SELECTED,RAW,S0,PATH,FROZEN_WEATHER,0.1401759237809326,0.12856610506327273,-9.030232899990393
T2,61731,SELECTED,RAW,S1,PATH,FROZEN_WEATHER,0.13827207763950278,0.12974294788371551,-6.573867709119459
T2,61731,SELECTED,RAW,S2,PATH,FROZEN_WEATHER,0.14232695426612835,0.1335286213458779,-6.589098899973074
T2,61731,SELECTED,RAW,S3,PATH,FROZEN_WEATHER,0.14152581861018512,0.13157882228344767,-7.5597243949406945
T2,61731,SELECTED,RAW,MEAN,PATH,FROZEN_WEATHER,0.1405751935741872,0.13085412414407846,-7.428936224742337
T2,61731,SELECTED,RAW,WORST,PATH,FROZEN_WEATHER,0.14232695426612835,0.1335286213458779,-6.589098899973074
T0,61730,SELECTED,RAW,S0,POINT,FROZEN_WEATHER,0.08262980776999924,0.08523022827887197,3.051054257844051
T0,61730,SELECTED,RAW,S1,POINT,FROZEN_WEATHER,0.0939226369041309,0.09762468145299348,3.7921194658597943
T0,61730,SELECTED,RAW,S2,POINT,FROZEN_WEATHER,0.09807544832888153,0.10190892423603877,3.761668505378631
T0,61730,SELECTED,RAW,S3,POINT,FROZEN_WEATHER,0.11198703180679741,0.11480022176099972,2.450509163700948
T0,61730,SELECTED,RAW,MEAN,POINT,FROZEN_WEATHER,0.09665373120245227,0.09989101393222599,3.2408147663514075
T0,61730,SELECTED,RAW,WORST,POINT,FROZEN_WEATHER,0.11198703180679741,0.11480022176099972,2.450509163700948
T0,61731,SELECTED,RAW,S0,POINT,FROZEN_WEATHER,0.08288282423619962,0.08523022827887197,2.7541918989019716
T0,61731,SELECTED,RAW,S1,POINT,FROZEN_WEATHER,0.09553910027720407,0.09762468145299348,2.1363257167641834
T0,61731,SELECTED,RAW,S2,POINT,FROZEN_WEATHER,0.09992344361355188,0.10190892423603877,1.9482892566780268
T0,61731,SELECTED,RAW,S3,POINT,FROZEN_WEATHER,0.11514915607864566,0.11480022176099972,-0.30394916690351503
T0,61731,SELECTED,RAW,MEAN,POINT,FROZEN_WEATHER,0.0983736310514003,0.09989101393222599,1.519038421068787
T0,61731,SELECTED,RAW,WORST,POINT,FROZEN_WEATHER,0.11514915607864566,0.11480022176099972,-0.30394916690351503
T1,61730,SELECTED,RAW,S0,POINT,FROZEN_WEATHER,0.07970397690551766,0.08161036915703702,2.3359681756261055
T1,61730,SELECTED,RAW,S1,POINT,FROZEN_WEATHER,0.09009508813448036,0.0940109499977998,4.1653252769077245
T1,61730,SELECTED,RAW,S2,POINT,FROZEN_WEATHER,0.09237389059897383,0.09604120648989342,3.818481696505458
T1,61730,SELECTED,RAW,S3,POINT,FROZEN_WEATHER,0.10452290519762429,0.10971268881087423,4.730340373114211
T1,61730,SELECTED,RAW,MEAN,POINT,FROZEN_WEATHER,0.09167396520914904,0.09534380361390113,3.8490581093379257
T1,61730,SELECTED,RAW,WORST,POINT,FROZEN_WEATHER,0.10452290519762429,0.10971268881087423,4.730340373114211
T1,61731,SELECTED,RAW,S0,POINT,FROZEN_WEATHER,0.07948392110849746,0.08161036915703702,2.605610133251317
T1,61731,SELECTED,RAW,S1,POINT,FROZEN_WEATHER,0.09006366273031106,0.0940109499977998,4.198752664004687
