target,id,date,RMSE,MAE
T0,T0_TEST_1206,2024-12-06,100673.22174579708,71215.27213541664
T0,T0_TEST_1207,2024-12-07,58862.67728535011,34236.11111111111
T0,T0_TEST_1208,2024-12-08,121624.2043199518,65937.49620225694
T0,T0_TEST_1209,2024-12-09,212401.8685015439,132048.60630967884
T0,T0_TEST_1210,2024-12-10,30323.76718815959,23020.826822916686
T0,T0_TEST_1211,2024-12-11,64889.95287808346,48611.11371527779
T0,T0_TEST_1212,2024-12-12,54991.57824305704,38055.55468750002
T0,T0_TEST_1213,2024-12-13,43206.94347618932,33958.33116319444
T0,T0_TEST_1214,2024-12-14,55526.98860371649,50243.05381944443
T0,T0_TEST_1215,2024-12-15,71307.03456046207,61006.94487847221
T0,T0_TEST_1216,2024-12-16,78172.3495633587,47482.63758680556
T0,T0_TEST_1217,2024-12-17,56682.30554853635,33072.91579861112
T0,T0_TEST_1218,2024-12-18,80927.24333517837,54826.388454861124
T0,T0_TEST_1219,2024-12-19,65539.95667976791,60694.442708333314
T0,T0_TEST_1220,2024-12-20,162808.64359503056,88402.77734375
T0,T0_TEST_1221,2024-12-21,184794.9151940047,96701.3895670573
T0,T0_TEST_1222,2024-12-22,46477.78630943925,34305.55338541668
T0,T0_TEST_1223,2024-12-23,133070.1617892715,87604.16536458333
T0,T0_TEST_1224,2024-12-24,169940.16080835686,122048.61219618055
T0,T0_TEST_1225,2024-12-25,87992.69398991078,62274.30164930553
T0,T0_TEST_1226,2024-12-26,41318.07320612377,35538.196614583336
T0,T0_TEST_1227,2024-12-27,82165.25994682798,72534.72786458331
T0,T0_TEST_1228,2024-12-28,113387.82951166312,79409.72135416667
T0,T0_TEST_1229,2024-12-29,81571.47949719516,74965.27821180555
T1,T1_TEST_1001,2024-10-01,414590.83947328915,185729.17041015625
T1,T1_TEST_1002,2024-10-02,267958.18688941264,155659.7185872396
T1,T1_TEST_1003,2024-10-03,271916.106280013,158472.2240600586
T1,T1_TEST_1004,2024-10-04,131113.24639130905,87291.66818576389
T1,T1_TEST_1005,2024-10-05,118758.52884515977,78888.88845486112
T1,T1_TEST_1006,2024-10-06,185241.9659769913,104652.78104654948
T1,T1_TEST_1007,2024-10-07,276915.203838987,163159.72417534722
T1,T1_TEST_1008,2024-10-08,186208.12953731953,101562.50065104167
T1,T1_TEST_1009,2024-10-09,212684.48984279644,138298.6095920139
T1,T1_TEST_1010,2024-10-10,244418.12521623235,167152.77726236978
T1,T1_TEST_1011,2024-10-11,373367.0188871346,224392.36463080512
T1,T1_TEST_1012,2024-10-12,360313.2185974554,208177.08561197916
T1,T1_TEST_1013,2024-10-13,293554.60568876565,185625.00282118053
T1,T1_TEST_1014,2024-10-14,329072.4631976604,195937.49929470484
T1,T1_TEST_1015,2024-10-15,430585.2012766454,251701.38606770834
T1,T1_TEST_1016,2024-10-16,405921.6283878669,227673.60934787328
T1,T1_TEST_1017,2024-10-17,291225.9558711191,160694.4454752604
T1,T1_TEST_1018,2024-10-18,271590.81862452615,163611.10980902778
T1,T1_TEST_1019,2024-10-19,259555.86899469947,136128.47243923612
T1,T1_TEST_1020,2024-10-20,236656.71712339195,141093.75
T1,T1_TEST_1021,2024-10-21,196171.0307775693,120798.61187065973
T1,T1_TEST_1022,2024-10-22,460464.2036270617,279895.8294270833
T1,T1_TEST_1023,2024-10-23,316747.93158839643,195312.49755859375
T1,T1_TEST_1024,2024-10-24,345973.37770421035,180399.30708821618
T1,T1_TEST_1025,2024-10-25,368492.6265877231,201059.03087022572
T1,T1_TEST_1110,2024-11-10,115403.00331529556,99965.27734375
T1,T1_TEST_1111,2024-11-11,185676.39077321425,92395.83376736112
T1,T1_TEST_1112,2024-11-12,163050.17367978583,93402.78342013888
T1,T1_TEST_1113,2024-11-13,248423.97017629497,145972.22623697916
T1,T1_TEST_1114,2024-11-14,89707.76293878736,49826.38476562499
T1,T1_TEST_1115,2024-11-15,57545.01745840869,40381.94140624999
T1,T1_TEST_1116,2024-11-16,92886.2983740706,67326.3862847222
T1,T1_TEST_1117,2024-11-17,214562.3001608589,142083.33897569447
T1,T1_TEST_1118,2024-11-18,173032.84170901222,116493.05729166667
T1,T1_TEST_1119,2024-11-19,294732.25354759046,164201.39065212672
T1,T1_TEST_1120,2024-11-20,86106.12317823317,57534.72309027775
T1,T1_TEST_1121,2024-11-21,103576.52703039764,74895.83767361112
T1,T1_TEST_1122,2024-11-22,87446.449746981,68975.69270833333
T1,T1_TEST_1123,2024-11-23,115159.6909129635,96857.63454861112
T1,T1_TEST_1124,2024-11-24,259675.01132182844,213628.47135416666
T1,T1_TEST_1125,2024-11-25,200105.67539666386,158072.9140625
T1,T1_TEST_1126,2024-11-26,118467.25630610317,102222.2222222222
T1,T1_TEST_1127,2024-11-27,173394.33040486422,109826.38368055558
T1,T1_TEST_1128,2024-11-28,385957.83437584003,213090.28038194447
T1,T1_TEST_1129,2024-11-29,80035.97755214489,61284.72026909722
T1,T1_TEST_1130,2024-11-30,160000.44842021537,117118.05027940539
T1,T1_TEST_1201,2024-12-01,140589.14053850554,95034.72547743052
T1,T1_TEST_1202,2024-12-02,321571.208907498,197916.6625027127
T1,T1_TEST_1203,2024-12-03,114246.47567491136,77847.2278645833
T1,T1_TEST_1204,2024-12-04,79671.45260533066,58576.38585069444
T1,T1_TEST_1205,2024-12-05,215482.80710128663,132465.27604166666
T1,T1_TEST_1206,2024-12-06,108144.05778311045,80486.10243055555
T1,T1_TEST_1207,2024-12-07,163540.4683652146,105902.77126736111
T1,T1_TEST_1208,2024-12-08,198671.73543291193,129965.28233506942
T1,T1_TEST_1209,2024-12-09,302799.39328503446,191701.39149305553
T1,T1_TEST_1210,2024-12-10,24411.472742280483,18159.719618055566
T1,T1_TEST_1211,2024-12-11,72934.71611923882,49479.16666666666
T1,T1_TEST_1212,2024-12-12,73366.2798958262,59618.060763888876
T1,T1_TEST_1213,2024-12-13,97732.53826878057,80659.72395833333
T1,T1_TEST_1214,2024-12-14,87870.24627736727,78472.22135416664
T1,T1_TEST_1215,2024-12-15,115136.54109823391,100694.44401041667
T1,T1_TEST_1216,2024-12-16,92077.83907691555,70659.72178819444
T1,T1_TEST_1217,2024-12-17,61583.32439436022,41145.83203124999
T1,T1_TEST_1218,2024-12-18,126344.61784932161,78125.0
T1,T1_TEST_1219,2024-12-19,94399.75746827871,78993.05468750001
T1,T1_TEST_1220,2024-12-20,193170.57726604378,119305.55729166667
T1,T1_TEST_1221,2024-12-21,192419.0353008846,108368.05381944444
T1,T1_TEST_1222,2024-12-22,63405.02340439087,50416.666232638876
T1,T1_TEST_1223,2024-12-23,177049.66880172695,104374.99826388888
T1,T1_TEST_1224,2024-12-24,237903.83857893213,154548.60894097222
T1,T1_TEST_1225,2024-12-25,162941.19907115484,125538.19401041667
T1,T1_TEST_1226,2024-12-26,54357.11243934275,45815.98046875002
T1,T1_TEST_1227,2024-12-27,113870.63750689675,95659.72048611112
T1,T1_TEST_1228,2024-12-28,127904.33945193923,80312.50347222223
T1,T1_TEST_1229,2024-12-29,113903.95006061059,95295.13628472223
T2,T2_TEST_1001,2024-10-01,42108.07940957381,29722.221788194438
T2,T2_TEST_1002,2024-10-02,144017.96268154358,78159.71874999999
T2,T2_TEST_1003,2024-10-03,150196.43837023384,76736.11067708333
T2,T2_TEST_1004,2024-10-04,174493.3195628098,106944.44704861111
T2,T2_TEST_1005,2024-10-05,339051.769457058,238020.83203125
T2,T2_TEST_1006,2024-10-06,234493.95083942005,126215.27986738416
T2,T2_TEST_1007,2024-10-07,398890.13492545695,262673.6134982639
T2,T2_TEST_1008,2024-10-08,85857.76795795112,52395.8302951389
T2,T2_TEST_1009,2024-10-09,42749.805287761206,32499.99869791666
T2,T2_TEST_1010,2024-10-10,47047.05698284194,33263.88324652778
T2,T2_TEST_1011,2024-10-11,253449.0680315915,167465.27907986112
T2,T2_TEST_1012,2024-10-12,196436.0555830197,157187.49739583334
T2,T2_TEST_1013,2024-10-13,270984.84107314056,165868.05685763888
T2,T2_TEST_1014,2024-10-14,473501.32069152116,314687.5015190972
T2,T2_TEST_1015,2024-10-15,104985.39239563016,78055.55685763888
T2,T2_TEST_1016,2024-10-16,55664.70765951929,37378.47005208332
T2,T2_TEST_1017,2024-10-17,63773.029552640786,44097.22395833334
T2,T2_TEST_1018,2024-10-18,207929.1440707465,110677.08246527781
T2,T2_TEST_1019,2024-10-19,352227.964314483,234809.02994791666
T2,T2_TEST_1020,2024-10-20,229127.4721959409,119322.91710069444
T2,T2_TEST_1021,2024-10-21,436621.23808996676,287743.0533854167
T2,T2_TEST_1022,2024-10-22,111192.6437534645,72395.83463541667
T2,T2_TEST_1023,2024-10-23,123078.15967813846,75243.0551215278
T2,T2_TEST_1024,2024-10-24,119339.30812775038,83229.16883680555
T2,T2_TEST_1025,2024-10-25,197586.1987324598,126631.94531249999
T2,T2_TEST_1110,2024-11-10,195549.14218381367,113958.3285590278
T2,T2_TEST_1111,2024-11-11,382440.61020529916,260624.9978298611
T2,T2_TEST_1112,2024-11-12,86956.48398515512,66145.8363715278
T2,T2_TEST_1113,2024-11-13,101622.53783505138,71597.21484375001
T2,T2_TEST_1114,2024-11-14,52094.44813347736,39027.78038194444
T2,T2_TEST_1115,2024-11-15,151359.48319551122,79965.28168402778
T2,T2_TEST_1116,2024-11-16,351489.5136851367,246354.16666666666
T2,T2_TEST_1117,2024-11-17,258498.99716302252,192881.9483506944
T2,T2_TEST_1118,2024-11-18,456617.6221390779,319722.2248263888
T2,T2_TEST_1119,2024-11-19,144718.16773618016,112291.67447916667
T2,T2_TEST_1120,2024-11-20,52849.08616585198,41284.72395833332
T2,T2_TEST_1121,2024-11-21,72351.38923549536,50347.2265625
T2,T2_TEST_1122,2024-11-22,161996.54369991433,108055.55034722225
T2,T2_TEST_1123,2024-11-23,333950.4621698398,293124.9965277778
T2,T2_TEST_1124,2024-11-24,250831.71468279685,193402.77517361112
T2,T2_TEST_1125,2024-11-25,468374.4476434376,325729.1666666667
T2,T2_TEST_1126,2024-11-26,104028.79889931665,88055.55642361112
T2,T2_TEST_1127,2024-11-27,83799.39090005733,72500.00086805558
T2,T2_TEST_1128,2024-11-28,83970.82530447845,62083.33159722221
T2,T2_TEST_1129,2024-11-29,168242.12916606682,115520.8433159722
T2,T2_TEST_1130,2024-11-30,385224.9469358832,338541.66232638893
T2,T2_TEST_1201,2024-12-01,193649.24245587137,120659.72265625
T2,T2_TEST_1202,2024-12-02,440907.4632539886,300173.6106770833
T2,T2_TEST_1203,2024-12-03,118141.2359996249,106527.79079861108
T2,T2_TEST_1204,2024-12-04,61489.754856052954,50034.72395833332
T2,T2_TEST_1205,2024-12-05,108212.80574256831,89027.77994791667
T2,T2_TEST_1206,2024-12-06,165900.24079062438,87395.83463541663
T2,T2_TEST_1207,2024-12-07,411352.6717663328,284270.83029513893
T2,T2_TEST_1208,2024-12-08,231449.92811677558,142951.39366319447
T2,T2_TEST_1209,2024-12-09,560298.9063923694,390798.6098090278
T2,T2_TEST_1210,2024-12-10,75357.36666381099,58229.166666666664
T2,T2_TEST_1211,2024-12-11,27343.30433500602,22118.05121527777
T2,T2_TEST_1212,2024-12-12,66619.33555284889,48819.4375
T2,T2_TEST_1213,2024-12-13,167782.116201556,97743.046875
T2,T2_TEST_1214,2024-12-14,463736.36881140975,375104.1701388888
T2,T2_TEST_1215,2024-12-15,207522.3810511844,138923.61197916666
T2,T2_TEST_1216,2024-12-16,485270.63872345997,332378.47178819444
T2,T2_TEST_1217,2024-12-17,26861.94366852668,22065.972656250004
T2,T2_TEST_1218,2024-12-18,52931.96688665552,46666.6584201389
T2,T2_TEST_1219,2024-12-19,53008.45953626498,43263.8936631944
T2,T2_TEST_1220,2024-12-20,193374.4869244331,143611.10416666666
T2,T2_TEST_1221,2024-12-21,347420.93487731944,250590.27994791666
T2,T2_TEST_1222,2024-12-22,150590.4917584245,105850.69444444444
T2,T2_TEST_1223,2024-12-23,335998.6008129559,216753.47135416666
T2,T2_TEST_1224,2024-12-24,165880.3496217244,122187.49913194444
T2,T2_TEST_1225,2024-12-25,350953.57637623214,219184.0321180556
T2,T2_TEST_1226,2024-12-26,113411.84389206086,86857.63671875
T2,T2_TEST_1227,2024-12-27,204964.2155456037,177395.8311631944
T2,T2_TEST_1228,2024-12-28,127429.05990455979,96215.27951388888
T2,T2_TEST_1229,2024-12-29,166648.88871220686,143177.07986111112
