source,method,seed,variant,crossing_reference,window,lead_start,lead_end,n_origins,n_series,scaled_pinball,pce,coverage80,coverage_deficit80,scaled_width80,scaled_mae,raw_mae,scaled_rmse,raw_quantile_crossing_rate,raw_quantile_crossing_any_rate
Electricity,CHRONOS2_DIRECT,0,affine,pre_sort_raw_q,prefix_64,1,64,209,32,0.14196872475646227,0.02512911807216906,0.7651694265849283,0.03483057341507181,0.5231714919310145,0.17928932969384892,57.50314261242926,0.2895020858324562,0.0007405988337320573,0.005093077153110048
Electricity,CHRONOS2_DIRECT,0,affine,pre_sort_raw_q,prefix_128,1,128,209,32,0.15302076403109266,0.027466222670786817,0.7595588647577751,0.040441135242224924,0.5546463128065251,0.19241561079852287,62.775040425583015,0.31206499315794145,0.0008566824443032296,0.005920118122009569
Electricity,CHRONOS2_DIRECT,0,affine,pre_sort_raw_q,prefix_192,1,192,209,32,0.1663813971225614,0.02782514356835903,0.7594315378289473,0.04056846217105267,0.598368386521277,0.2086123313258137,68.9158382329472,0.3385608200478354,0.0008959610496411484,0.006165426883971292
Electricity,CHRONOS2_DIRECT,0,affine,pre_sort_raw_q,prefix_256,1,256,209,32,0.17325414048019167,0.028668754776382244,0.7610336376719498,0.038966362328050286,0.6243292467755318,0.21704496554707645,72.00319943916159,0.35175849535622994,0.0009274277390475479,0.0063908773175837316
Electricity,F0_MEDIAN,0,raw,pre_sort_raw_q,full_256,1,256,209,32,0.1842708697675306,0.05467184696471292,0.666449003812799,0.133550996187201,0.48470247231531954,0.22320197440085354,74.75899272636426,0.35164246773558105,0.001489593651876495,0.006889087731758373
Electricity,F0_MEDIAN,0,raw,pre_sort_raw_q,tail_129_256,129,256,209,32,0.20739353049162348,0.08415365102505318,0.5765877317583732,0.22341226824162685,0.423666336729731,0.24685097360196961,83.50008341207494,0.3852064196771796,0.0016283829246411484,0.007740075508373205
Electricity,F0_MEDIAN,0,raw,pre_sort_raw_q,block_1,1,64,209,32,0.14901223701837274,0.02069289731193514,0.8174692546351674,-0.017469254635167422,0.6006822680341976,0.1867649595169944,60.6746000112725,0.29178402758337113,0.001308897465610048,0.005924790669856459
Electricity,F0_MEDIAN,0,raw,pre_sort_raw_q,block_2,65,128,209,32,0.17328418106850257,0.046591220594098884,0.6951512970992823,0.10484870290071774,0.4907949477676189,0.21234099088248048,71.36120407003463,0.33396001917575874,0.0013927112926136365,0.006151409240430622
Electricity,F0_MEDIAN,0,raw,pre_sort_raw_q,block_3,129,192,209,32,0.20452930901022984,0.07222372782097289,0.6176897988935407,0.1823102011064594,0.4672465810519423,0.2462879675224829,83.50516939295107,0.3837178189691919,0.0014660118869617223,0.006599973833732057
Electricity,F0_MEDIAN,0,raw,pre_sort_raw_q,block_4,193,256,209,32,0.21025775197301727,0.09648790536948432,0.5354856646232058,0.2645143353767943,0.3800860924075195,0.24741397968145631,83.4949974311988,0.38654739137757166,0.001790753962320574,0.008880177183014355
Electricity,F0_MEDIAN,0,raw,pre_sort_raw_q,prefix_64,1,64,209,32,0.14901223701837274,0.02069289731193514,0.8174692546351674,-0.017469254635167422,0.6006822680341976,0.1867649595169944,60.6746000112725,0.29178402758337113,0.001308897465610048,0.005924790669856459
Electricity,F0_MEDIAN,0,raw,pre_sort_raw_q,prefix_128,1,128,209,32,0.16114820904343768,0.028305593974282294,0.7563102758672249,0.043689724132775165,0.5457386079009081,0.19955297519973744,66.01790204065357,0.31386625790962247,0.0013508043791118423,0.0060380999551435405
