source,method,variant,batch_size,wall_ms,peak_MiB,loading_ms
ETTh1,S_STATE_ADAPTER,affine,1,68.91820000600995,249.65625,214.56430001126137
ETTh1,S_STATE_ADAPTER,affine,8,70.98344998667015,259.87109375,214.56430001126137
ETTh1,S_STATE_ADAPTER,ordered,1,68.9561999897705,249.65625,214.56430001126137
ETTh1,S_STATE_ADAPTER,ordered,8,69.86600000527685,259.87109375,214.56430001126137
ETTh1,U_UNCERTAINTY_ADAPTER,affine,1,69.82580000476446,249.65625,219.33405000891065
ETTh1,U_UNCERTAINTY_ADAPTER,affine,8,73.40155000565571,259.87109375,219.33405000891065
ETTh1,U_UNCERTAINTY_ADAPTER,ordered,1,69.3633000046247,249.65625,219.33405000891065
ETTh1,U_UNCERTAINTY_ADAPTER,ordered,8,71.3455000077374,259.87109375,219.33405000891065
Electricity,CHRONOS2_DIRECT,affine,1,19.3050999951083,522.841796875,387.9482999909669
Electricity,CHRONOS2_DIRECT,affine,8,23.081599996658,536.935546875,387.9482999909669
Electricity,CHRONOS2_DIRECT,ordered,1,21.5959000051952,522.841796875,387.9482999909669
Electricity,CHRONOS2_DIRECT,ordered,8,23.9673999894876,536.935546875,387.9482999909669
Electricity,F0_MEDIAN,affine,1,53.678399999625896,248.4970703125,171.0215999919455
Electricity,F0_MEDIAN,affine,8,54.983000009087796,258.7119140625,171.0215999919455
Electricity,F0_MEDIAN,ordered,1,53.4215999941807,248.4970703125,171.0215999919455
Electricity,F0_MEDIAN,ordered,8,55.8409999939613,258.7119140625,171.0215999919455
Electricity,F0_NATIVE,affine,1,56.640399998286696,260.02587890625,166.887500003213
Electricity,F0_NATIVE,affine,8,88.2749000156764,350.95068359375,166.887500003213
Electricity,F0_NATIVE,ordered,1,54.7810000134632,260.02587890625,166.887500003213
Electricity,F0_NATIVE,ordered,8,80.0495999865233,350.95068359375,166.887500003213
Electricity,R_MC16,affine,1,72.715349990176,273.24072265625,215.3664499928709
Electricity,R_MC16,affine,8,160.13854999619065,341.3037109375,215.3664499928709
Electricity,R_MC16,ordered,1,71.51799999701319,273.24072265625,215.3664499928709
Electricity,R_MC16,ordered,8,160.34840000793335,341.3037109375,215.3664499928709
Electricity,R_NATIVE,affine,1,71.53489999473089,261.15087890625,232.4325499939732
Electricity,R_NATIVE,affine,8,95.84099998755845,352.07568359375,232.4325499939732
Electricity,R_NATIVE,ordered,1,70.3323500056285,261.15087890625,232.4325499939732
Electricity,R_NATIVE,ordered,8,98.2479500089539,352.07568359375,232.4325499939732
Electricity,R_ROLLOUT_LORA,affine,1,67.9034499917179,249.6220703125,229.26829999778414
Electricity,R_ROLLOUT_LORA,affine,8,70.82679998711674,259.8369140625,229.26829999778414
Electricity,R_ROLLOUT_LORA,ordered,1,68.16755000909319,249.6220703125,229.26829999778414
Electricity,R_ROLLOUT_LORA,ordered,8,70.28895000985355,259.8369140625,229.26829999778414
Electricity,S_STATE_ADAPTER,affine,1,69.52495001314671,249.65625,219.90655000263354
Electricity,S_STATE_ADAPTER,affine,8,70.76469999446995,259.87109375,219.90655000263354
Electricity,S_STATE_ADAPTER,ordered,1,67.4420499999541,249.65625,219.90655000263354
Electricity,S_STATE_ADAPTER,ordered,8,70.9402999927988,259.87109375,219.90655000263354
Electricity,U_UNCERTAINTY_ADAPTER,affine,1,69.77190000179685,249.65625,216.71865000098472
Electricity,U_UNCERTAINTY_ADAPTER,affine,8,71.49614999070761,259.87109375,216.71865000098472
Electricity,U_UNCERTAINTY_ADAPTER,ordered,1,69.75880000391041,249.65625,216.71865000098472
Electricity,U_UNCERTAINTY_ADAPTER,ordered,8,70.82584999443495,259.87109375,216.71865000098472
