fit_id,source,arm,seed,lr,main_updates,conditional_batch_forwards_backwards,selected_step,selected_validation,checkpoint,checkpoint_sha256,initial_learned_hash,initial_lora_hash,initial_adapter_hash,frozen_weights_buffers_unchanged,elapsed_this_process_seconds,recovered_updates_without_replay,frozen_digest_scope
Electricity_U_UNCERTAINTY_ADAPTER_s92121_lr0.0003,Electricity,U_UNCERTAINTY_ADAPTER,92121,0.0003,512,2048,512,0.1623839558536525,.cache\rollout_uncertainty_peft_v1_20260921\fits\Electricity_U_UNCERTAINTY_ADAPTER_s92121_lr0.0003\step_0512.pt,d3a41d4f31d0538f604325e2d505fd9a9663fac392dc75c6484b4f2dfc63e417,a387598240c6363d6510472139b70ab9e2d2591d15dadb0231a708b617037ce7,1abdc87e73b9bff0472b32446d7136e25a72c1238ac569db2e126162c5d6e1af,f6aa9fbd3096061d077523188cebc8c5fee485225be91dbf840021eedf7d5f3f,True,263.36633279998205,0,before and after fit in this process
Electricity_U_UNCERTAINTY_ADAPTER_s92122_lr0.0003,Electricity,U_UNCERTAINTY_ADAPTER,92122,0.0003,512,2048,512,0.1626285960020899,.cache\rollout_uncertainty_peft_v1_20260921\fits\Electricity_U_UNCERTAINTY_ADAPTER_s92122_lr0.0003\step_0512.pt,2881b8a82aea4c7464a14c20ef7e2dc229a8cba17e7816a64068d5713970d59f,12893a603442cad293a106fc370c432b206f2e3f9082ec6a37f657c44f01f74d,ebef61469c20972de6d48d06d6bd01237b85d44e967d552e3064cc3dc58d5e74,515aa579d654778bd3aaeaf3fda11c39a253c6cb9054575c6eee36bc17eae146,True,265.3702514000179,0,before and after fit in this process
ETTh1_R_ROLLOUT_LORA_s92120_lr0.0001,ETTh1,R_ROLLOUT_LORA,92120,0.0001,512,2048,512,0.3148972075432089,.cache\rollout_uncertainty_peft_v1_20260921\fits\ETTh1_R_ROLLOUT_LORA_s92120_lr0.0001\step_0512.pt,c36222db24e93a8e6ef3c8853c8ccf42bc0c6d5652069d36886c05360e04eb76,57fc14d0825668276a77f726d96fd1ef4f5a1193d111c0495d3ae925c3e4556a,57fc14d0825668276a77f726d96fd1ef4f5a1193d111c0495d3ae925c3e4556a,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,177.32701849998557,0,before and after fit in this process
ETTh1_R_ROLLOUT_LORA_s92120_lr0.0003,ETTh1,R_ROLLOUT_LORA,92120,0.0003,512,2048,512,0.31255876483586376,.cache\rollout_uncertainty_peft_v1_20260921\fits\ETTh1_R_ROLLOUT_LORA_s92120_lr0.0003\step_0512.pt,0d60d1e6682b1f650d10a47cdf0f448294747866f5d75a620d502336708b49f9,57fc14d0825668276a77f726d96fd1ef4f5a1193d111c0495d3ae925c3e4556a,57fc14d0825668276a77f726d96fd1ef4f5a1193d111c0495d3ae925c3e4556a,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,123.87766460000421,0,before and after fit in this process
ETTh1_R_ROLLOUT_LORA_s92121_lr0.0003,ETTh1,R_ROLLOUT_LORA,92121,0.0003,512,2048,256,0.32424538523986546,.cache\rollout_uncertainty_peft_v1_20260921\fits\ETTh1_R_ROLLOUT_LORA_s92121_lr0.0003\step_0256.pt,73be389100ec2d318b209878cc94316b7fc895dc98dcc8e32a41ecb02e430aee,1abdc87e73b9bff0472b32446d7136e25a72c1238ac569db2e126162c5d6e1af,1abdc87e73b9bff0472b32446d7136e25a72c1238ac569db2e126162c5d6e1af,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,122.16986190000898,0,before and after fit in this process
ETTh1_R_ROLLOUT_LORA_s92122_lr0.0003,ETTh1,R_ROLLOUT_LORA,92122,0.0003,512,2048,128,0.3202988731899104,.cache\rollout_uncertainty_peft_v1_20260921\fits\ETTh1_R_ROLLOUT_LORA_s92122_lr0.0003\step_0128.pt,b0cc198a402a4e127d69060167c8d55c616dc9b2cc90ef996bced4fe0b673f51,ebef61469c20972de6d48d06d6bd01237b85d44e967d552e3064cc3dc58d5e74,ebef61469c20972de6d48d06d6bd01237b85d44e967d552e3064cc3dc58d5e74,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,129.60377270000754,0,before and after fit in this process
ETTh1_S_STATE_ADAPTER_s92120_lr0.0001,ETTh1,S_STATE_ADAPTER,92120,0.0001,512,2048,512,0.3129785216639895,.cache\rollout_uncertainty_peft_v1_20260921\fits\ETTh1_S_STATE_ADAPTER_s92120_lr0.0001\step_0512.pt,4c52f2496903027d6fe0a061f4c377fd6b7c12539e015592f07561584f870991,0d0cb28f5b265f9c4b841608a4b8a9ce16aa598022b6f3d38e35d845dbc238d6,57fc14d0825668276a77f726d96fd1ef4f5a1193d111c0495d3ae925c3e4556a,e6460f3401b25c0608a0b33b74b4abc66f56fcc9a632dcc9df9450bf05a0e422,True,130.58748449999257,0,before and after fit in this process
ETTh1_S_STATE_ADAPTER_s92120_lr0.0003,ETTh1,S_STATE_ADAPTER,92120,0.0003,512,2048,512,0.31561650150081827,.cache\rollout_uncertainty_peft_v1_20260921\fits\ETTh1_S_STATE_ADAPTER_s92120_lr0.0003\step_0512.pt,89e7d9c333688004daf46fac41b138c6741c5ac5654c2d2f66b999ac757c11df,0d0cb28f5b265f9c4b841608a4b8a9ce16aa598022b6f3d38e35d845dbc238d6,57fc14d0825668276a77f726d96fd1ef4f5a1193d111c0495d3ae925c3e4556a,e6460f3401b25c0608a0b33b74b4abc66f56fcc9a632dcc9df9450bf05a0e422,True,128.85123090000707,0,before and after fit in this process
ETTh1_S_STATE_ADAPTER_s92121_lr0.0001,ETTh1,S_STATE_ADAPTER,92121,0.0001,512,2048,256,0.3223852725478988,.cache\rollout_uncertainty_peft_v1_20260921\fits\ETTh1_S_STATE_ADAPTER_s92121_lr0.0001\step_0256.pt,48f29fe30550d3c0ad7f48438489e0e78e9493bcdc9cc0c8f84b47d6a02e630e,a387598240c6363d6510472139b70ab9e2d2591d15dadb0231a708b617037ce7,1abdc87e73b9bff0472b32446d7136e25a72c1238ac569db2e126162c5d6e1af,f6aa9fbd3096061d077523188cebc8c5fee485225be91dbf840021eedf7d5f3f,True,131.23159040001337,0,before and after fit in this process
ETTh1_S_STATE_ADAPTER_s92122_lr0.0001,ETTh1,S_STATE_ADAPTER,92122,0.0001,512,2048,256,0.31963931646925114,.cache\rollout_uncertainty_peft_v1_20260921\fits\ETTh1_S_STATE_ADAPTER_s92122_lr0.0001\step_0256.pt,52ecd863fbefff60dd5bb9b4cdc58f25f77a89edad0349d15daa8811b2743226,12893a603442cad293a106fc370c432b206f2e3f9082ec6a37f657c44f01f74d,ebef61469c20972de6d48d06d6bd01237b85d44e967d552e3064cc3dc58d5e74,515aa579d654778bd3aaeaf3fda11c39a253c6cb9054575c6eee36bc17eae146,True,213.07297929999186,0,before and after fit in this process
ETTh1_U_UNCERTAINTY_ADAPTER_s92120_lr0.0001,ETTh1,U_UNCERTAINTY_ADAPTER,92120,0.0001,512,2048,512,0.31298421210799665,.cache\rollout_uncertainty_peft_v1_20260921\fits\ETTh1_U_UNCERTAINTY_ADAPTER_s92120_lr0.0001\step_0512.pt,2297bf88a6b90ba1b769f82e2306cd93c767bf16f1c81bf52bd66a9e7e6e4d39,0d0cb28f5b265f9c4b841608a4b8a9ce16aa598022b6f3d38e35d845dbc238d6,57fc14d0825668276a77f726d96fd1ef4f5a1193d111c0495d3ae925c3e4556a,e6460f3401b25c0608a0b33b74b4abc66f56fcc9a632dcc9df9450bf05a0e422,True,744.5900997999997,0,before and after fit in this process
ETTh1_U_UNCERTAINTY_ADAPTER_s92120_lr0.0003,ETTh1,U_UNCERTAINTY_ADAPTER,92120,0.0003,512,2048,512,0.31453420150057154,.cache\rollout_uncertainty_peft_v1_20260921\fits\ETTh1_U_UNCERTAINTY_ADAPTER_s92120_lr0.0003\step_0512.pt,47391fd47cb5795e010c9461f350fb4608064ee1738ef8524473e61117a0c1c9,0d0cb28f5b265f9c4b841608a4b8a9ce16aa598022b6f3d38e35d845dbc238d6,57fc14d0825668276a77f726d96fd1ef4f5a1193d111c0495d3ae925c3e4556a,e6460f3401b25c0608a0b33b74b4abc66f56fcc9a632dcc9df9450bf05a0e422,True,721.2305980999954,0,before and after fit in this process
ETTh1_U_UNCERTAINTY_ADAPTER_s92121_lr0.0001,ETTh1,U_UNCERTAINTY_ADAPTER,92121,0.0001,512,2048,256,0.322469956993346,.cache\rollout_uncertainty_peft_v1_20260921\fits\ETTh1_U_UNCERTAINTY_ADAPTER_s92121_lr0.0001\step_0256.pt,ee517c173e4f57c0bd937609da7f11bf8b31e4fcf242bf64665b2190f53ede2a,a387598240c6363d6510472139b70ab9e2d2591d15dadb0231a708b617037ce7,1abdc87e73b9bff0472b32446d7136e25a72c1238ac569db2e126162c5d6e1af,f6aa9fbd3096061d077523188cebc8c5fee485225be91dbf840021eedf7d5f3f,True,499.371925799991,0,before and after fit in this process
ETTh1_U_UNCERTAINTY_ADAPTER_s92122_lr0.0001,ETTh1,U_UNCERTAINTY_ADAPTER,92122,0.0001,512,2048,256,0.319649983919568,.cache\rollout_uncertainty_peft_v1_20260921\fits\ETTh1_U_UNCERTAINTY_ADAPTER_s92122_lr0.0001\step_0256.pt,9e3d19b76e2b753682167887f674fe48e4996d9a91db71ddb347274876f9647c,12893a603442cad293a106fc370c432b206f2e3f9082ec6a37f657c44f01f74d,ebef61469c20972de6d48d06d6bd01237b85d44e967d552e3064cc3dc58d5e74,515aa579d654778bd3aaeaf3fda11c39a253c6cb9054575c6eee36bc17eae146,True,137.10405759999412,0,before and after fit in this process
