topic,dataset,seed,contrast,scope,reference_loss,method_loss,method_step,reference_step,improvement_percent
anchor,etth1,33001,raw_anchor_vs_plain,fixed_step_0_lr_3e-05,0.2926677659112712,0.2926677659112712,0,0,0.0
anchor,etth1,33001,raw_anchor_vs_plain,fixed_step_0_lr_0.0001,0.2926677659112712,0.2926677659112712,0,0,0.0
anchor,etth1,33001,raw_anchor_vs_plain,fixed_step_150_lr_3e-05,0.28821382750484886,0.2901978025623288,150,150,-0.6883691440677131
anchor,etth1,33001,raw_anchor_vs_plain,fixed_step_150_lr_0.0001,0.2954633396373182,0.29109112751061805,150,150,1.4797815972929285
anchor,etth1,33001,raw_anchor_vs_plain,fixed_step_450_lr_3e-05,0.2955244403727927,0.28870038943306986,450,450,2.309132514087342
anchor,etth1,33001,raw_anchor_vs_plain,fixed_step_450_lr_0.0001,0.33077469040188023,0.3087424665408497,450,450,6.6607949460287035
anchor,etth1,33001,raw_anchor_vs_plain,fixed_step_900_lr_3e-05,0.36136800882642844,0.31572063753782664,900,900,12.631824116596624
anchor,etth1,33001,raw_anchor_vs_plain,fixed_step_900_lr_0.0001,0.3680894573642899,0.3397316352047229,900,900,7.704057150298082
anchor,traffic,33000,native_anchor_vs_plain,V_selected,0.10820790034679043,0.1086907652281478,900,450,-0.4462381025875706
anchor,traffic,33000,native_anchor_vs_plain,fixed_step_0_lr_3e-05,0.11214482157148042,0.11214482157148042,0,0,0.0
anchor,traffic,33000,native_anchor_vs_plain,fixed_step_0_lr_0.0001,0.11214482157148042,0.11214482157148042,0,0,0.0
anchor,traffic,33000,native_anchor_vs_plain,fixed_step_150_lr_3e-05,0.11088240212631732,0.11091705208111974,150,150,-0.031249282246736954
anchor,traffic,33000,native_anchor_vs_plain,fixed_step_150_lr_0.0001,0.10917881428823709,0.11011096518097926,150,150,-0.8537836748082395
anchor,traffic,33000,native_anchor_vs_plain,fixed_step_450_lr_3e-05,0.10877704320145826,0.11006696460488871,450,450,-1.1858397373805118
anchor,traffic,33000,native_anchor_vs_plain,fixed_step_450_lr_0.0001,0.10820790034679043,0.10911950663467465,450,450,-0.8424581615230187
anchor,traffic,33000,native_anchor_vs_plain,fixed_step_900_lr_3e-05,0.10840694434585531,0.10960082129009743,900,900,-1.1012919434692847
anchor,traffic,33000,native_anchor_vs_plain,fixed_step_900_lr_0.0001,0.11272523328273919,0.1086907652281478,900,900,3.579028348047031
anchor,traffic,33000,raw_anchor_vs_plain,V_selected,0.1092694579950475,0.10931833990120722,900,450,-0.04473519596110975
anchor,traffic,33000,raw_anchor_vs_plain,fixed_step_0_lr_3e-05,0.11214482157148042,0.11214482157148042,0,0,0.0
anchor,traffic,33000,raw_anchor_vs_plain,fixed_step_0_lr_0.0001,0.11214482157148042,0.11214482157148042,0,0,0.0
anchor,traffic,33000,raw_anchor_vs_plain,fixed_step_150_lr_3e-05,0.11069971915076629,0.11073456785413385,150,150,-0.03148039004516878
anchor,traffic,33000,raw_anchor_vs_plain,fixed_step_150_lr_0.0001,0.10989815977223878,0.10965389961724528,150,150,0.22226045959251595
anchor,traffic,33000,raw_anchor_vs_plain,fixed_step_450_lr_3e-05,0.1092694579950475,0.10944011795710792,450,450,-0.15618267463919366
anchor,traffic,33000,raw_anchor_vs_plain,fixed_step_450_lr_0.0001,0.1109268531169717,0.10949823420825523,450,450,1.2878927586722377
anchor,traffic,33000,raw_anchor_vs_plain,fixed_step_900_lr_3e-05,0.10968718696128488,0.10931833990120722,900,900,0.33627178369324273
anchor,traffic,33000,raw_anchor_vs_plain,fixed_step_900_lr_0.0001,0.1177620985490866,0.11289037963224091,900,900,4.1369158471772804
anchor,traffic,33001,native_anchor_vs_plain,V_selected,0.10693295128114899,0.10819589342099001,900,450,-1.1810598367574032
anchor,traffic,33001,native_anchor_vs_plain,fixed_step_0_lr_3e-05,0.11214482157148042,0.11214482157148042,0,0,0.0
anchor,traffic,33001,native_anchor_vs_plain,fixed_step_0_lr_0.0001,0.11214482157148042,0.11214482157148042,0,0,0.0
anchor,traffic,33001,native_anchor_vs_plain,fixed_step_150_lr_3e-05,0.1111102696106334,0.1109754505978282,150,150,0.12133803047876812
anchor,traffic,33001,native_anchor_vs_plain,fixed_step_150_lr_0.0001,0.11549936918610448,0.11174651279462874,150,150,3.249244059011913
anchor,traffic,33001,native_anchor_vs_plain,fixed_step_450_lr_3e-05,0.10827289243535053,0.11005008552874265,450,450,-1.6414016966003642
anchor,traffic,33001,native_anchor_vs_plain,fixed_step_450_lr_0.0001,0.10693295128114899,0.10907739372894909,450,450,-2.005408456521418
anchor,traffic,33001,native_anchor_vs_plain,fixed_step_900_lr_3e-05,0.10807064673347631,0.10962978639024808,900,900,-1.442704105044279
anchor,traffic,33001,native_anchor_vs_plain,fixed_step_900_lr_0.0001,0.10964209109645942,0.10819589342099001,900,900,1.3190168675249914
anchor,traffic,33001,raw_anchor_vs_plain,V_selected,0.10795472056911505,0.10849720589631312,450,450,-0.5025119090098062
anchor,traffic,33001,raw_anchor_vs_plain,fixed_step_0_lr_3e-05,0.11214482157148042,0.11214482157148042,0,0,0.0
anchor,traffic,33001,raw_anchor_vs_plain,fixed_step_0_lr_0.0001,0.11214482157148042,0.11214482157148042,0,0,0.0
anchor,traffic,33001,raw_anchor_vs_plain,fixed_step_150_lr_3e-05,0.11091334367714223,0.11065351905690902,150,150,0.23425911763108598
anchor,traffic,33001,raw_anchor_vs_plain,fixed_step_150_lr_0.0001,0.11448957765484355,0.11123132943167117,150,150,2.845890682726726
anchor,traffic,33001,raw_anchor_vs_plain,fixed_step_450_lr_3e-05,0.10855753296357684,0.10930514416493355,450,450,-0.6886774053787237
anchor,traffic,33001,raw_anchor_vs_plain,fixed_step_450_lr_0.0001,0.10795472056911505,0.10849720589631312,450,450,-0.5025119090098062
anchor,traffic,33001,raw_anchor_vs_plain,fixed_step_900_lr_3e-05,0.1102837331646632,0.10961054745742352,900,900,0.6104125131804805
anchor,traffic,33001,raw_anchor_vs_plain,fixed_step_900_lr_0.0001,0.11333967423179117,0.11289752080186238,900,900,0.3901135528451727
dualclock,m5,30000,standard_long_vs_short,V_selected,0.463587285336927,0.46318626736084956,1080,360,0.08650323008448924
dualclock,m5,30000,standard_long_vs_short,fixed_endpoints_lr_3e-05,0.4639925120249996,0.46357620005230527,1440,360,0.08972385586082376
dualclock,m5,30000,standard_long_vs_short,fixed_endpoints_lr_0.0001,0.463587285336927,0.46349549548150093,1440,360,0.019799907876971723
dualclock,m5,30000,summary_long_vs_short,V_selected,0.4634900214223502,0.46321164776307766,1080,360,0.060060334938438764
dualclock,m5,30000,summary_long_vs_short,fixed_endpoints_lr_3e-05,0.4639268919443114,0.4635761555636372,1440,360,0.07560164904524269
dualclock,m5,30000,summary_long_vs_short,fixed_endpoints_lr_0.0001,0.4634900214223502,0.4634397463465574,1440,360,0.01084706756760978
dualclock,m5,30000,dualclock_long_vs_short,V_selected,0.4634599404090297,0.463189700424237,1080,360,0.05830924341685417
dualclock,m5,30000,dualclock_long_vs_short,fixed_endpoints_lr_3e-05,0.4638975380824128,0.4635951812892115,1440,360,0.06517749467934708
dualclock,m5,30000,dualclock_long_vs_short,fixed_endpoints_lr_0.0001,0.4634599404090297,0.46359989531219836,1440,360,-0.030197842567614153
dualclock,m5,30001,standard_long_vs_short,V_selected,0.46315221063759665,0.46315221063759665,360,360,0.0
dualclock,m5,30001,standard_long_vs_short,fixed_endpoints_lr_3e-05,0.46371949482796493,0.4635789952593416,1440,360,0.030298395946337653
dualclock,m5,30001,standard_long_vs_short,fixed_endpoints_lr_0.0001,0.46315221063759665,0.4641955102855315,1440,360,-0.22526064303971527
dualclock,m5,30001,summary_long_vs_short,V_selected,0.4631007003139119,0.4631007003139119,360,360,0.0
dualclock,m5,30001,summary_long_vs_short,fixed_endpoints_lr_3e-05,0.46363035415349085,0.4635288488815503,1440,360,0.02189357772440781
dualclock,m5,30001,summary_long_vs_short,fixed_endpoints_lr_0.0001,0.4631007003139119,0.46421642273146,1440,360,-0.24092436413762908
dualclock,m5,30001,dualclock_long_vs_short,V_selected,0.4630817861816092,0.4630817861816092,360,360,0.0
dualclock,m5,30001,dualclock_long_vs_short,fixed_endpoints_lr_3e-05,0.463617813621342,0.4635461897278834,1440,360,0.015448908854287513
dualclock,m5,30001,dualclock_long_vs_short,fixed_endpoints_lr_0.0001,0.4630817861816092,0.4642530141481216,1440,360,-0.2529203267029434
dualclock,m5,30000,dualclock_vs_standard,V_selected_budget_360,0.463587285336927,0.4634599404090297,360,360,0.027469460859941286
dualclock,m5,30000,dualclock_vs_summary,V_selected_budget_360,0.4634900214223502,0.4634599404090297,360,360,0.006490110235413127
dualclock,m5,30000,dualclock_vs_standard,V_selected_budget_1440,0.46318626736084956,0.463189700424237,1080,1080,-0.0007411841907556393
dualclock,m5,30000,dualclock_vs_summary,V_selected_budget_1440,0.46321164776307766,0.463189700424237,1080,1080,0.004738080086419405
dualclock,m5,30001,dualclock_vs_standard,V_selected_budget_360,0.46315221063759665,0.4630817861816092,360,360,0.015205466878909224
dualclock,m5,30001,dualclock_vs_summary,V_selected_budget_360,0.4631007003139119,0.4630817861816092,360,360,0.004084237464951901
dualclock,m5,30001,dualclock_vs_standard,V_selected_budget_1440,0.46315221063759665,0.4630817861816092,360,360,0.015205466878909224
dualclock,m5,30001,dualclock_vs_summary,V_selected_budget_1440,0.4631007003139119,0.4630817861816092,360,360,0.004084237464951901
dualclock,m5,30000,summary_zero_events,V_ablation,0.46321164776307766,0.46323078541246715,1080,1080,-0.004131512988059249
dualclock,m5,30000,summary_rotate_events,V_ablation,0.46321164776307766,0.4632116109919275,1080,1080,7.9383043027903e-06
dualclock,m5,30000,summary_drop_adapter,V_ablation,0.46321164776307766,0.46353511269415454,1080,1080,-0.06983091479648706
dualclock,m5,30000,dualclock_zero_events,V_ablation,0.463189700424237,0.4631964441861241,1080,1080,-0.0014559395169921885
dualclock,m5,30000,dualclock_rotate_events,V_ablation,0.463189700424237,0.4631900060292182,1080,1080,-6.597836283983582e-05
dualclock,m5,30000,dualclock_drop_adapter,V_ablation,0.463189700424237,0.4635047525356337,1080,1080,-0.0680179440752049
dualclock,m5,30001,summary_zero_events,V_ablation,0.4631007003139119,0.46310568422806153,360,360,-0.0010762052716106751
dualclock,m5,30001,summary_rotate_events,V_ablation,0.4631007003139119,0.4631002049123327,360,360,0.0001069749147042387
dualclock,m5,30001,summary_drop_adapter,V_ablation,0.4631007003139119,0.4632708186547017,360,360,-0.03673463259168397
dualclock,m5,30001,dualclock_zero_events,V_ablation,0.4630817861816092,0.46308798115655336,360,360,-0.0013377712380302498
dualclock,m5,30001,dualclock_rotate_events,V_ablation,0.4630817861816092,0.4630813117743198,360,360,0.00010244568099393447
dualclock,m5,30001,dualclock_drop_adapter,V_ablation,0.4630817861816092,0.4633678240631085,360,360,-0.06176832905864238
