arm,source,path_index,month,primary,raw_2pinball,raw_RMSE,raw_MAE,coverage80,width80
REVERSE,FIXED120,3,6,0.17095711968993005,64612.847730594214,144488.4698259192,93158.83651224771,0.7708333333333334,277921.0582784017
REVERSE,FIXED120,3,7,0.15678644660575894,68513.76314616087,148516.89729117166,99351.81140136719,0.7291666666666666,224905.98466046652
REVERSE,FIXED120,3,8,0.21405252313022058,101655.70272788397,209530.22973899293,132322.18136935766,0.6510416666666666,201501.0728556315
REVERSE,FIXED120,3,9,0.16980354580446685,74897.89997525411,160835.13180262747,106546.51922607422,0.7239583333333334,231625.0241394043
REVERSE,SELECTED,0,6,0.17130918506480863,65039.91803811129,146577.06920023303,93679.34685092502,0.859375,300410.1316477458
REVERSE,SELECTED,0,7,0.10735467959062539,47373.440301972645,102733.58819238874,65783.29795328777,0.8697916666666666,247310.04451497394
REVERSE,SELECTED,0,8,0.17189218864459507,81705.87001156116,167983.29658901592,110995.91289605034,0.6458333333333334,206815.9184366862
REVERSE,SELECTED,0,9,0.13251450833856104,58045.549266604474,132118.16477306062,83023.66255187988,0.7708333333333334,234708.09089152017
REVERSE,SELECTED,3,6,0.1821115568411591,68705.52717885416,152503.4781112458,100224.16213819715,0.7916666666666667,287789.2057495117
REVERSE,SELECTED,3,7,0.15222435470635903,66680.26676944713,143400.43002866965,95672.85228474934,0.765625,238203.1065629323
REVERSE,SELECTED,3,8,0.20604601967964503,97892.86487268518,204626.22898903652,128988.8780924479,0.6458333333333334,211584.50392659506
REVERSE,SELECTED,3,9,0.17057919813393915,75148.54713282832,161958.73959553678,105744.94730292427,0.7447916666666666,235081.1554260254
SHUFFLE,FIXED120,0,6,0.15915462055916482,60820.12985432458,135116.62873769843,86664.1094563802,0.8645833333333333,285408.14515686035
SHUFFLE,FIXED120,0,7,0.10501141208405748,46430.145101503236,102384.05935763456,65485.08564588759,0.8697916666666666,230190.7229207357
SHUFFLE,FIXED120,0,8,0.17226021833365412,81918.74408384293,166488.18875117897,110790.60461425783,0.640625,197676.6794230143
SHUFFLE,FIXED120,0,9,0.1331672644013444,58365.82862172929,132011.79088772027,83436.05653889973,0.7395833333333334,228414.25956726074
SHUFFLE,FIXED120,3,6,0.17115600729050276,64665.41737317282,144831.8807914538,92775.74152798123,0.78125,274370.5658721924
SHUFFLE,FIXED120,3,7,0.1562631568487661,68277.57512367249,147404.17097180197,98575.57946777344,0.7447916666666666,222437.5500793457
SHUFFLE,FIXED120,3,8,0.21425596670086097,101747.84229267747,209533.9797139971,132701.6793619792,0.65625,198833.79678344727
SHUFFLE,FIXED120,3,9,0.17146720231075976,75645.19158385666,161824.4702791568,107069.20045301648,0.7239583333333334,230397.89883422852
SHUFFLE,SELECTED,0,6,0.17223449773620236,65345.176549928045,147780.82030078597,94082.04277716743,0.859375,297504.06202697754
SHUFFLE,SELECTED,0,7,0.10792993168236772,47670.68634033647,103433.52137659938,66430.87588840061,0.8697916666666666,244460.78847249347
SHUFFLE,SELECTED,0,8,0.17112273599556554,81316.74860595704,167320.8750467292,110587.4783053928,0.6510416666666666,205711.8602294922
SHUFFLE,SELECTED,0,9,0.132769204098753,58182.92676490421,131766.56969360245,83232.7864803738,0.7708333333333334,233979.38380940756
SHUFFLE,SELECTED,3,6,0.1826613965568223,68889.2722381172,153107.25024833466,100179.79840596516,0.796875,285624.29557800293
SHUFFLE,SELECTED,3,7,0.15176907969415732,66504.7122523547,142464.1117607844,95085.62151082356,0.7760416666666667,236900.41213734943
SHUFFLE,SELECTED,3,8,0.20488975922322047,97345.03218497141,203839.6736260497,128365.35437011719,0.6510416666666666,210039.23315429688
SHUFFLE,SELECTED,3,9,0.17309545773843868,76250.6290682491,163877.3246769125,106889.66847398545,0.7447916666666666,234463.03748575848
STD,FIXED120,0,6,0.16008847288001973,61155.389968026786,133830.88493582504,87379.01064215766,0.8229166666666666,230695.22552998862
STD,FIXED120,0,7,0.11358413942794687,50179.164378866364,113198.87994908965,70795.30742051867,0.8177083333333334,193171.53176879883
STD,FIXED120,0,8,0.18781980041559426,89313.77375259642,171744.13302718644,117170.28961181642,0.484375,160416.06842041016
STD,FIXED120,0,9,0.14302507666609507,62682.243811312874,139349.35182101824,85568.87270779078,0.6510416666666666,180513.1692047119
STD,FIXED120,3,6,0.17626566794478277,66460.31105508633,146134.84012170637,93176.54256863064,0.7395833333333334,222068.40972391763
STD,FIXED120,3,7,0.1732955762872871,75639.31459786188,154129.2060531863,104515.9812350803,0.6510416666666667,180073.22977956137
STD,FIXED120,3,8,0.2393064958483316,113683.60531800931,217181.14560886507,144322.98015001084,0.4947916666666667,161622.8155924479
STD,FIXED120,3,9,0.1997952453210101,88221.23162047048,181064.59532873644,118048.77212863498,0.6145833333333333,182540.876566569
STD,SELECTED,0,6,0.18449978169923154,69655.92260570062,159091.79967248885,100821.4330681695,0.8645833333333333,309709.41131591797
STD,SELECTED,0,7,0.1099093584876716,48391.198691847865,103164.77811166036,67022.35453287761,0.875,261649.3896891276
STD,SELECTED,0,8,0.17201340679385474,81702.0980818233,169534.17284899563,111524.85586208767,0.6666666666666666,214415.94767252603
STD,SELECTED,0,9,0.13149214369696727,57590.11707102296,131470.1622482909,82551.89940388997,0.7916666666666666,241972.21782430014
STD,SELECTED,3,6,0.19290710535236544,72683.06104999845,160390.19207259032,107077.94937133789,0.8125,297163.2550048828
STD,SELECTED,3,7,0.1477237951391293,64848.12226690464,138364.24927414278,92411.1743367513,0.7916666666666667,253266.72021484375
STD,SELECTED,3,8,0.19832944837252275,94263.59022542319,199682.07847786788,125844.45933702256,0.6458333333333334,222540.64070638022
STD,SELECTED,3,9,0.1696821735856941,74664.55128849736,162371.0101728659,104449.49232991537,0.7708333333333334,240018.09110514325
