arm,baseline,source,path_index,seed,candidate_primary,baseline_primary,gain_percent,positive_months,ci_low,ci_high
SHUFFLE,CYCLE,FIXED120,3,61711,0.17752395058155335,0.1783575028162457,0.4673491283128908,3,-0.7030926167719971,1.6391015363550288
SHUFFLE,STD,FIXED120,3,-1,0.1782855832877224,0.1971657463503529,9.575782514008017,4,5.257040376328494,13.119789835250389
SHUFFLE,STD,FIXED120,3,61710,0.17904721599389145,0.19559973399288358,8.462444023361684,4,4.184452523943507,10.942906884753961
SHUFFLE,STD,FIXED120,3,61711,0.17752395058155335,0.19873175870782223,10.67157472170759,4,6.169325867029921,15.100071700942653
SHUFFLE,INIT0,FIXED120,3,-1,0.1782855832877224,0.17716063061242793,-0.6349902184281091,1,-7.069975645857881,7.807049920476624
SHUFFLE,INIT0,FIXED120,3,61710,0.17904721599389145,0.17716063061242793,-1.0649010307435531,1,-6.129458749239333,7.301901343866379
SHUFFLE,INIT0,FIXED120,3,61711,0.17752395058155335,0.17716063061242793,-0.20507940611266515,2,-8.010492542476412,8.265480813798279
REVERSE,CYCLE,SELECTED,0,-1,0.14576764040964754,0.142617769773132,-2.2086102184364287,2,-5.7692554219335515,0.7611441268811391
REVERSE,CYCLE,SELECTED,0,61710,0.1420566081498638,0.14184264473295763,-0.15084562002420476,1,-0.3609765889166154,0.00042201588890470335
REVERSE,CYCLE,SELECTED,0,61711,0.14947867266943127,0.14339289481330642,-4.244127900513039,2,-11.419921878675996,1.6928689077882317
REVERSE,STD,SELECTED,0,-1,0.14576764040964754,0.14947867266943127,2.482649995153884,3,-0.2969126893649307,5.627723247993639
REVERSE,STD,SELECTED,0,61710,0.1420566081498638,0.14947867266943127,4.965299990307786,3,-0.5938253787298614,11.255446495987279
REVERSE,STD,SELECTED,0,61711,0.14947867266943127,0.14947867266943127,0.0,0,0.0,0.0
REVERSE,INIT0,SELECTED,0,-1,0.14576764040964754,0.14947867266943127,2.482649995153884,3,-0.2969126893649307,5.627723247993639
REVERSE,INIT0,SELECTED,0,61710,0.1420566081498638,0.14947867266943127,4.965299990307786,3,-0.5938253787298614,11.255446495987279
REVERSE,INIT0,SELECTED,0,61711,0.14947867266943127,0.14947867266943127,0.0,0,0.0,0.0
SHUFFLE,CYCLE,SELECTED,0,-1,0.14601409237822216,0.142617769773132,-2.3814161520635353,2,-6.2651202423942305,0.928958715743086
SHUFFLE,CYCLE,SELECTED,0,61710,0.14254951208701305,0.14184264473295763,-0.4983461464542058,1,-1.2565869141562729,0.47235164014767483
SHUFFLE,CYCLE,SELECTED,0,61711,0.14947867266943127,0.14339289481330642,-4.244127900513039,2,-11.419921878675996,1.6928689077882317
SHUFFLE,STD,SELECTED,0,-1,0.14601409237822216,0.14947867266943127,2.317775659455412,3,-0.3671305651970386,5.194467304554027
SHUFFLE,STD,SELECTED,0,61710,0.14254951208701305,0.14947867266943127,4.635551318910824,3,-0.7342611303940773,10.388934609108054
SHUFFLE,STD,SELECTED,0,61711,0.14947867266943127,0.14947867266943127,0.0,0,0.0,0.0
SHUFFLE,INIT0,SELECTED,0,-1,0.14601409237822216,0.14947867266943127,2.317775659455412,3,-0.3671305651970386,5.194467304554027
SHUFFLE,INIT0,SELECTED,0,61710,0.14254951208701305,0.14947867266943127,4.635551318910824,3,-0.7342611303940773,10.388934609108054
SHUFFLE,INIT0,SELECTED,0,61711,0.14947867266943127,0.14947867266943127,0.0,0,0.0,0.0
REVERSE,CYCLE,SELECTED,3,-1,0.17774028234027558,0.17824023902049524,0.28049596598788556,2,-3.9869529053828017,3.434187711891419
REVERSE,CYCLE,SELECTED,3,61710,0.17831993406812324,0.17812297522474477,-0.11057464267591788,1,-0.3594711760293784,0.19434400631178755
REVERSE,CYCLE,SELECTED,3,61711,0.17716063061242793,0.1783575028162457,0.6710523442632358,3,-8.214412682754183,7.111716133973649
REVERSE,STD,SELECTED,3,-1,0.17774028234027558,0.17716063061242793,-0.3271899212843481,1,-3.5304194089834304,3.8387051597703814
REVERSE,STD,SELECTED,3,61710,0.17831993406812324,0.17716063061242793,-0.6543798425686962,1,-7.060838817966829,7.677410319540793
REVERSE,STD,SELECTED,3,61711,0.17716063061242793,0.17716063061242793,0.0,0,0.0,0.0
REVERSE,INIT0,SELECTED,3,-1,0.17774028234027558,0.17716063061242793,-0.3271899212843481,1,-3.5304194089834304,3.8387051597703814
REVERSE,INIT0,SELECTED,3,61710,0.17831993406812324,0.17716063061242793,-0.6543798425686962,1,-7.060838817966829,7.677410319540793
REVERSE,INIT0,SELECTED,3,61711,0.17716063061242793,0.17716063061242793,0.0,0,0.0,0.0
SHUFFLE,CYCLE,SELECTED,3,-1,0.1781039233031597,0.17824023902049524,0.07647864370282602,2,-4.164727157974922,3.868550256731159
SHUFFLE,CYCLE,SELECTED,3,61710,0.17904721599389145,0.17812297522474477,-0.5188779089168776,2,-2.2786951980268055,0.5984160368443391
SHUFFLE,CYCLE,SELECTED,3,61711,0.17716063061242793,0.1783575028162457,0.6710523442632358,3,-8.214412682754183,7.111716133973649
SHUFFLE,STD,SELECTED,3,-1,0.1781039233031597,0.17716063061242793,-0.5324505153717766,1,-3.064729374619691,3.650950671933212
SHUFFLE,STD,SELECTED,3,61710,0.17904721599389145,0.17716063061242793,-1.0649010307435531,1,-6.129458749239333,7.301901343866379
SHUFFLE,STD,SELECTED,3,61711,0.17716063061242793,0.17716063061242793,0.0,0,0.0,0.0
SHUFFLE,INIT0,SELECTED,3,-1,0.1781039233031597,0.17716063061242793,-0.5324505153717766,1,-3.064729374619691,3.650950671933212
SHUFFLE,INIT0,SELECTED,3,61710,0.17904721599389145,0.17716063061242793,-1.0649010307435531,1,-6.129458749239333,7.301901343866379
SHUFFLE,INIT0,SELECTED,3,61711,0.17716063061242793,0.17716063061242793,0.0,0,0.0,0.0
