run,arm,seed,pinball,nmae,nmse,coverage80,width80,raw_crossing,raw_mae,nrmse
T_BLEND_92202,T_BLEND,92202,0.15951691567624032,0.19963846468313656,0.09528216913729878,0.8137584800808315,0.6286412734155664,7.710445835739029e-05,70.37300629886276,0.3011097957723606
T_DELTA_92201,T_DELTA,92201,0.1596529596444825,0.19980507196745778,0.09536182742437818,0.8119282711460739,0.6321587766571776,0.000105860051602194,70.48268042504787,0.3012192988684873
T_DELTA_92202,T_DELTA,92202,0.15974449982418204,0.19991951024003174,0.09552625829321468,0.8141497816830254,0.6354256543121403,0.00010332279337471132,70.52818082269565,0.30146497005193174
F_LOCAL_92201,F_LOCAL,92201,0.14749208586323023,0.1854346105693847,0.07681664300616728,0.8042725173210161,0.5793099715461184,2.480874711316397e-05,107.62981895211112,0.27522640770169093
F_LOCAL_92202,F_LOCAL,92202,0.14773494020025607,0.18583221647968878,0.07708921244992671,0.8039522589491916,0.5806133778989363,2.2553406466512703e-05,107.77677432273882,0.27571107710931025
F_SHARED_92201,F_SHARED,92201,0.14786968898062092,0.18593647904632654,0.07718350218470413,0.8010203161085451,0.5755161406664641,3.383010969976905e-05,107.84271077870221,0.2758754285958188
F_SHARED_92202,F_SHARED,92202,0.14792131183698468,0.1860352043768655,0.07724377603356714,0.8015480658198614,0.5768913874471784,3.5521615184757506e-05,107.88356650976883,0.2759794067836831
F_AFFINE_92201,F_AFFINE,92201,0.1478439700065022,0.18589376493379903,0.07713283497199697,0.8001813293879908,0.5750185365792595,3.270243937644342e-05,107.85362989123368,0.2757920932862512
F_AFFINE_92202,F_AFFINE,92202,0.14804802868614914,0.18616076445635169,0.07734670462143284,0.8003707780023095,0.5752242868008239,3.664928550808314e-05,107.97862358023059,0.2761635958406276
F_HEAD_92201,F_HEAD,92201,0.14799439461260844,0.18606073473149248,0.07726377098108514,0.8000279662240185,0.5755793972814176,3.0447098729792145e-05,107.94552837639154,0.27602091539184065
F_HEAD_92202,F_HEAD,92202,0.14823050510978572,0.18645696336287038,0.07749491053294019,0.8007586965935335,0.5767833284944888,3.1574769053117785e-05,108.11970004914264,0.2764513623345523
F_PERIODIC_92201,F_PERIODIC,92201,0.14799004348199976,0.18607964715010858,0.07724214050215403,0.7992791931293302,0.575070547906191,3.495778002309468e-05,107.91860858135905,0.27599521326615356
F_PERIODIC_92202,F_PERIODIC,92202,0.14824541300738944,0.1863966566833707,0.07748127901496019,0.7987559540993071,0.5751657921397859,3.495778002309469e-05,108.0507657336583,0.27639294050248353
A0_0,A0,0,0.16342121516634606,0.20476383566629905,0.09852216009095964,0.7981616718389146,0.6234878785759543,8.993170828521939e-05,72.15263411048241,0.3060589161949281
N0_0,N0,0,0.15973119583077428,0.1999031768783946,0.09554857584104468,0.8164457184613164,0.635620368832855,9.00726670756351e-05,70.4773199460781,0.30149083636100615
