panel,kind,condition,contexts,C3_RECENCY_exact_equal_contexts,equal_context_fraction,C3_all_one_context_fraction,mean_abs_gate_difference,max_abs_gate_difference,posthoc,new_model_predictions,optimizer_updates
electricity_transfer,standard,POINT16,4096,8,0.001953125,0.0,0.021349447123611753,1.0,True,0,0
electricity_transfer,standard,BURST4,4096,121,0.029541015625,0.011474609375,0.03174935976858251,1.0,True,0,0
electricity_transfer,standard,BURST8,4096,83,0.020263671875,0.0,0.03557599953182944,1.0,True,0,0
electricity_transfer,standard,BURST16,4096,71,0.017333984375,0.0,0.03562486058672221,1.0,True,0,0
electricity_transfer,standard,SHIFT4,4096,1912,0.466796875,0.00146484375,0.02155644440153992,1.0,True,0,0
electricity_transfer,standard,SHIFT8,4096,2905,0.709228515625,0.0,0.016923026812946773,1.0,True,0,0
electricity_transfer,standard,SHIFT_POINT,4096,19,0.004638671875,0.0,0.02227262656651874,1.0,True,0,0
electricity_transfer,shape,STEP6_D17,2048,1393,0.68017578125,0.0,0.01860136306095228,1.0,True,0,0
electricity_transfer,shape,STEP6_D63,2048,1304,0.63671875,0.0,0.017056076874723658,1.0,True,0,0
electricity_transfer,shape,STEP12_D17,2048,1394,0.6806640625,0.0,0.018586581109047984,1.0,True,0,0
electricity_transfer,shape,STEP12_D63,2048,1610,0.7861328125,0.0,0.013039557148658787,1.0,True,0,0
electricity_transfer,shape,STEP8_D31,2048,1450,0.7080078125,0.0,0.017018658782035345,1.0,True,0,0
electricity_transfer,shape,STEP8_D33,2048,1459,0.71240234375,0.0,0.01688653402197815,1.0,True,0,0
electricity_transfer,shape,RAMP8_D32,2048,1432,0.69921875,0.0,0.01749776659926283,1.0,True,0,0
electricity_transfer,shape,PULSE8_D32,2048,1451,0.70849609375,0.0,0.016965881992291543,1.0,True,0,0
electricity_transfer,shape,PAIRED_SHIFT8_D32,2048,1451,0.70849609375,0.0,0.016965881992291543,1.0,True,0,0
ettm1,standard,REFERENCE,1024,450,0.439453125,0.435546875,0.047008014866150916,1.0,True,0,0
ettm1,standard,POINT4,1024,10,0.009765625,0.005859375,0.046957411082985345,1.0,True,0,0
ettm1,standard,POINT8,1024,0,0.0,0.0,0.047088709339732304,1.0,True,0,0
ettm1,standard,POINT16,1024,1,0.0009765625,0.0,0.046900136137992376,1.0,True,0,0
ettm1,standard,BURST4,1024,33,0.0322265625,0.0263671875,0.057239564244810026,1.0,True,0,0
ettm1,standard,BURST8,1024,21,0.0205078125,0.0,0.05970634277764475,1.0,True,0,0
ettm1,standard,BURST16,1024,20,0.01953125,0.0,0.05989005678566173,1.0,True,0,0
ettm1,standard,SHIFT4,1024,401,0.3916015625,0.0078125,0.041545123156538466,1.0,True,0,0
ettm1,standard,SHIFT8,1024,515,0.5029296875,0.0,0.03890433993728948,1.0,True,0,0
ettm1,standard,SHIFT_POINT,1024,7,0.0068359375,0.0,0.04370416915116948,1.0,True,0,0
ettm1,shape,STEP6_D17,512,247,0.482421875,0.0,0.0436194828726002,1.0,True,0,0
ettm1,shape,STEP6_D63,512,281,0.548828125,0.0,0.03398726327577606,1.0,True,0,0
ettm1,shape,STEP12_D17,512,247,0.482421875,0.0,0.043455450890178327,1.0,True,0,0
ettm1,shape,STEP12_D63,512,303,0.591796875,0.0,0.031641851157473866,1.0,True,0,0
ettm1,shape,STEP8_D31,512,262,0.51171875,0.0,0.039356531444354914,1.0,True,0,0
ettm1,shape,STEP8_D33,512,265,0.517578125,0.0,0.03886569796304684,1.0,True,0,0
ettm1,shape,RAMP8_D32,512,260,0.5078125,0.0,0.0410054161620792,1.0,True,0,0
ettm1,shape,PULSE8_D32,512,262,0.51171875,0.0,0.03910689583426574,1.0,True,0,0
ettm1,shape,PAIRED_SHIFT8_D32,512,262,0.51171875,0.0,0.03910689583426574,1.0,True,0,0
ettm2,standard,REFERENCE,1024,438,0.427734375,0.419921875,0.035985428949061316,1.0,True,0,0
ettm2,standard,POINT4,1024,13,0.0126953125,0.0078125,0.03687131972401403,1.0,True,0,0
ettm2,standard,POINT8,1024,2,0.001953125,0.0,0.037193834214122035,1.0,True,0,0
ettm2,standard,POINT16,1024,0,0.0,0.0,0.03677594321925426,1.0,True,0,0
ettm2,standard,BURST4,1024,34,0.033203125,0.025390625,0.047068827490875265,1.0,True,0,0
ettm2,standard,BURST8,1024,10,0.009765625,0.0,0.05086466017382918,1.0,True,0,0
ettm2,standard,BURST16,1024,7,0.0068359375,0.0,0.050316910517722135,1.0,True,0,0
ettm2,standard,SHIFT4,1024,396,0.38671875,0.0068359375,0.03316817057566368,1.0,True,0,0
ettm2,standard,SHIFT8,1024,560,0.546875,0.0,0.029038283944828436,1.0,True,0,0
ettm2,standard,SHIFT_POINT,1024,9,0.0087890625,0.0,0.033422106796933804,1.0,True,0,0
ettm2,shape,STEP6_D17,512,263,0.513671875,0.0,0.02986897965456592,1.0,True,0,0
ettm2,shape,STEP6_D63,512,307,0.599609375,0.00390625,0.022454652331362013,1.0,True,0,0
ettm2,shape,STEP12_D17,512,264,0.515625,0.0,0.02996530076052295,1.0,True,0,0
ettm2,shape,STEP12_D63,512,339,0.662109375,0.00390625,0.02038517906476045,1.0,True,0,0
ettm2,shape,STEP8_D31,512,291,0.568359375,0.0,0.02764598300564103,1.0,True,0,0
ettm2,shape,STEP8_D33,512,293,0.572265625,0.0,0.0275226411249605,1.0,True,0,0
ettm2,shape,RAMP8_D32,512,280,0.546875,0.0,0.02841400872421218,1.0,True,0,0
ettm2,shape,PULSE8_D32,512,292,0.5703125,0.0,0.027555383945582435,1.0,True,0,0
ettm2,shape,PAIRED_SHIFT8_D32,512,292,0.5703125,0.0,0.027555383945582435,1.0,True,0,0
neso_2025,standard,REFERENCE,256,256,1.0,1.0,0.0,0.0,True,0,0
neso_2025,standard,POINT4,256,4,0.015625,0.01171875,0.000830586752272211,0.03125,True,0,0
neso_2025,standard,POINT8,256,1,0.00390625,0.0,0.0009623572987038642,0.0625,True,0,0
neso_2025,standard,POINT16,256,2,0.0078125,0.0,0.0009478614665567875,0.0625,True,0,0
neso_2025,standard,BURST4,256,8,0.03125,0.00390625,0.013336581265321001,0.33995532989501953,True,0,0
neso_2025,standard,BURST8,256,7,0.02734375,0.0,0.01709017070243135,0.5,True,0,0
neso_2025,standard,BURST16,256,6,0.0234375,0.0,0.01724097841361072,0.5,True,0,0
neso_2025,standard,SHIFT4,256,178,0.6953125,0.0,0.00370025634765625,0.46875,True,0,0
neso_2025,standard,SHIFT8,256,256,1.0,0.0,0.0,0.0,True,0,0
neso_2025,standard,SHIFT_POINT,256,0,0.0,0.0,0.004374967305921018,0.609375,True,0,0
neso_2025,shape,STEP6_D17,128,128,1.0,0.0,0.0,0.0,True,0,0
neso_2025,shape,STEP6_D63,128,128,1.0,0.0,0.0,0.0,True,0,0
neso_2025,shape,STEP12_D17,128,128,1.0,0.0,0.0,0.0,True,0,0
neso_2025,shape,STEP12_D63,128,128,1.0,0.0,0.0,0.0,True,0,0
neso_2025,shape,STEP8_D31,128,128,1.0,0.0,0.0,0.0,True,0,0
neso_2025,shape,STEP8_D33,128,128,1.0,0.0,0.0,0.0,True,0,0
neso_2025,shape,RAMP8_D32,128,128,1.0,0.0,0.0,0.0,True,0,0
neso_2025,shape,PULSE8_D32,128,128,1.0,0.0,0.0,0.0,True,0,0
neso_2025,shape,PAIRED_SHIFT8_D32,128,128,1.0,0.0,0.0,0.0,True,0,0
