panel,kind,condition,arm,seed,nmae,mae,normalized_mse,pinball,crossing
neso_2025,shape,STEP12_D17,SEL_C3_GM_RECENCY,81552,0.5127776953227959,3384.9907597480756,0.3987034803276169,0.42271113149304673,0.0057830810546875
neso_2025,shape,STEP12_D17,SEL_C3_GM_RECENCY,81553,0.4273805291226752,2821.259885467147,0.2891033980809558,0.34987450381889135,0.0022125244140625
neso_2025,shape,STEP12_D17,SEL_M_RECENCY_GC3,81551,0.46452316853212045,3066.4489651412946,0.33912255510029515,0.38020091467943984,0.004425048828125
neso_2025,shape,STEP12_D17,SEL_M_RECENCY_GC3,81552,0.5236279120621917,3456.616112681959,0.4135103507913047,0.43124126155587755,0.00543212890625
neso_2025,shape,STEP12_D17,SEL_M_RECENCY_GC3,81553,0.43024793789102384,2840.18846265335,0.2924145118157665,0.35212252676358635,0.0020599365234375
neso_2025,shape,STEP12_D63,C0,81551,0.34888484675966114,2303.0876601490027,0.20360304223421521,0.2757304762227202,0.0003814697265625
neso_2025,shape,STEP12_D63,C0,81552,0.3317083343420846,2189.70063815384,0.1824061012714927,0.2646686507827216,0.0020904541015625
neso_2025,shape,STEP12_D63,C0,81553,0.38598075844165425,2547.9682768632906,0.24051916630104841,0.31088367036734615,0.000701904296875
neso_2025,shape,STEP12_D63,C1,81551,0.34888484675966114,2303.0876601490027,0.20360304223421521,0.2757304762227202,0.0003814697265625
neso_2025,shape,STEP12_D63,C1,81552,0.3317083343420846,2189.70063815384,0.1824061012714927,0.2646686507827216,0.0020904541015625
neso_2025,shape,STEP12_D63,C1,81553,0.38598075844165425,2547.9682768632906,0.24051916630104841,0.31088367036734615,0.000701904296875
neso_2025,shape,STEP12_D63,C2,81551,0.3580056244314903,2363.296496107484,0.21253128109459118,0.28542084123388306,0.00299072265625
neso_2025,shape,STEP12_D63,C2,81552,0.3202113068740926,2113.8055044561393,0.17049790394635775,0.25634408816866,0.0054931640625
neso_2025,shape,STEP12_D63,C2,81553,0.37335004999185734,2464.5893940031065,0.2239633755932643,0.3018619249746525,0.0018463134765625
neso_2025,shape,STEP12_D63,C3,81551,0.3528400615434038,2329.1971528549207,0.20491271530350266,0.28025569458796556,0.0026397705078125
neso_2025,shape,STEP12_D63,C3,81552,0.341966076969944,2257.4149017185223,0.1914469661676128,0.27088766040288964,0.0043792724609375
neso_2025,shape,STEP12_D63,C3,81553,0.3743935567526557,2471.4778775999084,0.22625516476563665,0.3032931874973673,0.0012664794921875
neso_2025,shape,STEP12_D63,F0,0,0.44541469267148415,2940.308505423355,0.33034864602483854,0.4030969902987959,0.0003662109375
neso_2025,shape,STEP12_D63,FIX_C2_GC2,81551,0.3385924402686109,2235.1445706083305,0.18967601674912893,0.2702763972357105,0.006134033203125
neso_2025,shape,STEP12_D63,FIX_C2_GC2,81552,0.32021130687409266,2113.8055044561393,0.1704979039463578,0.25634408816866,0.0054931640625
neso_2025,shape,STEP12_D63,FIX_C2_GC2,81553,0.3733500499918574,2464.5893940031065,0.22396337559326432,0.30186192497465253,0.0018463134765625
neso_2025,shape,STEP12_D63,FIX_C2_GC3,81551,0.35371820934540765,2334.9940551433574,0.21090215758425032,0.2808770394169329,0.0003814697265625
neso_2025,shape,STEP12_D63,FIX_C2_GC3,81552,0.3302727985347495,2180.2242598178873,0.18154213540806854,0.26315599439228754,0.0037689208984375
neso_2025,shape,STEP12_D63,FIX_C2_GC3,81553,0.3657110837599118,2414.162414933969,0.21769804202059923,0.29524338297899855,0.0008087158203125
neso_2025,shape,STEP12_D63,FIX_C3_GC2,81551,0.3765340601685716,2485.607946731569,0.2288032327221083,0.30053688494057185,0.007659912109375
neso_2025,shape,STEP12_D63,FIX_C3_GC2,81552,0.3256678999388449,2149.826020310021,0.17310084514913973,0.25814512022268576,0.002410888671875
neso_2025,shape,STEP12_D63,FIX_C3_GC2,81553,0.4167063784809966,2750.796794697382,0.27183992863306433,0.3365471336546506,0.0014495849609375
neso_2025,shape,STEP12_D63,FIX_C3_GC3,81551,0.3423985642383016,2260.2698726356516,0.1931918077173893,0.2717712748209748,0.002227783203125
neso_2025,shape,STEP12_D63,FIX_C3_GC3,81552,0.3315233159447211,2188.479279324914,0.1800245516026044,0.26312482885150795,0.0047760009765625
neso_2025,shape,STEP12_D63,FIX_C3_GC3,81553,0.3743935567526557,2471.4778775999084,0.2262551647656367,0.3032931874973673,0.0012664794921875
neso_2025,shape,STEP12_D63,M_MEAN,81551,0.3570649208312714,2357.086645282365,0.21126723228317537,0.2845188102618633,0.0028839111328125
neso_2025,shape,STEP12_D63,M_MEAN,81552,0.3222002116681681,2126.934828159905,0.17247520265447627,0.2576582688994684,0.0049896240234375
neso_2025,shape,STEP12_D63,M_MEAN,81553,0.3750452524015507,2475.779905105783,0.22587296047958816,0.3031830603390759,0.001861572265625
neso_2025,shape,STEP12_D63,M_RECENCY,81551,0.35082362772539993,2315.8861022693645,0.20271843600551853,0.27833897292815607,0.002685546875
neso_2025,shape,STEP12_D63,M_RECENCY,81552,0.33946494206521377,2240.90420201645,0.18884516232499118,0.26888581527205846,0.005218505859375
neso_2025,shape,STEP12_D63,M_RECENCY,81553,0.3727185535439648,2460.42070714245,0.22441199886789884,0.301666297576826,0.0012664794921875
neso_2025,shape,STEP12_D63,M_ROTATE16,81551,0.3581159227693947,2364.024606666948,0.21217494576012874,0.28529883151518176,0.0034942626953125
neso_2025,shape,STEP12_D63,M_ROTATE16,81552,0.320209596520277,2113.794213926316,0.17091469096346618,0.2563299226575788,0.0040740966796875
neso_2025,shape,STEP12_D63,M_ROTATE16,81553,0.3716458465124247,2453.3394642904295,0.22188185244226102,0.30026756658247616,0.0018463134765625
neso_2025,shape,STEP12_D63,PERSISTENCE,0,0.7811834146023576,5156.812911748886,0.9813440141257354,0.7811834146023576,0.0
neso_2025,shape,STEP12_D63,SEASONAL,0,0.3439336816385354,2270.4036172628403,0.22084774693443396,0.3439336816385354,0.0
neso_2025,shape,STEP12_D63,SEL_C3_GM_RECENCY,81551,0.3528400615434038,2329.1971528549207,0.2049127153035027,0.28025569458796556,0.0026397705078125
neso_2025,shape,STEP12_D63,SEL_C3_GM_RECENCY,81552,0.3419660769699441,2257.4149017185223,0.19144696616761284,0.27088766040288964,0.0043792724609375
neso_2025,shape,STEP12_D63,SEL_C3_GM_RECENCY,81553,0.3743935567526557,2471.4778775999084,0.2262551647656367,0.3032931874973673,0.0012664794921875
neso_2025,shape,STEP12_D63,SEL_M_RECENCY_GC3,81551,0.35082362772539993,2315.8861022693645,0.20271843600551856,0.2783389729281561,0.002685546875
neso_2025,shape,STEP12_D63,SEL_M_RECENCY_GC3,81552,0.33946494206521377,2240.90420201645,0.1888451623249912,0.26888581527205846,0.005218505859375
neso_2025,shape,STEP12_D63,SEL_M_RECENCY_GC3,81553,0.3727185535439648,2460.42070714245,0.22441199886789887,0.301666297576826,0.0012664794921875
neso_2025,shape,STEP6_D17,C0,81551,0.3489385511049986,2303.442177738952,0.19137654443712565,0.28173985466279394,7.62939453125e-05
neso_2025,shape,STEP6_D17,C0,81552,0.3898874397734196,2573.757386510467,0.24063590070554028,0.3128841057272013,1.52587890625e-05
neso_2025,shape,STEP6_D17,C0,81553,0.3606023537739039,2380.4382417602537,0.20354186353451653,0.289504902334791,0.0
neso_2025,shape,STEP6_D17,C1,81551,0.3489385511049986,2303.442177738952,0.19137654443712565,0.28173985466279394,7.62939453125e-05
neso_2025,shape,STEP6_D17,C1,81552,0.3898874397734196,2573.757386510467,0.24063590070554028,0.3128841057272013,1.52587890625e-05
neso_2025,shape,STEP6_D17,C1,81553,0.3606023537739039,2380.4382417602537,0.20354186353451653,0.289504902334791,0.0
neso_2025,shape,STEP6_D17,C2,81551,0.35202667566312645,2323.827762349128,0.1988755864501087,0.2827014624060544,4.57763671875e-05
neso_2025,shape,STEP6_D17,C2,81552,0.35880425626484685,2368.568490971946,0.2082562863350358,0.2896179187252837,0.0004119873046875
neso_2025,shape,STEP6_D17,C2,81553,0.34621203239358206,2285.443655711555,0.19303370560176789,0.2791445058864133,4.57763671875e-05
neso_2025,shape,STEP6_D17,C3,81551,0.3398246004062817,2243.2784085630415,0.18517035516549105,0.2734568148100508,7.62939453125e-05
neso_2025,shape,STEP6_D17,C3,81552,0.35329092216381486,2332.1734114713663,0.20296226659690225,0.2850719772117929,0.0002899169921875
neso_2025,shape,STEP6_D17,C3,81553,0.3459544944911156,2283.743575095558,0.19081183433038362,0.2785071530579745,4.57763671875e-05
neso_2025,shape,STEP6_D17,F0,0,0.6978166725436682,4606.485442139816,0.8821346928557926,0.6048409423440411,0.0
neso_2025,shape,STEP6_D17,FIX_C2_GC2,81551,0.3607262022824054,2381.255800832557,0.20894144514148716,0.2902903093605665,6.103515625e-05
neso_2025,shape,STEP6_D17,FIX_C2_GC2,81552,0.35880425626484685,2368.568490971946,0.20825628633503582,0.28961791872528375,0.0004119873046875
neso_2025,shape,STEP6_D17,FIX_C2_GC2,81553,0.3462120323935821,2285.443655711555,0.1930337056017679,0.2791445058864134,4.57763671875e-05
neso_2025,shape,STEP6_D17,FIX_C2_GC3,81551,0.34394805797092387,2270.498519503593,0.18706238235797457,0.27713847201585684,7.62939453125e-05
neso_2025,shape,STEP6_D17,FIX_C2_GC3,81552,0.36900756829573134,2435.923442753982,0.21836751348122777,0.29788747892288425,0.0002899169921875
neso_2025,shape,STEP6_D17,FIX_C2_GC3,81553,0.3552088361142286,2344.8341045150755,0.19902559722157268,0.28629845996382364,1.52587890625e-05
neso_2025,shape,STEP6_D17,FIX_C3_GC2,81551,0.3375626904871562,2228.3469007274625,0.18762764537452428,0.2701504950907983,6.103515625e-05
neso_2025,shape,STEP6_D17,FIX_C3_GC2,81552,0.3576626025191127,2361.0321113372797,0.20708230113822204,0.28752749180921655,1.52587890625e-05
neso_2025,shape,STEP6_D17,FIX_C3_GC2,81553,0.34530906256543287,2279.4828962001798,0.1925204394060688,0.2778138506778425,4.57763671875e-05
neso_2025,shape,STEP6_D17,FIX_C3_GC3,81551,0.33991318959191136,2243.8632108613965,0.18535406480868497,0.27353077874056636,7.62939453125e-05
neso_2025,shape,STEP6_D17,FIX_C3_GC3,81552,0.3506151899379537,2314.5101454153055,0.20011132185116257,0.2828269855957595,0.00030517578125
neso_2025,shape,STEP6_D17,FIX_C3_GC3,81553,0.3459544944911156,2283.743575095558,0.19081183433038365,0.2785071530579746,4.57763671875e-05
neso_2025,shape,STEP6_D17,M_MEAN,81551,0.3521308023885199,2324.515132346916,0.19949315132778328,0.28266394658519994,6.103515625e-05
neso_2025,shape,STEP6_D17,M_MEAN,81552,0.3555220754114814,2346.901885809898,0.20520750097153442,0.2869998976154966,0.00042724609375
neso_2025,shape,STEP6_D17,M_MEAN,81553,0.34582484769849897,2282.8877399080275,0.1928892928376336,0.27886939732147714,4.57763671875e-05
neso_2025,shape,STEP6_D17,M_RECENCY,81551,0.3420737008907823,2258.125357693672,0.18751029514819037,0.2752385905192791,7.62939453125e-05
neso_2025,shape,STEP6_D17,M_RECENCY,81552,0.3565760447375322,2353.8594357624047,0.20599612478350718,0.28751647009439407,0.0002288818359375
neso_2025,shape,STEP6_D17,M_RECENCY,81553,0.3460553094102593,2284.409082922554,0.19081901612026916,0.27847428823302955,3.0517578125e-05
neso_2025,shape,STEP6_D17,M_ROTATE16,81551,0.35294071458777604,2329.861592100715,0.200105533461383,0.28337889033868474,4.57763671875e-05
neso_2025,shape,STEP6_D17,M_ROTATE16,81552,0.35856765840995974,2367.0066415391916,0.2081175002510599,0.28964085910321585,0.00042724609375
neso_2025,shape,STEP6_D17,M_ROTATE16,81553,0.34593082454358437,2283.587323069763,0.1929141462385305,0.278952095221751,4.57763671875e-05
neso_2025,shape,STEP6_D17,PERSISTENCE,0,0.781183392871207,5156.812768295407,0.9813439690125504,0.781183392871207,0.0
neso_2025,shape,STEP6_D17,SEASONAL,0,1.7654927576173338,11654.517592023563,8.137384282216383,1.7654927576173338,0.0
neso_2025,shape,STEP6_D17,SEL_C3_GM_RECENCY,81551,0.3398246004062817,2243.2784085630415,0.1851703551654911,0.2734568148100508,7.62939453125e-05
neso_2025,shape,STEP6_D17,SEL_C3_GM_RECENCY,81552,0.35329092216381486,2332.1734114713663,0.20296226659690228,0.2850719772117929,0.0002899169921875
neso_2025,shape,STEP6_D17,SEL_C3_GM_RECENCY,81553,0.3459544944911156,2283.743575095558,0.19081183433038365,0.2785071530579746,4.57763671875e-05
neso_2025,shape,STEP6_D17,SEL_M_RECENCY_GC3,81551,0.3420737008907823,2258.125357693672,0.18751029514819043,0.2752385905192791,7.62939453125e-05
