comparison,baseline,candidate,selected,variant,window,seed,baseline_score,candidate_score,effect,relative_percent,ci95_low,ci95_high,bootstrap_block,draws
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,True,affine,full128,92241,0.15101082652853434,0.14513815540370145,0.0058726711248328605,3.88890734514536,0.0002544769005151403,0.013318191076621586,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,True,affine,full128,92242,0.15101082652853434,0.14414733041298616,0.00686349611554814,4.545035792020702,0.0021791420879761223,0.01356727517558684,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,True,affine,full128,92241,0.14549387909058759,0.1452978453638968,0.0001960337266907791,0.1347367517562168,-0.004040373755405969,0.005885891507323803,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,True,affine,full128,92242,0.14549387909058759,0.14418360383521622,0.0013102752553713656,0.9005707068649653,-0.001566385875204793,0.005093201214548396,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,True,affine,full128,92241,0.15101082652853434,0.1452978453638968,0.00571298116463752,3.783159986584162,0.0013269859852105767,0.011431968944658828,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,True,affine,full128,92242,0.15101082652853434,0.14418360383521622,0.006827222693318106,4.521015380329752,0.0032210740953462587,0.011654317297392065,7,2000
CONTINUATION_vs_SHARED,SHARED,CONTINUATION,False,ordered,block1,92241,0.16784153600599463,0.16733701131836032,0.000504524687634333,0.3005958475119634,-0.0024879355638290006,0.0034875145175857413,7,2000
CONTINUATION_vs_SHARED,SHARED,CONTINUATION,False,ordered,block1,92242,0.1685688517461774,0.16733701131836032,0.001231840427817054,0.7307639668044459,-0.0027279913998977355,0.005418725516165932,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,False,ordered,block1,92241,0.16733701131836032,0.16784153600599463,-0.000504524687634333,-0.3015021504563946,-0.0034875145175857418,0.0024879355638290006,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,False,ordered,block1,92242,0.16733701131836032,0.1685688517461774,-0.001231840427817054,-0.736143437791824,-0.005418725516165932,0.0027279913998977325,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,False,ordered,block1,92241,0.17634991750227674,0.16784153600599463,0.008508381496282094,4.824715325524472,0.0029283291123066166,0.01696503900714338,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,False,ordered,block1,92242,0.17634991750227674,0.1685688517461774,0.00778106575609937,4.412287721086627,0.0014564753282750018,0.016774717350733267,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,False,ordered,block1,92241,0.16733701131836032,0.16733701131836032,0.0,0.0,0.0,0.0,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,False,ordered,block1,92242,0.16733701131836032,0.16733701131836032,0.0,0.0,0.0,0.0,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,False,ordered,block1,92241,0.17634991750227674,0.16733701131836032,0.009012906183916428,5.110808279113635,0.004251770238882853,0.01648158943612767,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,False,ordered,block1,92242,0.17634991750227674,0.16733701131836032,0.009012906183916428,5.110808279113635,0.004251770238882853,0.01648158943612767,7,2000
CONTINUATION_vs_SHARED,SHARED,CONTINUATION,False,ordered,block2,92241,0.12109206623951106,0.12165928300579647,-0.0005672167662854189,-0.46841777822462216,-0.0021547152508701816,0.0003275561476952493,7,2000
CONTINUATION_vs_SHARED,SHARED,CONTINUATION,False,ordered,block2,92242,0.12211114855390004,0.12221493333534333,-0.00010378478144331278,-0.08499206065323664,-0.0019645464351482496,0.0009544691004368319,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,False,ordered,block2,92241,0.1261566490955197,0.12109206623951106,0.005064582856008639,4.01451916511669,-0.000669205029317415,0.012306290540948818,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,False,ordered,block2,92242,0.1261566490955197,0.12211114855390004,0.004045500541619668,3.206727961327362,-0.002782776484621466,0.013044665844057507,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,False,ordered,block2,92241,0.12567173555479189,0.12109206623951106,0.004579669315280825,3.6441521994292216,7.309319435029192e-05,0.011049169451762004,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,False,ordered,block2,92242,0.12567173555479189,0.12211114855390004,0.003560587000891853,2.8332440744716685,-0.0019195535294937388,0.011522407675866379,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,False,ordered,block2,92241,0.1261566490955197,0.12165928300579647,0.004497366089723222,3.5649061083717095,-0.0012515633369351749,0.011393149318054714,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,False,ordered,block2,92242,0.1261566490955197,0.12221493333534333,0.003941715760176355,3.124461364848001,-0.0031862647579628256,0.012759272871727593,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,False,ordered,block2,92241,0.12567173555479189,0.12165928300579647,0.004012452548995405,3.19280427797229,-0.0006078695497377963,0.010083946145618094,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,False,ordered,block2,92242,0.12567173555479189,0.12221493333534333,0.0034568022194485406,2.750660046340661,-0.0020571411950495683,0.011228785485721371,7,2000
CONTINUATION_vs_SHARED,SHARED,CONTINUATION,False,ordered,full128,92241,0.1444668011227529,0.1444981471620784,-3.134603932554559e-05,-0.02169774583633794,-0.001980850777919454,0.0017196739508755113,7,2000
CONTINUATION_vs_SHARED,SHARED,CONTINUATION,False,ordered,full128,92242,0.14534000015003867,0.14477597232685185,0.0005640278231868706,0.38807473689593835,-0.0019223774362644704,0.002821632412893033,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,False,ordered,full128,92241,0.14674683020694004,0.1444668011227529,0.0022800290841871584,1.5537160707129998,-0.0017821313770067404,0.007074986306290109,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,False,ordered,full128,92242,0.14674683020694004,0.14534000015003867,0.00140683005690131,0.9586783271008178,-0.003687452868557776,0.007604721781818878,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,False,ordered,full128,92241,0.15101082652853434,0.1444668011227529,0.0065440254057814624,4.333480953794339,0.0021812152770626543,0.012607973557695832,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,False,ordered,full128,92242,0.15101082652853434,0.14534000015003867,0.005670826378495614,3.7552449111482313,0.00041107868670288547,0.01287654276429735,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,False,ordered,full128,92241,0.14674683020694004,0.1444981471620784,0.0022486830448616127,1.5323554462407034,-0.0006257816684675843,0.005696574659027359,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,False,ordered,full128,92242,0.14674683020694004,0.14477597232685185,0.0019708578800881806,1.3430326756011812,-0.001593132378981409,0.006379636435863799,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,False,ordered,full128,92241,0.15101082652853434,0.1444981471620784,0.006512679366455916,4.312723475641222,0.002887957870930896,0.011314363143293885,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,False,ordered,full128,92242,0.15101082652853434,0.14477597232685185,0.006234854201682485,4.128746491235433,0.002419637376134978,0.011402071555479017,7,2000
