comparison,baseline,candidate,selected,variant,window,baseline_score,candidate_score,effect,relative_percent,ci95_low,ci95_high,bootstrap_block,draws
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,True,affine,block1,0.16733701131836032,0.16774298086110426,-0.00040596954274393346,-0.2426059480479056,-0.003775303388351039,0.00367972393513753,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,True,affine,block1,0.17634991750227674,0.16774298086110426,0.008606936641172491,4.880601455944184,0.002497239393680925,0.017996217355911597,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,True,affine,block1,0.16733701131836032,0.16733701131836032,0.0,0.0,0.0,0.0,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,True,affine,block1,0.17634991750227674,0.16733701131836032,0.009012906183916428,5.110808279113635,0.004251770238882853,0.01648158943612767,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,True,affine,block2,0.12365074686281485,0.12154250495558339,0.002108241907231456,1.7049973095354372,-0.004869057799080162,0.011975760489929453,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,True,affine,block2,0.12567173555479189,0.12154250495558339,0.004129230599208505,3.2857273602370105,-0.0013774920652643136,0.01207173636709156,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,True,affine,block2,0.12365074686281485,0.1221444378807527,0.0015063089820621471,1.2181964284723246,-0.005582513500284024,0.010915433637953503,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,True,affine,block2,0.12567173555479189,0.1221444378807527,0.0035272976740391964,2.806754962416608,-0.001868348529189867,0.01101649170356589,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,True,affine,full128,0.14549387909058759,0.1446427429083438,0.0008511361822437594,0.584997930884668,-0.004083052821936644,0.00727475854985661,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,True,affine,full128,0.15101082652853434,0.1446427429083438,0.006368083620190501,4.216971568583031,0.00116607008694399,0.013327646969369581,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,True,affine,full128,0.14549387909058759,0.14474072459955653,0.0007531544910310719,0.5176537293105815,-0.002791256750142015,0.0054577168189767515,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,True,affine,full128,0.15101082652853434,0.14474072459955653,0.0062701019289778115,4.152087683456948,0.0023386476828897614,0.011548143583411627,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,False,ordered,block1,0.16733701131836032,0.168205193876086,-0.0008681825577256925,-0.5188227941241094,-0.004424301423971941,0.0026050071293152316,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,False,ordered,block1,0.17634991750227674,0.168205193876086,0.008144723626190734,4.618501523305549,0.0022837450505907345,0.016843013828904532,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,False,ordered,block1,0.16733701131836032,0.16733701131836032,0.0,0.0,0.0,0.0,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,False,ordered,block1,0.17634991750227674,0.16733701131836032,0.009012906183916428,5.110808279113635,0.004251770238882853,0.01648158943612767,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,False,ordered,block2,0.1261566490955197,0.12160160739670556,0.004555041698814153,3.610623563222021,-0.0017430877079834314,0.012693637011053378,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,False,ordered,block2,0.12567173555479189,0.12160160739670556,0.0040701281580863375,3.2386981369504397,-0.0007889151662979701,0.0112847473451807,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,False,ordered,block2,0.1261566490955197,0.12193710817056991,0.004219540924949787,3.34468373660985,-0.0022060161865642414,0.012011817376340807,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,False,ordered,block2,0.12567173555479189,0.12193710817056991,0.0037346273842219714,2.97173216215647,-0.0012424201798818296,0.010676819265998129,7,2000
SHARED_vs_F0_NATIVE,F0_NATIVE,SHARED,False,ordered,full128,0.14674683020694002,0.14490340063639578,0.0018434295705442346,1.2561971989069087,-0.002731634145169407,0.007339910877672325,7,2000
SHARED_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,SHARED,False,ordered,full128,0.15101082652853434,0.14490340063639578,0.006107425892138539,4.0443629324712855,0.0013524985755421816,0.01278477633861529,7,2000
CONTINUATION_vs_F0_NATIVE,F0_NATIVE,CONTINUATION,False,ordered,full128,0.14674683020694002,0.1446370597444651,0.002109770462474896,1.4376940609209328,-0.0011030080932821224,0.006005908688170402,7,2000
CONTINUATION_vs_CHRONOS2_DIRECT,CHRONOS2_DIRECT,CONTINUATION,False,ordered,full128,0.15101082652853434,0.1446370597444651,0.0063737667840692,4.2207349834383185,0.002697547570185177,0.011353197268241631,7,2000
