key,arm,seed,selected,variant,window,series,scaled_pinball,raw_mae,scaled_rmse,coverage80,scaled_width80,pce,crossing
CONTINUATION_s92241,CONTINUATION,92241,True,affine,full128,119,0.13839910549846812,1.1593842082377652,0.40933257355218594,0.8970588235294118,0.5949259632612452,0.05257863562091504,0.0
CONTINUATION_s92241,CONTINUATION,92241,True,affine,full128,62,0.15222351027235195,1.7934165354864116,0.4450665407363369,0.9231387867647058,0.6530691872774173,0.05380667892156864,0.0
CONTINUATION_s92241,CONTINUATION,92241,True,affine,full128,104,0.16215081157226016,3.0469420002208447,0.46979270080685726,0.8892463235294118,0.6830110808325557,0.04820006127450979,0.0
CONTINUATION_s92241,CONTINUATION,92241,True,affine,full128,116,0.1392331795861633,1.6834687170769886,0.4117732186364738,0.8882123161764706,0.592392360279289,0.04604524101307189,0.0
CONTINUATION_s92241,CONTINUATION,92241,True,affine,full128,118,0.13991445388675666,1.6662120068105972,0.4146791461204682,0.8994715073529411,0.5991634644407179,0.050066380718954244,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,raw,block1,36,0.1632512176509048,1.9781322619571309,0.43664283430328593,0.9253216911764706,0.7472271586652927,0.10044424019607841,0.02243221507352941
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,raw,block1,10,0.17022924322858415,2.0184709567380623,0.4513083348546404,0.9402573529411765,0.7795225016423412,0.08873059640522875,0.022087545955882353
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,raw,block1,44,0.1607508205869032,2.7451931627112893,0.40461407759572726,0.8830422794117647,0.7080971686937243,0.043734681372549024,0.03840188419117647
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,raw,block1,119,0.16018156371697856,1.3530473008716346,0.43639245776911245,0.9223345588235294,0.7277155727806996,0.10034211601307189,0.024040670955882353
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,raw,block1,62,0.17556220122443444,2.0948615670208444,0.4738392223936069,0.9453125,0.8059709102444238,0.0872753267973856,0.021110983455882353
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,raw,block1,104,0.1866376954773231,3.5450535346878014,0.4983069410112274,0.9195772058823529,0.8349769040235488,0.10274203431372547,0.01826746323529412
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,raw,block1,116,0.16030128715617648,1.9520927470584866,0.4381238221097054,0.9202665441176471,0.7248200523849306,0.09755923202614376,0.025534237132352942
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,raw,block1,118,0.16210352729458466,1.9485120411944294,0.441869174128291,0.9255514705882353,0.7336799451510458,0.10243566176470588,0.02587890625
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,raw,block2,36,0.11631393416658332,1.415277300419214,0.3652617985006625,0.8517922794117647,0.4838288197555252,0.0354983660130719,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,raw,block2,10,0.1220417102071839,1.4241934901604991,0.3790643431265175,0.8772977941176471,0.4981865893420917,0.03380310457516342,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,raw,block2,44,0.12356900130532594,2.086697862518871,0.35611485596906706,0.8118106617647058,0.48401427615386394,0.04720690359477122,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,raw,block2,119,0.11529467576511593,0.9826412424415193,0.36615310905027393,0.8515625,0.4753645388160561,0.04175347222222222,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,raw,block2,62,0.12593714867594996,1.48804118424874,0.39748167497747366,0.8795955882352942,0.5144603119650007,0.03886335784313724,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,raw,block2,104,0.13660299795332717,2.5935900177483906,0.4258081185346874,0.8389246323529411,0.5458260667740641,0.031719771241830064,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,raw,block2,116,0.1166163772914641,1.4354485124336753,0.369834427389145,0.8619025735294118,0.4739162283272442,0.030688316993464058,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,raw,block2,118,0.1168984186814215,1.4099958310830782,0.37244418179607264,0.8568474264705882,0.47805238787984133,0.03279207516339869,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,raw,full128,36,0.13978257590874407,1.6967047811881724,0.4025376666799924,0.8885569852941176,0.6155279892104089,0.06785386029411765,0.011216107536764705
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,raw,full128,10,0.14613547671788404,1.7213322234492807,0.4167547176332899,0.9087775735294118,0.6388545454922164,0.058438010620915026,0.011043772977941176
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,raw,full128,44,0.14215991094611458,2.41594551261508,0.38113668311414906,0.8474264705882353,0.5960557224237941,0.029335171568627447,0.019200942095588234
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,raw,full128,119,0.13773811974104724,1.167844271656577,0.40280670082866565,0.8869485294117647,0.6015400557983779,0.07103247549019606,0.012020335477941176
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,raw,full128,62,0.1507496749501922,1.791451375634792,0.4373301330925392,0.9124540441176471,0.6602156111047123,0.0628548815359477,0.010555491727941176
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,raw,full128,104,0.16162034671532513,3.069321776218096,0.46347727089363144,0.8792509191176471,0.6904014853988064,0.06662837009803921,0.00913373161764706
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,raw,full128,116,0.13845883222382027,1.693770629746081,0.40541952788578994,0.8910845588235294,0.5993681403560874,0.0611315359477124,0.012767118566176471
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,raw,full128,118,0.13950097298800307,1.679253936138754,0.40863372082989186,0.8911994485294118,0.6058661665154434,0.06632199754901962,0.012939453125
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,ordered,block1,36,0.1632247062209752,1.9778839184377028,0.4366412698630959,0.92578125,0.7472644624169048,0.1008016748366013,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,ordered,block1,10,0.1702082649525514,2.0183424910334424,0.4513073344001446,0.9402573529411765,0.7795671188303399,0.08964971405228757,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,ordered,block1,44,0.16063823473067063,2.744458369250745,0.4046127198683706,0.8903952205882353,0.7084272320896731,0.04970894607843137,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,ordered,block1,119,0.16014427800753295,1.3525821192154528,0.43638864118475973,0.9237132352941176,0.727763738143106,0.1012612336601307,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,ordered,block1,62,0.17554151484143102,2.0948282381633523,0.4738388178011131,0.9455422794117647,0.8060150105097709,0.08824550653594772,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,ordered,block1,104,0.1866118636649606,3.5446344429258128,0.4983051745947815,0.9202665441176471,0.8350096897599046,0.10340584150326798,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,ordered,block1,116,0.16026603020348826,1.951767817377592,0.4381218422027379,0.9221047794117647,0.7248721063119765,0.0985294117647059,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,ordered,block1,118,0.1620611979252726,1.947849701233602,0.4418655947859903,0.9260110294117647,0.7337402468669637,0.10289522058823528,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,ordered,block2,36,0.11631393416658332,1.415277300419214,0.3652617985006625,0.8517922794117647,0.4838288197555252,0.0354983660130719,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,ordered,block2,10,0.1220417102071839,1.4241934901604991,0.3790643431265175,0.8772977941176471,0.4981865893420917,0.03380310457516342,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,ordered,block2,44,0.12356900130532594,2.086697862518871,0.35611485596906706,0.8118106617647058,0.48401427615386394,0.04720690359477122,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,ordered,block2,119,0.11529467576511593,0.9826412424415193,0.36615310905027393,0.8515625,0.4753645388160561,0.04175347222222222,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,ordered,block2,62,0.12593714867594996,1.48804118424874,0.39748167497747366,0.8795955882352942,0.5144603119650007,0.03886335784313724,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,ordered,block2,104,0.13660299795332717,2.5935900177483906,0.4258081185346874,0.8389246323529411,0.5458260667740641,0.031719771241830064,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,ordered,block2,116,0.1166163772914641,1.4354485124336753,0.369834427389145,0.8619025735294118,0.4739162283272442,0.030688316993464058,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,ordered,block2,118,0.1168984186814215,1.4099958310830782,0.37244418179607264,0.8568474264705882,0.47805238787984133,0.03279207516339869,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,ordered,full128,36,0.13976932019377927,1.6965806094284583,0.4025368181866073,0.8887867647058824,0.6155466410862149,0.06803257761437907,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,ordered,full128,10,0.14612498757986767,1.7212679905969708,0.4167541759318688,0.9087775735294118,0.6388768540862158,0.058897569444444436,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,ordered,full128,44,0.14210361801799828,2.415578115884808,0.3811359624341095,0.8511029411764706,0.5962207541217684,0.032118055555555566,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,ordered,full128,119,0.13771947688632444,1.167611680828486,0.4028046334280818,0.8876378676470589,0.6015641384795811,0.07149203431372547,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,ordered,full128,62,0.15073933175869048,1.791434711206046,0.4373299139082842,0.9125689338235294,0.6602376612373859,0.06333997140522876,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,ordered,full128,104,0.16160743080914386,3.0691122303371015,0.4634763213142534,0.8795955882352942,0.6904178782669843,0.06696027369281045,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,ordered,full128,116,0.1384412037474762,1.6936081649056338,0.4054184580759598,0.8920036764705882,0.5993941673196103,0.061999591503267976,0.0
CONTINUATION_s92241_fixed512,CONTINUATION,92241,False,ordered,full128,118,0.13947980830334705,1.6789227661583401,0.4086317856024681,0.8914292279411765,0.6058963173734025,0.06655688316993463,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,raw,block1,36,0.1632512176509048,1.9781322619571309,0.43664283430328593,0.9253216911764706,0.7472271586652927,0.10044424019607841,0.02243221507352941
CONTINUATION_s92242,CONTINUATION,92242,True,raw,block1,10,0.17022924322858415,2.0184709567380623,0.4513083348546404,0.9402573529411765,0.7795225016423412,0.08873059640522875,0.022087545955882353
CONTINUATION_s92242,CONTINUATION,92242,True,raw,block1,44,0.1607508205869032,2.7451931627112893,0.40461407759572726,0.8830422794117647,0.7080971686937243,0.043734681372549024,0.03840188419117647
CONTINUATION_s92242,CONTINUATION,92242,True,raw,block1,119,0.16018156371697856,1.3530473008716346,0.43639245776911245,0.9223345588235294,0.7277155727806996,0.10034211601307189,0.024040670955882353
CONTINUATION_s92242,CONTINUATION,92242,True,raw,block1,62,0.17556220122443444,2.0948615670208444,0.4738392223936069,0.9453125,0.8059709102444238,0.0872753267973856,0.021110983455882353
CONTINUATION_s92242,CONTINUATION,92242,True,raw,block1,104,0.1866376954773231,3.5450535346878014,0.4983069410112274,0.9195772058823529,0.8349769040235488,0.10274203431372547,0.01826746323529412
CONTINUATION_s92242,CONTINUATION,92242,True,raw,block1,116,0.16030128715617648,1.9520927470584866,0.4381238221097054,0.9202665441176471,0.7248200523849306,0.09755923202614376,0.025534237132352942
CONTINUATION_s92242,CONTINUATION,92242,True,raw,block1,118,0.16210352729458466,1.9485120411944294,0.441869174128291,0.9255514705882353,0.7336799451510458,0.10243566176470588,0.02587890625
CONTINUATION_s92242,CONTINUATION,92242,True,raw,block2,36,0.11579029130561311,1.399283060012642,0.3626544283084816,0.8793658088235294,0.47439799712327957,0.03768382352941177,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,raw,block2,10,0.1211802454383929,1.4130598551273579,0.3744423525668608,0.8961397058823529,0.48578186547119334,0.05222120098039216,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,raw,block2,44,0.12246949246444062,2.0816461579569854,0.3504709299078456,0.8200827205882353,0.4755287369062919,0.09009906045751634,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,raw,block2,119,0.11504841260162212,0.9779190683488302,0.36423843778517956,0.8770680147058824,0.4680538783028907,0.0451235702614379,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,raw,block2,62,0.1253847609462542,1.475010170486819,0.39418518356774335,0.8988970588235294,0.5016967707362344,0.043607026143790854,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,raw,block2,104,0.1357980704171638,2.5757016871207536,0.4219544648789065,0.8573069852941176,0.5372435845418141,0.03223039215686274,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,raw,block2,116,0.11670601330633881,1.433974844224234,0.3687822905827457,0.8720128676470589,0.46712024366427274,0.033343545751633986,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,raw,block2,118,0.11586428433675121,1.390150274920469,0.3679986870701252,0.8766084558823529,0.4690010740093528,0.03515625,0.0
CONTINUATION_s92242,CONTINUATION,92242,True,raw,full128,36,0.13952075447825896,1.6887076609848866,0.4013571969705778,0.90234375,0.6108125778942861,0.06768024918300652,0.011216107536764705
