panel,kind,arm,trained_b,received_b,i,o,condition,nmae,pinball
electricity,shape,C3,81552,81551,81551,81552,STEP6_D63,0.20463228046113632,0.16616261978806843
electricity,shape,C3,81552,81551,81551,81552,STEP8_D31,0.21263255710391346,0.17393136971424603
electricity,shape,C3,81552,81551,81551,81552,STEP8_D33,0.215798958946019,0.17542396222689816
electricity,shape,C3,81552,81551,81552,81551,PAIRED_SHIFT8_D32,0.2114702871540696,0.17255818007009546
electricity,shape,C3,81552,81551,81552,81551,PULSE8_D32,3.0073614316156876,2.9115153159544884
electricity,shape,C3,81552,81551,81552,81551,RAMP8_D32,0.4984606082476893,0.3895018397972292
electricity,shape,C3,81552,81551,81552,81551,STEP12_D17,0.2912985737727299,0.24006286953746497
electricity,shape,C3,81552,81551,81552,81551,STEP12_D63,0.2247115292696057,0.1818434315596648
electricity,shape,C3,81552,81551,81552,81551,STEP6_D17,0.23537982462256787,0.19306540547726478
electricity,shape,C3,81552,81551,81552,81551,STEP6_D63,0.20471113552465375,0.16634514524611752
electricity,shape,C3,81552,81551,81552,81551,STEP8_D31,0.21258536753879198,0.17383259691076955
electricity,shape,C3,81552,81551,81552,81551,STEP8_D33,0.21498416915715546,0.17476439588539758
electricity,shape,C3,81552,81551,81552,81552,PAIRED_SHIFT8_D32,0.21127777645778545,0.1723958459670962
electricity,shape,C3,81552,81551,81552,81552,PULSE8_D32,3.008511759015403,2.912900681004948
electricity,shape,C3,81552,81551,81552,81552,RAMP8_D32,0.49980445909549087,0.39026738179223086
electricity,shape,C3,81552,81551,81552,81552,STEP12_D17,0.28956336676165206,0.23899878873590535
electricity,shape,C3,81552,81551,81552,81552,STEP12_D63,0.22460043351007286,0.18180186493791428
electricity,shape,C3,81552,81551,81552,81552,STEP6_D17,0.23507324263861762,0.19288582436121537
electricity,shape,C3,81552,81551,81552,81552,STEP6_D63,0.20448858356644833,0.1661993657176285
electricity,shape,C3,81552,81551,81552,81552,STEP8_D31,0.21242291531772237,0.17368068222247593
electricity,shape,C3,81552,81551,81552,81552,STEP8_D33,0.21463201882832095,0.17442488310504645
electricity,shape,C3,81552,81552,81551,81551,PAIRED_SHIFT8_D32,0.20722396576333263,0.17072848693225418
electricity,shape,C3,81552,81552,81551,81551,PULSE8_D32,2.972899548711024,2.8663034114978156
electricity,shape,C3,81552,81552,81551,81551,RAMP8_D32,0.43717363736538134,0.34330167306882164
electricity,shape,C3,81552,81552,81551,81551,STEP12_D17,0.30912060083618975,0.2541213733906592
electricity,shape,C3,81552,81552,81551,81551,STEP12_D63,0.2099112456110969,0.17180512135407094
electricity,shape,C3,81552,81552,81551,81551,STEP6_D17,0.23458141555544024,0.19326235856279197
electricity,shape,C3,81552,81552,81551,81551,STEP6_D63,0.19186218376300343,0.15684675851146598
electricity,shape,C3,81552,81552,81551,81551,STEP8_D31,0.2091985763364161,0.1730304159433323
electricity,shape,C3,81552,81552,81551,81551,STEP8_D33,0.21316578582604057,0.17507300508585336
electricity,shape,C3,81552,81552,81551,81552,PAIRED_SHIFT8_D32,0.2064876249084933,0.17006798127847075
electricity,shape,C3,81552,81552,81551,81552,PULSE8_D32,2.975655179187004,2.868928644670397
electricity,shape,C3,81552,81552,81551,81552,RAMP8_D32,0.4346282060703855,0.34131929400698796
electricity,shape,C3,81552,81552,81551,81552,STEP12_D17,0.3033583909765329,0.24979231648396344
electricity,shape,C3,81552,81552,81551,81552,STEP12_D63,0.20962112586792866,0.17167906511716516
electricity,shape,C3,81552,81552,81551,81552,STEP6_D17,0.23372227312964805,0.1926777224179886
electricity,shape,C3,81552,81552,81551,81552,STEP6_D63,0.19171170419775915,0.1567238872598015
electricity,shape,C3,81552,81552,81551,81552,STEP8_D31,0.20845038073940753,0.17231125626904475
electricity,shape,C3,81552,81552,81551,81552,STEP8_D33,0.21221073896941237,0.17419527385890415
electricity,shape,C3,81552,81552,81552,81551,PAIRED_SHIFT8_D32,0.20619194793230294,0.16982180725665946
electricity,shape,C3,81552,81552,81552,81551,PULSE8_D32,2.977888872830191,2.8714659471560653
electricity,shape,C3,81552,81552,81552,81551,RAMP8_D32,0.43538346293535735,0.3414214006420993
electricity,shape,C3,81552,81552,81552,81551,STEP12_D17,0.3051915577734108,0.25167067589117736
electricity,shape,C3,81552,81552,81552,81551,STEP12_D63,0.2106275722962659,0.1723848188099185
electricity,shape,C3,81552,81552,81552,81551,STEP6_D17,0.23493930576288402,0.19367933187416314
electricity,shape,C3,81552,81552,81552,81551,STEP6_D63,0.19187054158870664,0.15685851624515826
electricity,shape,C3,81552,81552,81552,81551,STEP8_D31,0.20834531132607054,0.17214095150574327
electricity,shape,C3,81552,81552,81552,81551,STEP8_D33,0.211473100369002,0.17358880164560073
electricity,shape,C3,81552,81552,81552,81552,PAIRED_SHIFT8_D32,0.20594848758418766,0.16950484409804845
electricity,shape,C3,81552,81552,81552,81552,PULSE8_D32,2.9794661049227735,2.873101420317185
