source,b,batch,relative_l2,max_abs,down_gradient_zero,i,arm,alternate_autograd,initial_prediction_exact
ettm1,81551,16,6.355270443236805e-08,2.3283064365386963e-10,True,,,,
ettm1,81552,16,6.755521297918676e-08,4.656612873077393e-10,True,,,,
ettm1,81551,17,6.33057766208367e-08,2.3283064365386963e-10,True,,,,
ettm1,81552,17,5.730523966462897e-08,2.3283064365386963e-10,True,,,,
ettm1,81551,18,5.075843034774152e-08,2.3283064365386963e-10,True,,,,
ettm1,81552,18,4.61015545738519e-08,1.1641532182693481e-10,True,,,,
ettm1,81551,19,5.343732212281793e-08,2.3283064365386963e-10,True,,,,
ettm1,81552,19,6.792360096596894e-08,1.7462298274040222e-10,True,,,,
ettm1,81551,20,5.318285190014649e-08,4.656612873077393e-10,True,,,,
ettm1,81552,20,5.1520650856673456e-08,3.4924596548080444e-10,True,,,,
ettm1,81551,21,4.7972729788625657e-08,5.238689482212067e-10,True,,,,
ettm1,81552,21,6.080865233570876e-08,4.656612873077393e-10,True,,,,
ettm1,81551,22,3.8969897531160314e-08,2.3283064365386963e-10,True,,,,
ettm1,81552,22,5.165077965330056e-08,2.9103830456733704e-10,True,,,,
ettm1,81551,23,7.366476495462848e-08,4.656612873077393e-10,True,,,,
ettm1,81552,23,5.796397317681112e-08,4.656612873077393e-10,True,,,,
ettm1,81551,24,5.4047919917366016e-08,2.3283064365386963e-10,True,,,,
ettm1,81552,24,6.389506523873933e-08,2.3283064365386963e-10,True,,,,
ettm1,81551,25,7.149746750201302e-08,2.9103830456733704e-10,True,,,,
ettm1,81552,25,6.392362195128953e-08,2.3283064365386963e-10,True,,,,
ettm1,81551,26,6.85532910438269e-08,2.3283064365386963e-10,True,,,,
ettm1,81552,26,5.464614005745716e-08,4.656612873077393e-10,True,,,,
ettm1,81551,27,5.101735567336618e-08,4.656612873077393e-10,True,,,,
ettm1,81552,27,4.900115868622379e-08,3.4924596548080444e-10,True,,,,
ettm1,81551,28,3.484084842853008e-08,1.1641532182693481e-10,True,,,,
ettm1,81552,28,3.4829668038582895e-08,2.9103830456733704e-10,True,,,,
ettm1,81551,29,3.186005415045656e-08,2.3283064365386963e-10,True,,,,
ettm1,81552,29,3.291393113613594e-08,4.656612873077393e-10,True,,,,
ettm1,81551,30,4.199304370899881e-08,2.3283064365386963e-10,True,,,,
ettm1,81552,30,5.157259153065752e-08,2.9103830456733704e-10,True,,,,
ettm1,81551,31,3.707003415343024e-08,4.656612873077393e-10,True,,,,
ettm1,81552,31,4.162178512956416e-08,9.313225746154785e-10,True,,,,
