candidate,arm,seed,condition,mode,selected,scaled_pinball,raw_mae,scaled_mae,coverage80,raw_width80,scaled_width80,crossing
h2,CENTROID_BIAS,92261,BLOCK48,RAW,True,0.1429720123833722,47.86759261751459,0.18043006778682752,0.8368675595238095,158.16289592463346,0.6296362786953978,0.008998325892857142
h2,CENTROID_BIAS,92261,BLOCK48,CAL,False,0.1521569270461065,50.99726253510344,0.19244481751102932,0.7529761904761905,157.19911368827636,0.6325003192757465,0.008998325892857142
h2,CENTROID_BIAS,92261,IID48,RAW,True,0.16145921469244467,52.547780393134985,0.2007984385189431,0.9056919642857143,217.12336702644825,0.84502739473468,0.0031854538690476194
h2,CENTROID_BIAS,92261,IID48,CAL,False,0.16852916514375943,56.03075814894574,0.21162316614740082,0.8463541666666666,213.64129753632145,0.8412897121014375,0.0031854538690476194
h2,CENTROID_BIAS,92261,ALIGNED48_LAST,RAW,True,0.1605646451571251,52.751449143602734,0.20232705094889236,0.8277529761904762,175.3857184747855,0.7127023129207204,0.005626860119047619
h2,CENTROID_BIAS,92261,ALIGNED48_LAST,CAL,False,0.1662947323057909,54.91779486233532,0.20928440728441464,0.7626488095238095,174.3853628327424,0.7149154051898415,0.005626860119047619
h2,CENTROID_BIAS,92261,CLEAN,RAW,True,0.13802469406475676,45.939088974680224,0.1738948148842791,0.8299851190476191,147.89732650773865,0.5845722757687972,0.00548735119047619
h2,CENTROID_BIAS,92261,CLEAN,CAL,False,0.14719490547848257,48.75439876182555,0.1854902915527496,0.7514880952380952,146.71880005066612,0.5864519706540646,0.00548735119047619
h2,CENTROID_BIAS,92262,BLOCK48,RAW,True,0.14297278270408675,47.867661269292945,0.18043212422576085,0.8368675595238095,158.16437714369525,0.6296525471380479,0.008998325892857142
h2,CENTROID_BIAS,92262,BLOCK48,CAL,False,0.15215841088310267,50.99840959044141,0.1924494098552934,0.7529761904761905,157.20169272016207,0.6325207985855801,0.008998325892857142
h2,CENTROID_BIAS,92262,IID48,RAW,True,0.16146272527048372,52.54994120626222,0.2008026301294233,0.9056919642857143,217.12561646813438,0.845041744634252,0.0031854538690476194
h2,CENTROID_BIAS,92262,IID48,CAL,False,0.16853285540255336,56.03248172918874,0.21162793115823114,0.8463541666666666,213.6446126259481,0.8413082834088136,0.0031854538690476194
h2,CENTROID_BIAS,92262,ALIGNED48_LAST,RAW,True,0.1605646451571251,52.751449143602734,0.20232705094889236,0.8277529761904762,175.3857184747855,0.7127023129207204,0.005626860119047619
h2,CENTROID_BIAS,92262,ALIGNED48_LAST,CAL,False,0.16629462645266746,54.917672684570036,0.20928423900236162,0.7626488095238095,174.38615019742042,0.7149184955676753,0.005626860119047619
h2,CENTROID_BIAS,92262,CLEAN,RAW,True,0.13802469406475676,45.939088974680224,0.1738948148842791,0.8299851190476191,147.89732650773865,0.5845722757687972,0.00548735119047619
h2,CENTROID_BIAS,92262,CLEAN,CAL,False,0.14719488512747597,48.7543093582448,0.18549029784701118,0.7514880952380952,146.71941850310822,0.5864544040122424,0.00548735119047619
h2,KEY_BIAS,92261,BLOCK48,RAW,True,0.14296862074336367,47.86127784245071,0.18042120196162334,0.8368675595238095,158.13007888304335,0.6295237930920778,0.008975074404761904
h2,KEY_BIAS,92261,BLOCK48,CAL,False,0.1521625813255753,50.990571242325046,0.19244708860230503,0.7518601190476191,157.15076374649226,0.6323324400955567,0.008975074404761904
h2,KEY_BIAS,92261,IID48,RAW,True,0.1614559815514086,52.548088914581705,0.2007924745467864,0.9058779761904762,217.06313283457644,0.8447519297497935,0.0031854538690476194
h2,KEY_BIAS,92261,IID48,CAL,False,0.1685149658366823,56.02580222451138,0.21160843604187018,0.8470982142857143,213.56082942256634,0.8409478490832587,0.0031854538690476194
h2,KEY_BIAS,92261,ALIGNED48_LAST,RAW,True,0.1605646451571251,52.751449143602734,0.20232705094889236,0.8277529761904762,175.3857184747855,0.7127023129207204,0.005626860119047619
h2,KEY_BIAS,92261,ALIGNED48_LAST,CAL,False,0.16629235537012982,54.918455673784365,0.2092815864587173,0.7626488095238095,174.3709631925551,0.7148665153168532,0.005626860119047619
h2,KEY_BIAS,92261,CLEAN,RAW,True,0.13802469406475676,45.939088974680224,0.1738948148842791,0.8299851190476191,147.89732650773865,0.5845722757687972,0.00548735119047619
h2,KEY_BIAS,92261,CLEAN,CAL,False,0.14719992708960616,48.75660534864925,0.1854973051633055,0.7514880952380952,146.7066187032588,0.5864120647702938,0.00548735119047619
h2,KEY_BIAS,92262,BLOCK48,RAW,True,0.142968848971717,47.86399696909246,0.1804186769477227,0.8368675595238095,158.12279788085394,0.6294189812036508,0.008998325892857142
h2,KEY_BIAS,92262,BLOCK48,CAL,False,0.1521690792751522,50.99409994892934,0.19244755779760328,0.7514880952380952,157.1215472267342,0.6321548584541162,0.008998325892857142
h2,KEY_BIAS,92262,IID48,RAW,True,0.16147813940148098,52.55344460904598,0.2008211425985485,0.9055059523809523,217.05607094793092,0.8446909349888233,0.003162202380952381
h2,KEY_BIAS,92262,IID48,CAL,False,0.16852431004430468,56.02869958616555,0.21162714283535938,0.8470982142857143,213.52935965466168,0.8408066707780648,0.003162202380952381
h2,KEY_BIAS,92262,ALIGNED48_LAST,RAW,True,0.1605646451571251,52.751449143602734,0.20232705094889236,0.8277529761904762,175.3857184747855,0.7127023129207204,0.005626860119047619
h2,KEY_BIAS,92262,ALIGNED48_LAST,CAL,False,0.16628621177460354,54.91685809559964,0.20927436067855765,0.7626488095238095,174.35112344849472,0.7147995344167132,0.005626860119047619
h2,KEY_BIAS,92262,CLEAN,RAW,True,0.13802469406475676,45.939088974680224,0.1738948148842791,0.8299851190476191,147.89732650773865,0.5845722757687972,0.00548735119047619
h2,KEY_BIAS,92262,CLEAN,CAL,False,0.14719686241854302,48.75605833039498,0.18549332125205376,0.7514880952380952,146.69028822001792,0.5863580265380549,0.00548735119047619
h2,GENERIC_BIAS,92261,BLOCK48,RAW,True,0.1430514033822693,47.901079431176186,0.1806086431421267,0.8346354166666667,156.55174440039056,0.6237368369023161,0.00916108630952381
h2,GENERIC_BIAS,92261,BLOCK48,CAL,False,0.15225964588417984,50.99140080344761,0.19256349797289862,0.7472098214285714,155.50742118948398,0.6261979694961898,0.00916108630952381
h2,GENERIC_BIAS,92261,IID48,RAW,True,0.1612259637608643,52.527444164667806,0.20070869996249016,0.9027157738095238,215.7931475781259,0.8395543770505436,0.00341796875
h2,GENERIC_BIAS,92261,IID48,CAL,False,0.1683225192582053,56.00156396172776,0.21147720034733986,0.8443080357142857,212.16416682526622,0.8352027023921103,0.00341796875
h2,GENERIC_BIAS,92261,ALIGNED48_LAST,RAW,True,0.16039177468806223,52.7628115216891,0.20227355752779141,0.8240327380952381,173.3045165496213,0.7043900989674097,0.005859375
h2,GENERIC_BIAS,92261,ALIGNED48_LAST,CAL,False,0.16616005738914097,54.88664524891126,0.2092133203838047,0.7585565476190477,172.20844570032742,0.7061524098272257,0.005859375
h2,GENERIC_BIAS,92261,CLEAN,RAW,True,0.13802469406475676,45.939088974680224,0.1738948148842791,0.8299851190476191,147.89732650773865,0.5845722757687972,0.00548735119047619
h2,GENERIC_BIAS,92261,CLEAN,CAL,False,0.14731446947275323,48.79271681093203,0.18563015515213502,0.7496279761904762,146.58376367760815,0.585936191349965,0.00548735119047619
h2,GENERIC_BIAS,92262,BLOCK48,RAW,True,0.14306599008547216,47.91549819317602,0.18065114772623173,0.8350074404761905,156.58689715961614,0.6238446704610511,0.00916108630952381
h2,GENERIC_BIAS,92262,BLOCK48,CAL,False,0.15224819174320617,50.99939221219207,0.19257993439486604,0.7475818452380952,155.5420263404186,0.6263127719584004,0.00916108630952381
h2,GENERIC_BIAS,92262,IID48,RAW,True,0.1613112140687435,52.52877509523006,0.20076159198018845,0.9034598214285714,216.02841261384032,0.840569062812768,0.0033714657738095235
h2,GENERIC_BIAS,92262,IID48,CAL,False,0.1683770606397222,56.00110362624251,0.21154106912325304,0.8443080357142857,212.37721069220285,0.8361677755253505,0.0033714657738095235
h2,GENERIC_BIAS,92262,ALIGNED48_LAST,RAW,True,0.16073903084619928,52.844021750347956,0.20272389390630968,0.8258928571428571,174.50188931538946,0.7101125115944485,0.005533854166666666
h2,GENERIC_BIAS,92262,ALIGNED48_LAST,CAL,False,0.1664459469628855,54.941581056146916,0.2095462913897573,0.7596726190476191,173.35236628570036,0.7116723431424112,0.005533854166666666
h2,GENERIC_BIAS,92262,CLEAN,RAW,True,0.13802469406475676,45.939088974680224,0.1738948148842791,0.8299851190476191,147.89732650773865,0.5845722757687972,0.00548735119047619
h2,GENERIC_BIAS,92262,CLEAN,CAL,False,0.14730172334583103,48.79246809442737,0.18562491231768063,0.75,146.56350006730108,0.5858801429339073,0.00548735119047619
h2,CHRONOS2_DIRECT,0,BLOCK48,RAW,True,0.14015415956464175,45.74466356138389,0.17838147667927984,0.7996651785714286,147.41782203316689,0.5695598218888192,0.0006742931547619048
h2,CHRONOS2_DIRECT,0,BLOCK48,CAL,False,0.15042575908407796,48.64794919510018,0.19074909671964743,0.7047991071428572,145.57655757283172,0.5708524211529057,0.0006742931547619048
h2,CHRONOS2_DIRECT,0,IID48,RAW,True,0.15309822036771242,49.245268366876104,0.19290450345730248,0.8372395833333333,170.9070033331712,0.6917013227381417,6.975446428571428e-05
h2,CHRONOS2_DIRECT,0,IID48,CAL,False,0.16242795719357617,52.170404127689494,0.20424633250372523,0.7388392857142857,168.84366168048084,0.6941334514171924,6.975446428571428e-05
h2,CHRONOS2_DIRECT,0,ALIGNED48_LAST,RAW,True,0.15320543143152499,49.56436275584357,0.1955173709105039,0.7823660714285714,162.5326620652562,0.6409615011932128,0.0012555803571428572
h2,CHRONOS2_DIRECT,0,ALIGNED48_LAST,CAL,False,0.1609424030916031,52.0895212236174,0.20362197690958184,0.6994047619047619,160.31704588035214,0.6410732812552723,0.0012555803571428572
h2,CHRONOS2_DIRECT,0,CLEAN,RAW,True,0.13530942427412362,43.50584049877666,0.1709516206538309,0.7775297619047619,130.7649491429329,0.5151834904706545,9.300595238095238e-05
h2,CHRONOS2_DIRECT,0,CLEAN,CAL,False,0.14572182349886031,46.48540256774562,0.18307847710056857,0.6759672619047619,129.13856045357787,0.5168699336538263,9.300595238095238e-05
