candidate,proposal,baseline,series,proposal_score,baseline_score,effect_pct
h1,U_SHRINK,RIDGE,190,0.08292743987529692,0.08271703132444884,-0.2543714969928977
h1,U_SHRINK,RIDGE,227,0.10301258049347159,0.10301333011839073,0.0007276970060836025
h1,U_SHRINK,RIDGE,26,0.25314852233086793,0.25312374648997604,-0.00978803499689418
h1,U_SHRINK,RIDGE,83,0.1705477080273221,0.17074505154024752,0.11557788125935577
h1,U_SHRINK,UNSHRUNK,141,0.183115554182174,0.18304075962217872,-0.040862243005151164
h1,U_SHRINK,UNSHRUNK,145,0.11302672697671286,0.11302678373670672,5.021818013508398e-05
h1,U_SHRINK,UNSHRUNK,160,0.10521274921842393,0.10517354527011631,-0.0372754842550257
h1,U_SHRINK,UNSHRUNK,181,0.09380918584019045,0.09380968522693192,0.0005323402804999896
h1,U_SHRINK,UNSHRUNK,190,0.08292743987529692,0.08280537376983413,-0.14741326547488368
h1,U_SHRINK,UNSHRUNK,227,0.10301258049347159,0.10302250547597118,0.009633800356277446
h1,U_SHRINK,UNSHRUNK,26,0.25314852233086793,0.253121342862019,-0.0107377230784383
h1,U_SHRINK,UNSHRUNK,83,0.1705477080273221,0.17066725721747997,0.07004811122353577
h1,U_SHRINK,FIXED_SHRINK,141,0.183115554182174,0.18304075962217872,-0.040862243005151164
h1,U_SHRINK,FIXED_SHRINK,145,0.11302672697671286,0.11302678373670672,5.021818013508398e-05
h1,U_SHRINK,FIXED_SHRINK,160,0.10521274921842393,0.10517354527011631,-0.0372754842550257
h1,U_SHRINK,FIXED_SHRINK,181,0.09380918584019045,0.09380968522693192,0.0005323402804999896
h1,U_SHRINK,FIXED_SHRINK,190,0.08292743987529692,0.08280537376983413,-0.14741326547488368
h1,U_SHRINK,FIXED_SHRINK,227,0.10301258049347159,0.10302250547597118,0.009633800356277446
h1,U_SHRINK,FIXED_SHRINK,26,0.25314852233086793,0.253121342862019,-0.0107377230784383
h1,U_SHRINK,FIXED_SHRINK,83,0.1705477080273221,0.17066725721747997,0.07004811122353577
h1,U_SHRINK,PERMUTED_G,141,0.183115554182174,0.18311447508186227,-0.0005893036644228456
h1,U_SHRINK,PERMUTED_G,145,0.11302672697671286,0.11302512585889961,-0.0014166034331587057
h1,U_SHRINK,PERMUTED_G,160,0.10521274921842393,0.10521173443596081,-0.0009645145273537636
h1,U_SHRINK,PERMUTED_G,181,0.09380918584019045,0.09380962568501847,0.00046886961205325266
h1,U_SHRINK,PERMUTED_G,190,0.08292743987529692,0.0829297040948115,0.0027302877048570903
h1,U_SHRINK,PERMUTED_G,227,0.10301258049347159,0.10301235916018593,-0.00021486090354796893
h1,U_SHRINK,PERMUTED_G,26,0.25314852233086793,0.2531490765062762,0.0002189126723009049
h1,U_SHRINK,PERMUTED_G,83,0.1705477080273221,0.17054283324401134,-0.0028583923569456627
h1,U_SHRINK,CHRONOS2_DIRECT,141,0.183115554182174,0.18252181657282246,-0.32529678944690055
h1,U_SHRINK,CHRONOS2_DIRECT,145,0.11302672697671286,0.11579166124415212,2.387852663767617
h1,U_SHRINK,CHRONOS2_DIRECT,160,0.10521274921842393,0.10518412168085466,-0.027216596109563635
h1,U_SHRINK,CHRONOS2_DIRECT,181,0.09380918584019045,0.08982552588946724,-4.434886310184492
h1,U_SHRINK,CHRONOS2_DIRECT,190,0.08292743987529692,0.08239967410181007,-0.6404949767577588
h1,U_SHRINK,CHRONOS2_DIRECT,227,0.10301258049347159,0.10248726048737859,-0.512571029408763
h1,U_SHRINK,CHRONOS2_DIRECT,26,0.25314852233086793,0.270414742051472,6.385088175894462
h1,U_SHRINK,CHRONOS2_DIRECT,83,0.1705477080273221,0.13385059216503212,-27.416476288012234
h2,SET_BIAS,F0_NATIVE,141,0.18528252334416864,0.18519744704676877,-0.04593815884426705
h2,SET_BIAS,F0_NATIVE,145,0.11686073889428752,0.11690115134767166,0.034569765069250746
h2,SET_BIAS,F0_NATIVE,160,0.10849923086446919,0.10853418731850341,0.03220778161965941
h2,SET_BIAS,F0_NATIVE,181,0.09969981259571147,0.0997421775646526,0.0424744776738786
h2,SET_BIAS,F0_NATIVE,190,0.08493806472739385,0.08491602820602155,-0.025950956301007216
h2,SET_BIAS,F0_NATIVE,227,0.10838942569740546,0.10838009726168374,-0.008607148320970754
h2,SET_BIAS,F0_NATIVE,26,0.2668856295413063,0.2667472350144014,-0.05188227233074148
h2,SET_BIAS,F0_NATIVE,83,0.17364841988313656,0.17333765208839222,-0.17928464531518493
h2,SET_BIAS,F0_INTERP,141,0.18528252334416864,0.3803121412708036,51.281459822699404
h2,SET_BIAS,F0_INTERP,145,0.11686073889428752,0.22974475008310563,49.13453349771194
h2,SET_BIAS,F0_INTERP,160,0.10849923086446919,0.23552380271984835,53.93279591637402
h2,SET_BIAS,F0_INTERP,181,0.09969981259571147,0.23595472649485202,57.746210861393074
h2,SET_BIAS,F0_INTERP,190,0.08493806472739385,0.23543126075728588,63.922350645286905
h2,SET_BIAS,F0_INTERP,227,0.10838942569740546,0.1589967428730339,31.829153390922393
h2,SET_BIAS,F0_INTERP,26,0.2668856295413063,0.3919265329931875,31.904169002524434
h2,SET_BIAS,F0_INTERP,83,0.17364841988313656,0.18236618972046123,4.780365182102912
h2,SET_BIAS,QV_LORA,141,0.18528252334416864,0.18418973675189876,-0.593293964984517
h2,SET_BIAS,QV_LORA,145,0.11686073889428752,0.11684694037225908,-0.011809057202938634
h2,SET_BIAS,QV_LORA,160,0.10849923086446919,0.10762043711960778,-0.8165677155582752
h2,SET_BIAS,QV_LORA,181,0.09969981259571147,0.10013485667005435,0.43445817851057034
h2,SET_BIAS,QV_LORA,190,0.08493806472739385,0.08435547878966401,-0.6906320088378403
h2,SET_BIAS,QV_LORA,227,0.10838942569740546,0.10562371331310601,-2.6184578231035185
h2,SET_BIAS,QV_LORA,26,0.2668856295413063,0.2658034889849294,-0.40712052370322865
h2,SET_BIAS,QV_LORA,83,0.17364841988313656,0.1733541952171423,-0.1697245720680284
h2,SET_BIAS,CENTROID_BIAS,141,0.18528252334416864,0.18519869784197965,-0.045262468454566746
h2,SET_BIAS,CENTROID_BIAS,145,0.11686073889428752,0.116902403288774,0.03564032330760726
h2,SET_BIAS,CENTROID_BIAS,160,0.10849923086446919,0.10853601091104977,0.03388741328508545
h2,SET_BIAS,CENTROID_BIAS,181,0.09969981259571147,0.09974145544307707,0.04175079176518386
h2,SET_BIAS,CENTROID_BIAS,190,0.08493806472739385,0.08491378692994778,-0.02859111379180312
h2,SET_BIAS,CENTROID_BIAS,227,0.10838942569740546,0.10837936804963244,-0.009280039138461876
h2,SET_BIAS,CENTROID_BIAS,26,0.2668856295413063,0.26675724541811574,-0.04812769864575591
h2,SET_BIAS,CENTROID_BIAS,83,0.17364841988313656,0.17335021246725932,-0.17202598810403338
h2,SET_BIAS,KEY_BIAS,141,0.18528252334416864,0.18525456833255047,-0.015090052498998448
h2,SET_BIAS,KEY_BIAS,145,0.11686073889428752,0.11692527997189098,0.05519856580114113
h2,SET_BIAS,KEY_BIAS,160,0.10849923086446919,0.10850638422516513,0.006592571254698728
h2,SET_BIAS,KEY_BIAS,181,0.09969981259571147,0.09972899022329973,0.029256916692863077
h2,SET_BIAS,KEY_BIAS,190,0.08493806472739385,0.08495541913104697,0.020427659389629038
h2,SET_BIAS,KEY_BIAS,227,0.10838942569740546,0.10836031529773948,-0.02686444717883448
h2,SET_BIAS,KEY_BIAS,26,0.2668856295413063,0.26675680605066016,-0.04829248503660293
h2,SET_BIAS,KEY_BIAS,83,0.17364841988313656,0.17326211562796964,-0.2229594471744742
h2,SET_BIAS,GENERIC_BIAS,141,0.18528252334416864,0.1850241923647523,-0.1396201091947409
h2,SET_BIAS,GENERIC_BIAS,145,0.11686073889428752,0.11710658738412084,0.20993566230985197
h2,SET_BIAS,GENERIC_BIAS,160,0.10849923086446919,0.10850398958485015,0.004385756135939587
h2,SET_BIAS,GENERIC_BIAS,181,0.09969981259571147,0.09978626266679083,0.08663524293723976
h2,SET_BIAS,GENERIC_BIAS,190,0.08493806472739385,0.08473288017225385,-0.24215458594453532
h2,SET_BIAS,GENERIC_BIAS,227,0.10838942569740546,0.10841048330028184,0.01942395443257281
h2,SET_BIAS,GENERIC_BIAS,26,0.2668856295413063,0.26702378701224805,0.05173976164730993
h2,SET_BIAS,GENERIC_BIAS,83,0.17364841988313656,0.17388139138566802,0.13398299879872125
h2,SET_BIAS,CHRONOS2_DIRECT,141,0.18528252334416864,0.1846743999462696,-0.3292949093517925
h2,SET_BIAS,CHRONOS2_DIRECT,145,0.11686073889428752,0.1185574411215518,1.431122510079073
h2,SET_BIAS,CHRONOS2_DIRECT,160,0.10849923086446919,0.10486257383389075,-3.4680219048782353
h2,SET_BIAS,CHRONOS2_DIRECT,181,0.09969981259571147,0.09609719275274094,-3.748933490950257
h2,SET_BIAS,CHRONOS2_DIRECT,190,0.08493806472739385,0.08852348601157048,4.050248635382478
h2,SET_BIAS,CHRONOS2_DIRECT,227,0.10838942569740546,0.10674215804569402,-1.5432212369233558
h2,SET_BIAS,CHRONOS2_DIRECT,26,0.2668856295413063,0.2775000858396287,3.8250281134891844
h2,SET_BIAS,CHRONOS2_DIRECT,83,0.17364841988313656,0.14427593896578766,-20.3585442783457
