arm,seed,policy,metric,channel,condition,scalar,recorded
D1,73102,fixed512,raw_MAE,1,late,0.009622897924404242,0.0096228979244042
D1,73102,fixed512,raw_RMSE,2,early,0.03194457118618561,0.0319445711861856
D1,73102,fixed512,raw_MAE,2,early,0.02134729580859227,0.0213472958085922
D1,73102,fixed512,raw_RMSE,2,late,0.034032340934197665,0.0340323409341976
D1,73102,fixed512,raw_MAE,2,late,0.021831134301654915,0.0218311343016549
D1,73102,fixed512,raw_RMSE,3,early,0.01605043774053271,0.0160504377405327
D1,73102,fixed512,raw_MAE,3,early,0.008824426656172727,0.0088244266561727
D1,73102,fixed512,raw_RMSE,3,late,0.012496782518148005,0.012496782518148
D1,73102,fixed512,raw_MAE,3,late,0.007162085194983714,0.0071620851949837
D1,73102,fixed512,revision_RMS_normalized,,,0.2082588418549472,0.2082588418549472
D2,73102,selected,raw_RMSE,0,early,0.02353200793938128,0.0235320079393812
D2,73102,selected,raw_MAE,0,early,0.006538315642601811,0.0065383156426018
D2,73102,selected,raw_RMSE,0,late,0.017660432228562624,0.0176604322285626
D2,73102,selected,raw_MAE,0,late,0.006012423505475938,0.0060124235054759
D2,73102,selected,raw_RMSE,1,early,0.01677289706989728,0.0167728970698972
D2,73102,selected,raw_MAE,1,early,0.007459768441575579,0.0074597684415755
D2,73102,selected,raw_RMSE,1,late,0.0192885039499525,0.0192885039499525
D2,73102,selected,raw_MAE,1,late,0.008038793319093141,0.0080387933190931
D2,73102,selected,raw_RMSE,2,early,0.025903227268502114,0.0259032272685021
D2,73102,selected,raw_MAE,2,early,0.015268632701180953,0.0152686327011809
D2,73102,selected,raw_RMSE,2,late,0.038767236746983166,0.0387672367469831
D2,73102,selected,raw_MAE,2,late,0.021441694021133783,0.0214416940211337
D2,73102,selected,raw_RMSE,3,early,0.014640568968092977,0.0146405689680929
D2,73102,selected,raw_MAE,3,early,0.006402166736811827,0.0064021667368118
D2,73102,selected,raw_RMSE,3,late,0.012627096656209823,0.0126270966562098
D2,73102,selected,raw_MAE,3,late,0.006500017508027183,0.0065000175080271
D2,73102,selected,revision_RMS_normalized,,,0.1252412240503861,0.125241224050386
D2,73102,fixed512,raw_RMSE,0,early,0.02479786521086196,0.0247978652108619
D2,73102,fixed512,raw_MAE,0,early,0.008709053815790685,0.0087090538157906
D2,73102,fixed512,raw_RMSE,0,late,0.01769436734444127,0.0176943673444412
D2,73102,fixed512,raw_MAE,0,late,0.006797361165522792,0.0067973611655227
D2,73102,fixed512,raw_RMSE,1,early,0.020475542969021324,0.0204755429690213
D2,73102,fixed512,raw_MAE,1,early,0.010346444270922803,0.0103464442709228
D2,73102,fixed512,raw_RMSE,1,late,0.02097227188821608,0.020972271888216
D2,73102,fixed512,raw_MAE,1,late,0.009729240538490315,0.0097292405384903
D2,73102,fixed512,raw_RMSE,2,early,0.03219548826681628,0.0321954882668162
D2,73102,fixed512,raw_MAE,2,early,0.02132600747123167,0.0213260074712316
D2,73102,fixed512,raw_RMSE,2,late,0.035089315093823535,0.0350893150938235
D2,73102,fixed512,raw_MAE,2,late,0.022383258519352727,0.0223832585193527
D2,73102,fixed512,raw_RMSE,3,early,0.016153708688482177,0.0161537086884821
D2,73102,fixed512,raw_MAE,3,early,0.008859649742186108,0.0088596497421861
D2,73102,fixed512,raw_RMSE,3,late,0.012463302149639883,0.0124633021496398
D2,73102,fixed512,raw_MAE,3,late,0.0071296997982358635,0.0071296997982358
D2,73102,fixed512,revision_RMS_normalized,,,0.22349993152884562,0.2234999315288456
D3,73102,selected,raw_RMSE,0,early,0.02353200793938128,0.0235320079393812
D3,73102,selected,raw_MAE,0,early,0.006538315642601811,0.0065383156426018
D3,73102,selected,raw_RMSE,0,late,0.017660432228562624,0.0176604322285626
D3,73102,selected,raw_MAE,0,late,0.006012423505475938,0.0060124235054759
D3,73102,selected,raw_RMSE,1,early,0.01677289706989728,0.0167728970698972
D3,73102,selected,raw_MAE,1,early,0.007459768441575579,0.0074597684415755
D3,73102,selected,raw_RMSE,1,late,0.0192885039499525,0.0192885039499525
D3,73102,selected,raw_MAE,1,late,0.008038793319093141,0.0080387933190931
D3,73102,selected,raw_RMSE,2,early,0.025903227268502114,0.0259032272685021
D3,73102,selected,raw_MAE,2,early,0.015268632701180953,0.0152686327011809
D3,73102,selected,raw_RMSE,2,late,0.038767236746983166,0.0387672367469831
D3,73102,selected,raw_MAE,2,late,0.021441694021133783,0.0214416940211337
D3,73102,selected,raw_RMSE,3,early,0.014640568968092977,0.0146405689680929
D3,73102,selected,raw_MAE,3,early,0.006402166736811827,0.0064021667368118
D3,73102,selected,raw_RMSE,3,late,0.012627096656209823,0.0126270966562098
D3,73102,selected,raw_MAE,3,late,0.006500017508027183,0.0065000175080271
D3,73102,selected,revision_RMS_normalized,,,0.1252412240503861,0.125241224050386
D3,73102,fixed512,raw_RMSE,0,early,0.024929099443565993,0.0249290994435659
D3,73102,fixed512,raw_MAE,0,early,0.008735654223627837,0.0087356542236278
D3,73102,fixed512,raw_RMSE,0,late,0.01761871854079668,0.0176187185407966
D3,73102,fixed512,raw_MAE,0,late,0.006796030491876688,0.0067960304918766
D3,73102,fixed512,raw_RMSE,1,early,0.020469622639489572,0.0204696226394895
D3,73102,fixed512,raw_MAE,1,early,0.01034467416079909,0.010344674160799
D3,73102,fixed512,raw_RMSE,1,late,0.02093573929739852,0.0209357392973985
D3,73102,fixed512,raw_MAE,1,late,0.009723025215457893,0.0097230252154578
D3,73102,fixed512,raw_RMSE,2,early,0.03231140533348715,0.0323114053334871
D3,73102,fixed512,raw_MAE,2,early,0.021414384107509007,0.021414384107509
D3,73102,fixed512,raw_RMSE,2,late,0.03530087927803746,0.0353008792780374
D3,73102,fixed512,raw_MAE,2,late,0.02257298814036961,0.0225729881403696
D3,73102,fixed512,raw_RMSE,3,early,0.016146632137709168,0.0161466321377091
D3,73102,fixed512,raw_MAE,3,early,0.008854024369701317,0.0088540243697013
D3,73102,fixed512,raw_RMSE,3,late,0.01247419610315637,0.0124741961031563
D3,73102,fixed512,raw_MAE,3,late,0.007145732164672032,0.007145732164672
D3,73102,fixed512,revision_RMS_normalized,,,0.22344377081776645,0.2234437708177664
BLEND,73101,selected,raw_RMSE,0,early,0.02353200793938128,0.0235320079393812
BLEND,73101,selected,raw_MAE,0,early,0.006538315642601811,0.0065383156426018
BLEND,73101,selected,raw_RMSE,0,late,0.017733011567454503,0.0177330115674545
BLEND,73101,selected,raw_MAE,0,late,0.006003015564393233,0.0060030155643932
BLEND,73101,selected,raw_RMSE,1,early,0.01677289706989728,0.0167728970698972
BLEND,73101,selected,raw_MAE,1,early,0.007459768441575579,0.0074597684415755
BLEND,73101,selected,raw_RMSE,1,late,0.019442480287678282,0.0194424802876782
BLEND,73101,selected,raw_MAE,1,late,0.008218296371249987,0.0082182963712499
BLEND,73101,selected,raw_RMSE,2,early,0.025903227268502114,0.0259032272685021
BLEND,73101,selected,raw_MAE,2,early,0.015268632701180953,0.0152686327011809
BLEND,73101,selected,raw_RMSE,2,late,0.03853834746996597,0.0385383474699659
BLEND,73101,selected,raw_MAE,2,late,0.021295543349498864,0.0212955433494988
BLEND,73101,selected,raw_RMSE,3,early,0.014640568968092977,0.0146405689680929
BLEND,73101,selected,raw_MAE,3,early,0.006402166736811827,0.0064021667368118
BLEND,73101,selected,raw_RMSE,3,late,0.012794056914949696,0.0127940569149496
BLEND,73101,selected,raw_MAE,3,late,0.006607140820974747,0.0066071408209747
BLEND,73101,selected,revision_RMS_normalized,,,0.09393091803778957,0.0939309180377895
BLEND,73102,selected,raw_RMSE,0,early,0.02353200793938128,0.0235320079393812
BLEND,73102,selected,raw_MAE,0,early,0.006538315642601811,0.0065383156426018
BLEND,73102,selected,raw_RMSE,0,late,0.017733011567454503,0.0177330115674545
BLEND,73102,selected,raw_MAE,0,late,0.006003015564393233,0.0060030155643932
BLEND,73102,selected,raw_RMSE,1,early,0.01677289706989728,0.0167728970698972
BLEND,73102,selected,raw_MAE,1,early,0.007459768441575579,0.0074597684415755
BLEND,73102,selected,raw_RMSE,1,late,0.019442480287678282,0.0194424802876782
BLEND,73102,selected,raw_MAE,1,late,0.008218296371249987,0.0082182963712499
BLEND,73102,selected,raw_RMSE,2,early,0.025903227268502114,0.0259032272685021
BLEND,73102,selected,raw_MAE,2,early,0.015268632701180953,0.0152686327011809
BLEND,73102,selected,raw_RMSE,2,late,0.03853834746996597,0.0385383474699659
BLEND,73102,selected,raw_MAE,2,late,0.021295543349498864,0.0212955433494988
BLEND,73102,selected,raw_RMSE,3,early,0.014640568968092977,0.0146405689680929
BLEND,73102,selected,raw_MAE,3,early,0.006402166736811827,0.0064021667368118
BLEND,73102,selected,raw_RMSE,3,late,0.012794056914949696,0.0127940569149496
BLEND,73102,selected,raw_MAE,3,late,0.006607140820974747,0.0066071408209747
BLEND,73102,selected,revision_RMS_normalized,,,0.09393091803778957,0.0939309180377895
FROZEN,73101,selected,raw_RMSE,0,early,0.02353200793938128,0.0235320079393812
FROZEN,73101,selected,raw_MAE,0,early,0.006538315642601811,0.0065383156426018
FROZEN,73101,selected,raw_RMSE,0,late,0.017660432228562624,0.0176604322285626
FROZEN,73101,selected,raw_MAE,0,late,0.006012423505475938,0.0060124235054759
FROZEN,73101,selected,raw_RMSE,1,early,0.01677289706989728,0.0167728970698972
FROZEN,73101,selected,raw_MAE,1,early,0.007459768441575579,0.0074597684415755
FROZEN,73101,selected,raw_RMSE,1,late,0.0192885039499525,0.0192885039499525
FROZEN,73101,selected,raw_MAE,1,late,0.008038793319093141,0.0080387933190931
FROZEN,73101,selected,raw_RMSE,2,early,0.025903227268502114,0.0259032272685021
FROZEN,73101,selected,raw_MAE,2,early,0.015268632701180953,0.0152686327011809
FROZEN,73101,selected,raw_RMSE,2,late,0.038767236746983166,0.0387672367469831
FROZEN,73101,selected,raw_MAE,2,late,0.021441694021133783,0.0214416940211337
FROZEN,73101,selected,raw_RMSE,3,early,0.014640568968092977,0.0146405689680929
FROZEN,73101,selected,raw_MAE,3,early,0.006402166736811827,0.0064021667368118
FROZEN,73101,selected,raw_RMSE,3,late,0.012627096656209823,0.0126270966562098
FROZEN,73101,selected,raw_MAE,3,late,0.006500017508027183,0.0065000175080271
FROZEN,73101,selected,revision_RMS_normalized,,,0.1252412240503861,0.125241224050386
FROZEN,73102,selected,raw_RMSE,0,early,0.02353200793938128,0.0235320079393812
FROZEN,73102,selected,raw_MAE,0,early,0.006538315642601811,0.0065383156426018
FROZEN,73102,selected,raw_RMSE,0,late,0.017660432228562624,0.0176604322285626
FROZEN,73102,selected,raw_MAE,0,late,0.006012423505475938,0.0060124235054759
FROZEN,73102,selected,raw_RMSE,1,early,0.01677289706989728,0.0167728970698972
FROZEN,73102,selected,raw_MAE,1,early,0.007459768441575579,0.0074597684415755
FROZEN,73102,selected,raw_RMSE,1,late,0.0192885039499525,0.0192885039499525
FROZEN,73102,selected,raw_MAE,1,late,0.008038793319093141,0.0080387933190931
FROZEN,73102,selected,raw_RMSE,2,early,0.025903227268502114,0.0259032272685021
FROZEN,73102,selected,raw_MAE,2,early,0.015268632701180953,0.0152686327011809
FROZEN,73102,selected,raw_RMSE,2,late,0.038767236746983166,0.0387672367469831
FROZEN,73102,selected,raw_MAE,2,late,0.021441694021133783,0.0214416940211337
FROZEN,73102,selected,raw_RMSE,3,early,0.014640568968092977,0.0146405689680929
FROZEN,73102,selected,raw_MAE,3,early,0.006402166736811827,0.0064021667368118
FROZEN,73102,selected,raw_RMSE,3,late,0.012627096656209823,0.0126270966562098
FROZEN,73102,selected,raw_MAE,3,late,0.006500017508027183,0.0065000175080271
FROZEN,73102,selected,revision_RMS_normalized,,,0.1252412240503861,0.125241224050386
