method,baseline,policy,condition,seed,method_score,baseline_score,gain_percent,ci_low,ci_high,replicates
C3,C0,selected,irregular,73101,0.6712918885828913,0.6864443041196618,2.2073772694789677,-1.0688872970994772,7.74373697990758,2000
C3,C0,selected,irregular,73102,0.6796190207243857,0.6809546289666479,0.19613762583404282,-3.214502893017808,4.974226823138452,2000
C3,C0,selected,irregular,MEAN,0.6754554546536385,0.6836994665431548,1.2057946938585085,-1.9825513681578548,6.27804272012554,2000
C3,C1,selected,irregular,73101,0.6712918885828913,0.677703681710203,0.9461056949154137,-1.974119329121253,4.3569140793671925,2000
C3,C1,selected,irregular,73102,0.6796190207243857,0.6756842369470724,-0.5823406203897571,-6.5327718339844365,4.216007539967887,2000
C3,C1,selected,irregular,MEAN,0.6754554546536385,0.6766939593286376,0.18302286549562707,-3.9584923924439814,4.259378302715118,2000
C3,C2,fixed512,PRIMARY,73101,0.6963859763014948,0.699679289635055,0.470688983130822,-0.5102137217822036,1.7810471630583455,2000
C3,C2,fixed512,PRIMARY,73102,0.6790195835232506,0.676707553464029,-0.3416586747682204,-0.6469316213906222,-0.04453580828342427,2000
C3,C2,fixed512,PRIMARY,MEAN,0.6877027799123727,0.688193421549542,0.0712941480993153,-0.43324657612234496,0.6898015548719577,2000
C3,C0,fixed512,PRIMARY,73101,0.6963859763014948,0.6936606621377202,-0.39288867201662825,-4.830749218332331,5.830986198219966,2000
C3,C0,fixed512,PRIMARY,73102,0.6790195835232506,0.6853619359808347,0.9254019116931864,-3.6996054762129003,6.804353906016589,2000
C3,C0,fixed512,PRIMARY,MEAN,0.6877027799123727,0.6895112990592774,0.2622899942861183,-4.115104671166178,6.22522334246712,2000
C3,C1,fixed512,PRIMARY,73101,0.6963859763014948,0.6693248720478322,-4.0430447729916,-9.164644436402817,1.6267704720704672,2000
C3,C1,fixed512,PRIMARY,73102,0.6790195835232506,0.6675268624501649,-1.721686679529507,-6.675689293944164,3.5702431384800053,2000
C3,C1,fixed512,PRIMARY,MEAN,0.6877027799123727,0.6684258672489986,-2.883926790971007,-8.039236583512897,2.4579578356050362,2000
C3,C2,fixed512,delta1,73101,0.6976830401640743,0.6997397689099789,0.2939276624377719,-0.5602189297277966,1.1452246191125826,2000
C3,C2,fixed512,delta1,73102,0.690874448156873,0.6874118070496129,-0.5037215060535355,-0.7689816064282129,-0.20773254394292956,2000
C3,C2,fixed512,delta1,MEAN,0.6942787441604736,0.6935757879797959,-0.10135246830418548,-0.5433853044360702,0.2908910345129486,2000
C3,C0,fixed512,delta1,73101,0.6976830401640743,0.7115250852048188,1.9454050642163843,-3.5744005464369124,9.218625030592014,2000
C3,C0,fixed512,delta1,73102,0.690874448156873,0.6987869779898913,1.1323235953507895,-3.5192067863553613,7.023764126156365,2000
