source,path_index,seed,candidate,baseline,candidate_primary,baseline_primary,gain_percent,positive_months,ci_low,ci_high
SELECTED,3,61711,VINTAGE,INIT0,0.17835750281624574,0.17716063061242793,-0.6755858791427503,1,-7.656203600694082,7.590867500095318
FIXED120,0,-1,STD,INIT0,0.151129372347414,0.14947867266943127,-1.1043044793642343,1,-9.007850613161716,9.007556224834145
FIXED120,0,61710,STD,INIT0,0.14927680483975098,0.14947867266943127,0.13504791424440685,1,-7.938194675758285,10.466256909984626
FIXED120,0,61711,STD,INIT0,0.15298193985507696,0.14947867266943127,-2.343656872972838,1,-10.077506550565113,7.548855539683666
FIXED120,0,-1,EXODROP,STD,0.14819127778239027,0.151129372347414,1.9440923490833242,3,0.3172177825465718,3.455986263096978
FIXED120,0,61710,EXODROP,STD,0.14872351116264945,0.14927680483975098,0.3706494640580539,3,-1.2036279656426323,1.7671725230182207
FIXED120,0,61711,EXODROP,STD,0.1476590444021311,0.15298193985507696,3.4794273480832842,4,1.8343121123963848,5.111269080298413
FIXED120,0,-1,VINTAGE,STD,0.142617769773132,0.151129372347414,5.631997567432254,4,1.9843875914726639,7.889300374369057
FIXED120,0,61710,VINTAGE,STD,0.14184264473295763,0.14927680483975098,4.98011738312187,3,0.9325480759557516,7.396986194470455
FIXED120,0,61711,VINTAGE,STD,0.14339289481330642,0.15298193985507696,6.2680895868195,4,3.086877345637684,8.371288412634751
FIXED120,0,-1,EXODROP,INIT0,0.14819127778239027,0.14947867266943127,0.8612565686129943,1,-5.77543562849014,9.296200437262662
FIXED120,0,61710,EXODROP,INIT0,0.14872351116264945,0.14947867266943127,0.5051968239320922,1,-6.404268992118165,9.388603739466573
FIXED120,0,61711,EXODROP,INIT0,0.1476590444021311,0.14947867266943127,1.2173163132938964,1,-5.342110604382422,9.203797135058785
FIXED120,0,-1,VINTAGE,INIT0,0.142617769773132,0.14947867266943127,4.589887489482859,2,-1.066171921206791,10.77532277641786
FIXED120,0,61710,VINTAGE,INIT0,0.14184264473295763,0.14947867266943127,5.108439752713448,3,-0.41032338572835525,11.30120210850173
FIXED120,0,61711,VINTAGE,INIT0,0.14339289481330642,0.14947867266943127,4.071335226252252,2,-1.7220204566852086,10.249443444333995
FIXED120,3,-1,STD,INIT0,0.1971657463503529,0.17716063061242793,-11.292077516753652,1,-19.99468105156577,2.647133633341024
FIXED120,3,61710,STD,INIT0,0.19559973399288355,0.17716063061242793,-10.40812697308276,1,-18.703614939242108,3.253593912513934
FIXED120,3,61711,STD,INIT0,0.1987317587078222,0.17716063061242793,-12.176028060424528,1,-21.170055753719367,2.040673354168069
FIXED120,3,-1,EXODROP,STD,0.18641138362638215,0.1971657463503529,5.454478236225075,4,3.27027127630043,7.251598445339932
FIXED120,3,61710,EXODROP,STD,0.18783493218505012,0.19559973399288355,3.9697404742462132,4,2.2478514849767914,5.5514219527613635
FIXED120,3,61711,EXODROP,STD,0.1849878350677142,0.1987317587078222,6.915816439945297,4,4.073731553806629,8.980289238233693
FIXED120,3,-1,VINTAGE,STD,0.17824023902049524,0.1971657463503529,9.598780559087604,4,5.17776820313784,13.479625071748735
FIXED120,3,61710,VINTAGE,STD,0.17812297522474474,0.19559973399288355,8.93496039661008,4,4.361384324608475,12.838331411968774
FIXED120,3,61711,VINTAGE,STD,0.17835750281624574,0.1987317587078222,10.252138875060696,4,5.980595346364943,14.114456973887233
FIXED120,3,-1,EXODROP,INIT0,0.18641138362638215,0.17716063061242793,-5.221675369959583,1,-13.112430118438898,5.830836458785014
FIXED120,3,61710,EXODROP,INIT0,0.18783493218505012,0.17716063061242793,-6.025210869775142,1,-14.095533763988962,5.630399563934184
FIXED120,3,61711,EXODROP,INIT0,0.1849878350677142,0.17716063061242793,-4.4181398701440395,1,-12.129326472888831,6.0312733536358305
FIXED120,3,-1,VINTAGE,INIT0,0.17824023902049524,0.17716063061242793,-0.6093952162707964,1,-7.212290722616841,7.525615326255135
FIXED120,3,61710,VINTAGE,INIT0,0.17812297522474474,0.17716063061242793,-0.5432045533988425,1,-6.768377844539618,7.460363152414936
FIXED120,3,61711,VINTAGE,INIT0,0.17835750281624574,0.17716063061242793,-0.6755858791427503,1,-7.656203600694082,7.590867500095318
