source,panel,new,baseline,new_nmae,baseline_nmae,gain_pct,ci_low_pct,ci_high_pct,paired_difference,origins,time_blocks,bootstrap_draws
electricity,HISTORY_SUBSET,A5,A2,0.2927952469761543,0.29532258178148757,0.8557878608833613,-0.45942570890264933,2.825798069580605,-0.0025273348053333434,50,25,2000
electricity,HISTORY_SUBSET,A5,A3,0.2927952469761543,0.31082510915397543,5.800645329747023,-21.021485187983224,30.455784994764,-0.018029862177821175,50,25,2000
electricity,HISTORY_SUBSET,A5,A1,0.2927952469761543,0.24771621491502882,-18.19785276332775,-44.56948494244306,0.4111705580208193,0.04507903206112541,50,25,2000
electricity,HISTORY_SUBSET,A1,A0,0.24771621491502882,0.248905984886569,0.4779997443944084,-0.0908251301647489,1.2872526900264396,-0.0011897699715401775,50,25,2000
electricity,HISTORY_SUBSET,A2,A1,0.29532258178148757,0.24771621491502882,-19.218106849722606,-47.023113008981156,0.790368032798202,0.04760636686645875,50,25,2000
electricity,HISTORY_SUBSET,A3,A1,0.31082510915397543,0.24771621491502882,-25.476287154070288,-58.37126089205525,-9.49993045012827,0.0631088942389466,50,25,2000
ettm1,FAULT,A5,A4,0.41957404258640807,0.41976443177515466,0.04535619846146588,0.01728609571421541,0.07461970462928429,-0.0001903891887465234,128,21,2000
ettm1,FAULT,A5,A2,0.41957404258640807,0.42232683827185646,0.6518164217819367,-0.2123733429434932,1.5259915674477298,-0.0027527956854483406,128,21,2000
ettm1,FAULT,A5,A3,0.41957404258640807,0.4510378208435338,6.975862511547692,3.2809752623700397,10.713375853825829,-0.03146377825712572,128,21,2000
ettm1,FAULT,A5,A1,0.41957404258640807,0.4260418782277138,1.5181220372539883,-0.5653460487877565,3.5404503277035606,-0.006467835641305665,128,21,2000
ettm1,FAULT,A1,A0,0.4260418782277138,0.430939303050929,1.1364535071511916,-0.33984506644076706,2.501657242939747,-0.004897424823215255,128,21,2000
ettm1,FAULT,A2,A1,0.42232683827185646,0.4260418782277138,0.8719893854828187,-0.8237864071221312,2.611685055454647,-0.0037150399558573233,128,21,2000
ettm1,FAULT,A3,A1,0.4510378208435338,0.4260418782277138,-5.867015402288689,-9.360742036834242,-2.566411847282932,0.02499594261582006,128,21,2000
ettm1,REFERENCE,A5,A4,0.40980153183421386,0.40998155441565787,0.0439099221672512,0.0022949985258929884,0.09051969513747535,-0.00018002258144397896,128,21,2000
ettm1,REFERENCE,A5,A2,0.40980153183421386,0.4123041102509384,0.6069739191300827,-0.3422705610789989,1.5273694895104812,-0.002502578416724485,128,21,2000
ettm1,REFERENCE,A5,A3,0.40980153183421386,0.41999794553440545,2.427729423108882,-1.10980407236323,6.0151774439130214,-0.01019641370019153,128,21,2000
ettm1,REFERENCE,A5,A1,0.40980153183421386,0.40846046493840116,-0.32832232515207505,-2.543524583075083,1.7511088246622355,0.0013410668958127015,128,21,2000
ettm1,REFERENCE,A1,A0,0.40846046493840116,0.4074356589333423,-0.251525850177603,-1.7381439981678342,1.1172138461689929,0.001024806005058828,128,21,2000
ettm1,REFERENCE,A2,A1,0.4123041102509384,0.40846046493840116,-0.94100791691476,-2.732797757731809,0.6280243144788207,0.003843645312537186,128,21,2000
ettm1,REFERENCE,A3,A1,0.41999794553440545,0.40846046493840116,-2.8246260253717015,-4.889387781691598,-0.8753866213746689,0.011537480596004231,128,21,2000
ettm1,SHIFT,A5,A4,1.0800716296626238,1.0804628280210191,0.0362065541034684,0.011298075048500611,0.06039390813308369,-0.00039119835839508937,128,21,2000
ettm1,SHIFT,A5,A2,1.0800716296626238,1.0684667270095909,-1.0861267234322458,-1.7931453403878854,-0.33902533513432154,0.01160490265303314,128,21,2000
ettm1,SHIFT,A5,A3,1.0800716296626238,0.6024665451895024,-79.27495531272919,-89.64279690062199,-68.04835783874854,0.4776050844731216,128,21,2000
ettm1,SHIFT,A5,A1,1.0800716296626238,0.6015014024150682,-79.56261204480393,-89.63471589844089,-68.66102355594745,0.47857022724755577,128,21,2000
ettm1,SHIFT,A1,A0,0.6015014024150682,0.6011218028448816,-0.06314852803377402,-1.7345174062190094,1.5768311164067008,0.0003795995701866559,128,21,2000
ettm1,SHIFT,A2,A1,1.0684667270095909,0.6015014024150682,-77.63328941871552,-87.96375634670653,-66.72903031552704,0.46696532459452267,128,21,2000
ettm1,SHIFT,A3,A1,0.6024665451895024,0.6015014024150682,-0.16045561499258287,-1.4230272650726083,1.0742906028563952,0.0009651427744341084,128,21,2000
ettm1,SHIFT_POINT,A5,A4,0.5571205887659088,0.5567902628848727,-0.059326806349768724,-0.1222006128840214,0.00780144661453873,0.00033032588103597943,128,21,2000
ettm1,SHIFT_POINT,A5,A2,0.5571205887659088,0.5499375136392597,-1.306162054505866,-3.1551553430024892,0.49250845498172136,0.007183075126648895,128,21,2000
ettm1,SHIFT_POINT,A5,A3,0.5571205887659088,0.5350883134888336,-4.117502610629331,-8.549126901748716,0.019649638937203576,0.02203227527707506,128,21,2000
ettm1,SHIFT_POINT,A5,A1,0.5571205887659088,0.5613638439319502,0.755883231866239,-2.6801236990842825,3.8742103904497824,-0.004243255166041479,128,21,2000
ettm1,SHIFT_POINT,A1,A0,0.5613638439319502,0.5603004470063236,-0.18979048317884217,-2.417401878050401,2.0055245266145443,0.0010633969256264508,128,21,2000
ettm1,SHIFT_POINT,A2,A1,0.5499375136392597,0.5613638439319502,2.0354588946550622,-1.0955536232324192,5.563795295775154,-0.011426330292690374,128,21,2000
ettm1,SHIFT_POINT,A3,A1,0.5350883134888336,0.5613638439319502,4.680659562802514,1.9581395050231831,7.2094530402061245,-0.02627553044311654,128,21,2000
ettm1,HISTORY_SUBSET,A5,A4,0.5025202160069719,0.5027326710484796,0.04226004271108419,-0.0189452592590722,0.08797732177668627,-0.00021245504150784028,36,17,2000
ettm1,HISTORY_SUBSET,A5,A2,0.5025202160069719,0.4968563943050593,-1.1399313296218017,-3.899041552976003,1.8017784050711405,0.0056638217019124824,36,17,2000
ettm1,HISTORY_SUBSET,A5,A3,0.5025202160069719,0.5009945693339973,-0.30452359493691183,-5.478350215684891,4.463757141287563,0.0015256466729746182,36,17,2000
ettm1,HISTORY_SUBSET,A5,A1,0.5025202160069719,0.49146789169678395,-2.248839547183845,-6.505428246459781,2.1604685342253966,0.011052324310187996,36,17,2000
ettm1,HISTORY_SUBSET,A1,A0,0.49146789169678395,0.49850311549198206,1.4112697747645786,-1.7467829007630002,4.698908603934558,-0.007035223795198315,36,17,2000
ettm1,HISTORY_SUBSET,A2,A1,0.4968563943050593,0.49146789169678395,-1.0964098976377956,-4.2263301505971596,2.048496464935844,0.00538850260827551,36,17,2000
ettm1,HISTORY_SUBSET,A3,A1,0.5009945693339973,0.49146789169678395,-1.9384130272117384,-3.7117373001864977,-0.08867143725111216,0.009526677637213377,36,17,2000
