dataset,seed,role,channel,head_mse,lora_head_mse,lora_added_gain_percent
electricity,41001,selected,column_024,0.2237251078724186,0.2199734295097123,1.676914316137338
electricity,41001,selected,column_025,0.6470907965680354,0.5227592825774957,19.213920928864177
electricity,41001,selected,column_026,0.14796256885785683,0.14668434583192594,0.8638826939797467
electricity,41001,selected,column_027,0.34261722397287236,0.3098310216272415,9.569338623859371
electricity,41001,selected,column_028,0.3747593920605383,0.363854668919936,2.9097931557218377
electricity,41001,selected,column_029,0.6015315094301951,0.535759416315734,10.934106041554523
electricity,41001,selected,column_030,0.3394630796591417,0.35453988137458103,-4.441367152674782
electricity,41001,selected,column_031,0.23977899815194215,0.20107828236109784,16.140160768509258
electricity,41001,matched_old_epoch,column_000,0.34012871453019605,0.33447995733331903,1.6607704541145207
electricity,41001,matched_old_epoch,column_001,0.2025589202075247,0.17130701729108222,15.428549325018333
electricity,41001,matched_old_epoch,column_002,0.0005766058796532023,0.0005789298098054622,-0.4030361524682442
electricity,41001,matched_old_epoch,column_003,0.2056858212728826,0.1727776284737825,15.99925196372234
electricity,41001,matched_old_epoch,column_004,0.28738895891722877,0.2718571799075848,5.404445274502456
electricity,41001,matched_old_epoch,column_005,0.15929057206413516,0.13662197684166577,14.230971066725992
electricity,41001,matched_old_epoch,column_006,0.7323923746992932,0.7112923428552257,2.880973720231698
electricity,41001,matched_old_epoch,column_007,0.23303002034077605,0.21199390171327934,9.027214003043099
electricity,41001,matched_old_epoch,column_008,0.2580636058052886,0.24112233633231844,6.564765078014329
electricity,41001,matched_old_epoch,column_009,0.6688599359786908,0.6343918767660912,5.153255167266837
electricity,41001,matched_old_epoch,column_010,0.19459449168584814,0.17553760937379845,9.793125255988734
electricity,41001,matched_old_epoch,column_011,0.6788219304666442,0.5036358512202777,25.80736882291619
electricity,41001,matched_old_epoch,column_012,0.17521781001245312,0.14437791820988624,17.600888745484845
electricity,41001,matched_old_epoch,column_013,0.26037403781133817,0.22472357648664879,13.692018460965373
electricity,41001,matched_old_epoch,column_014,0.17347563085591317,0.14052538723393657,18.994162730178907
electricity,41001,matched_old_epoch,column_015,0.30861729691928125,0.2886376504521141,6.4739230971855815
electricity,41001,matched_old_epoch,column_016,0.2803238348599283,0.24429997290058603,12.850802350553817
electricity,41001,matched_old_epoch,column_017,0.4361366717465129,0.41453457886284545,4.953055838474136
electricity,41001,matched_old_epoch,column_018,0.1419410990888096,0.11749638970971814,17.22172755883546
electricity,41001,matched_old_epoch,column_019,0.6535341278560721,0.586896489108306,10.196504804786827
