method,baseline,policy,condition,seed,method_score,baseline_score,gain_percent,ci_low,ci_high,replicates
A3,A2,selected,d24_c3,73101,0.5633450606680145,0.5618541913150497,-0.26534808781534064,-0.2960646770032257,-0.034194644960936396,2000
A3,A2,selected,d24_c3,73102,0.6027027590799566,0.6022929144990167,-0.06804738542887581,-0.07295568680217514,-0.026735645662042312,2000
A3,A2,selected,d24_c3,MEAN,0.5830239098739856,0.5820735529070331,-0.16327094096718667,-0.1801284828737253,-0.03044113257568769,2000
A3,A1,selected,d24_c3,73101,0.5633450606680145,0.5516099662196818,-2.1274261102924092,-2.5187633532420386,0.19887817417109274,2000
A3,A1,selected,d24_c3,73102,0.6027027590799566,0.5893716785831145,-2.2619139977833522,-2.5736104102071677,-0.11540942011439283,2000
A3,A1,selected,d24_c3,MEAN,0.5830239098739856,0.5704908224013981,-2.1968955468610702,-2.547226224993179,0.040975487692138185,2000
A3,A0,selected,d24_c3,73101,0.5633450606680145,0.38410913899991705,-46.662758958238726,-97.44068170434832,18.721543778014127,2000
A3,A0,selected,d24_c3,73102,0.6027027590799566,0.36684056515335156,-64.29555952406922,-117.64687269433612,5.447489408490413,2000
A3,A0,selected,d24_c3,MEAN,0.5830239098739856,0.37547485207663434,-55.27642041789539,-107.43736953794559,12.4446294968977,2000
A3,A2,selected,d6_c0,73101,0.39870946246589783,0.39845130025379527,-0.06479140912280282,-0.46725642793552263,0.13723459083577502,2000
A3,A2,selected,d6_c0,73102,0.4120637364876946,0.41109882037859913,-0.23471634100211203,-0.3500037348047536,-0.14001137624949092,2000
A3,A2,selected,d6_c0,MEAN,0.4053865994767962,0.4047750603161972,-0.1510812351238522,-0.4039659111131116,-0.0009144866150585807,2000
A3,A1,selected,d6_c0,73101,0.39870946246589783,0.39053808341472945,-2.0923385959496392,-13.807549917018273,-0.9816791518396812,2000
A3,A1,selected,d6_c0,73102,0.4120637364876946,0.4014722116950244,-2.6381713314484654,-12.042001753179175,-0.667450742758493,2000
A3,A1,selected,d6_c0,MEAN,0.4053865994767962,0.3960051475548769,-2.3690227210037103,-12.84820296817953,-0.8246394471786826,2000
A3,A0,selected,d6_c0,73101,0.39870946246589783,0.3683397504865323,-8.245027027153826,-32.90833907291981,-4.783797682078437,2000
A3,A0,selected,d6_c0,73102,0.4120637364876946,0.3735773445792091,-10.302121492896179,-63.543062063504735,-2.7393603591476596,2000
A3,A0,selected,d6_c0,MEAN,0.4053865994767962,0.3709585475328707,-9.280835331304727,-47.84948814776951,-6.634720278055434,2000
A3,A2,selected,d6_c1,73101,0.24980971018840553,0.24965913898247033,-0.06031071265761829,-0.10667946580103448,-0.029775041441253952,2000
A3,A2,selected,d6_c1,73102,0.2557680604993532,0.2552332070014475,-0.20955482407217865,-0.38144626658079794,-0.044293005632344104,2000
A3,A2,selected,d6_c1,MEAN,0.25278888534387933,0.25244617299195893,-0.13575660421333494,-0.24647631456090788,-0.0370669814428118,2000
A3,A1,selected,d6_c1,73101,0.24980971018840553,0.24709878135252733,-1.0971032803316874,-2.4091600071799717,-0.3583555599409165,2000
A3,A1,selected,d6_c1,73102,0.2557680604993532,0.2513385024331369,-1.7623873872626012,-2.5086292178543643,-1.2926691933978576,2000
A3,A1,selected,d6_c1,MEAN,0.25278888534387933,0.2492186418928321,-1.432574796143255,-2.4598123175074753,-0.8255028160749786,2000
A3,A0,selected,d6_c1,73101,0.24980971018840553,0.32553065516903146,23.260772458221457,7.504892756595559,37.76939929597333,2000
A3,A0,selected,d6_c1,73102,0.2557680604993532,0.29401161926915637,13.0074991134254,-6.896240632072922,26.662076211899567,2000
A3,A0,selected,d6_c1,MEAN,0.25278888534387933,0.3097711372190939,18.394951959295142,1.0755771633629652,32.64530130192918,2000
A3,A2,selected,d6_c2,73101,0.0598023989294352,0.059112282654761684,-1.1674667999272847,-1.1812435660705676,-1.0962306055477302,2000
A3,A2,selected,d6_c2,73102,0.08171552656317416,0.08143590424997423,-0.34336490246563445,-0.35062262422946433,-0.29902700574865404,2000
A3,A2,selected,d6_c2,MEAN,0.07075896274630468,0.07027409345236796,-0.689968763902116,-0.7039275122164975,-0.6220868098090262,2000
A3,A1,selected,d6_c2,73101,0.0598023989294352,0.04694422563364235,-27.390319303889214,-28.16584941297339,-23.38244438745424,2000
A3,A1,selected,d6_c2,73102,0.08171552656317416,0.0699392869852466,-16.837803308477696,-21.916023832072863,-16.459242509419997,2000
A3,A1,selected,d6_c2,MEAN,0.07075896274630468,0.058441756309444474,-21.076037433990813,-22.773322349724328,-19.423143171334786,2000
A3,A0,selected,d6_c2,73101,0.0598023989294352,0.012545731557255317,-376.6752632679351,-521.463517431919,-138.69563993539776,2000
A3,A0,selected,d6_c2,73102,0.08171552656317416,0.009731507730490271,-739.7005769943252,-1043.5899517806959,-423.3043282411623,2000
A3,A0,selected,d6_c2,MEAN,0.07075896274630468,0.011138619643872794,-535.2579135353476,-752.1088332911263,-258.21975296990837,2000
A3,A2,selected,d6_c3,73101,0.43087622252603136,0.4295889668535255,-0.29964821534738806,-0.36236977666516046,-0.009577719913322121,2000
