panel,kind,condition,seed,difference,gain_pct,signed_mean_share_pct
electricity_transfer,standard,BURST16,81552,-0.0006206129672115975,-0.22160758554147555,53.68894836695716
electricity_transfer,standard,BURST16,81553,-0.0006281807207937625,-0.21031966837328106,54.34363132202372
electricity_transfer,standard,BURST4,81551,6.072748134957004e-05,0.02397984361117016,-19.721235499821493
electricity_transfer,standard,BURST4,81552,-0.00027512331883211105,-0.11033927163838982,89.34623405419647
electricity_transfer,standard,BURST4,81553,-9.353355847299998e-05,-0.03616897247758507,30.37500144562502
electricity_transfer,standard,BURST8,81551,0.00014238437481940813,0.05336606704797835,-87.45191944473622
electricity_transfer,standard,BURST8,81552,-0.0001488918295478186,-0.05678380333738718,91.44877238187219
electricity_transfer,standard,BURST8,81553,-0.00015630701032102225,-0.057278286504407604,96.003147062864
electricity_transfer,standard,FAULT,81551,8.228454764008213e-05,0.03186729320261426,-21.445237674509276
electricity_transfer,standard,FAULT,81552,-0.00029911710428212265,-0.11821529101002828,77.95676804227121
electricity_transfer,standard,FAULT,81553,-0.00016686357621961126,-0.06321027660564654,43.488469632238065
electricity_transfer,standard,POINT16,81551,7.224717923681144e-05,0.028977815706859936,-34.581168904148704
electricity_transfer,standard,POINT16,81552,-0.00023559988117713597,-0.0962508442527366,112.77006757701447
electricity_transfer,standard,POINT16,81553,-4.556787977009861e-05,-0.017918981485104925,21.811101327134207
electricity_transfer,standard,POINT4,81551,6.425870964083452e-05,0.026364613325955175,-24.999848748153052
electricity_transfer,standard,POINT4,81552,-0.00026715457265505204,-0.1113905237773141,103.93647718860463
electricity_transfer,standard,POINT4,81553,-5.4140530638291445e-05,-0.021780648368201004,21.063371559548397
electricity_transfer,standard,POINT8,81551,6.123759888081463e-05,0.024879903267944654,-29.225584454385622
electricity_transfer,standard,POINT8,81552,-0.0002473200562690151,-0.10221955802064082,118.03325610171851
electricity_transfer,standard,POINT8,81553,-2.3451757321491166e-05,-0.009348993406964691,11.192328352667095
electricity_transfer,standard,REFERENCE,81551,8.137336383353533e-05,0.033633528790723566,-33.842393328884434
electricity_transfer,standard,REFERENCE,81552,-0.0002570749694241888,-0.10782024074329696,106.91498815339507
electricity_transfer,standard,REFERENCE,81553,-6.47464119084023e-05,-0.026265357664097228,26.92740517548936
electricity_transfer,standard,SHIFT4,81551,-5.7459997993112595e-05,-0.017933779157390348,-7.529145799832521
electricity_transfer,standard,SHIFT4,81552,0.0011317057753195265,0.3549114629690231,148.29060359373065
electricity_transfer,standard,SHIFT4,81553,-0.00031107822126194323,-0.09706695509598892,-40.76145779389815
electricity_transfer,standard,SHIFT8,81551,0.0006925234894730245,0.19162159234026518,25.65371660452
electricity_transfer,standard,SHIFT8,81552,0.0023050237290141353,0.62691841917021,85.38688782357308
electricity_transfer,standard,SHIFT8,81553,-0.0002980417232443895,-0.08591479257779581,-11.040604428093085
electricity_transfer,standard,SHIFT_POINT,81551,0.0001581403569332961,0.047063551416812274,12.169081446209129
electricity_transfer,standard,SHIFT_POINT,81552,0.0013924823170842512,0.41675297946428524,107.15310789485439
electricity_transfer,standard,SHIFT_POINT,81553,-0.0002510968418310972,-0.07492644281892463,-19.322189341063517
ettm1,shape,PAIRED_SHIFT8_D32,81551,0.0,0.0,0.0
ettm1,shape,PAIRED_SHIFT8_D32,81552,0.006806069473418963,1.2312854625748115,109.17419399879672
ettm1,shape,PAIRED_SHIFT8_D32,81553,-0.0005719318772266103,-0.10570053601760873,-9.17419399879674
ettm1,shape,PULSE8_D32,81551,8.673617379884035e-19,1.3197170324551103e-17,-2.0241560303528264e-15
ettm1,shape,PULSE8_D32,81552,-0.042649457211733605,-0.6637957977942369,99.53074043434412
ettm1,shape,PULSE8_D32,81553,-0.000201080245955154,-0.003112686537371213,0.46925956565586496
ettm1,shape,RAMP8_D32,81551,-1.734723475976807e-18,-1.7534231499717364e-16,-2.0033594149335557e-14
ettm1,shape,RAMP8_D32,81552,0.008854149551970038,0.8758879098712278,102.25286111482849
ettm1,shape,RAMP8_D32,81553,-0.00019507688110662145,-0.019858520040307595,-2.2528611148284767
ettm1,shape,STEP12_D17,81551,-1.734723475976807e-18,-2.2711588755216553e-16,-5.980811306826679e-15
ettm1,shape,STEP12_D17,81552,0.025758477493114263,2.969976749376725,88.80757975025988
ettm1,shape,STEP12_D17,81553,0.003246341200910433,0.37918500157248586,11.19242024974014
ettm1,shape,STEP12_D63,81551,0.0,0.0,-0.0
ettm1,shape,STEP12_D63,81552,-0.03207903040980151,-4.841566546650013,99.08047043762052
ettm1,shape,STEP12_D63,81553,-0.00029771373373579674,-0.04636012614415918,0.9195295623794933
ettm1,shape,STEP6_D17,81551,0.0,0.0,0.0
ettm1,shape,STEP6_D17,81552,0.006932196599574608,1.093099923042353,90.67744845733615
ettm1,shape,STEP6_D17,81553,0.0007126993668532685,0.1142952721280275,9.32255154266385
ettm1,shape,STEP6_D63,81551,0.0,0.0,-0.0
ettm1,shape,STEP6_D63,81552,-0.015171075799018049,-2.7273809482818736,94.88915168566785
ettm1,shape,STEP6_D63,81553,-0.0008171331052770642,-0.1500896932666018,5.110848314332116
ettm1,shape,STEP8_D31,81551,0.0,0.0,0.0
ettm1,shape,STEP8_D31,81552,0.0027354480996231497,0.5058337521315281,184.1904340729715
ettm1,shape,STEP8_D31,81553,-0.0012503285746105549,-0.23309834238058758,-84.19043407297146
ettm1,shape,STEP8_D33,81551,0.0,0.0,0.0
ettm1,shape,STEP8_D33,81552,0.0067669989482405934,1.2150947132644474,89.61187784014339
ettm1,shape,STEP8_D33,81553,0.0007844541753197569,0.14180569349102837,10.388122159856609
ettm1,standard,BURST16,81551,0.0,0.0,-0.0
ettm1,standard,BURST16,81552,-0.000828913778764016,-0.17545616886089038,72.86684393663174
ettm1,standard,BURST16,81553,-0.00030865954537347004,-0.06712649844692892,27.133156063368247
ettm1,standard,BURST4,81551,0.0,0.0,-0.0
ettm1,standard,BURST4,81552,-0.00014350435418305986,-0.0339662590888978,29.171503884392525
ettm1,standard,BURST4,81553,-0.00034842898854678904,-0.08384065546749413,70.82849611560748
ettm1,standard,BURST8,81551,0.0,0.0,0.0
ettm1,standard,BURST8,81552,0.0007775579322812115,0.18198479029376197,98.11233565260783
ettm1,standard,BURST8,81553,1.4960079963810414e-05,0.00356965906170354,1.8876643473921726
ettm1,standard,FAULT,81551,0.0,0.0,-0.0
ettm1,standard,FAULT,81552,3.358577719790308e-05,0.00785750896491307,-31.23943077304341
ettm1,standard,FAULT,81553,-0.00014109662604116802,-0.033604947672038095,131.23943077304347
ettm1,standard,POINT16,81551,0.0,0.0,0.0
ettm1,standard,POINT16,81552,0.0006152094751199846,0.1472739695207547,88.87428653971027
ettm1,standard,POINT16,81553,7.701490053798545e-05,0.01871781490131231,11.12571346028975
ettm1,standard,POINT4,81551,0.0,0.0,-0.0
ettm1,standard,POINT4,81552,-9.573478675638106e-05,-0.02333107832680369,44.70734446463112
ettm1,standard,POINT4,81553,-0.00011840181183340727,-0.029144778575593354,55.29265553536891
ettm1,standard,POINT8,81551,8.673617379884035e-19,2.1390826513499478e-16,-3.030993013771444e-13
ettm1,standard,POINT8,81552,-0.00012309982451030941,-0.029708430992494733,43.01719706388837
ettm1,standard,POINT8,81553,-0.00016306439099514109,-0.0400636895196105,56.98280293611196
ettm1,standard,REFERENCE,81551,0.0,0.0,-0.0
ettm1,standard,REFERENCE,81552,-0.00022150549844291963,-0.054038958156158425,55.05978127473147
ettm1,standard,REFERENCE,81553,-0.00018079449860515222,-0.04463108344377046,44.94021872526849
ettm1,standard,SHIFT4,81551,0.0,0.0,-0.0
ettm1,standard,SHIFT4,81552,-0.003373934360101417,-0.6095761587648295,69.58808288842242
ettm1,standard,SHIFT4,81553,-0.0014745026424111914,-0.27310529627465036,30.411917111577594
ettm1,standard,SHIFT8,81551,0.0,0.0,0.0
ettm1,standard,SHIFT8,81552,0.00446087227476998,0.801866981886776,116.04335779492942
ettm1,standard,SHIFT8,81553,-0.0006167295685125603,-0.1127804791381134,-16.043357794929417
ettm1,standard,SHIFT_POINT,81551,8.673617379884035e-19,1.4898430513951813e-16,-2.2007965622514478e-14
ettm1,standard,SHIFT_POINT,81552,-0.0026152823731862194,-0.43967940074430617,66.35875441743306
ettm1,standard,SHIFT_POINT,81553,-0.00132584400289772,-0.2292003341233831,33.64124558256698
