panel,kind,condition,factor,excluded,removed_cells,gain_pct,change_pp
electricity,shape,RAMP8_D32,index_week,152,24,0.3303204647877801,-0.003837953512315917
electricity,shape,RAMP8_D32,index_week,153,24,0.31926731744671644,-0.01489110085337958
electricity,shape,RAMP8_D32,index_week,154,24,0.3271507999294758,-0.0070076183706201944
electricity,shape,RAMP8_D32,index_week,155,12,0.33914676186269993,0.004988343562603914
electricity,shape,RAMP8_D32,index_week,156,12,0.34625962217311007,0.012101203873014055
electricity,shape,STEP12_D17,seed,81551,256,1.602545458738884,0.5851678384037755
electricity,shape,STEP12_D17,seed,81552,256,-0.15713930043938787,-1.1745169207744965
electricity,shape,STEP12_D17,seed,81553,256,1.5770065096051566,0.5596288892700481
electricity,shape,STEP12_D17,channel,0,192,1.5100601322945657,0.4926825119594571
electricity,shape,STEP12_D17,channel,1,192,0.6460002402428258,-0.3713773800922828
electricity,shape,STEP12_D17,channel,2,192,0.9763967789840461,-0.0409808413510625
electricity,shape,STEP12_D17,channel,3,192,0.9476402378398688,-0.06973738249523975
electricity,shape,STEP12_D17,index_week,125,24,1.0440778692520332,0.026700248916924574
electricity,shape,STEP12_D17,index_week,126,24,1.0421500415343494,0.024772421199240835
electricity,shape,STEP12_D17,index_week,127,24,1.002699749188901,-0.014677871146207666
electricity,shape,STEP12_D17,index_week,128,24,1.0129993802581934,-0.00437824007691523
electricity,shape,STEP12_D17,index_week,129,24,0.9903665079557692,-0.027011112379339397
electricity,shape,STEP12_D17,index_week,130,24,1.0063940278727446,-0.010983592462364022
electricity,shape,STEP12_D17,index_week,131,24,1.0093821358453916,-0.007995484489716986
electricity,shape,STEP12_D17,index_week,132,24,1.0018154424472627,-0.015562177887845863
electricity,shape,STEP12_D17,index_week,133,24,0.9935985164409638,-0.023779103894144837
electricity,shape,STEP12_D17,index_week,134,24,1.0468512519688729,0.029473631633764263
electricity,shape,STEP12_D17,index_week,135,24,1.0566948679763397,0.03931724764123112
electricity,shape,STEP12_D17,index_week,136,36,1.0497524028071539,0.03237478247204528
electricity,shape,STEP12_D17,index_week,137,24,1.0221625429819379,0.004784922646829282
electricity,shape,STEP12_D17,index_week,138,24,1.0288330580245937,0.011455437689485093
electricity,shape,STEP12_D17,index_week,139,24,1.035428642635516,0.018051022300407338
electricity,shape,STEP12_D17,index_week,140,24,1.0350565652032306,0.01767894486812205
electricity,shape,STEP12_D17,index_week,141,24,1.0186684201110883,0.0012907997759796785
electricity,shape,STEP12_D17,index_week,142,24,1.0326844647174556,0.015306844382346974
electricity,shape,STEP12_D17,index_week,143,24,1.0271386710003907,0.0097610506652821
electricity,shape,STEP12_D17,index_week,144,24,1.016944891008717,-0.00043272932639149
electricity,shape,STEP12_D17,index_week,145,24,1.0151579137730025,-0.0022197065621061274
electricity,shape,STEP12_D17,index_week,146,24,1.01797559844256,0.0005979781074514356
electricity,shape,STEP12_D17,index_week,147,24,1.0295815150763188,0.012203894741210197
electricity,shape,STEP12_D17,index_week,148,24,0.9901073987925716,-0.027270221542537
electricity,shape,STEP12_D17,index_week,149,36,1.0080608492021157,-0.009316771132992896
electricity,shape,STEP12_D17,index_week,150,24,0.9992748557749633,-0.018102764560145257
electricity,shape,STEP12_D17,index_week,151,24,0.9916712940336576,-0.025706326301450977
electricity,shape,STEP12_D17,index_week,152,24,0.9936367504914834,-0.023740869843625223
electricity,shape,STEP12_D17,index_week,153,24,1.0164235174517615,-0.0009541028833470744
electricity,shape,STEP12_D17,index_week,154,24,0.9974613130060888,-0.019916307329019833
electricity,shape,STEP12_D17,index_week,155,12,1.0152681577050322,-0.0021094626300763863
electricity,shape,STEP12_D17,index_week,156,12,1.0117601928975886,-0.005617427437520028
electricity,shape,STEP12_D63,seed,81551,256,-0.34909960558460196,-0.24260773210458264
electricity,shape,STEP12_D63,seed,81552,256,0.29012632126675186,0.3966181947467712
electricity,shape,STEP12_D63,seed,81553,256,-0.2656737382170529,-0.1591818647370336
electricity,shape,STEP12_D63,channel,0,192,-0.1317398836310908,-0.025248010151071462
electricity,shape,STEP12_D63,channel,1,192,-0.08660630120946468,0.019885572270554652
electricity,shape,STEP12_D63,channel,2,192,-0.10899571878161832,-0.0025038453015989864
electricity,shape,STEP12_D63,channel,3,192,-0.09853800819366638,0.007953865286352946
electricity,shape,STEP12_D63,index_week,125,24,-0.0992795757765707,0.007212297703448625
electricity,shape,STEP12_D63,index_week,126,24,-0.0972576247383094,0.00923424874170993
electricity,shape,STEP12_D63,index_week,127,24,-0.10479070884062515,0.0017011646393941815
electricity,shape,STEP12_D63,index_week,128,24,-0.0910630244055753,0.015428849074444029
electricity,shape,STEP12_D63,index_week,129,24,-0.10827709709466005,-0.0017852236146407158
electricity,shape,STEP12_D63,index_week,130,24,-0.11491640592393021,-0.008424532443910879
electricity,shape,STEP12_D63,index_week,131,24,-0.11944730987855995,-0.012955436398540618
electricity,shape,STEP12_D63,index_week,132,24,-0.10949262883504816,-0.0030007553550288335
electricity,shape,STEP12_D63,index_week,133,24,-0.10747908294172506,-0.000987209461705732
electricity,shape,STEP12_D63,index_week,134,24,-0.11295964881321362,-0.006467775333194287
electricity,shape,STEP12_D63,index_week,135,24,-0.12736437935568856,-0.02087250587566923
electricity,shape,STEP12_D63,index_week,136,36,-0.1043833400624639,0.0021085334175554304
electricity,shape,STEP12_D63,index_week,137,24,-0.11534949601421914,-0.008857622534199805
electricity,shape,STEP12_D63,index_week,138,24,-0.1152973376457656,-0.008805464165746263
electricity,shape,STEP12_D63,index_week,139,24,-0.11257187089086391,-0.006079997410844584
electricity,shape,STEP12_D63,index_week,140,24,-0.1140152493818826,-0.0075233759018632634
electricity,shape,STEP12_D63,index_week,141,24,-0.10354742781781684,0.002944445662202491
electricity,shape,STEP12_D63,index_week,142,24,-0.10473952197145765,0.001752351508561678
electricity,shape,STEP12_D63,index_week,143,24,-0.10471296162457239,0.0017789118554469435
electricity,shape,STEP12_D63,index_week,144,24,-0.10621358263952382,0.000278290840495507
electricity,shape,STEP12_D63,index_week,145,24,-0.10289333647096827,0.0035985370090510643
electricity,shape,STEP12_D63,index_week,146,24,-0.10151236404432994,0.004979509435689394
electricity,shape,STEP12_D63,index_week,147,24,-0.08958797225506812,0.01690390122495121
electricity,shape,STEP12_D63,index_week,148,24,-0.10896186917207996,-0.0024699956920606336
electricity,shape,STEP12_D63,index_week,149,36,-0.11734643989666826,-0.010854566416648934
electricity,shape,STEP12_D63,index_week,150,24,-0.10212395317755997,0.0043679203024593605
electricity,shape,STEP12_D63,index_week,151,24,-0.09210154093141353,0.014390332548605805
electricity,shape,STEP12_D63,index_week,152,24,-0.10874753573085104,-0.002255662250831708
electricity,shape,STEP12_D63,index_week,153,24,-0.11014284936252774,-0.0036509758825084143
electricity,shape,STEP12_D63,index_week,154,24,-0.09621595502031006,0.010275918459709266
electricity,shape,STEP12_D63,index_week,155,12,-0.10535008498088073,0.0011417884991385963
electricity,shape,STEP12_D63,index_week,156,12,-0.10156773816749566,0.00492413531252367
electricity,shape,STEP6_D17,seed,81551,256,0.3097014577364266,0.13996109833793013
electricity,shape,STEP6_D17,seed,81552,256,-0.08997361238087585,-0.25971397177937233
electricity,shape,STEP6_D17,seed,81553,256,0.2907289248587616,0.12098856546026515
electricity,shape,STEP6_D17,channel,0,192,0.40094150102220455,0.23120114162370808
electricity,shape,STEP6_D17,channel,1,192,0.05260063408754444,-0.11713972531095203
electricity,shape,STEP6_D17,channel,2,192,0.12705268924144114,-0.042687670157055324
electricity,shape,STEP6_D17,channel,3,192,0.1349055971436603,-0.03483476225483617
electricity,shape,STEP6_D17,index_week,125,24,0.19961449560470276,0.029874136206206298
electricity,shape,STEP6_D17,index_week,126,24,0.16932117066871474,-0.00041918872978172206
electricity,shape,STEP6_D17,index_week,127,24,0.17343628184820586,0.003695922449709399
electricity,shape,STEP6_D17,index_week,128,24,0.1865472437009969,0.016806884302500436
electricity,shape,STEP6_D17,index_week,129,24,0.1714198399546159,0.0016794805561194392
electricity,shape,STEP6_D17,index_week,130,24,0.16580460064571337,-0.003935758752783097
electricity,shape,STEP6_D17,index_week,131,24,0.1485310530679807,-0.021209306330515765
electricity,shape,STEP6_D17,index_week,132,24,0.15232579294913545,-0.017414566449361013
electricity,shape,STEP6_D17,index_week,133,24,0.1609162773694473,-0.008824082029049163
electricity,shape,STEP6_D17,index_week,134,24,0.1765287952816736,0.006788435883177124
electricity,shape,STEP6_D17,index_week,135,24,0.1678694380165427,-0.0018709213819537718
electricity,shape,STEP6_D17,index_week,136,36,0.20202732942824975,0.03228697002975328
electricity,shape,STEP6_D17,index_week,137,24,0.1431845587117291,-0.026555800686767356
electricity,shape,STEP6_D17,index_week,138,24,0.17605725581943701,0.006316896420940549
electricity,shape,STEP6_D17,index_week,139,24,0.1805370979675415,0.010796738569045033
electricity,shape,STEP6_D17,index_week,140,24,0.18399121293108284,0.014250853532586372
electricity,shape,STEP6_D17,index_week,141,24,0.16911515839914376,-0.0006252009993527041
electricity,shape,STEP6_D17,index_week,142,24,0.1731575764584501,0.0034172170599536256
electricity,shape,STEP6_D17,index_week,143,24,0.19047309728718304,0.02073273788868657
electricity,shape,STEP6_D17,index_week,144,24,0.174608525505486,0.0048681661069895354
electricity,shape,STEP6_D17,index_week,145,24,0.1666458897810752,-0.0030944696174212694
electricity,shape,STEP6_D17,index_week,146,24,0.15695070642628972,-0.012789652972206744
electricity,shape,STEP6_D17,index_week,147,24,0.19057784588658644,0.020837486488089974
electricity,shape,STEP6_D17,index_week,148,24,0.14818041896130868,-0.021559940437187786
