panel,kind,condition,stratum,contexts,fraction
neso_2025,shape,STEP8_D33,DIFFERENT,0,0.0
neso_2025,shape,RAMP8_D32,ALL,128,1.0
neso_2025,shape,RAMP8_D32,EQUAL,128,1.0
neso_2025,shape,RAMP8_D32,DIFFERENT,0,0.0
neso_2025,shape,PULSE8_D32,ALL,128,1.0
neso_2025,shape,PULSE8_D32,EQUAL,128,1.0
neso_2025,shape,PULSE8_D32,DIFFERENT,0,0.0
neso_2025,shape,PAIRED_SHIFT8_D32,ALL,128,1.0
neso_2025,shape,PAIRED_SHIFT8_D32,EQUAL,128,1.0
neso_2025,shape,PAIRED_SHIFT8_D32,DIFFERENT,0,0.0
