panel,kind,condition,stratum,seed,contexts,C3_nmae,RECENCY_nmae,gain_pct,total,gate,weights
electricity,standard,POINT8,DIFFERENT,81553,1024,0.17104817306744202,0.17099371917662762,-0.03184555027904157,-5.4453890814404327e-05,5.1772514808381964e-05,-0.00010622640562278629
electricity,standard,POINT16,ALL,81551,1024,0.17104560266798147,0.1707334068002296,-0.1828557595158653,-0.0003121958677518577,-4.405968434616214e-05,-0.00026813618340569556
electricity,standard,POINT16,ALL,81552,1024,0.16887446805773831,0.1686441266288309,-0.13658431723173603,-0.0002303414289074046,-5.056042442132258e-05,-0.00017978100448608203
electricity,standard,POINT16,ALL,81553,1024,0.17213133279679743,0.17189606122147308,-0.1368685085932464,-0.00023527157532435283,-9.357353654092238e-05,-0.00014169803878343046
electricity,standard,POINT16,DIFFERENT,81551,1024,0.17104560266798147,0.1707334068002296,-0.1828557595158653,-0.0003121958677518577,-4.405968434616214e-05,-0.00026813618340569556
electricity,standard,POINT16,DIFFERENT,81552,1024,0.16887446805773831,0.1686441266288309,-0.13658431723173603,-0.0002303414289074046,-5.056042442132258e-05,-0.00017978100448608203
electricity,standard,POINT16,DIFFERENT,81553,1024,0.17213133279679743,0.17189606122147308,-0.1368685085932464,-0.00023527157532435283,-9.357353654092238e-05,-0.00014169803878343046
electricity,standard,BURST4,ALL,81551,1024,0.17007410095673048,0.16980841306741976,-0.1564633250563663,-0.00026568788931072285,9.94959334948975e-06,-0.0002756374826602126
electricity,standard,BURST4,ALL,81552,1024,0.16891591438788442,0.16864183100692107,-0.16252395940370423,-0.0002740833809633525,-3.506508605294334e-05,-0.00023901829491040916
electricity,standard,BURST4,ALL,81553,1024,0.17119289854573672,0.171106917966036,-0.05024962212094586,-8.598057970071737e-05,-2.389135958928701e-05,-6.208922011143037e-05
electricity,standard,BURST4,EQUAL,81551,11,0.02001799274700276,0.019885352064567263,-0.667027076034743,-0.00013264068243549684,0.0,-0.00013264068243549684
electricity,standard,BURST4,EQUAL,81552,11,0.017575653747992706,0.017508039187766385,-0.3861915060914711,-6.761456022632076e-05,0.0,-6.761456022632076e-05
electricity,standard,BURST4,EQUAL,81553,11,0.023777297883882397,0.024037628750564363,1.0830139253059756,0.00026033086668196537,0.0,0.00026033086668196537
electricity,standard,BURST4,DIFFERENT,81551,1013,0.17170353549800096,0.17143640287100453,-0.15582024734701605,-0.00026713262699643026,1.0057634343446642e-05,-0.0002771902613398769
electricity,standard,BURST4,DIFFERENT,81552,1013,0.17055929332869277,0.17028296793684283,-0.162274239871385,-0.0002763253918499353,-3.544585204165451e-05,-0.0002408795398082808
electricity,standard,BURST4,DIFFERENT,81553,1013,0.1727936602508507,0.1727039191322455,-0.05196241003451174,-8.974111860518552e-05,-2.4150791924387738e-05,-6.559032668079778e-05
electricity,standard,BURST8,ALL,81551,1024,0.1796061344569982,0.17937558496200523,-0.12852891604049343,-0.00023054949499295985,7.170295576960917e-05,-0.000302252450762569
electricity,standard,BURST8,ALL,81552,1024,0.17805907156351625,0.17804061278841293,-0.010367732852767375,-1.845877510331384e-05,0.00012094448947637393,-0.00013940326457968777
electricity,standard,BURST8,ALL,81553,1024,0.18203852512514784,0.1818989581067435,-0.07672777230667283,-0.00013956701840434071,-3.949393535833401e-05,-0.0001000730830460067
electricity,standard,BURST8,EQUAL,81551,11,0.0712275899569321,0.07044884744547344,-1.1054013510460647,-0.0007787425114586521,0.0,-0.0007787425114586521
electricity,standard,BURST8,EQUAL,81552,11,0.06316248031875717,0.06269308411185076,-0.7487208733724993,-0.0004693962069064056,0.0,-0.0004693962069064056
electricity,standard,BURST8,EQUAL,81553,11,0.07717084977885233,0.0773029583634614,0.17089719126650582,0.00013210858460907526,0.0,0.00013210858460907526
electricity,standard,BURST8,DIFFERENT,81551,1013,0.18078299920477778,0.1805584024473773,-0.1243900889441818,-0.00022459675740046925,7.248156634558078e-05,-0.00029707832374605003
electricity,standard,BURST8,DIFFERENT,81552,1013,0.17930671470635176,0.1792931525864803,-0.0075642151837973515,-1.3562119871468603e-05,0.00012225780574910694,-0.00013581992562057554
electricity,standard,BURST8,DIFFERENT,81553,1013,0.18317726592357753,0.18303474882458767,-0.07786341113098505,-0.00014251709898985276,-3.9922793491548036e-05,-0.00010259430549830473
electricity,standard,BURST16,ALL,81551,1024,0.17778540698052675,0.17749761390847207,-0.1621391216014123,-0.0002877930720546762,-8.556587057673148e-06,-0.00027923648499700304
electricity,standard,BURST16,ALL,81552,1024,0.1759714924658875,0.17582781727374266,-0.08171357318345063,-0.0001436751921448376,-3.603072205168867e-05,-0.00010764447009314893
electricity,standard,BURST16,ALL,81553,1024,0.18195470397618935,0.18176892780635706,-0.10220458032859092,-0.00018577616983228573,-0.00015760185145750893,-2.8174318374776797e-05
electricity,standard,BURST16,EQUAL,81551,7,0.07776967284863864,0.07695568236289156,-1.057739286760695,-0.000813990485747082,0.0,-0.000813990485747082
electricity,standard,BURST16,EQUAL,81552,7,0.06611110693864544,0.06426428308001787,-2.8737951629025815,-0.0018468238586275693,0.0,-0.0018468238586275693
electricity,standard,BURST16,EQUAL,81553,7,0.0742505459779504,0.07386755787142671,-0.5184794482989696,-0.0003829881065236934,0.0,-0.0003829881065236934
electricity,standard,BURST16,DIFFERENT,81551,1017,0.17847381419677377,0.17818964293582618,-0.15947686760331425,-0.0002841712609475966,-8.615481953813675e-06,-0.0002755557789937829
electricity,standard,BURST16,DIFFERENT,81552,1017,0.17672766031120776,0.17659570787291284,-0.07472007099396105,-0.00013195243829491887,-3.627872112187125e-05,-9.567371717304762e-05
electricity,standard,BURST16,DIFFERENT,81553,1017,0.1826960305307495,0.18251161176854436,-0.1010449474519115,-0.00018441876220515185,-0.00015868662329646122,-2.5732138908690638e-05
electricity,standard,SHIFT4,ALL,81551,1024,0.18950369926989685,0.1896978129098639,0.10232782180745748,0.00019411363996704734,0.00013988013034922642,5.423350961782092e-05
electricity,standard,SHIFT4,ALL,81552,1024,0.18875601381224005,0.18879136197299035,0.018723399408149266,3.534816075029257e-05,-9.617885247448221e-05,0.00013152701322477478
electricity,standard,SHIFT4,ALL,81553,1024,0.19022650062281535,0.19023565728387246,0.004813325318631101,9.156661057108106e-06,-9.924782767151141e-07,1.014913933382322e-05
electricity,standard,SHIFT4,EQUAL,81551,384,0.07668296615095783,0.07704902025907893,0.4750924890287167,0.00036605410812109995,0.0,0.00036605410812109995
electricity,standard,SHIFT4,EQUAL,81552,384,0.07822209453953209,0.07820938197090661,-0.016254531496251445,-1.2712568625478093e-05,0.0,-1.2712568625478093e-05
electricity,standard,SHIFT4,EQUAL,81553,384,0.07641280739466765,0.07645374031516114,0.05353946101885887,4.0932920493494396e-05,0.0,4.0932920493494396e-05
electricity,standard,SHIFT4,DIFFERENT,81551,640,0.2571961391412605,0.25728708850033477,0.03534936774495234,9.094935907427715e-05,0.00022380820855860684,-0.0001328588494843297
electricity,standard,SHIFT4,DIFFERENT,81552,640,0.25507636537586487,0.25514054997424057,0.025156565031381195,6.4184598375705e-05,-0.00015388616395906052,0.00021807076233476552
electricity,standard,SHIFT4,DIFFERENT,81553,640,0.258514716559704,0.2585048074650994,-0.003833234167571753,-9.909094604576563e-06,-1.5879652425776491e-06,-8.321129361998914e-06
electricity,standard,SHIFT8,ALL,81551,1024,0.20122481416988122,0.2018510802339092,0.31026143793843053,0.0006262660640279916,0.0002648698849363612,0.00036139617909163035
electricity,standard,SHIFT8,ALL,81552,1024,0.20219362089667944,0.2023240173443427,0.06444931717687341,0.00013039644766324465,-2.3949612797266595e-05,0.00015434606046051125
electricity,standard,SHIFT8,ALL,81553,1024,0.199255246596356,0.19935140318161895,0.04823471705155402,9.615658526296311e-05,0.00015269129506791101,-5.65347098049479e-05
electricity,standard,SHIFT8,EQUAL,81551,456,0.11241585783027824,0.11303044355993046,0.5437346880146965,0.0006145857296522145,0.0,0.0006145857296522145
electricity,standard,SHIFT8,EQUAL,81552,456,0.11509973115919711,0.11536617187250849,0.23095220114074388,0.000266440713311375,0.0,0.000266440713311375
electricity,standard,SHIFT8,EQUAL,81553,456,0.11050113836027756,0.11051244889247092,0.010234622711480235,1.1310532193359313e-05,0.0,1.1310532193359313e-05
electricity,standard,SHIFT8,DIFFERENT,81551,568,0.27252214531575997,0.2731577885496385,0.23270185238120078,0.0006356432338785467,0.0004775119052374266,0.00015813132864112012
electricity,standard,SHIFT8,DIFFERENT,81552,568,0.27211406758733414,0.27213524539919526,0.007782090787267215,2.1177811861117224e-05,-4.317676673326609e-05,6.435457859438332e-05
electricity,standard,SHIFT8,DIFFERENT,81553,568,0.2705085447577148,0.2706728171883997,0.06069040563114747,0.0001642724306848975,0.00027527444744634977,-0.00011100201676145227
electricity,standard,SHIFT_POINT,ALL,81551,1024,0.19466151391236583,0.19491786962873447,0.13151986365177448,0.00025635571636864474,0.0002533846897068148,2.971026661829912e-06
electricity,standard,SHIFT_POINT,ALL,81552,1024,0.1922021980869312,0.1922024647777607,0.0001387551558207356,2.666908295034798e-07,-0.00017262591088641754,0.00017289260171592102
electricity,standard,SHIFT_POINT,ALL,81553,1024,0.1940262621064617,0.1941745373847681,0.07636185480517366,0.0001482752783063812,0.00011642944040864134,3.184583789773987e-05
electricity,standard,SHIFT_POINT,EQUAL,81551,1,0.1824285168445447,0.18295849630427113,0.28967195863102146,0.0005299794597264373,0.0,0.0005299794597264373
electricity,standard,SHIFT_POINT,EQUAL,81552,1,0.19261976939675612,0.2176424489635881,11.49715034267892,0.025022679566831962,0.0,0.025022679566831962
electricity,standard,SHIFT_POINT,EQUAL,81553,1,0.17874397379986645,0.1791527919104831,0.2281952216636074,0.00040881811061665996,0.0,0.00040881811061665996
electricity,standard,SHIFT_POINT,DIFFERENT,81551,1023,0.194673471876264,0.19492956012074278,0.13137476138568305,0.000256088244478786,0.00025363237757557167,2.45586690321431e-06
electricity,standard,SHIFT_POINT,DIFFERENT,81552,1023,0.19220178990383266,0.1921775967580287,-0.012588952204684034,-2.4193145803957927e-05,-0.00017279465566734376,0.00014860150986338583
electricity,standard,SHIFT_POINT,DIFFERENT,81553,1023,0.1940412008047086,0.19418922139793943,0.07622492750383181,0.00014802059323082428,0.00011654325217835826,3.1477341052466024e-05
electricity,standard,FAULT,ALL,81551,6144,0.17284216411292053,0.1725927873633585,-0.1444885115836403,-0.00024937674956201916,8.015528913080106e-06,-0.00025739227847509927
electricity,standard,FAULT,ALL,81552,6144,0.1711469339711502,0.17100062931594104,-0.08555796302880392,-0.0001463046552091507,1.234489834520125e-05,-0.00015864955355435195
electricity,standard,FAULT,ALL,81553,6144,0.1746907242735286,0.17456630327490472,-0.0712743503698654,-0.000124420998623892,-2.9729079067203346e-05,-9.469191955668865e-05
electricity,standard,FAULT,EQUAL,81551,39,0.09022816965292142,0.08978254336173741,-0.496339571701121,-0.000445626291184012,0.0,-0.000445626291184012
electricity,standard,FAULT,EQUAL,81552,39,0.08445639997088761,0.0838725999349546,-0.6960557278369306,-0.000583800035933002,0.0,-0.000583800035933002
electricity,standard,FAULT,EQUAL,81553,39,0.09440443205639565,0.09439919077350913,-0.005552254043261762,-5.241282886522813e-06,0.0,-5.241282886522813e-06
electricity,standard,FAULT,DIFFERENT,81551,6105,0.17336991936008514,0.17312179629309857,-0.1433228353098226,-0.00024812306698657194,8.066733766076695e-06,-0.00025618980075264863
electricity,standard,FAULT,DIFFERENT,81552,6105,0.17170073099424776,0.17155722114982447,-0.08365129923499914,-0.00014350984442329517,1.2423760103602577e-05,-0.00015593360452689775
electricity,standard,FAULT,DIFFERENT,81553,6105,0.17520360967835547,0.17507842733511017,-0.07150072407589025,-0.00012518234324529476,-2.9918994559993695e-05,-9.526334868530106e-05
electricity,shape,STEP6_D17,ALL,81551,512,0.23902000299599507,0.23987456047054145,0.356251814644315,0.0008545574745463802,0.00017310933394487638,0.0006814481406015038
electricity,shape,STEP6_D17,ALL,81552,512,0.2346741849754629,0.23562777983439112,0.4047039188666224,0.0009535948589282084,-7.456068261485482e-05,0.0010281555415430632
electricity,shape,STEP6_D17,ALL,81553,512,0.2344829132737236,0.23447214917421488,-0.004590779564495051,-1.0764099508703273e-05,8.618543048762028e-05,-9.694952999632356e-05
electricity,shape,STEP6_D17,EQUAL,81551,215,0.12673498021259982,0.12757988139530416,0.6622526792342875,0.0008449011827043329,0.0,0.0008449011827043329
electricity,shape,STEP6_D17,EQUAL,81552,215,0.12720107334583747,0.12823109102494343,0.8032511233220352,0.00103001767910596,0.0,0.00103001767910596
electricity,shape,STEP6_D17,EQUAL,81553,215,0.11998257002279933,0.1201517603135708,0.14081382605625192,0.00016919029077147596,0.0,0.00016919029077147596
electricity,shape,STEP6_D17,DIFFERENT,81551,297,0.3203037736977796,0.32116532141726195,0.26825677058793795,0.0008615477194823251,0.00029842417164904766,0.0005631235478332774
electricity,shape,STEP6_D17,DIFFERENT,81552,297,0.31247458565010744,0.31337285759207206,0.28664637673692095,0.0008982719419646235,-0.00012853558753811445,0.001026807529502738
electricity,shape,STEP6_D17,DIFFERENT,81553,297,0.31737036714223804,0.31722933302956335,-0.044458093243715524,-0.00014103411267468724,0.0001485755569347602,-0.00028960966960944745
electricity,shape,STEP6_D63,ALL,81551,512,0.19716696559272232,0.19691469946154866,-0.12810934473834745,-0.00025226613117365626,2.062807244447573e-05,-0.000272894203618132
electricity,shape,STEP6_D63,ALL,81552,512,0.19436920089812965,0.1939781664401588,-0.2015868410074173,-0.00039103445797084024,0.00011890920859249088,-0.0005099436665633311
electricity,shape,STEP6_D63,ALL,81553,512,0.19661268639854626,0.1964289159602667,-0.09355569539299946,-0.0001837704382795513,-0.00016234804701165118,-2.142239126790013e-05
electricity,shape,STEP6_D63,EQUAL,81551,225,0.1063619329642548,0.10619069837062775,-0.16125197051573004,-0.00017123459362704263,0.0,-0.00017123459362704263
electricity,shape,STEP6_D63,EQUAL,81552,225,0.10285562554728102,0.10242467040088843,-0.42075326647947886,-0.00043095514639258925,0.0,-0.00043095514639258925
electricity,shape,STEP6_D63,EQUAL,81553,225,0.10792957530612167,0.10818466715029018,0.2357929740765763,0.00025509184416851183,0.0,0.00025509184416851183
electricity,shape,STEP6_D63,DIFFERENT,81551,287,0.2683555800227058,0.2680397874248143,-0.11781556795185111,-0.0003157925978914955,3.6799906242501734e-05,-0.00035259250413399723
electricity,shape,STEP6_D63,DIFFERENT,81552,287,0.26611329307214,0.2657535553211199,-0.13536516965328982,-0.0003597377510201061,0.00021213071358655577,-0.0005718684646066619
electricity,shape,STEP6_D63,DIFFERENT,81553,287,0.2661377734919105,0.2656099472572865,-0.19872231445936528,-0.0005278262346239959,-0.0002896243904877416,-0.00023820184413625434
electricity,shape,STEP12_D17,ALL,81551,512,0.2969892494415744,0.298582719313078,0.533677861588755,0.0015934698715036055,-0.0004342838413005923,0.002027753712804198
electricity,shape,STEP12_D17,ALL,81552,512,0.3033284513344172,0.3057040509563862,0.7770913125086154,0.0023755996219689823,-0.0005732042226380407,0.002948803844607023
electricity,shape,STEP12_D17,ALL,81553,512,0.2793493507593787,0.2803880659692729,0.3704562839732306,0.001038715209894181,0.0002430932842192035,0.0007956219256749775
electricity,shape,STEP12_D17,EQUAL,81551,215,0.1818633196961467,0.18495912502172163,1.6737780983832828,0.003095805325574935,0.0,0.003095805325574935
electricity,shape,STEP12_D17,EQUAL,81552,215,0.198662371618059,0.20243311370631273,1.8627101165495485,0.0037707420882537313,0.0,0.0037707420882537313
electricity,shape,STEP12_D17,EQUAL,81553,215,0.16228638129603393,0.16353195899883793,0.7616723424764049,0.0012455777028040071,0.0,0.0012455777028040071
electricity,shape,STEP12_D17,DIFFERENT,81551,297,0.38032956895425796,0.38083548959133257,0.13284492934665382,0.0005059206370746083,-0.0007486643998180498,0.001254585036892658
electricity,shape,STEP12_D17,DIFFERENT,81552,297,0.3790968255398616,0.38046247354482304,0.3589442060441539,0.0013656480049614173,-0.0009881500403727816,0.002353798045334199
electricity,shape,STEP12_D17,DIFFERENT,81553,297,0.364091904411295,0.3649808706785103,0.24356516700798636,0.0008889662672152965,0.00041906990410847667,0.0004698963631068198
electricity,shape,STEP12_D63,ALL,81551,512,0.2214372881221064,0.22110397979568888,-0.1507473211135757,-0.0003333083264175085,3.4097631464030664e-05,-0.0003674059578815392
electricity,shape,STEP12_D63,ALL,81552,512,0.21722091871764354,0.21628979809483415,-0.4304967830249362,-0.0009311206228093949,-1.1551940546083994e-06,-0.0009299654287547865
electricity,shape,STEP12_D63,ALL,81553,512,0.2253083832279865,0.225349719747939,0.018343275509169477,4.133651995250065e-05,3.199605646408976e-05,9.340463488410888e-06
electricity,shape,STEP12_D63,EQUAL,81551,261,0.15054962236262906,0.14987079015555857,-0.4529449710419797,-0.00067883220707049,0.0,-0.00067883220707049
electricity,shape,STEP12_D63,EQUAL,81552,261,0.14436930286773075,0.1430759965149752,-0.9039296487584947,-0.001293306352755541,0.0,-0.001293306352755541
electricity,shape,STEP12_D63,EQUAL,81553,261,0.16037157110981026,0.16039311582022736,0.013432440854410643,2.154471041709849e-05,0.0,2.154471041709849e-05
electricity,shape,STEP12_D63,DIFFERENT,81551,251,0.295149163672798,0.295175145118693,0.008802043913491708,2.5981445895051358e-05,6.95537343011754e-05,-4.357228840612404e-05
electricity,shape,STEP12_D63,DIFFERENT,81552,251,0.29297498938229394,0.29242048419978717,-0.18962597097949008,-0.0005545051825067704,-2.356411776816003e-06,-0.0005521487707299544
electricity,shape,STEP12_D63,DIFFERENT,81553,251,0.2928323193349345,0.2928942361827309,0.02113966071964901,6.191684779643936e-05,6.526685621358053e-05,-3.3500084171411704e-06
electricity,shape,STEP8_D31,ALL,81551,512,0.20789581644530947,0.20842693109134777,0.2548205470652598,0.0005311146460383054,0.0001553748315426401,0.0003757398144956653
electricity,shape,STEP8_D31,ALL,81552,512,0.2067941801108488,0.20691939216179636,0.060512477655871866,0.00012521205094756516,-0.00010706543407930369,0.00023227748502686885
electricity,shape,STEP8_D31,ALL,81553,512,0.20845919342320754,0.20842872179695016,-0.014619686766148554,-3.0471626257383422e-05,0.00023907116397602068,-0.0002695427902334041
electricity,shape,STEP8_D31,EQUAL,81551,228,0.11782272630141019,0.11833420314857218,0.4322307782136492,0.0005114768471619902,0.0,0.0005114768471619902
electricity,shape,STEP8_D31,EQUAL,81552,228,0.1178739399236132,0.11834511902396666,0.39813986773551413,0.0004711791003534638,0.0,0.0004711791003534638
electricity,shape,STEP8_D31,EQUAL,81553,228,0.11733007857342109,0.11719953710498615,-0.11138394541438945,-0.00013054146843494152,0.0,-0.00013054146843494152
electricity,shape,STEP8_D31,DIFFERENT,81551,284,0.2802080155749188,0.2807548957778011,0.1947891955248804,0.0005468802028822939,0.0002801123723584764,0.0002667678305238175
electricity,shape,STEP8_D31,DIFFERENT,81552,284,0.27818085181046054,0.2780283156668145,-0.0548635282993315,-0.00015253614364602042,-0.00019301937411503323,4.048323046901281e-05
electricity,shape,STEP8_D31,DIFFERENT,81553,284,0.28161918703500816,0.28166905316937196,0.017703803027957488,4.986613436380738e-05,0.0004310015350552643,-0.0003811354006914569
electricity,shape,STEP8_D33,ALL,81551,512,0.2072638111511832,0.2079245660023777,0.3177858508488729,0.0006607548511944894,0.00024114862654590896,0.00041960622464858044
electricity,shape,STEP8_D33,ALL,81552,512,0.208018594293347,0.20846105383841346,0.2122504596995034,0.00044245954506647034,-6.82439754638442e-05,0.0005107035205303145
electricity,shape,STEP8_D33,ALL,81553,512,0.20536941140018258,0.20553633935300356,0.08121578565932763,0.00016692795282097217,0.0002196596783802518,-5.273172555927963e-05
electricity,shape,STEP8_D33,EQUAL,81551,232,0.12115257300819374,0.12194864407453233,0.6527920604447734,0.0007960710663385967,0.0,0.0007960710663385967
electricity,shape,STEP8_D33,EQUAL,81552,232,0.12636572570187743,0.12728360212380235,0.721127000343813,0.0009178764219249236,0.0,0.0009178764219249236
electricity,shape,STEP8_D33,EQUAL,81553,232,0.11691255326316057,0.11727130106987786,0.30591270280486693,0.00035874780671729667,0.0,0.00035874780671729667
electricity,shape,STEP8_D33,DIFFERENT,81551,280,0.27861312275537437,0.2791617584568781,0.19652967674956834,0.000548635701503708,0.00044095748854122707,0.00010767821296248092
electricity,shape,STEP8_D33,DIFFERENT,81552,280,0.2756738282691361,0.2757223709733771,0.01760564587836022,4.8542704240983614e-05,-0.0001247889837053262,0.00017333168794630982
electricity,shape,STEP8_D33,DIFFERENT,81553,280,0.2786622367137153,0.27867022821616483,0.002867727385402752,7.991502449511412e-06,0.0004016634118952922,-0.0003936719094457808
electricity,shape,RAMP8_D32,ALL,81551,512,0.5301479703551115,0.5316638931613358,0.2851280340311235,0.001515922806224257,-0.00015060918273807067,0.0016665319889623276
electricity,shape,RAMP8_D32,ALL,81552,512,0.4308754729868115,0.4314474485210047,0.132571309936802,0.000571975534193192,0.00037300053161987146,0.00019897500257332057
electricity,shape,RAMP8_D32,ALL,81553,512,0.49341461698812145,0.4933752533480303,-0.007978438282840727,-3.936364009116122e-05,0.0004861768589977389,-0.0005255404990889001
electricity,shape,RAMP8_D32,EQUAL,81551,224,0.40352827863475904,0.40448003045686687,0.23530254906102277,0.0009517518221078269,0.0,0.0009517518221078269
electricity,shape,RAMP8_D32,EQUAL,81552,224,0.3170833512425597,0.3151284284011316,-0.620357500383828,-0.0019549228414281195,0.0,-0.0019549228414281195
electricity,shape,RAMP8_D32,EQUAL,81553,224,0.3650121647610655,0.3641435460717287,-0.23853743906960823,-0.0008686186893367975,0.0,-0.0008686186893367975
electricity,shape,RAMP8_D32,DIFFERENT,81551,288,0.6286299528042743,0.6305846752648118,0.3099857223324731,0.001954722460537517,-0.000267749658200922,0.002222472118738439
electricity,shape,RAMP8_D32,DIFFERENT,81552,288,0.5193804565656737,0.5219177975031285,0.4861571974731582,0.002537340937454835,0.000663112056213444,0.001874228881241391
electricity,shape,RAMP8_D32,DIFFERENT,81553,288,0.5932831909424984,0.5938888034518203,0.10197405739962306,0.0006056125093218956,0.0008643144159961591,-0.0002587019066742635
electricity,shape,PULSE8_D32,ALL,81551,512,2.9980059546766222,2.995968681819267,-0.0680004724254335,-0.0020372728573554433,-0.0004218974936422981,-0.0016153753637131452
electricity,shape,PULSE8_D32,ALL,81552,512,2.990601584052127,2.9895865417451217,-0.03395259822158714,-0.0010150423070052206,-0.0004135855774365371,-0.0006014567295686835
electricity,shape,PULSE8_D32,ALL,81553,512,3.021428611403171,3.02024531265299,-0.039178895344149645,-0.0011832987501811942,-0.00044529346426336325,-0.000738005285917831
electricity,shape,PULSE8_D32,EQUAL,81551,227,2.720394753826698,2.7182442340389406,-0.07911429594249508,-0.0021505197877575988,0.0,-0.0021505197877575988
electricity,shape,PULSE8_D32,EQUAL,81552,227,2.7004643677597513,2.6998332065604065,-0.023377784887279596,-0.0006311611993448096,0.0,-0.0006311611993448096
electricity,shape,PULSE8_D32,EQUAL,81553,227,2.7480617292906633,2.746647569078407,-0.051486773482589676,-0.0014141602122563768,0.0,-0.0014141602122563768
electricity,shape,PULSE8_D32,DIFFERENT,81551,285,3.2191208409676166,3.2171737682969304,-0.06052121554245282,-0.0019470726706862784,-0.0007579351464745976,-0.0011891375242116808
electricity,shape,PULSE8_D32,DIFFERENT,81552,285,3.221693331765703,3.2203725315238234,-0.04101389603068384,-0.0013208002418796383,-0.000743002861922859,-0.0005777973799567793
electricity,shape,PULSE8_D32,DIFFERENT,81553,285,3.239162935050674,3.238163515429937,-0.03086377868117829,-0.0009994196207370187,-0.0007999658024657741,-0.00019945381827124464
electricity,shape,PAIRED_SHIFT8_D32,ALL,81551,512,0.20478331838228295,0.20528135498552613,0.24261170883166372,0.0004980366032431849,0.00020426628884154252,0.00029377031440164236
