panel,kind,stage,condition,baseline,TRP_nmae,baseline_nmae,gain_pct,ci_low,ci_high,bonferroni4_low,bonferroni4_high,both_seeds_positive,primary_family
electricity,standard,selected,BURST4,C3,0.16896113213958194,0.16949500767230746,0.3149800929580726,0.08395047488101409,0.5750253693997608,0.038653303144383505,0.6770047724359919,True,False
electricity,standard,selected,BURST4,MAG_ONLY,0.16896113213958194,0.16955885313543828,0.35251535664663214,0.12314531795979328,0.6167434268742148,0.07796814003444313,0.7117686405336765,True,False
electricity,standard,selected,BURST8,PLAIN,0.17822213819236093,0.17862598157537576,0.22608322678099313,0.05206136241732301,0.4213730761870535,0.010600551478584241,0.47687308972959574,True,False
electricity,standard,selected,BURST8,ANCHOR,0.17822213819236093,0.17822402504570528,0.0010586975262572018,-7.790400224139125e-05,0.0023609758728754256,-0.00032349709472981325,0.002648297709511721,False,False
electricity,standard,selected,BURST8,SHUFFLE,0.17822213819236093,0.17822463973300529,0.0014035885543606241,-0.002208234407287124,0.0049067163972263406,-0.0027376944817987525,0.005911008604680077,False,False
electricity,standard,selected,BURST8,IDEAL,0.17822213819236093,0.1799918067853818,0.983193971229468,-0.10139601446641167,2.0909064127416257,-0.3623580084449952,2.36538421001551,True,False
electricity,standard,selected,BURST8,B0,0.17822213819236093,0.1782235903731085,0.0008148083789127902,-6.417736720554235e-05,0.0017541717411989617,-0.0002913227291909126,0.0019816543326019215,False,False
electricity,standard,selected,BURST8,C3,0.17822213819236093,0.1788326030102572,0.3413610312775206,0.07539684777297107,0.6098715203268418,0.012007337962319582,0.665627159822066,True,False
electricity,standard,selected,BURST8,MAG_ONLY,0.17822213819236093,0.1788682738423609,0.3612354701703069,0.12699063645979586,0.6102475926064457,0.07105077726232124,0.6840167471578227,True,False
electricity,standard,selected,FAULT,PLAIN,0.17145841200317075,0.17182255095517962,0.2119273343252015,0.035039824768851036,0.4240701152122611,-0.0011193449331392546,0.4890674002475522,True,False
electricity,standard,selected,FAULT,ANCHOR,0.17145841200317075,0.17146071354175402,0.001342312495811182,0.00048500765098630216,0.0023494714810731714,0.00022688075523059903,0.0026496452073879882,False,False
electricity,standard,selected,FAULT,SHUFFLE,0.17145841200317075,0.17145940418366035,0.0005786678743735507,-0.0021438604398499317,0.003371031232760335,-0.0028722504767135504,0.004055180811462385,False,False
electricity,standard,selected,FAULT,IDEAL,0.17145841200317075,0.17331720248165466,1.072478929886178,0.1832758515310845,1.8965306280594059,-0.03643072546166026,2.0785127107385004,True,False
electricity,standard,selected,FAULT,B0,0.17145841200317075,0.17146015159423397,0.0010145745510281579,0.0003324194629711341,0.0018396335061129912,0.00013675497965041916,0.002068564035137277,False,False
