panel,kind,stage,condition,baseline,seed,TRP_nmae,baseline_nmae,gain_pct
electricity,standard,selected,BURST4,ANCHOR,81551,0.1696033638073436,0.1696099787554574,0.0039000937105071465
electricity,standard,selected,BURST4,ANCHOR,81552,0.1683189004718203,0.1683163159748235,-0.0015354999792105417
electricity,standard,selected,BURST4,SHUFFLE,81551,0.1696033638073436,0.16960307150846726,-0.00017234291438406046
electricity,standard,selected,BURST4,SHUFFLE,81552,0.1683189004718203,0.1683200508203326,0.0006834292805346642
electricity,standard,selected,BURST4,IDEAL,81551,0.1696033638073436,0.1700059579361982,0.2368117763294486
electricity,standard,selected,BURST4,IDEAL,81552,0.1683189004718203,0.1698023544255861,0.8736356800140399
electricity,standard,selected,BURST4,B0,81551,0.1696033638073436,0.16960903276087505,0.003342365344094489
electricity,standard,selected,BURST4,B0,81552,0.1683189004718203,0.1683163159748235,-0.0015354999792105417
electricity,standard,selected,BURST4,C3,81551,0.1696033638073436,0.17007410095673053,0.27678355889513284
electricity,standard,selected,BURST4,C3,81552,0.1683189004718203,0.16891591438788445,0.35343852485871796
electricity,standard,selected,BURST4,MAG_ONLY,81551,0.1696033638073436,0.17005895223157602,0.26790028884339234
electricity,standard,selected,BURST4,MAG_ONLY,81552,0.1683189004718203,0.1690587540393005,0.4376310305163056
electricity,standard,selected,BURST8,PLAIN,81551,0.17872290330736126,0.17924923407735602,0.29363069399092057
electricity,standard,selected,BURST8,PLAIN,81552,0.1777213730773606,0.1780027290733955,0.1580627429138448
electricity,standard,selected,BURST8,ANCHOR,81551,0.17872290330736126,0.1787284914420812,0.0031266054308698443
electricity,standard,selected,BURST8,ANCHOR,81552,0.1777213730773606,0.17771955864932934,-0.0010209501109859076
electricity,standard,selected,BURST8,SHUFFLE,81551,0.17872290330736126,0.17872215443790337,-0.00041901322207493763
electricity,standard,selected,BURST8,SHUFFLE,81552,0.1777213730773606,0.17772712502810717,0.0032363944139968126
electricity,standard,selected,BURST8,IDEAL,81551,0.17872290330736126,0.17996881418339558,0.6922926517505923
electricity,standard,selected,BURST8,IDEAL,81552,0.1777213730773606,0.18001479938736803,1.2740209792819757
