source,status,episode,building,H,arm,output,raw_RMSE,scaled_RMSE,bias,bias_squared,demeaned_MSE,demeaned_RMSE,MSE_identity_error,cache
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H3,Rat_public_Chrissy,3,local_r1_epoch4,sorted,7.198857498771068,2.0962925507603742,-7.001670900980631,49.02339540563892,2.800153881973522,1.6733660334707174,4.440892098500626e-16,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H3_local_r1_epoch4.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H3,Rat_public_Chrissy,3,local_r1_epoch4,raw,7.198857498771068,2.0962925507603742,-7.001670900980631,49.02339540563892,2.800153881973522,1.6733660334707174,4.440892098500626e-16,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H3_local_r1_epoch4.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H3,Rat_public_Chrissy,3,local_r1_epoch16,sorted,7.552412561791029,2.1992470605584753,-7.360835456848144,54.18189862279282,2.8570368807061066,1.69027716091359,1.199040866595169e-14,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H3_local_r1_epoch16.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H3,Rat_public_Chrissy,3,local_r1_epoch16,raw,7.552412561791029,2.1992470605584753,-7.360835456848144,54.18189862279282,2.8570368807061066,1.69027716091359,1.199040866595169e-14,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H3_local_r1_epoch16.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H3,Rat_public_Chrissy,3,local_r1_fixed120,sorted,8.927256641044458,2.599598838918857,-8.746002578735352,76.49256110724542,3.203350027826962,1.789790498306146,4.884981308350689e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H3_local_r1_fixed120.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H3,Rat_public_Chrissy,3,local_r1_fixed120,raw,8.927256641044458,2.599598838918857,-8.746002578735352,76.49256110724542,3.203350027826962,1.789790498306146,4.884981308350689e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H3_local_r1_fixed120.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H3,Rat_public_Chrissy,3,F0,sorted,7.158882852843044,2.0846520157876363,-6.961251958211263,48.459028825700145,2.790574875030027,1.670501384324487,2.220446049250313e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H3_F0.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H3,Rat_public_Chrissy,3,F0,raw,7.158882852843044,2.0846520157876363,-6.961251958211263,48.459028825700145,2.790574875030027,1.670501384324487,2.220446049250313e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H3_F0.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H3,Rat_public_Chrissy,3,AFFINE,sorted,6.826146259232453,1.9877598016174935,-6.555941246020827,42.98036562127711,3.6159071311561064,1.9015538727987977,7.105427357601002e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H3_AFFINE.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H3,Rat_public_Chrissy,3,AFFINE,raw,6.826146259232453,1.9877598016174935,-6.555941246020827,42.98036562127711,3.6159071311561064,1.9015538727987977,7.105427357601002e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H3_AFFINE.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H3,Rat_public_Chrissy,3,local_r8_epoch1,sorted,7.218191766555268,2.1019226499167116,-7.021063391367594,49.295331145602226,2.806961233164035,1.675398828089609,3.552713678800501e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H3_local_r8_epoch1.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H3,Rat_public_Chrissy,3,local_r8_epoch1,raw,7.218191766555268,2.1019226499167116,-7.021063391367594,49.295331145602226,2.806961233164035,1.675398828089609,3.552713678800501e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H3_local_r8_epoch1.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H3,Rat_public_Chrissy,3,local_r8_epoch4,sorted,7.498610107351564,2.183579896085039,-7.305853748321533,53.375498991863786,2.85365455021125,1.6892763392089674,3.1086244689504383e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H3_local_r8_epoch4.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H3,Rat_public_Chrissy,3,local_r8_epoch4,raw,7.498610107351564,2.183579896085039,-7.305853748321533,53.375498991863786,2.85365455021125,1.6892763392089674,3.1086244689504383e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H3_local_r8_epoch4.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H3,Rat_public_Chrissy,3,local_r8_epoch16,sorted,9.215562543306097,2.6835529268216245,-9.056087557474772,82.01272184864938,2.913871140936965,1.7070064853236395,1.1102230246251565e-14,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H3_local_r8_epoch16.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H3,Rat_public_Chrissy,3,local_r8_epoch16,raw,9.215562543306097,2.6835529268216245,-9.056087557474772,82.01272184864938,2.913871140936965,1.7070064853236395,1.1102230246251565e-14,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H3_local_r8_epoch16.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H3,Rat_public_Chrissy,3,local_r8_fixed120,sorted,9.332843264557434,2.7177048325023456,-8.845355733235676,78.24031804748525,8.861645353309802,2.9768515840246055,8.881784197001252e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H3_local_r8_fixed120.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H3,Rat_public_Chrissy,3,local_r8_fixed120,raw,9.332843264557434,2.7177048325023456,-8.845355733235676,78.24031804748525,8.861645353309802,2.9768515840246055,8.881784197001252e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H3_local_r8_fixed120.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H14,Rat_public_Chrissy,14,local_r1_epoch1,sorted,7.144777595385745,1.3749941363307643,-6.947099749247233,48.26219492599097,2.7856519615351316,1.6690272500876466,1.3322676295501878e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H14_local_r1_epoch1.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H14,Rat_public_Chrissy,14,local_r1_epoch1,raw,7.144777595385745,1.3749941363307643,-6.947099749247233,48.26219492599097,2.7856519615351316,1.6690272500876466,1.3322676295501878e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H14_local_r1_epoch1.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H14,Rat_public_Chrissy,14,local_r1_epoch4,sorted,7.130437787365788,1.372234477029923,-6.933461570739746,48.07288935292486,2.7702536865690583,1.6644079087077959,2.220446049250313e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H14_local_r1_epoch4.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H14,Rat_public_Chrissy,14,local_r1_epoch4,raw,7.130437787365788,1.372234477029923,-6.933461570739746,48.07288935292486,2.7702536865690583,1.6644079087077959,2.220446049250313e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H14_local_r1_epoch4.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H14,Rat_public_Chrissy,14,local_r1_epoch16,sorted,6.966603476202432,1.3407049837501197,-6.768099212646484,45.807166952225955,2.726397042409854,1.651180499645588,3.552713678800501e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H14_local_r1_epoch16.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H14,Rat_public_Chrissy,14,local_r1_epoch16,raw,6.966603476202432,1.3407049837501197,-6.768099212646484,45.807166952225955,2.726397042409854,1.651180499645588,3.552713678800501e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H14_local_r1_epoch16.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H14,Rat_public_Chrissy,14,local_r1_fixed120,sorted,7.08271096349464,1.3630495720986764,-6.891229693094889,47.48904668299268,2.675747909414488,1.6357713499797237,1.7763568394002505e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H14_local_r1_fixed120.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H14,Rat_public_Chrissy,14,local_r1_fixed120,raw,7.08271096349464,1.3630495720986764,-6.891229693094889,47.48904668299268,2.675747909414488,1.6357713499797237,1.7763568394002505e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H14_local_r1_fixed120.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H14,Rat_public_Chrissy,14,F0,sorted,7.158882852843044,1.37770865697697,-6.961251958211263,48.459028825700145,2.790574875030027,1.670501384324487,2.220446049250313e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H14_F0.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H14,Rat_public_Chrissy,14,F0,raw,7.158882852843044,1.37770865697697,-6.961251958211263,48.459028825700145,2.790574875030027,1.670501384324487,2.220446049250313e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H14_F0.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H14,Rat_public_Chrissy,14,AFFINE,sorted,5.37008540103454,1.0334591720232942,-5.075682769999243,25.762555581667183,3.0752616327371185,1.7536423902087672,1.3322676295501878e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H14_AFFINE.npz
