dataset,seed,arm,role,baseline,epoch,baseline_epoch,updates,baseline_updates,mse,baseline_mse,gain_percent
traffic,41001,POINTWISE,selected,HEAD_ONLY,16,17,1008,1071,0.42073769006298545,0.43976437744365987,4.326564032147423
traffic,41001,POINTWISE,matched_old_epoch,BALANCED_LH,1,1,63,63,0.5219305045101084,0.5049074319486706,-3.371523468319306
traffic,41001,POINTWISE,matched_old_epoch,HEAD_ONLY,1,1,63,63,0.5219305045101084,0.5462674000301888,4.455125002651723
traffic,41001,UNIFORM,selected,BALANCED_LH,16,18,1008,1134,0.4217746720168608,0.3871869517414405,-8.933080032748007
traffic,41001,UNIFORM,selected,HEAD_ONLY,16,17,1008,1071,0.4217746720168608,0.43976437744365987,4.090760040950293
traffic,41001,UNIFORM,matched_old_epoch,BALANCED_LH,1,1,63,63,0.5214825331286277,0.5049074319486706,-3.2828000007815548
traffic,41001,UNIFORM,matched_old_epoch,HEAD_ONLY,1,1,63,63,0.5214825331286277,0.5462674000301888,4.537130881357997
traffic,41001,CONDITIONED,selected,BALANCED_LH,16,18,1008,1134,0.421075943622667,0.3871869517414405,-8.752617237953096
traffic,41001,CONDITIONED,selected,HEAD_ONLY,16,17,1008,1071,0.421075943622667,0.43976437744365987,4.249647033629309
traffic,41001,CONDITIONED,selected,POINTWISE,16,16,1008,1008,0.421075943622667,0.42073769006298545,-0.08039535503246609
traffic,41001,CONDITIONED,selected,UNIFORM,16,16,1008,1008,0.421075943622667,0.4217746720168608,0.16566390552865956
traffic,41001,CONDITIONED,matched_old_epoch,BALANCED_LH,1,1,63,63,0.5213871977032183,0.5049074319486706,-3.263918237635098
traffic,41001,CONDITIONED,matched_old_epoch,HEAD_ONLY,1,1,63,63,0.5213871977032183,0.5462674000301888,4.55458303490114
traffic,41001,CONDITIONED,matched_old_epoch,POINTWISE,1,1,63,63,0.5213871977032183,0.5219305045101084,0.10409562234727623
traffic,41001,CONDITIONED,matched_old_epoch,UNIFORM,1,1,63,63,0.5213871977032183,0.5214825331286277,0.018281614311689492
