source,seed,condition,mode,normal_nmae,altered_nmae,error_increase_pct,optimizer_updates
ettm1,81552,SHIFT8,permute,0.48771380632747086,0.48802327460283224,0.0634528429063197,0
ettm1,81552,SHIFT_POINT,permute,0.49826357240824054,0.4958169346475881,-0.4910328380674511,0
ettm1,81552,REFERENCE,zero,0.352580312597064,0.35235759885892337,-0.06316681056300899,0
ettm1,81552,POINT4,zero,0.35235921792442804,0.3520825207812292,-0.07852700571556737,0
ettm1,81552,POINT8,zero,0.3673664938835438,0.3672126665857032,-0.04187297981764759,0
ettm1,81552,POINT16,zero,0.3662349939115702,0.36662509947158683,0.10651782776138763,0
ettm1,81552,BURST4,zero,0.3618421932675577,0.36170788747854427,-0.0371172272090714,0
ettm1,81552,BURST8,zero,0.3681929543156818,0.3678583232010889,-0.09088471429736789,0
ettm1,81552,BURST16,zero,0.3830698553148275,0.3826121421571974,-0.11948555890777257,0
ettm1,81552,SHIFT4,zero,0.4819584643099505,0.4773749417278938,-0.9510202479002361,0
ettm1,81552,SHIFT8,zero,0.48771380632747086,0.488158302935904,0.09113882007569796,0
ettm1,81552,SHIFT_POINT,zero,0.49826357240824054,0.4952762750180664,-0.5995415991852937,0
