fit,dataset,seed,arm,step,active_seconds,mse,mae
05_electricity_40001_SHARED,electricity,40001,SHARED,512,63.006181641918374,1.1146545668616632,0.8026121536252913
05_electricity_40001_SHARED,electricity,40001,SHARED,1024,125.87776636698982,0.6087794857750048,0.5953523446723608
06_electricity_40000_SPECIFIC,electricity,40000,SPECIFIC,0,0,1.2390544649691433,0.8435731754590814
06_electricity_40000_SPECIFIC,electricity,40000,SPECIFIC,128,20.94897816698358,2.1689054766496687,1.1322452457431638
06_electricity_40000_SPECIFIC,electricity,40000,SPECIFIC,256,41.92331028111221,1.4512289143861186,0.920554959042378
06_electricity_40000_SPECIFIC,electricity,40000,SPECIFIC,512,83.87210776712163,1.2622091772244861,0.8586748816737793
06_electricity_40000_SPECIFIC,electricity,40000,SPECIFIC,1024,167.6339161068754,1.1968612119308089,0.824329864314262
07_traffic_40000_SHARED_WIDE,traffic,40000,SHARED_WIDE,0,0,1.4101658926221998,0.8823958854179246
07_traffic_40000_SHARED_WIDE,traffic,40000,SHARED_WIDE,128,16.10122807204607,1.7233765771817837,0.9896993418020709
07_traffic_40000_SHARED_WIDE,traffic,40000,SHARED_WIDE,256,32.24660294802743,1.049497665623709,0.7175801272778799
07_traffic_40000_SHARED_WIDE,traffic,40000,SHARED_WIDE,512,64.53290290602308,1.0390798835758766,0.6968880920738806
07_traffic_40000_SHARED_WIDE,traffic,40000,SHARED_WIDE,1024,129.08395598291827,1.1491078194193518,0.7821389675712368
08_traffic_40000_LORA_HEAD,traffic,40000,LORA_HEAD,0,0,1.1263326607445678,0.7468755963820111
08_traffic_40000_LORA_HEAD,traffic,40000,LORA_HEAD,128,15.120393567878637,0.8336469687389279,0.6366580784102016
08_traffic_40000_LORA_HEAD,traffic,40000,LORA_HEAD,256,30.162575901849777,0.7110520663575184,0.5789335362921547
08_traffic_40000_LORA_HEAD,traffic,40000,LORA_HEAD,512,60.40867012983654,0.7804250531794426,0.6193035585222121
08_traffic_40000_LORA_HEAD,traffic,40000,LORA_HEAD,1024,120.73499658270157,0.7233634528484434,0.5920235038264283
09_electricity_40001_LORA_HEAD,electricity,40001,LORA_HEAD,0,0,1.0489312797822272,0.7972576326586588
09_electricity_40001_LORA_HEAD,electricity,40001,LORA_HEAD,128,15.033255567977903,0.42500539526549064,0.48607643190745475
09_electricity_40001_LORA_HEAD,electricity,40001,LORA_HEAD,256,29.98654087993782,0.4923148817605519,0.5188295447963678
09_electricity_40001_LORA_HEAD,electricity,40001,LORA_HEAD,512,59.97094617586117,0.4359084042790047,0.4876657128622762
09_electricity_40001_LORA_HEAD,electricity,40001,LORA_HEAD,1024,119.92329390977102,0.3707509466578509,0.4547383224675542
10_electricity_40000_SHARED_WIDE,electricity,40000,SHARED_WIDE,0,0,1.2390544654374491,0.8435731756517637
10_electricity_40000_SHARED_WIDE,electricity,40000,SHARED_WIDE,128,16.03561426795204,2.048257398160188,1.121871436080661
10_electricity_40000_SHARED_WIDE,electricity,40000,SHARED_WIDE,256,32.16559272092127,1.0497686817744631,0.7821306609540346
10_electricity_40000_SHARED_WIDE,electricity,40000,SHARED_WIDE,512,64.6420893509785,0.5444702682147523,0.5475538637850589
10_electricity_40000_SHARED_WIDE,electricity,40000,SHARED_WIDE,1024,129.13639502703154,0.7200403686550588,0.6419515388991127
11_traffic_40000_GROUP4,traffic,40000,GROUP4,0,0,1.4101658938901616,0.8823958859899497
11_traffic_40000_GROUP4,traffic,40000,GROUP4,128,18.284557245046017,1.2621659158007343,0.8129391415611367
11_traffic_40000_GROUP4,traffic,40000,GROUP4,256,36.767290704054176,1.0480871716812592,0.7109443486093345
11_traffic_40000_GROUP4,traffic,40000,GROUP4,512,73.7306929979095,0.9874814599443247,0.7042784759155165
11_traffic_40000_GROUP4,traffic,40000,GROUP4,1024,147.672197723703,0.9592082756162527,0.7044864766446235
12_electricity_40000_LORA_HEAD,electricity,40000,LORA_HEAD,0,0,1.0606386223214677,0.7909269845798637
12_electricity_40000_LORA_HEAD,electricity,40000,LORA_HEAD,128,15.071783666979172,0.5344572512870209,0.5683154494662095
12_electricity_40000_LORA_HEAD,electricity,40000,LORA_HEAD,256,30.13204370997846,0.5431651859301346,0.5516606453420769
12_electricity_40000_LORA_HEAD,electricity,40000,LORA_HEAD,512,60.16262142981577,0.48193051816527205,0.530235358108297
12_electricity_40000_LORA_HEAD,electricity,40000,LORA_HEAD,1024,120.32056553788425,0.37995807041780416,0.4603399257511336
13_electricity_40000_BASIS4,electricity,40000,BASIS4,0,0,1.2390544642065309,0.843573174962998
13_electricity_40000_BASIS4,electricity,40000,BASIS4,128,16.520294301124522,1.0847336795989697,0.7977187308984963
13_electricity_40000_BASIS4,electricity,40000,BASIS4,256,33.021524280135054,1.358408014084991,0.9100869654154984
13_electricity_40000_BASIS4,electricity,40000,BASIS4,512,65.93645057018148,0.8218561092785039,0.6809320641970972
13_electricity_40000_BASIS4,electricity,40000,BASIS4,1024,132.1442604003969,0.8646662055825682,0.7121110204081629
14_electricity_40001_BASIS4,electricity,40001,BASIS4,0,0,1.4235804828293874,0.9304129792045082
14_electricity_40001_BASIS4,electricity,40001,BASIS4,128,16.47798670308839,1.75056973847686,1.0215354761806523
14_electricity_40001_BASIS4,electricity,40001,BASIS4,256,32.90299112998764,0.9579046895997777,0.7523166078059569
14_electricity_40001_BASIS4,electricity,40001,BASIS4,512,65.8067763280269,1.1581833146238782,0.8358521932462734
14_electricity_40001_BASIS4,electricity,40001,BASIS4,1024,131.75557358578953,0.8046386609513791,0.6892764033775152
15_traffic_40001_BASIS4,traffic,40001,BASIS4,0,0,1.582778643445446,0.9434193322848845
15_traffic_40001_BASIS4,traffic,40001,BASIS4,128,16.450567220017547,1.8548894060037626,1.0604305859515448
15_traffic_40001_BASIS4,traffic,40001,BASIS4,256,32.83404631704616,1.3828818764245043,0.8828151584966216
15_traffic_40001_BASIS4,traffic,40001,BASIS4,512,65.65039307498955,1.386153398176565,0.8860956608828219
15_traffic_40001_BASIS4,traffic,40001,BASIS4,1024,132.05563824772253,1.2861787354218075,0.8723662595253698
16_traffic_40001_GROUP4,traffic,40001,GROUP4,0,0,1.5827786414787306,0.9434193314670115
16_traffic_40001_GROUP4,traffic,40001,GROUP4,128,18.572319479921134,1.5597506249734867,0.95281057365786
16_traffic_40001_GROUP4,traffic,40001,GROUP4,256,37.071467474946985,1.423443140852099,0.8955136517815272
16_traffic_40001_GROUP4,traffic,40001,GROUP4,512,73.78252964402782,1.3249310157394918,0.8402638876383772
16_traffic_40001_GROUP4,traffic,40001,GROUP4,1024,147.49827658305003,1.1824676570911485,0.8080453742453372
17_electricity_40000_GROUP4,electricity,40000,GROUP4,0,0,1.2390544649691433,0.8435731754590814
17_electricity_40000_GROUP4,electricity,40000,GROUP4,128,18.657595342054265,1.099430249746954,0.7970199174824348
17_electricity_40000_GROUP4,electricity,40000,GROUP4,256,37.28463517004275,1.0725434436874575,0.7957541866650395
17_electricity_40000_GROUP4,electricity,40000,GROUP4,512,74.17751388406032,0.7082461613896451,0.6334609399898172
17_electricity_40000_GROUP4,electricity,40000,GROUP4,1024,148.06159073393792,0.745544913789258,0.6602837222492186
18_traffic_40000_SPECIFIC,traffic,40000,SPECIFIC,0,0,1.4101658938901616,0.8823958859899497
18_traffic_40000_SPECIFIC,traffic,40000,SPECIFIC,128,20.281942950969096,1.8621016510800572,1.021468425119897
18_traffic_40000_SPECIFIC,traffic,40000,SPECIFIC,256,40.63074181709089,1.4081635469313953,0.8808979280439739
18_traffic_40000_SPECIFIC,traffic,40000,SPECIFIC,512,81.31717263897008,1.3859132323375174,0.8780789995772352
18_traffic_40000_SPECIFIC,traffic,40000,SPECIFIC,1024,162.95001971817692,1.4664662217482145,0.9218170663912897
19_traffic_40001_LORA_HEAD,traffic,40001,LORA_HEAD,0,0,1.139892080358195,0.760045242682689
19_traffic_40001_LORA_HEAD,traffic,40001,LORA_HEAD,128,15.152009367055143,0.8771554629515823,0.6827457670425099
19_traffic_40001_LORA_HEAD,traffic,40001,LORA_HEAD,256,30.346257106022676,0.8563193583814533,0.6573736551128526
19_traffic_40001_LORA_HEAD,traffic,40001,LORA_HEAD,512,60.66133629990509,0.8224935032751572,0.6409616497987519
19_traffic_40001_LORA_HEAD,traffic,40001,LORA_HEAD,1024,121.40642399787612,0.7445040538710502,0.6080198248857925
20_electricity_40001_GROUP4,electricity,40001,GROUP4,0,0,1.4235804844875526,0.9304129793885498
20_electricity_40001_GROUP4,electricity,40001,GROUP4,128,18.554802432016004,1.3528885777997308,0.8712560711125055
20_electricity_40001_GROUP4,electricity,40001,GROUP4,256,37.006645777088124,0.8016226072230186,0.6804161033849053
20_electricity_40001_GROUP4,electricity,40001,GROUP4,512,73.71086463714892,1.0048375003546313,0.7639409117682764
20_electricity_40001_GROUP4,electricity,40001,GROUP4,1024,146.9225411311054,0.6226679085538411,0.5992897961606753
21_electricity_40001_SHARED_WIDE,electricity,40001,SHARED_WIDE,0,0,1.4235804829449539,0.9304129787651263
21_electricity_40001_SHARED_WIDE,electricity,40001,SHARED_WIDE,128,16.030899625984603,1.0026487718264272,0.7567629256630322
21_electricity_40001_SHARED_WIDE,electricity,40001,SHARED_WIDE,256,32.07363471291319,0.7113381314911078,0.6261302633421226
21_electricity_40001_SHARED_WIDE,electricity,40001,SHARED_WIDE,512,64.30396282287256,0.8535111012752863,0.713915635678067
21_electricity_40001_SHARED_WIDE,electricity,40001,SHARED_WIDE,1024,128.8829087557824,0.5585950753531854,0.5653124767948463
22_electricity_40000_SHARED,electricity,40000,SHARED,0,0,1.2390544642065309,0.843573174962998
22_electricity_40000_SHARED,electricity,40000,SHARED,128,15.95173236503615,1.0769122976637904,0.8002470913610504
22_electricity_40000_SHARED,electricity,40000,SHARED,256,31.914131681114668,1.0298844769984372,0.7748998990001335
22_electricity_40000_SHARED,electricity,40000,SHARED,512,63.87966488621896,0.5415305474104657,0.5449286142821101
22_electricity_40000_SHARED,electricity,40000,SHARED,1024,127.8858396813448,0.5582921652999563,0.5660982552064069
23_traffic_40000_BASIS4,traffic,40000,BASIS4,0,0,1.4101658941692312,0.8823958863057483
23_traffic_40000_BASIS4,traffic,40000,BASIS4,128,16.62401662202319,1.7860660063249771,1.030960906514482
23_traffic_40000_BASIS4,traffic,40000,BASIS4,256,33.20051186715136,1.1475892035149307,0.7547345451860947
23_traffic_40000_BASIS4,traffic,40000,BASIS4,512,66.19876637129346,1.1698153822439694,0.7765189072478657
23_traffic_40000_BASIS4,traffic,40000,BASIS4,1024,132.20094341824006,1.1491511916597426,0.795022825595348
