panel,stage,arm,pulse_nmae,paired_shift_nmae,pair_nmae,oracle_pair_floor_nmae,avoidable_excess_nmae,prediction_inside_target_interval_fraction,floor_fraction_pct,oracle_joint_improvement_upper_bound_pct
electricity,selected,IDEAL,3.031335829701112,0.20387250610501972,1.6176041679030662,1.5064564022245115,0.1111477656785548,0.4414215087890625,93.12886502866534,6.871134971334672
electricity,selected,MAG_ONLY,2.9952720894873934,0.20466295472414242,1.599967522105768,1.5064564022245115,0.09351111988125674,0.5671234130859375,94.15543637047185,5.8445636295281655
electricity,selected,PLAIN,2.9746047284734862,0.20760904219072884,1.5911068853321075,1.5064564022245115,0.08465048310759621,0.6051177978515625,94.67977394303544,5.3202260569645725
electricity,selected,SHUFFLE,2.974049189557645,0.21246273156167889,1.5932559605596621,1.5064564022245115,0.08679955833515077,0.61834716796875,94.5520644212961,5.447935578703922
electricity,selected,TRP,2.9724549511988743,0.21289524416387895,1.5926750976813764,1.5064564022245115,0.0862186954568652,0.62188720703125,94.58654840636471,5.41345159363531
electricity_transfer,fixed1024,ANCHOR,6.9565867775288135,0.40303573611880705,3.67981125682381,3.549932713450411,0.12987854337339969,0.661651611328125,96.47051073251234,3.5294892674876746
electricity_transfer,fixed1024,B0,6.956608365694504,0.40302582451783653,3.67981709510617,3.549932713450411,0.12988438165575938,0.6616287231445312,96.47035767542648,3.5296423245735253
electricity_transfer,fixed1024,C3,7.004616621346081,0.3661006774001151,3.685358649373098,3.549932713450411,0.1354259359226872,0.6216697692871094,96.3252983275936,3.6747016724064014
electricity_transfer,fixed1024,IDEAL,7.143430082758819,0.3549107760556561,3.7491704294072377,3.549932713450411,0.199237715956827,0.47304534912109375,94.68581864419731,5.314181355802687
electricity_transfer,fixed1024,MAG_ONLY,7.003444761119021,0.36574965867630893,3.684597209897665,3.549932713450411,0.13466449644725442,0.6229400634765625,96.34520440699691,3.654795593003083
electricity_transfer,fixed1024,PLAIN,6.954884817546892,0.38247137831965894,3.668678097933276,3.549932713450411,0.11874538448286515,0.6688690185546875,96.7632650967726,3.236734903227392
electricity_transfer,fixed1024,SHUFFLE,6.9592957541670195,0.40170217102940603,3.680498962598212,3.549932713450411,0.13056624914780152,0.6595191955566406,96.45248509849792,3.547514901502093
electricity_transfer,fixed1024,TRP,6.956619183991129,0.4030254410537767,3.6798223125224525,3.549932713450411,0.12988959907204212,0.66162109375,96.47022089544849,3.5297791045515217
electricity_transfer,selected,ANCHOR,6.956620459105665,0.4030233747486248,3.6798219169271444,3.549932713450411,0.1298892034767341,0.6616020202636719,96.4702312663761,3.529768733623903
electricity_transfer,selected,B0,6.956608365694504,0.40302582451783653,3.67981709510617,3.549932713450411,0.12988438165575938,0.6616287231445312,96.47035767542648,3.5296423245735253
electricity_transfer,selected,C3,7.025374754463156,0.36565745659083015,3.6955161055269934,3.549932713450411,0.14558339207658266,0.5998268127441406,96.06053963994775,3.939460360052252
electricity_transfer,selected,IDEAL,7.142124235012316,0.3572106817152135,3.7496674583637652,3.549932713450411,0.19973474491335444,0.4783172607421875,94.67326777291039,5.3267322270896065
electricity_transfer,selected,MAG_ONLY,7.027841407527289,0.3642408321759123,3.6960411198516,3.549932713450411,0.14610840640118955,0.5972709655761719,96.04689445643788,3.9531055435621334
electricity_transfer,selected,PLAIN,6.980415661989902,0.37787647956573167,3.6791460707778167,3.549932713450411,0.12921335732740585,0.6441307067871094,96.4879525074119,3.5120474925880982
electricity_transfer,selected,SHUFFLE,6.960429807941781,0.40130240101251424,3.680866104477147,3.549932713450411,0.13093339102673668,0.6584320068359375,96.44286460549385,3.55713539450616
electricity_transfer,selected,TRP,6.956610667048052,0.4029943848839651,3.679802525966009,3.549932713450411,0.12986981251559795,0.6616477966308594,96.47073962259687,3.529260377403132
ettm1,fixed1024,ANCHOR,6.5197230518133775,0.5392404826200949,3.529481767216736,3.312905524803628,0.21657624241310874,0.546875,93.86379483739636,6.136205162603674
ettm1,fixed1024,B0,6.520033788023088,0.5390620718343305,3.529547929928709,3.312905524803628,0.21664240512508176,0.546539306640625,93.86203532503221,6.13796467496781
