fit,dataset,seed,arm,epoch,updates,origins,train_standardized_mse,lr,active_seconds
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,15,64,512,0.3008866449818015,0.00025,3.4390601720369887
05_electricity_41001_INDIV_BUDGET,electricity,41001,INDIV_BUDGET,1,64,512,0.7696065264753997,0.001,4.467701189976651
05_electricity_41001_INDIV_BUDGET,electricity,41001,INDIV_BUDGET,2,64,512,0.4533592746593058,0.001,4.450292217938113
05_electricity_41001_INDIV_BUDGET,electricity,41001,INDIV_BUDGET,3,64,512,0.43522365437820554,0.001,4.464138156050467
05_electricity_41001_INDIV_BUDGET,electricity,41001,INDIV_BUDGET,4,64,512,0.41915483959019184,0.001,4.508469198000967
05_electricity_41001_INDIV_BUDGET,electricity,41001,INDIV_BUDGET,5,64,512,0.40807818062603474,0.001,4.468898081962834
05_electricity_41001_INDIV_BUDGET,electricity,41001,INDIV_BUDGET,6,64,512,0.3628303478471935,0.0005,4.41114197295974
06_traffic_41000_FACTOR_BUDGET,traffic,41000,FACTOR_BUDGET,1,63,504,0.9094275586188786,0.001,3.422843637978076
06_traffic_41000_FACTOR_BUDGET,traffic,41000,FACTOR_BUDGET,2,63,504,0.4653970216001783,0.001,3.365935783906025
06_traffic_41000_FACTOR_BUDGET,traffic,41000,FACTOR_BUDGET,3,63,504,0.43167696633036173,0.001,3.4208305930078495
06_traffic_41000_FACTOR_BUDGET,traffic,41000,FACTOR_BUDGET,4,63,504,0.406217918036476,0.001,3.4204369269573363
06_traffic_41000_FACTOR_BUDGET,traffic,41000,FACTOR_BUDGET,5,63,504,0.39235912665488226,0.001,3.388596548975329
07_traffic_41000_INDIV_BUDGET,traffic,41000,INDIV_BUDGET,1,63,504,0.9321511151298644,0.001,4.449432291032281
07_traffic_41000_INDIV_BUDGET,traffic,41000,INDIV_BUDGET,2,63,504,0.5066563633699266,0.001,4.408856392008602
07_traffic_41000_INDIV_BUDGET,traffic,41000,INDIV_BUDGET,3,63,504,0.48421466492471243,0.001,4.3604532310855575
07_traffic_41000_INDIV_BUDGET,traffic,41000,INDIV_BUDGET,4,63,504,0.46111563226533314,0.001,4.402509876003023
07_traffic_41000_INDIV_BUDGET,traffic,41000,INDIV_BUDGET,5,63,504,0.4607245411191668,0.001,4.364766876984504
08_electricity_41000_FACTOR_BUDGET,electricity,41000,FACTOR_BUDGET,1,64,512,0.6670873370021582,0.001,3.5263279670034535
08_electricity_41000_FACTOR_BUDGET,electricity,41000,FACTOR_BUDGET,2,64,512,0.4157183766365051,0.001,3.446494292060379
08_electricity_41000_FACTOR_BUDGET,electricity,41000,FACTOR_BUDGET,3,64,512,0.3920371769927442,0.001,3.4489614210178843
08_electricity_41000_FACTOR_BUDGET,electricity,41000,FACTOR_BUDGET,4,64,512,0.36592967715114355,0.001,3.483589188923361
08_electricity_41000_FACTOR_BUDGET,electricity,41000,FACTOR_BUDGET,5,64,512,0.3552866135723889,0.001,3.499515034010983
08_electricity_41000_FACTOR_BUDGET,electricity,41000,FACTOR_BUDGET,6,64,512,0.32907754741609097,0.0005,3.491140034951968
09_traffic_41001_FACTOR_BUDGET,traffic,41001,FACTOR_BUDGET,1,63,504,0.8291328029027061,0.001,3.4181120570428902
09_traffic_41001_FACTOR_BUDGET,traffic,41001,FACTOR_BUDGET,2,63,504,0.4830159204346793,0.001,3.394352104893187
09_traffic_41001_FACTOR_BUDGET,traffic,41001,FACTOR_BUDGET,3,63,504,0.42700842306727455,0.001,3.3628542108781403
09_traffic_41001_FACTOR_BUDGET,traffic,41001,FACTOR_BUDGET,4,63,504,0.4059657288922204,0.001,3.4027147779997904
09_traffic_41001_FACTOR_BUDGET,traffic,41001,FACTOR_BUDGET,5,63,504,0.39147783461071195,0.001,3.455534670021734
10_electricity_41001_INDIV_REF,electricity,41001,INDIV_REF,1,64,512,0.7014281474985182,0.001,4.427235914001358
10_electricity_41001_INDIV_REF,electricity,41001,INDIV_REF,2,64,512,0.39156074170023203,0.001,4.409892850017059
10_electricity_41001_INDIV_REF,electricity,41001,INDIV_REF,3,64,512,0.3674165001139045,0.001,4.417355277997558
10_electricity_41001_INDIV_REF,electricity,41001,INDIV_REF,4,64,512,0.3544305725954473,0.001,4.4767322809493635
10_electricity_41001_INDIV_REF,electricity,41001,INDIV_REF,5,64,512,0.33343521202914417,0.001,4.4135674679564545
10_electricity_41001_INDIV_REF,electricity,41001,INDIV_REF,6,64,512,0.3071720211300999,0.0005,4.475564377004048
11_traffic_41000_BASIS_BUDGET,traffic,41000,BASIS_BUDGET,1,63,504,1.079474267505464,0.001,3.499747604029835
11_traffic_41000_BASIS_BUDGET,traffic,41000,BASIS_BUDGET,2,63,504,0.4769611164690956,0.001,3.46634426098899
11_traffic_41000_BASIS_BUDGET,traffic,41000,BASIS_BUDGET,3,63,504,0.43725961967120097,0.001,3.482151904012426
11_traffic_41000_BASIS_BUDGET,traffic,41000,BASIS_BUDGET,4,63,504,0.41561170087920296,0.001,3.5381387879460817
11_traffic_41000_BASIS_BUDGET,traffic,41000,BASIS_BUDGET,5,63,504,0.4002828399340312,0.001,3.51285732096585
12_electricity_41000_LH,electricity,41000,LH,1,64,512,0.4057137295603752,0.001,3.1075324070552597
12_electricity_41000_LH,electricity,41000,LH,2,64,512,0.34826968400739133,0.001,3.1510432559152832
12_electricity_41000_LH,electricity,41000,LH,3,64,512,0.3371507194824517,0.001,3.0799821479740785
12_electricity_41000_LH,electricity,41000,LH,4,64,512,0.3296765221748501,0.001,2.994177748099901
12_electricity_41000_LH,electricity,41000,LH,5,64,512,0.3242398041766137,0.001,3.121607650013175
12_electricity_41000_LH,electricity,41000,LH,6,64,512,0.3133033839985728,0.0005,3.0962322870327625
13_electricity_41001_LH,electricity,41001,LH,1,64,512,0.4082622826099396,0.001,3.1456065810343716
13_electricity_41001_LH,electricity,41001,LH,2,64,512,0.3498497852124274,0.001,3.123526973024127
13_electricity_41001_LH,electricity,41001,LH,3,64,512,0.3372682109475136,0.001,3.1741354429832427
13_electricity_41001_LH,electricity,41001,LH,4,64,512,0.33129728864878416,0.001,3.1259132970299106
13_electricity_41001_LH,electricity,41001,LH,5,64,512,0.3242912762798369,0.001,3.095234855893068
13_electricity_41001_LH,electricity,41001,LH,6,64,512,0.31201861542649567,0.0005,3.1203317700128537
13_electricity_41001_LH,electricity,41001,LH,7,64,512,0.30829489696770906,0.0005,3.1539937860070495
13_electricity_41001_LH,electricity,41001,LH,8,64,512,0.3085817266255617,0.0005,3.1430000569525873
14_traffic_41001_BASIS_BUDGET,traffic,41001,BASIS_BUDGET,1,63,504,1.1209027852330888,0.001,3.5197192469786387
14_traffic_41001_BASIS_BUDGET,traffic,41001,BASIS_BUDGET,2,63,504,0.4896781629040128,0.001,3.5097210639651166
14_traffic_41001_BASIS_BUDGET,traffic,41001,BASIS_BUDGET,3,63,504,0.43893265582266305,0.001,3.4846209019451635
14_traffic_41001_BASIS_BUDGET,traffic,41001,BASIS_BUDGET,4,63,504,0.412095534423041,0.001,3.5082379629748175
14_traffic_41001_BASIS_BUDGET,traffic,41001,BASIS_BUDGET,5,63,504,0.40035524207448203,0.001,3.5483619428996462
15_electricity_41001_BASIS_BUDGET,electricity,41001,BASIS_BUDGET,1,64,512,0.8568435716442764,0.001,3.6083448360004695
15_electricity_41001_BASIS_BUDGET,electricity,41001,BASIS_BUDGET,2,64,512,0.43898827815428376,0.001,3.5520674690342275
15_electricity_41001_BASIS_BUDGET,electricity,41001,BASIS_BUDGET,3,64,512,0.40098250610753894,0.001,3.563986011999077
15_electricity_41001_BASIS_BUDGET,electricity,41001,BASIS_BUDGET,4,64,512,0.3811015482060611,0.001,3.5830005960306153
15_electricity_41001_BASIS_BUDGET,electricity,41001,BASIS_BUDGET,5,64,512,0.36604734510183334,0.001,3.6065310190751916
15_electricity_41001_BASIS_BUDGET,electricity,41001,BASIS_BUDGET,6,64,512,0.3388182274065912,0.0005,3.601479932985967
16_electricity_41001_FACTOR_BUDGET,electricity,41001,FACTOR_BUDGET,1,64,512,0.7089753798209131,0.001,3.476323420967674
16_electricity_41001_FACTOR_BUDGET,electricity,41001,FACTOR_BUDGET,2,64,512,0.4273346718400717,0.001,3.5519740959862247
16_electricity_41001_FACTOR_BUDGET,electricity,41001,FACTOR_BUDGET,3,64,512,0.3950131796300411,0.001,3.4877334339544177
16_electricity_41001_FACTOR_BUDGET,electricity,41001,FACTOR_BUDGET,4,64,512,0.36880812607705593,0.001,3.4326903270120965
16_electricity_41001_FACTOR_BUDGET,electricity,41001,FACTOR_BUDGET,5,64,512,0.3495000647380948,0.001,3.4615330269298283
16_electricity_41001_FACTOR_BUDGET,electricity,41001,FACTOR_BUDGET,6,64,512,0.32265357463620603,0.0005,3.4903985019918764
17_traffic_41000_SHARED_BUDGET,traffic,41000,SHARED_BUDGET,1,63,504,1.2036366273486425,0.001,3.350948852021247
17_traffic_41000_SHARED_BUDGET,traffic,41000,SHARED_BUDGET,2,63,504,0.47404560304823373,0.001,3.381166421007947
17_traffic_41000_SHARED_BUDGET,traffic,41000,SHARED_BUDGET,3,63,504,0.42903188344032045,0.001,3.3667979890014976
17_traffic_41000_SHARED_BUDGET,traffic,41000,SHARED_BUDGET,4,63,504,0.40778396810804096,0.001,3.3943427610356594
17_traffic_41000_SHARED_BUDGET,traffic,41000,SHARED_BUDGET,5,63,504,0.3976547396372235,0.001,3.345998269956908
18_traffic_41001_LH,traffic,41001,LH,1,63,504,0.4850027428732978,0.001,3.143130634969566
18_traffic_41001_LH,traffic,41001,LH,2,63,504,0.39816724686395555,0.001,3.061003118986264
18_traffic_41001_LH,traffic,41001,LH,3,63,504,0.3850896812620617,0.001,3.0884977069945307
18_traffic_41001_LH,traffic,41001,LH,4,63,504,0.3763547090310899,0.001,3.0950892160763033
18_traffic_41001_LH,traffic,41001,LH,5,63,504,0.36878477439047797,0.001,3.0857624469790608
18_traffic_41001_LH,traffic,41001,LH,6,63,504,0.3576091721890465,0.0005,3.094950359023642
19_electricity_41000_BASIS_BUDGET,electricity,41000,BASIS_BUDGET,1,64,512,0.8382089212536812,0.001,3.559579433989711
19_electricity_41000_BASIS_BUDGET,electricity,41000,BASIS_BUDGET,2,64,512,0.4292288087308407,0.001,3.540100225916831
19_electricity_41000_BASIS_BUDGET,electricity,41000,BASIS_BUDGET,3,64,512,0.3961923928000033,0.001,3.531204097002046
19_electricity_41000_BASIS_BUDGET,electricity,41000,BASIS_BUDGET,4,64,512,0.3734222613275051,0.001,3.557962642007624
19_electricity_41000_BASIS_BUDGET,electricity,41000,BASIS_BUDGET,5,64,512,0.36116698011755943,0.001,3.542801419927855
19_electricity_41000_BASIS_BUDGET,electricity,41000,BASIS_BUDGET,6,64,512,0.33743307925760746,0.0005,3.5233671789610526
19_electricity_41000_BASIS_BUDGET,electricity,41000,BASIS_BUDGET,7,64,512,0.32843211689032614,0.0005,3.3742414509906666
20_traffic_41000_INDIV_REF,traffic,41000,INDIV_REF,1,63,504,1.0901443977204581,0.001,4.139044397015823
20_traffic_41000_INDIV_REF,traffic,41000,INDIV_REF,2,63,504,0.4339646980876014,0.001,4.244061942983535
20_traffic_41000_INDIV_REF,traffic,41000,INDIV_REF,3,63,504,0.4008915944704934,0.001,4.128224460087949
20_traffic_41000_INDIV_REF,traffic,41000,INDIV_REF,4,63,504,0.3790837691889869,0.001,4.112672640971141
20_traffic_41000_INDIV_REF,traffic,41000,INDIV_REF,5,63,504,0.37083690365155536,0.001,4.1466138710820815
21_electricity_41000_INDIV_REF,electricity,41000,INDIV_REF,1,64,512,0.7886823154985905,0.001,4.224750215027598
21_electricity_41000_INDIV_REF,electricity,41000,INDIV_REF,2,64,512,0.38578323274850845,0.001,4.229292774005444
21_electricity_41000_INDIV_REF,electricity,41000,INDIV_REF,3,64,512,0.3602521065622568,0.001,4.219492493037251
21_electricity_41000_INDIV_REF,electricity,41000,INDIV_REF,4,64,512,0.3406892674975097,0.001,4.18397700204514
21_electricity_41000_INDIV_REF,electricity,41000,INDIV_REF,5,64,512,0.33553846878930926,0.001,4.124857559058
21_electricity_41000_INDIV_REF,electricity,41000,INDIV_REF,6,64,512,0.31060677231289446,0.0005,4.193516725033987
21_electricity_41000_INDIV_REF,electricity,41000,INDIV_REF,7,64,512,0.3013395934831351,0.0005,4.157931283960352
21_electricity_41000_INDIV_REF,electricity,41000,INDIV_REF,8,64,512,0.2944004205055535,0.0005,4.175206274987431
21_electricity_41000_INDIV_REF,electricity,41000,INDIV_REF,9,64,512,0.29043220030143857,0.0005,4.164605544996448
22_electricity_41000_INDIV_BUDGET,electricity,41000,INDIV_BUDGET,1,64,512,0.7371804574504495,0.001,4.162955876978231
22_electricity_41000_INDIV_BUDGET,electricity,41000,INDIV_BUDGET,2,64,512,0.44205948198214173,0.001,4.187845508131431
22_electricity_41000_INDIV_BUDGET,electricity,41000,INDIV_BUDGET,3,64,512,0.42948890198022127,0.001,4.173135497956537
22_electricity_41000_INDIV_BUDGET,electricity,41000,INDIV_BUDGET,4,64,512,0.4168606558814645,0.001,4.095538255947758
22_electricity_41000_INDIV_BUDGET,electricity,41000,INDIV_BUDGET,5,64,512,0.40204788837581873,0.001,4.200271073015756
22_electricity_41000_INDIV_BUDGET,electricity,41000,INDIV_BUDGET,6,64,512,0.3664329294115305,0.0005,4.186897649080493
23_traffic_41000_LH,traffic,41000,LH,1,63,504,0.48306136424579316,0.001,2.9003749870025786
23_traffic_41000_LH,traffic,41000,LH,2,63,504,0.39558753229322885,0.001,2.933530326015898
23_traffic_41000_LH,traffic,41000,LH,3,63,504,0.3817268780299595,0.001,2.9145650200371165
23_traffic_41000_LH,traffic,41000,LH,4,63,504,0.3751729230086009,0.001,2.887453746094252
23_traffic_41000_LH,traffic,41000,LH,5,63,504,0.3731972754947723,0.001,2.82797443101299
23_traffic_41000_LH,traffic,41000,LH,6,63,504,0.3593582704899803,0.0005,2.8999488639674382
